node_id	node_type	full_name	is_phenotype	is_source	source_networks
AP1	GENE	APETALA 1	FALSE	FALSE	flowering_time
AP2	GENE	APETALA 2 (composite AP2/TOE1/TOE2/SMZ/SNZ)	FALSE	FALSE	flowering_time;seed_size
BAS1	GENE	BAS1 / CYP734A1	FALSE	FALSE	hypocotyl_length;seed_size
BIN2	GENE	BRASSINOSTEROID-INSENSITIVE 2	FALSE	FALSE	hypocotyl_length;lateral_root_density;plant_height;seed_size
BRC1	GENE	BRANCHED 1 (TCP18)	FALSE	FALSE	shoot_branching
BRI1	GENE	BRASSINOSTEROID INSENSITIVE 1	FALSE	FALSE	hypocotyl_length;lateral_root_density;plant_height;seed_size
BR_SYN	GENE	DWF4+DET2+CPD+CYP85A1 (composite)	FALSE	FALSE	plant_height
BZR	PROTEIN_COMPLEX	BZR1/BES1 composite	FALSE	FALSE	lateral_root_density
BZR1	GENE	BRASSINAZOLE-RESISTANT 1	FALSE	FALSE	hypocotyl_length;seed_size
BZR_BES	PROTEIN_COMPLEX	BZR1 + BES1 (composite)	FALSE	FALSE	plant_height
Brassinosteroid	HORMONE	Brassinosteroid (brassinolide family)	FALSE	FALSE	hypocotyl_length;lateral_root_density;plant_height;seed_size
CKX2	GENE	CYTOKININ OXIDASE 2	FALSE	FALSE	lateral_root_density;seed_size
CPD	GENE	CONSTITUTIVE PHOTOMORPHOGENIC DWARF / CYP90A1	FALSE	TRUE	hypocotyl_length
Cytokinin	HORMONE	Cytokinin	FALSE	FALSE	lateral_root_density;plant_height;seed_size;shoot_branching
DET2	GENE	DE-ETIOLATED 2	FALSE	TRUE	hypocotyl_length;seed_size
DWF4	GENE	DWARF 4 / CYP90B1	FALSE	FALSE	hypocotyl_length;seed_size
Endosperm_Proliferation	PROCESS	Endosperm Proliferation	FALSE	FALSE	seed_size
FT	GENE	FLOWERING LOCUS T	FALSE	FALSE	flowering_time;plant_height;shoot_branching
Flowering_Time	PHENOTYPE	Flowering time	TRUE	FALSE	flowering_time
HSFA1D	GENE	HEAT SHOCK FACTOR A1d	FALSE	FALSE	hypocotyl_length
Hypocotyl_Length	PHENOTYPE	Hypocotyl length	TRUE	FALSE	hypocotyl_length
Lateral_Root_Density	PHENOTYPE	Lateral root density	TRUE	FALSE	lateral_root_density
PIF3	GENE	PHYTOCHROME INTERACTING FACTOR 3	FALSE	FALSE	hypocotyl_length
PIF4	GENE	PHYTOCHROME INTERACTING FACTOR 4	FALSE	FALSE	flowering_time;hypocotyl_length
PRC2	PROTEIN_COMPLEX	Polycomb Repressive Complex 2	FALSE	FALSE	flowering_time;plant_height;seed_size
Plant_Height	PHENOTYPE	Plant height	TRUE	FALSE	plant_height
SOB7	GENE	SOB7 / CYP72C1	FALSE	TRUE	hypocotyl_length
SOC1	GENE	SUPPRESSOR OF OVEREXPRESSION OF CO 1	FALSE	FALSE	flowering_time
Seed_Size	PHENOTYPE	Seed Size	TRUE	FALSE	seed_size
Shoot_Branching	PHENOTYPE	Shoot branching	TRUE	FALSE	shoot_branching
