source	interaction	target	sign	sign_int	edge_id	label
Strigolactone	activates	D14	positive	1	N013	Strigolactone activates D14
D14	inhibits	D14	negative	-1	N014	D14 inhibits D14
D14	inhibits	SMXL678	negative	-1	N015	D14 inhibits SMXL678
MAX2	inhibits	SMXL678	negative	-1	N016	MAX2 inhibits SMXL678
MAX2	inhibits	BES1	negative	-1	N017	MAX2 inhibits BES1
SMXL678	inhibits	BRC1	negative	-1	N018	SMXL678 inhibits BRC1
SMXL678	inhibits	SPL9	negative	-1	N019	SMXL678 inhibits SPL9
SMXL678	activates	PIN1	positive	1	N020	SMXL678 activates PIN1
SPL9	activates	BRC1	positive	1	N033	SPL9 activates BRC1
BES1	inhibits	BRC1	negative	-1	N036	BES1 inhibits BRC1
BRC1	inhibits	PIN3	negative	-1	N051	BRC1 inhibits PIN3
BRC1	activates	HB21	positive	1	N057	BRC1 activates HB21
HB21	activates	NCED3	positive	1	N060	HB21 activates NCED3
NCED3	activates	ABA	positive	1	N062	NCED3 activates ABA
PIN1	activates	Shoot_Branching	positive	1	N065	PIN1 activates Shoot_Branching
PIN3	activates	Shoot_Branching	positive	1	N066	PIN3 activates Shoot_Branching
BRC1	inhibits	Shoot_Branching	negative	-1	N068	BRC1 inhibits Shoot_Branching
ABA	inhibits	Shoot_Branching	negative	-1	N069	ABA inhibits Shoot_Branching
