network,edge_id,source,source_type,target,target_type,sign,effect,mechanism,n_evidence,doi_list
Shoot Branching,N001,BRC1,GENE,Shoot_Branching,PHENOTYPE,-1,inhibition,BRC1 inhibits shoot branching,1,10.1105/tpc.106.048934
Shoot Branching,N002,Auxin,HORMONE,BRC1,GENE,1,activation,Auxin promotes BRC1 expression,1,10.1105/tpc.106.048934
Shoot Branching,N003,Decapitation,ENVIRONMENT,BRC1,GENE,-1,inhibition,Decapitation inhibits BRC1 expression,1,10.1105/tpc.106.048934
Shoot Branching,N004,Sucrose,METABOLITE,MAX2,GENE,-1,inhibition,Sucrose inhibits MAX2 expression,1,10.1093/jxb/erv047
Shoot Branching,N005,Sucrose,METABOLITE,BRC1,GENE,-1,inhibition,Sucrose inhibits BRC1 expression,1,10.1093/jxb/erv047
Shoot Branching,N006,Auxin,HORMONE,Cytokinin,HORMONE,-1,inhibition,Auxin inhibits Cytokinin,1,10.1016/j.tplants.2018.12.001
Shoot Branching,N007,Cytokinin,HORMONE,Shoot_Branching,PHENOTYPE,1,activation,Cytokinin promotes shoot branching,1,10.1016/j.tplants.2018.12.001
Shoot Branching,N008,Cytokinin,HORMONE,BRC1,GENE,-1,inhibition,Cytokinin inhibits BRC1 expression,1,10.1016/j.tplants.2018.12.001
Shoot Branching,N009,Strigolactone,HORMONE,BRC1,GENE,1,activation,Strigolactone promotes BRC1 expression,1,10.1016/j.tplants.2018.12.001
Shoot Branching,N010,SMXL678,PROTEIN_COMPLEX,BRC1,GENE,-1,inhibition,SMXL6/7/8 inhibit BRC1 expression,1,10.1016/j.tplants.2018.12.001
Shoot Branching,N011,GA,HORMONE,BRC1,GENE,-1,inhibition,GA inhibits BRC1 expression,1,10.1016/j.tplants.2018.12.001
Shoot Branching,N012,Auxin,HORMONE,Shoot_Branching,PHENOTYPE,-1,inhibition,Auxin inhibits shoot branching,1,10.1016/j.devcel.2005.01.009
Shoot Branching,N013,MAX2,GENE,Shoot_Branching,PHENOTYPE,-1,inhibition,MAX2 suppresses shoot branching,1,10.1105/tpc.114.122903
Shoot Branching,N014,MAX2,GENE,BRC1,GENE,1,activation,MAX2 promotes BRC1 expression,1,10.3390/plants3020223
Shoot Branching,N015,FT,GENE,Shoot_Branching,PHENOTYPE,1,activation,FT promotes shoot branching,1,10.1111/nph.17006
Shoot Branching,N016,FT,GENE,BRC1,GENE,-1,inhibition,FT inhibits BRC1,1,10.1111/nph.17006
Shoot Branching,N017,Auxin,HORMONE,BRC1,GENE,-1,inhibition,Auxin inhibits BRC1 transcription,1,10.1242/dev.145649
Shoot Branching,N018,Strigolactone,HORMONE,Shoot_Branching,PHENOTYPE,-1,inhibition,Strigolactone inhibits shoot branching,1,10.1242/dev.145649
Shoot Branching,N019,MAX2,GENE,SMXL678,PROTEIN_COMPLEX,-1,inhibition,MAX2 recruits SMXL6 for degradation,1,10.1038/nature19073
Shoot Branching,N020,D53,GENE,Shoot_Branching,PHENOTYPE,-1,inhibition,"D53 represses SL signalling, which inhibits shoot branching",1,10.1038/nature12878
