source,source_type,target,target_type,effect,edge_type,confidence,mechanism,doi,paper_title,authors,year,journal,evidence_sentence,verification,species_validated
BRC1,GENE,Shoot_Branching,PHENOTYPE,,,,,,,,,,"BRC1 is expressed in developing buds, where it arrests bud development.",,
Auxin,HORMONE,BRC1,GENE,,,,,,,,,,Mutant and expression analyses suggest that BRC1 is downstream of the MORE AXILLARY GROWTH pathway and that it is required for auxin-induced apical dominance.,,
MAX_Pathway,GENE,BRC1,GENE,,,,,,,,,,Mutant and expression analyses suggest that BRC1 is downstream of the MORE AXILLARY GROWTH pathway,,
Planting_Density,HORMONE,BRC1,GENE,,,,,,,,,,"At high density, BRC1 mRNA levels were more than double those at low density",,
Decapitation,ENVIRONMENT,BRC1,GENE,,,,,,,,,,BRC1 was downregulated significantly in decapitated plants at 1 h after decapitation,,
LAS,GENE,BRC1,GENE,,,,,,,,,,suggest that BRC1 acts after LAS and IFL1.,,
IFL1,GENE,BRC1,GENE,,,,,,,,,,suggest that BRC1 acts after LAS and IFL1.,,
D27,GENE,CCD7,GENE,,,,,,,,,,"D27 is a b-carotene isomerase that converts all-trans-b-carotene into 9-cis-b-carotene, which is cleaved by CCD7",,
CCD7,GENE,CCD8,GENE,,,,,,,,,,all-trans-b-apo-10´-carotenal (C27) that is then further shortened by AtCCD8,,
CCD8,GENE,Strigolactone,HORMONE,,,,,,,,,,CCD8 incorporates three oxygens into 9-cis-b-apo-10′-carotenal and performs molecular rearrangement... producing carlactone,,
Strigolactone,HORMONE,Shoot_Branching,PHENOTYPE,,,,,,,,,,"In plants, strigolactones inhibit tillering and shoot branching.",,
Strigolactone,HORMONE,Shoot_Branching,PHENOTYPE,,,,,,,,,,"strigolactones, a group of terpenoid lactones, act as a new hormone class, or its biosynthetic precursors, in inhibiting shoot branching.",,
MAX1,GENE,Strigolactone,HORMONE,,,,,,,,,,"MAX1, MAX3 and MAX4 were predicted to be involved in the production of the hormone",,
MAX3,GENE,Strigolactone,HORMONE,,,,,,,,,,"MAX1, MAX3 and MAX4 were predicted to be involved in the production of the hormone",,
MAX4,GENE,Strigolactone,HORMONE,,,,,,,,,,"MAX1, MAX3 and MAX4 were predicted to be involved in the production of the hormone",,
MAX2,GENE,Shoot_Branching,PHENOTYPE,,,,,,,,,,MAX2 was predicted to play a role in its perception or signaling,,
Sucrose,METABOLITE,RhTAR1,GENE,,,,,,,,,,"Sucrose upregulated early auxin synthesis genes (RhTAR1, RhYUC1)",,
Sucrose,METABOLITE,RhYUC1,GENE,,,,,,,,,,"Sucrose upregulated early auxin synthesis genes (RhTAR1, RhYUC1)",,
Sucrose,METABOLITE,RhPIN1,GENE,,,,,,,,,,and the auxin efflux carrier gene RhPIN1,,
Sucrose,METABOLITE,MAX2,GENE,,,,,,,,,,"Sucrose downregulated both RwMAX2, involved in the strigolactone-transduction pathway",,
Sucrose,METABOLITE,BRC1,GENE,,,,,,,,,,"and RhBRC1, a repressor of branching, at an early stage.",,
Auxin,HORMONE,Shoot_Branching,PHENOTYPE,,,,,,,,,,auxin produced by the young apical leaves was suggested to be responsible for the inhibition of lower axillary buds,,
Strigolactone,HORMONE,Shoot_Branching,PHENOTYPE,,,,,,,,,,Strigolactones... act antagonistically on buds by inducing and inhibiting their outgrowth,,
Auxin,HORMONE,Strigolactone,HORMONE,,,,,,,,,,Auxin inhibits bud outgrowth by inducing strigolactone,,
Auxin,HORMONE,Cytokinin,HORMONE,,,,,,,,,,Auxin inhibits bud outgrowth by inducing strigolactone and inhibiting cytokinin,,
Cytokinin,HORMONE,Shoot_Branching,PHENOTYPE,,,,,,,,,,Cytokinin promotes bud outgrowth when supplied exogenously to axillary buds,,
Strigolactone,HORMONE,Shoot_Branching,PHENOTYPE,,,,,,,,,,Strigolactones inhibit shoot branching,,
Sucrose,METABOLITE,BRC1,GENE,,,,,,,,,,"increased availability of sucrose (SUC), which inhibits BRC1/TB1 expression.",,
Cytokinin,HORMONE,BRC1,GENE,,,,,,,,,,Cytokinin negatively regulates BRC1/TB1 expression in both monocots and dicots,,
Strigolactone,HORMONE,BRC1,GENE,,,,,,,,,,whereas strigolactone positively regulates BRC1 expression in dicots.,,
SMXL678,PROTEIN_COMPLEX,BRC1,GENE,,,,,,,,,,"D53/SMXL6/7/8 are available to inhibit transcriptional activation of genes, including BRC1 in dicots.",,
GA,GENE,BRC1,GENE,,,,,,,,,,Gibberellin (GA) inhibits expression of BRC1,,
Low_R_FR,GENE,BRC1,GENE,,,,,,,,,,and low R:FR light promotes BRC1 expression in dicots.,,
TIE1,GENE,BRC1,GENE,,,,,,,,,,TIE1 also interacts with BRC1 at the protein level to inhibit its transcriptional activity,,
FT,GENE,BRC1,GENE,,,,,,,,,,"The FT protein has been demonstrated to interact with BRC1 in axillary buds, resulting in delayed floral transition in the axillary bud.",,
BRC1,GENE,Shoot_Branching,PHENOTYPE,,,,,,,,,,"the transcription factor BRANCHED1 (BRC1), an inhibitor of bud outgrowth [15,17,21].",,
Strigolactone,HORMONE,Bud_Outgrowth,PHENOTYPE,,,,,,,,,,We found that exogenously applied strigolactone inhibited bud outgrowth in pea (Pisum sativum) even when auxin was depleted after decapitation.,,
Auxin,HORMONE,Strigolactone,HORMONE,,,,,,,,,,"Rather, the primary repressor of bud outgrowth appears to be the auxin-dependent production of strigolactones.",,
Auxin,HORMONE,Bud_Outgrowth,PHENOTYPE,,,,,,,,,,The recent discovery of strigolactone as the novel shoot-branching inhibitor allowed us to test its mode of action in relation to these hypotheses.,,
Cytokinin,HORMONE,Bud_Outgrowth,PHENOTYPE,,,,,,,,,,"Cytokinins are a class of phytohormone that promotes cell division, and application of cytokinin to buds can induce outgrowth (Sachs and Thimann, 1967).",,
MAX2,GENE,Bud_Outgrowth,PHENOTYPE,,,,,,,,,,"In contrast, the SMS response mutants, max2, rms4, and d3, were found to be mutated in an orthologous gene encoding an F-box protein",,
BRC1,GENE,Bud_Outgrowth,PHENOTYPE,,,,,,,,,,"Branching in the Arabidopsis branched1/teosinte branched1-like1 (brc1/tbl1) mutant, which is mutated in a gene encoding a TCP transcription factor that is thought to function downstream of auxin and SMS perception (Aguilar-Martı́nez et al., 2008; Finlayson, 2008), was not reduced by GR24",,
MAX1,GENE,Shoot_Branching,PHENOTYPE,,,,,,,,,,Characterization of the max1–max4 mutants of Arabidopsis demonstrates that branching is regulated by at least one carotenoid-derived hormone.,,
MAX2,GENE,Shoot_Branching,PHENOTYPE,,,,,,,,,,This suggests that the MAX2 gene acts in the shoot to inhibit branching.,,
MAX3,GENE,Shoot_Branching,PHENOTYPE,,,,,,,,,,"Mutations at the MAX1–MAX4, RMS1–RMS5, and DAD1–DAD3 loci of Arabidopsis, pea, and petunia, respectively, confer increased shoot branching phenotypes (Stirnberg et al., 2002; Turnbull et al., 2002; Sorefan et al., 2003; Booker et al., 2004; Beveridge, 2000; Beveridge et al., 2003; Napoli, 1996; Snowden and Napoli, 2003).",,
MAX4,GENE,Shoot_Branching,PHENOTYPE,,,,,,,,,,"Mutations at the MAX1–MAX4, RMS1–RMS5, and DAD1–DAD3 loci of Arabidopsis, pea, and petunia, respectively, confer increased shoot branching phenotypes (Stirnberg et al., 2002; Turnbull et al., 2002; Sorefan et al., 2003; Booker et al., 2004; Beveridge, 2000; Beveridge et al., 2003; Napoli, 1996; Snowden and Napoli, 2003).",,
Auxin,HORMONE,Shoot_Branching,PHENOTYPE,,,,,,,,,,"Auxin, derived from the primary shoot apex, is pumped down the plant in the polar transport stream and inhibits the outgrowth of axillary buds.",,
Cytokinin,HORMONE,Shoot_Branching,PHENOTYPE,,,,,,,,,,"Cytokinin synthesized in the roots is transported up the plant in the transpiration stream in the xylem and can act directly in buds to promote their outgrowth (Cline, 1991).",,
Strigolactone,HORMONE,Shoot_Branching,PHENOTYPE,,,,,,,,,,Strigolactones (SLs) are phytohormones that play a central role in regulating shoot branching.,,
D14,GENE,Shoot_Branching,PHENOTYPE,,,,,,,,,,"Like MAX2, D14 is required locally in the aerial part of the plant to suppress shoot branching.",,
MAX2,GENE,Shoot_Branching,PHENOTYPE,,,,,,,,,,"Like MAX2, D14 is required locally in the aerial part of the plant to suppress shoot branching.",,
BRC1,GENE,Shoot_Branching,PHENOTYPE,,,,,,,,,,"BRC1-like genes, expressed inside axillary buds, encode class II TCP (for TEOSINTE BRANCHED1, CYCLOIDEA, and PCF) transcription factors (Martín-Trillo and Cubas, 2010) that delay bud growth and development and promote bud dormancy (Aguilar-Martínez et al., 2007; Finlayson, 2007; Martín-Trillo et al., 2011; Braun et al., 2012; Dun et al., 2012; González-Grandío et al., 2013).",,
Strigolactone,HORMONE,D14,GENE,,,,,,,,,,"We also identiﬁed a mechanism of SL-induced, MAX2-dependent proteasome-mediated degradation of D14.",,
MAX2,GENE,D14,GENE,,,,,,,,,,"We also identiﬁed a mechanism of SL-induced, MAX2-dependent proteasome-mediated degradation of D14.",,
Strigolactone,HORMONE,BRC1,GENE,,,,,,,,,,"A positive transcriptional regulation of BRC1 by the SL pathway has been proposed based on the strong downregulation of BRC1 in axillary buds of SL mutants and its upregulation in response to SL application (Aguilar-Martínez et al., 2007; Finlayson, 2007; Braun et al., 2012; Dun et al., 2012, 2013).",,
Strigolactones,HORMONE,Shoot_Branching,PHENOTYPE,,,,,,,,,,"Strigolactones (SLs), or their derivatives, were recently demonstrated to act as endogenous shoot branching inhibitors, but their biosynthesis and mechanism of action are poorly understood.",,
Auxin,HORMONE,Shoot_Branching,PHENOTYPE,,,,,,,,,,"Auxin in the PATS inhibits bud activity, contributing to the phenomenon of apical dominance, in which the primary apex inhibits the activity of buds in the axils of leaves below it (Thimann and Skoog, 1933).",,
MAX1,GENE,Strigolactones,HORMONE,,,,,,,,,,"the branching phenotype of mutants in the Arabidopsis P450 family member, MAX1, can be fully rescued by strigolactone addition, suggesting that MAX1 acts in SL synthesis.",,
