network,edge_id,source,target,sign,confidence,in_model,n_papers,dois
Shoot Branching,E001,BRC1,Shoot_Branching,-1,,False,0,
Shoot Branching,E002,Auxin,BRC1,1,,False,0,
Shoot Branching,E003,MAX_Pathway,BRC1,1,,False,0,
Shoot Branching,E004,Planting_Density,BRC1,1,,False,0,
Shoot Branching,E005,Decapitation,BRC1,-1,,False,0,
Shoot Branching,E006,LAS,BRC1,1,,False,0,
Shoot Branching,E007,IFL1,BRC1,1,,False,0,
Shoot Branching,E008,D27,CCD7,1,,False,0,
Shoot Branching,E009,CCD7,CCD8,1,,False,0,
Shoot Branching,E010,CCD8,Strigolactone,1,,False,0,
Shoot Branching,E011,Strigolactone,Shoot_Branching,-1,,False,0,
Shoot Branching,E012,Strigolactone,Shoot_Branching,-1,,False,0,
Shoot Branching,E013,MAX1,Strigolactone,1,,False,0,
Shoot Branching,E014,MAX3,Strigolactone,1,,False,0,
Shoot Branching,E015,MAX4,Strigolactone,1,,False,0,
Shoot Branching,E016,MAX2,Shoot_Branching,-1,,False,0,
Shoot Branching,E017,Sucrose,RhTAR1,1,,False,0,
Shoot Branching,E018,Sucrose,RhYUC1,1,,False,0,
Shoot Branching,E019,Sucrose,RhPIN1,1,,False,0,
Shoot Branching,E020,Sucrose,MAX2,-1,,False,0,
Shoot Branching,E021,Sucrose,BRC1,-1,,False,0,
Shoot Branching,E022,Auxin,Shoot_Branching,-1,,False,0,
Shoot Branching,E023,Strigolactone,Shoot_Branching,-1,,False,0,
Shoot Branching,E024,Auxin,Strigolactone,1,,False,0,
Shoot Branching,E025,Auxin,Cytokinin,-1,,False,0,
Shoot Branching,E026,Cytokinin,Shoot_Branching,1,,False,0,
Shoot Branching,E027,Strigolactone,Shoot_Branching,-1,,False,0,
Shoot Branching,E028,Sucrose,BRC1,-1,,False,0,
Shoot Branching,E029,Cytokinin,BRC1,-1,,False,0,
Shoot Branching,E030,Strigolactone,BRC1,1,,False,0,
Shoot Branching,E031,SMXL678,BRC1,-1,,False,0,
Shoot Branching,E032,GA,BRC1,-1,,False,0,
Shoot Branching,E033,Low_R_FR,BRC1,1,,False,0,
Shoot Branching,E034,TIE1,BRC1,-1,,False,0,
