test_id,phenotype_node,expected_direction,algebraic_predicted,algebraic_correct,ode_predicted,ode_correct,rwr_predicted,rwr_correct
PLEIO_001__Flowering_Time,Flowering_Time,decreased,increased,FALSE,increased,FALSE,increased,FALSE
PLEIO_001__Hypocotyl_Length,Hypocotyl_Length,increased,increased,TRUE,increased,TRUE,increased,TRUE
PLEIO_001__Plant_Height,Plant_Height,increased,increased,TRUE,increased,TRUE,increased,TRUE
PLEIO_002__Flowering_Time,Flowering_Time,decreased,increased,FALSE,increased,FALSE,increased,FALSE
PLEIO_002__Hypocotyl_Length,Hypocotyl_Length,increased,increased,TRUE,increased,TRUE,increased,TRUE
PLEIO_002__Shoot_Branching,Shoot_Branching,decreased,decreased,TRUE,increased,FALSE,increased,FALSE
PLEIO_003__Hypocotyl_Length,Hypocotyl_Length,decreased,decreased,TRUE,decreased,TRUE,decreased,TRUE
PLEIO_003__Plant_Height,Plant_Height,decreased,increased,FALSE,decreased,TRUE,decreased,TRUE
PLEIO_003__Seed_Size,Seed_Size,decreased,increased,FALSE,decreased,TRUE,decreased,TRUE
PLEIO_004__Hypocotyl_Length,Hypocotyl_Length,decreased,decreased,TRUE,decreased,TRUE,decreased,TRUE
PLEIO_004__Plant_Height,Plant_Height,decreased,increased,FALSE,decreased,TRUE,decreased,TRUE
PLEIO_004__Seed_Size,Seed_Size,decreased,decreased,TRUE,decreased,TRUE,decreased,TRUE
PLEIO_005__Flowering_Time,Flowering_Time,decreased,increased,FALSE,increased,FALSE,increased,FALSE
PLEIO_005__Hypocotyl_Length,Hypocotyl_Length,increased,increased,TRUE,increased,TRUE,increased,TRUE
PLEIO_005__Plant_Height,Plant_Height,increased,decreased,FALSE,increased,TRUE,increased,TRUE
PLEIO_006__Hypocotyl_Length,Hypocotyl_Length,decreased,decreased,TRUE,decreased,TRUE,decreased,TRUE
PLEIO_006__Plant_Height,Plant_Height,decreased,increased,FALSE,decreased,TRUE,decreased,TRUE
PLEIO_007__Flowering_Time,Flowering_Time,increased,decreased,FALSE,decreased,FALSE,decreased,FALSE
PLEIO_007__Hypocotyl_Length,Hypocotyl_Length,decreased,decreased,TRUE,decreased,TRUE,decreased,TRUE
PLEIO_008__Hypocotyl_Length,Hypocotyl_Length,increased,increased,TRUE,increased,TRUE,increased,TRUE
PLEIO_008__Lateral_Root_Density,Lateral_Root_Density,increased,increased,TRUE,increased,TRUE,increased,TRUE
PLEIO_009__Lateral_Root_Density,Lateral_Root_Density,increased,increased,TRUE,increased,TRUE,increased,TRUE
PLEIO_009__Shoot_Branching,Shoot_Branching,increased,increased,TRUE,increased,TRUE,increased,TRUE
PLEIO_010__Lateral_Root_Density,Lateral_Root_Density,increased,increased,TRUE,increased,TRUE,increased,TRUE
PLEIO_010__Plant_Height,Plant_Height,decreased,unchanged,FALSE,unchanged,FALSE,unchanged,FALSE
PLEIO_011__Plant_Height,Plant_Height,decreased,increased,FALSE,decreased,TRUE,decreased,TRUE
PLEIO_011__Seed_Size,Seed_Size,decreased,decreased,TRUE,decreased,TRUE,decreased,TRUE
PLEIO_012__Flowering_Time,Flowering_Time,increased,unchanged,FALSE,unchanged,FALSE,unchanged,FALSE
PLEIO_012__Lateral_Root_Density,Lateral_Root_Density,increased,increased,TRUE,increased,TRUE,increased,TRUE
PLEIO_013__Lateral_Root_Density,Lateral_Root_Density,decreased,increased,FALSE,decreased,TRUE,decreased,TRUE
PLEIO_013__Plant_Height,Plant_Height,decreased,decreased,TRUE,decreased,TRUE,decreased,TRUE
PLEIO_014__Hypocotyl_Length,Hypocotyl_Length,increased,increased,TRUE,increased,TRUE,increased,TRUE
PLEIO_014__Plant_Height,Plant_Height,increased,decreased,FALSE,decreased,FALSE,decreased,FALSE
PLEIO_015__Hypocotyl_Length,Hypocotyl_Length,decreased,decreased,TRUE,decreased,TRUE,decreased,TRUE
PLEIO_015__Plant_Height,Plant_Height,decreased,increased,FALSE,increased,FALSE,decreased,TRUE
