source	target	sign	confidence	color	doi
ABA	ABI4_5	positive	MEDIUM	#228B22	10.3389/fpls.2016.01884
ABA	ABI5	positive	MEDIUM	#228B22	10.1105/tpc.113.121566
ABA	DELLA	positive	MEDIUM	#228B22	10.1093/aobpla/ply061
ABA	GA20OX1	negative	MEDIUM	#DC143C	10.1093/aobpla/ply061
ABA	GA2OX1	positive	MEDIUM	#228B22	10.1093/aobpla/ply061
ABA	GA3OX1	negative	MEDIUM	#DC143C	10.1093/aobpla/ply061
ABA	PYL	positive	MEDIUM	#228B22	10.3390/ijms23094523
ABA	PYL8	positive	MEDIUM	#228B22	10.1126/scisignal.2005051
ABA	Seed_Size	negative	MEDIUM	#DC143C	10.1105/tpc.113.121566
ABA	Shoot_Branching	negative	MEDIUM	#DC143C	10.1073/pnas.1613199114
ABA2	ABA	positive	MEDIUM	#228B22	10.1111/tpj.70096
ABI1	SNRK2	negative	MEDIUM	#DC143C	10.1126/scisignal.2005051
ABI3	ABI4	positive	MEDIUM	#228B22	10.1104/pp.124.4.1752
ABI3	FUS3	positive	MEDIUM	#228B22	10.1105/tpc.9.8.1265
ABI3	Storage_reserves	positive	MEDIUM	#228B22	10.1146/annurev-arplant-050213-040104
ABI4	ABI3	positive	MEDIUM	#228B22	10.1104/pp.124.4.1752
ABI4	ABI5	positive	MEDIUM	#228B22	10.1104/pp.124.4.1752
ABI4_5	Lateral_Root_Density	negative	MEDIUM	#DC143C	10.1105/tpc.110.074641
ABI5	Plant_Height	negative	MEDIUM	#DC143C	10.3390/ijms22158394
ABI5	SHB1	negative	MEDIUM	#DC143C	10.1105/tpc.113.121566
ABI5	Seed_Size	negative	MEDIUM	#DC143C	10.1105/tpc.113.121566
ACO	Ethylene	positive	MEDIUM	#228B22	10.1111/j.1365-313X.2008.03495.x
ACS	Ethylene	positive	MEDIUM	#228B22	10.1111/j.1365-313X.2008.03495.x
ACS_ACO	Ethylene	positive	MEDIUM	#228B22	10.1073/pnas.1214848109
AGB1	AGG3	positive	MEDIUM	#228B22	10.4161/psb.21620
AGG3	Cell_Proliferation_Duration	positive	MEDIUM	#228B22	10.4161/psb.21620
AGL24	LFY	positive	MEDIUM	#228B22	10.1073/pnas.212624599
AHK	ARR_B	positive	MEDIUM	#228B22	10.3390/ijms20030486
AHK3	AHP1	positive	MEDIUM	#228B22	10.1199/tab.0168
AHP1	ARR1	positive	MEDIUM	#228B22	10.1199/tab.0168
AHP6	Cytokinin	negative	MEDIUM	#DC143C	10.1105/tpc.110.079079
AIF2	IKU1	negative	MEDIUM	#DC143C	10.3390/ijms241310666
AIF2	MINI3	negative	MEDIUM	#DC143C	10.3390/ijms241310666
AIF2	SHB1	negative	MEDIUM	#DC143C	10.3390/ijms241310666
ANR1	Lateral_Root_Density	positive	MEDIUM	#228B22	10.3390/genes11060633
ANT	Integument_Growth	positive	MEDIUM	#228B22	10.1242/dev.201853
ANT	Ovule_size	positive	MEDIUM	#228B22	10.1105/tpc.161088
AP1	Flowering_Time	positive	MEDIUM	#228B22	10.1371/journal.pgen.1006263
AP1	TFL1	negative	MEDIUM	#DC143C	10.1105/tpc.11.6.1007
AP2	AP1	negative	MEDIUM	#DC143C	10.1105/tpc.110.075606
AP2	Endosperm_Proliferation	negative	MEDIUM	#DC143C	10.1007/s00497-009-0116-1
AP2	Integument_Growth	negative	MEDIUM	#DC143C	10.1007/s00497-009-0116-1
AP2	SOC1	negative	MEDIUM	#DC143C	10.1105/tpc.110.075606
