id	type	color
ABA	HORMONE	#90EE90
ABA2	GENE	#6495ED
ABI1	GENE	#6495ED
ABI3	GENE	#6495ED
ABI4	GENE	#6495ED
ABI4_5	PROTEIN_COMPLEX	#DDA0DD
ABI5	GENE	#6495ED
ACO	GENE	#6495ED
ACS	GENE	#6495ED
ACS_ACO	GENE	#6495ED
AGB1	GENE	#6495ED
AGG3	GENE	#6495ED
AGL24	GENE	#6495ED
AHK	PROTEIN_COMPLEX	#DDA0DD
AHK3	GENE	#6495ED
AHP1	GENE	#6495ED
AHP6	GENE	#6495ED
AIF2	GENE	#6495ED
ANR1	GENE	#6495ED
ANT	GENE	#6495ED
AP1	GENE	#6495ED
AP2	GENE	#6495ED
AP2_TOE	PROTEIN_COMPLEX	#DDA0DD
ARF19	GENE	#6495ED
ARF2	GENE	#6495ED
ARF6	GENE	#6495ED
ARF6_7_8	PROTEIN_COMPLEX	#DDA0DD
ARF7	GENE	#6495ED
ARR1	GENE	#6495ED
ARR_B	PROTEIN_COMPLEX	#DDA0DD
AUT_SYN	PROTEIN_COMPLEX	#DDA0DD
AUX1	GENE	#6495ED
AUX_IAA	GENE	#6495ED
Auxin	HORMONE	#90EE90
BAK1	GENE	#6495ED
BAS1	GENE	#6495ED
BBX11	GENE	#6495ED
BBX21	GENE	#6495ED
BBX25	GENE	#6495ED
BES1	GENE	#6495ED
BIN2	GENE	#6495ED
BPC1	GENE	#6495ED
BRC1	GENE	#6495ED
BRI1	GENE	#6495ED
BR_SYN	GENE	#6495ED
BSU1	GENE	#6495ED
BZR	PROTEIN_COMPLEX	#DDA0DD
BZR1	GENE	#6495ED
BZR_BES	PROTEIN_COMPLEX	#DDA0DD
Blue_Light	ENVIRONMENT	#87CEEB
Brassinosteroid	HORMONE	#90EE90
CAMEL	GENE	#6495ED
CCD7	GENE	#6495ED
CCD8	GENE	#6495ED
CDF1	GENE	#6495ED
CHL1	GENE	#6495ED
CKX2	GENE	#6495ED
CKX3	GENE	#6495ED
CKX5	GENE	#6495ED
CKX9	GENE	#6495ED
CLE	PROTEIN_COMPLEX	#DDA0DD
CLV1	GENE	#6495ED
CO	GENE	#6495ED
COP1_SPA	GENE	#6495ED
CPD	GENE	#6495ED
CRY1	GENE	#6495ED
CRY2	GENE	#6495ED
CTR1	GENE	#6495ED
CYP707A	GENE	#6495ED
Cell_Proliferation	PROCESS	#F0E68C
Cell_Proliferation_Duration	PROCESS	#F0E68C
Cold	ENVIRONMENT	#87CEEB
Cold_Vernalization	ENVIRONMENT	#87CEEB
Cytokinin	HORMONE	#90EE90
D14	GENE	#6495ED
D27	GENE	#6495ED
DA1	GENE	#6495ED
DA2	GENE	#6495ED
DAO1	GENE	#6495ED
DELLA	PROTEIN_COMPLEX	#DDA0DD
DET1	GENE	#6495ED
DET2	GENE	#6495ED
DPA4	GENE	#6495ED
DWF4	GENE	#6495ED
Decapitation	ENVIRONMENT	#87CEEB
E2FA	GENE	#6495ED
EC	PROTEIN_COMPLEX	#DDA0DD
EIN2	GENE	#6495ED
EIN3	GENE	#6495ED
ELF3_EC	PROTEIN_COMPLEX	#DDA0DD
EOD1	GENE	#6495ED
ETR1	GENE	#6495ED
Endosperm_Proliferation	PROCESS	#F0E68C
Ethylene	HORMONE	#90EE90
FCA	GENE	#6495ED
FD	GENE	#6495ED
FHY1	GENE	#6495ED
FHY3	GENE	#6495ED
FIE	GENE	#6495ED
FIS2	GENE	#6495ED
FKF1	GENE	#6495ED
FLC	GENE	#6495ED
FLD	GENE	#6495ED
FLM	GENE	#6495ED
FLOWER_INT	PROTEIN_COMPLEX	#DDA0DD
FPA	GENE	#6495ED
FRI	GENE	#6495ED
FT	GENE	#6495ED
