network,edge_id,source,target,sign,confidence,in_model,n_papers,dois
Merged Arabidopsis,ME001,ABA,ABI4_5,1,MEDIUM,True,1,10.3389/fpls.2016.01884
Merged Arabidopsis,ME002,ABA,ABI5,1,MEDIUM,True,1,10.1105/tpc.113.121566
Merged Arabidopsis,ME003,ABA,DELLA,1,MEDIUM,True,1,10.1093/aobpla/ply061
Merged Arabidopsis,ME004,ABA,GA20OX1,-1,MEDIUM,True,2,10.1093/aobpla/ply061; 10.3390/ijms22158394
Merged Arabidopsis,ME005,ABA,GA2OX1,1,MEDIUM,True,1,10.1093/aobpla/ply061
Merged Arabidopsis,ME006,ABA,GA3OX1,-1,MEDIUM,True,1,10.1093/aobpla/ply061
Merged Arabidopsis,ME007,ABA,PYL,1,MEDIUM,True,1,10.3390/ijms23094523
Merged Arabidopsis,ME008,ABA,PYL8,1,MEDIUM,True,1,10.1126/scisignal.2005051
Merged Arabidopsis,ME009,ABA,Seed_Size,-1,MEDIUM,True,1,10.1105/tpc.113.121566
Merged Arabidopsis,ME010,ABA,Shoot_Branching,-1,MEDIUM,True,1,10.1073/pnas.1613199114
Merged Arabidopsis,ME011,ABA2,ABA,1,MEDIUM,True,8,10.1111/tpj.70096; authors; claim; doi; evidence_sentence; journal; title; year
Merged Arabidopsis,ME012,ABI1,SNRK2,-1,MEDIUM,True,2,10.1126/scisignal.2005051; 10.3390/ijms23094523
Merged Arabidopsis,ME013,ABI3,ABI4,1,MEDIUM,True,1,10.1104/pp.124.4.1752
Merged Arabidopsis,ME014,ABI3,FUS3,1,MEDIUM,True,1,10.1105/tpc.9.8.1265
Merged Arabidopsis,ME015,ABI3,Storage_reserves,1,MEDIUM,True,1,10.1146/annurev-arplant-050213-040104
Merged Arabidopsis,ME016,ABI4,ABI3,1,MEDIUM,True,1,10.1104/pp.124.4.1752
Merged Arabidopsis,ME017,ABI4,ABI5,1,MEDIUM,True,1,10.1104/pp.124.4.1752
Merged Arabidopsis,ME018,ABI4_5,Lateral_Root_Density,-1,MEDIUM,True,1,10.1105/tpc.110.074641
Merged Arabidopsis,ME019,ABI5,Plant_Height,-1,MEDIUM,True,1,10.3390/ijms22158394
Merged Arabidopsis,ME020,ABI5,SHB1,-1,MEDIUM,True,1,10.1105/tpc.113.121566
Merged Arabidopsis,ME021,ABI5,Seed_Size,-1,MEDIUM,True,1,10.1105/tpc.113.121566
Merged Arabidopsis,ME022,ACO,Ethylene,1,MEDIUM,True,1,10.1111/j.1365-313X.2008.03495.x
Merged Arabidopsis,ME023,ACS,Ethylene,1,MEDIUM,True,1,10.1111/j.1365-313X.2008.03495.x
Merged Arabidopsis,ME024,ACS_ACO,Ethylene,1,MEDIUM,True,1,10.1073/pnas.1214848109
Merged Arabidopsis,ME025,AGB1,AGG3,1,MEDIUM,True,1,10.4161/psb.21620
Merged Arabidopsis,ME026,AGG3,Cell_Proliferation_Duration,1,MEDIUM,True,1,10.4161/psb.21620
Merged Arabidopsis,ME027,AGL24,LFY,1,MEDIUM,True,1,10.1073/pnas.212624599
Merged Arabidopsis,ME028,AHK,ARR_B,1,MEDIUM,True,1,10.3390/ijms20030486
Merged Arabidopsis,ME029,AHK3,AHP1,1,MEDIUM,True,1,10.1199/tab.0168
Merged Arabidopsis,ME030,AHP1,ARR1,1,MEDIUM,True,1,10.1199/tab.0168
Merged Arabidopsis,ME031,AHP6,Cytokinin,-1,MEDIUM,True,1,10.1105/tpc.110.079079
Merged Arabidopsis,ME032,AIF2,IKU1,-1,MEDIUM,True,1,10.3390/ijms241310666
Merged Arabidopsis,ME033,AIF2,MINI3,-1,MEDIUM,True,1,10.3390/ijms241310666
Merged Arabidopsis,ME034,AIF2,SHB1,-1,MEDIUM,True,1,10.3390/ijms241310666
Merged Arabidopsis,ME035,ANR1,Lateral_Root_Density,1,MEDIUM,True,1,10.3390/genes11060633
Merged Arabidopsis,ME036,ANT,Integument_Growth,1,MEDIUM,True,1,10.1242/dev.201853
Merged Arabidopsis,ME037,ANT,Ovule_size,1,MEDIUM,True,1,10.1105/tpc.161088
Merged Arabidopsis,ME038,AP1,Flowering_Time,1,MEDIUM,True,2,10.1105/tpc.11.6.1007; 10.1371/journal.pgen.1006263
Merged Arabidopsis,ME039,AP1,TFL1,-1,MEDIUM,True,1,10.1105/tpc.11.6.1007
Merged Arabidopsis,ME040,AP2,AP1,-1,MEDIUM,True,1,10.1105/tpc.110.075606
Merged Arabidopsis,ME041,AP2,Endosperm_Proliferation,-1,MEDIUM,True,1,10.1007/s00497-009-0116-1
Merged Arabidopsis,ME042,AP2,Integument_Growth,-1,MEDIUM,True,1,10.1007/s00497-009-0116-1
Merged Arabidopsis,ME043,AP2,SOC1,-1,MEDIUM,True,1,10.1105/tpc.110.075606
Merged Arabidopsis,ME044,AP2,miR172,-1,MEDIUM,True,1,10.1105/tpc.110.075606
Merged Arabidopsis,ME045,AP2_TOE,FT,-1,MEDIUM,True,1,10.1371/journal.pbio.3001043
Merged Arabidopsis,ME046,ARF19,LBD,1,MEDIUM,True,1,10.1105/tpc.106.047761
Merged Arabidopsis,ME047,ARF19,PLT,1,MEDIUM,True,1,10.1073/pnas.1714410114
Merged Arabidopsis,ME048,ARF2,Integument_Growth,-1,MEDIUM,True,1,10.1242/dev.02331
Merged Arabidopsis,ME049,ARF2,SEEDSTICK,-1,MEDIUM,True,1,10.3390/ijms22031094
Merged Arabidopsis,ME050,ARF6,Hypocotyl_Length,1,MEDIUM,True,2,10.1016/j.pbi.2014.07.012; 10.1104/pp.18.00718
