network,method,path_length,n_correct,n_total,accuracy_pct
Merged Arabidopsis,Algebraic,1,112,143,78.32
Merged Arabidopsis,Algebraic,2,166,227,73.13
Merged Arabidopsis,Algebraic,3,95,161,59.01
Merged Arabidopsis,Algebraic,4,35,62,56.45
Merged Arabidopsis,Algebraic,5,8,13,61.54
Merged Arabidopsis,Algebraic,6,2,2,100.0
Merged Arabidopsis,ODE,1,125,143,87.41
Merged Arabidopsis,ODE,2,190,227,83.7
Merged Arabidopsis,ODE,3,118,161,73.29
Merged Arabidopsis,ODE,4,47,62,75.81
Merged Arabidopsis,ODE,5,11,13,84.62
Merged Arabidopsis,ODE,6,2,2,100.0
Merged Arabidopsis,RWR,1,127,143,88.81
Merged Arabidopsis,RWR,2,200,227,88.11
Merged Arabidopsis,RWR,3,143,161,88.82
Merged Arabidopsis,RWR,4,51,62,82.26
Merged Arabidopsis,RWR,5,12,13,92.31
Merged Arabidopsis,RWR,6,2,2,100.0
