node,node_type,activators,inhibitors,formula
ABA,,"NCED3,ABA2",CYP707A,"ABA = (max(NCED3, 0.01) * max(ABA2, 0.01))^(1/2) * min(1/max(CYP707A, 0.1), 10.0) * gene_modifier + exogenous_supply"
ABA2,,,,ABA2 = gene_modifier + exogenous_supply
ABI1,,,"PYL8,PYL","ABI1 = 1.0 * min(1/max(PYL8 * PYL, 0.1), 10.0) * gene_modifier + exogenous_supply"
ABI3,,"LEC1,LEC2,FUS3,ABI4","VAL1,VAL2","ABI3 = (max(LEC1, 0.01) * max(LEC2, 0.01) * max(FUS3, 0.01) * max(ABI4, 0.01))^(1/4) * min(1/max(VAL1 * VAL2, 0.1), 10.0) * gene_modifier + exogenous_supply"
ABI4,,ABI3,,"ABI4 = (max(ABI3, 0.01)) * 1.0 * gene_modifier + exogenous_supply"
ABI4_5,,"SNRK2,ABA",,"ABI4_5 = (max(SNRK2, 0.01) * max(ABA, 0.01))^(1/2) * 1.0 * gene_modifier + exogenous_supply"
ABI5,,"SNRK2,ABA,ABI4",RAV1,"ABI5 = (max(SNRK2, 0.01) * max(ABA, 0.01) * max(ABI4, 0.01))^(1/3) * min(1/max(RAV1, 0.1), 10.0) * gene_modifier + exogenous_supply"
ACO,,,,ACO = gene_modifier + exogenous_supply
ACS,,,,ACS = gene_modifier + exogenous_supply
ACS_ACO,,,,ACS_ACO = gene_modifier + exogenous_supply
AGB1,,,,AGB1 = gene_modifier + exogenous_supply
AGG3,,"GPA1,AGB1",,"AGG3 = (max(GPA1, 0.01) * max(AGB1, 0.01))^(1/2) * 1.0 * gene_modifier + exogenous_supply"
AGL24,,"SOC1,Vernalization",,"AGL24 = (max(SOC1, 0.01) * max(Vernalization, 0.01))^(1/2) * 1.0 * gene_modifier + exogenous_supply"
AHK,,Cytokinin,,"AHK = (max(Cytokinin, 0.01)) * 1.0 * gene_modifier + exogenous_supply"
AHK3,,Cytokinin,,"AHK3 = (max(Cytokinin, 0.01)) * 1.0 * gene_modifier + exogenous_supply"
AHP1,,AHK3,,"AHP1 = (max(AHK3, 0.01)) * 1.0 * gene_modifier + exogenous_supply"
AHP6,,,,AHP6 = gene_modifier + exogenous_supply
AIF2,,,,AIF2 = gene_modifier + exogenous_supply
ANR1,,"NLP7,CHL1",,"ANR1 = (max(NLP7, 0.01) * max(CHL1, 0.01))^(1/2) * 1.0 * gene_modifier + exogenous_supply"
ANT,,DELLA,,"ANT = (max(DELLA, 0.01)) * 1.0 * gene_modifier + exogenous_supply"
AP1,,"FT,FD,SOC1,LFY,SPL9,FUL","AP2,TFL1","AP1 = (max(FT, 0.01) * max(FD, 0.01) * max(SOC1, 0.01) * max(LFY, 0.01) * max(SPL9, 0.01) * max(FUL, 0.01))^(1/6) * min(1/max(AP2 * TFL1, 0.1), 10.0) * gene_modifier + exogenous_supply"
AP2,,,"miR172,SOC1,BZR1","AP2 = 1.0 * min(1/max(miR172 * SOC1 * BZR1, 0.1), 10.0) * gene_modifier + exogenous_supply"
AP2_TOE,,,miR172,"AP2_TOE = 1.0 * min(1/max(miR172, 0.1), 10.0) * gene_modifier + exogenous_supply"
ARF19,,,"IAA14,IAA28,HY5","ARF19 = 1.0 * min(1/max(IAA14 * IAA28 * HY5, 0.1), 10.0) * gene_modifier + exogenous_supply"
ARF2,,TIR1,BZR1,"ARF2 = (max(TIR1, 0.01)) * min(1/max(BZR1, 0.1), 10.0) * gene_modifier + exogenous_supply"
ARF6,,"PIF4,BZR1","AUX_IAA,DELLA","ARF6 = (max(PIF4, 0.01) * max(BZR1, 0.01))^(1/2) * min(1/max(AUX_IAA * DELLA, 0.1), 10.0) * gene_modifier + exogenous_supply"
ARF6_7_8,,,"DELLA,IAA19","ARF6_7_8 = 1.0 * min(1/max(DELLA * IAA19, 0.1), 10.0) * gene_modifier + exogenous_supply"
