node,node_type,activators,inhibitors,formula
ABA,,"NCED3,ABA2",CYP707A,"ABA = prod(f(NCED3, ABA2)) * prod(g(CYP707A)) * gene_modifier + exogenous"
ABA2,,,,ABA2 = 1.0 * 1.0 * gene_modifier + exogenous
ABI1,,,"PYL8,PYL","ABI1 = 1.0 * prod(g(PYL8, PYL)) * gene_modifier + exogenous"
ABI3,,"LEC1,LEC2,FUS3,ABI4","VAL1,VAL2","ABI3 = prod(f(LEC1, LEC2, FUS3, ABI4)) * prod(g(VAL1, VAL2)) * gene_modifier + exogenous"
ABI4,,ABI3,,ABI4 = prod(f(ABI3)) * 1.0 * gene_modifier + exogenous
ABI4_5,,"SNRK2,ABA",,"ABI4_5 = prod(f(SNRK2, ABA)) * 1.0 * gene_modifier + exogenous"
ABI5,,"SNRK2,ABA,ABI4",RAV1,"ABI5 = prod(f(SNRK2, ABA, ABI4)) * prod(g(RAV1)) * gene_modifier + exogenous"
ACO,,,,ACO = 1.0 * 1.0 * gene_modifier + exogenous
ACS,,,,ACS = 1.0 * 1.0 * gene_modifier + exogenous
ACS_ACO,,,,ACS_ACO = 1.0 * 1.0 * gene_modifier + exogenous
AGB1,,,,AGB1 = 1.0 * 1.0 * gene_modifier + exogenous
AGG3,,"GPA1,AGB1",,"AGG3 = prod(f(GPA1, AGB1)) * 1.0 * gene_modifier + exogenous"
AGL24,,"SOC1,Vernalization",,"AGL24 = prod(f(SOC1, Vernalization)) * 1.0 * gene_modifier + exogenous"
AHK,,Cytokinin,,AHK = prod(f(Cytokinin)) * 1.0 * gene_modifier + exogenous
AHK3,,Cytokinin,,AHK3 = prod(f(Cytokinin)) * 1.0 * gene_modifier + exogenous
AHP1,,AHK3,,AHP1 = prod(f(AHK3)) * 1.0 * gene_modifier + exogenous
AHP6,,,,AHP6 = 1.0 * 1.0 * gene_modifier + exogenous
AIF2,,,,AIF2 = 1.0 * 1.0 * gene_modifier + exogenous
ANR1,,"NLP7,CHL1",,"ANR1 = prod(f(NLP7, CHL1)) * 1.0 * gene_modifier + exogenous"
ANT,,DELLA,,ANT = prod(f(DELLA)) * 1.0 * gene_modifier + exogenous
AP1,,"FT,FD,SOC1,LFY,SPL9,FUL","AP2,TFL1","AP1 = prod(f(FT, FD, SOC1, LFY, SPL9, FUL)) * prod(g(AP2, TFL1)) * gene_modifier + exogenous"
AP2,,,"miR172,SOC1,BZR1","AP2 = 1.0 * prod(g(miR172, SOC1, BZR1)) * gene_modifier + exogenous"
AP2_TOE,,,miR172,AP2_TOE = 1.0 * prod(g(miR172)) * gene_modifier + exogenous
ARF19,,,"IAA14,IAA28,HY5","ARF19 = 1.0 * prod(g(IAA14, IAA28, HY5)) * gene_modifier + exogenous"
ARF2,,TIR1,BZR1,ARF2 = prod(f(TIR1)) * prod(g(BZR1)) * gene_modifier + exogenous
ARF6,,"PIF4,BZR1","AUX_IAA,DELLA","ARF6 = prod(f(PIF4, BZR1)) * prod(g(AUX_IAA, DELLA)) * gene_modifier + exogenous"
ARF6_7_8,,,"DELLA,IAA19","ARF6_7_8 = 1.0 * prod(g(DELLA, IAA19)) * gene_modifier + exogenous"
ARF7,,,"IAA14,IAA28","ARF7 = 1.0 * prod(g(IAA14, IAA28)) * gene_modifier + exogenous"
ARR1,,"AHP1,Cytokinin,AHK",,"ARR1 = prod(f(AHP1, Cytokinin, AHK)) * 1.0 * gene_modifier + exogenous"
ARR_B,,AHK,,ARR_B = prod(f(AHK)) * 1.0 * gene_modifier + exogenous
AUT_SYN,,,,AUT_SYN = 1.0 * 1.0 * gene_modifier + exogenous
AUX1,,,,AUX1 = 1.0 * 1.0 * gene_modifier + exogenous
AUX_IAA,,,TIR1,AUX_IAA = 1.0 * prod(g(TIR1)) * gene_modifier + exogenous
