test_id,gene,perturbation_type,gene_modifier,exogenous_node,exogenous_value,wt_value,perturbed_value,comparison_baseline,comparison_baseline_value,ratio,log2_fold_change,direction_threshold,predicted_direction,expected_direction,correct,phenotype_node,complexity_score,complexity_label,path_length,converged,iterations,evidence_doi
FT_T003,AGL24,knockout,0.0,,,1.0,6e-06,WT,1.0,6e-06,-17.2529,0.05,decreased,decreased,True,Flowering_Time,1,easy,2,True,314,10.1073/pnas.212624599
FT_T004,AGL24,overexpression,2.0,,,1.0,11.470718,WT,1.0,11.470718,3.5199,0.05,increased,increased,True,Flowering_Time,1,easy,2,True,486,10.1073/pnas.212624599
FT_T008,AP1,knockout,0.0,,,1.0,6e-06,WT,1.0,6e-06,-17.2529,0.05,decreased,decreased,True,Flowering_Time,1,easy,1,True,280,10.3389/fpls.2022.852047
FT_T009,AP1,overexpression,2.0,,,1.0,12.033202,WT,1.0,12.033202,3.5889,0.05,increased,increased,True,Flowering_Time,1,easy,1,True,412,10.1105/tpc.11.6.1007
FT_T010,AP2,knockout,0.0,,,1.0,11.410837,WT,1.0,11.410837,3.5123,0.05,increased,increased,True,Flowering_Time,1,easy,2,True,449,10.1105/tpc.110.075606
FT_T016,BRM_GA1,double_knockout,0.0,,,1.0,0.0,WT,1.0,0.0,-21.2757,0.05,decreased,increased,False,Flowering_Time,1,easy,4,False,500,10.1093/plcell/koad166
FT_T023,CDF1,knockout,0.99,,,1.0,11.372529,WT,1.0,11.372529,3.5075,0.05,increased,increased,True,Flowering_Time,1,easy,2,False,500,10.1111/tpj.12759
FT_T026,CO,knockout,0.0,,,1.0,0.0,WT,1.0,0.0,-21.5707,0.05,decreased,decreased,True,Flowering_Time,1,easy,2,True,238,10.1016/j.xplc.2023.100552
FT_T032,DELLA,knockout,0.0,,,1.0,12.709793,WT,1.0,12.709793,3.6679,0.05,increased,increased,True,Flowering_Time,1,easy,2,True,267,10.1105/tpc.112.101014
FT_T043,FCA,knockout,0.0,,,1.0,1e-06,WT,1.0,1e-06,-20.0999,0.05,decreased,decreased,True,Flowering_Time,1,easy,3,True,218,10.1534/genetics.104.036533
FT_T044,FCA,knockout,0.0,,,1.0,1e-06,WT,1.0,1e-06,-20.0999,0.05,decreased,decreased,True,Flowering_Time,1,easy,3,True,218,10.1104/pp.19.01009
FT_T045,FD,knockout,0.0,,,1.0,5e-06,WT,1.0,5e-06,-17.6651,0.05,decreased,decreased,True,Flowering_Time,1,easy,2,True,236,10.1371/journal.pone.0116973
FT_T046,FD,knockout,0.0,,,1.0,5e-06,WT,1.0,5e-06,-17.6651,0.05,decreased,decreased,True,Flowering_Time,1,easy,2,True,236,10.1242/dev.204241
FT_T050,FKF1,knockout,0.0,,,1.0,0.0,WT,1.0,0.0,-21.5706,0.05,decreased,decreased,True,Flowering_Time,1,easy,2,True,233,10.1073/pnas.1415375111
FT_T051,FKF1_GI,combined,0.0,,,1.0,0.0,WT,1.0,0.0,-21.5693,0.05,decreased,unchanged,False,Flowering_Time,2,medium,2,True,223,10.1126/science.1146994
FT_T052,FLC,knockout,0.0,,,1.0,11.524358,WT,1.0,11.524358,3.5266,0.05,increased,increased,True,Flowering_Time,1,easy,2,True,435,10.1104/pp.105.061309
FT_T053,FLC,knockout,0.0,,,1.0,11.524358,WT,1.0,11.524358,3.5266,0.05,increased,increased,True,Flowering_Time,1,easy,2,True,435,10.1104/pp.126.1.122
FT_T054,FLC,overexpression,2.0,,,1.0,3e-06,WT,1.0,3e-06,-18.2476,0.05,decreased,decreased,True,Flowering_Time,1,easy,2,True,248,10.1104/pp.105.061309
FT_T055,FLC,overexpression,2.0,,,1.0,3e-06,WT,1.0,3e-06,-18.2476,0.05,decreased,decreased,True,Flowering_Time,1,easy,2,True,248,10.1104/pp.126.1.122
FT_T056,FLD,knockout,0.0,,,1.0,2e-06,WT,1.0,2e-06,-18.6727,0.05,decreased,decreased,True,Flowering_Time,1,easy,3,True,234,10.1016/j.molcel.2014.03.026
FT_T057,FLD,knockout,0.0,,,1.0,2e-06,WT,1.0,2e-06,-18.6727,0.05,decreased,decreased,True,Flowering_Time,1,easy,3,True,234,10.1093/nar/gkac551
FT_T064,FPA,knockout,0.0,,,1.0,2e-06,WT,1.0,2e-06,-18.6727,0.05,decreased,decreased,True,Flowering_Time,1,easy,3,True,234,10.1534/genetics.104.036533
FT_T065,FPA,knockout,0.0,,,1.0,2e-06,WT,1.0,2e-06,-18.6727,0.05,decreased,decreased,True,Flowering_Time,1,easy,3,True,234,10.1105/tpc.13.6.1427
FT_T066,FPA,overexpression,2.0,,,1.0,11.435839,WT,1.0,11.435839,3.5155,0.05,increased,increased,True,Flowering_Time,1,easy,3,True,470,10.1105/tpc.13.6.1427
FT_T067,FRI,knockout,0.0,,,1.0,11.520402,WT,1.0,11.520402,3.5261,0.05,increased,increased,True,Flowering_Time,1,easy,3,True,436,10.1104/pp.105.061309
FT_T068,FRI,overexpression,2.0,,,1.0,4e-06,WT,1.0,4e-06,-17.7798,0.05,decreased,decreased,True,Flowering_Time,1,easy,3,True,295,10.1104/pp.103.021212
