source	target	sign	confidence	color	doi
Long_Day	CO	positive	MEDIUM	#228B22	10.1104/pp.16.01327
Blue_Light	FKF1	positive	MEDIUM	#228B22	10.1126/science.1146994
GI	FKF1	positive	MEDIUM	#228B22	10.1126/science.1146994
FKF1	CDF1	negative	MEDIUM	#DC143C	10.1126/science.1146994
GI	CDF1	negative	MEDIUM	#DC143C	10.1199/tab.0178
CDF1	CO	negative	MEDIUM	#DC143C	10.1016/j.xplc.2023.100552
GI	CO	positive	MEDIUM	#228B22	10.1111/tpj.12759
FKF1	CO	positive	MEDIUM	#228B22	10.1073/pnas.1415375111
CO	FT	positive	MEDIUM	#228B22	10.1104/pp.16.01327
FRI	FLC	positive	MEDIUM	#228B22	10.1199/tab.0171
Cold	VIN3	positive	MEDIUM	#228B22	10.4161/psb.5.11.13465
Vernalization	VIN3	positive	MEDIUM	#228B22	10.1073/pnas.0606385103
VIN3	FLC	negative	MEDIUM	#DC143C	10.1199/tab.0171
PRC2	FLC	negative	MEDIUM	#DC143C	10.1111/tpj.14817
FCA	FLC	negative	MEDIUM	#DC143C	10.1534/genetics.104.036533
FPA	FLC	negative	MEDIUM	#DC143C	10.1534/genetics.104.036533
FLD	FLC	negative	MEDIUM	#DC143C	10.1199/tab.0171
FVE	FLC	negative	MEDIUM	#DC143C	10.4161/psb.27342
LD	FLC	negative	MEDIUM	#DC143C	10.1093/nar/gkac551
FLC	FT	negative	MEDIUM	#DC143C	10.1016/j.xplc.2023.100552
FLC	SOC1	negative	MEDIUM	#DC143C	10.1111/tpj.12759
SVP	FT	negative	MEDIUM	#DC143C	10.1016/j.xplc.2023.100552
SVP	SOC1	negative	MEDIUM	#DC143C	10.1104/pp.112.202614
Warm_Temperature	SVP	negative	MEDIUM	#DC143C	10.3390/ijms19103196
Warm_Temperature	PIF4	positive	MEDIUM	#228B22	10.3390/ijms19103196
PIF4	FT	positive	MEDIUM	#228B22	10.1016/j.xplc.2023.100552
GA20OX	Gibberellin	positive	MEDIUM	#228B22	10.1199/tab.0103
Gibberellin	GID1	positive	MEDIUM	#228B22	10.1199/tab.0103
GID1	DELLA	negative	MEDIUM	#DC143C	10.1199/tab.0103
