network,edge_id,source,target,sign,confidence,in_model,n_papers,dois
Flowering Time,E001,14-3-3,FD,1,HIGH,False,1,10.1038/s41586-025-09704-6
Flowering Time,E002,AGL15,FT,-1,HIGH,False,1,10.1104/pp.114.242990
Flowering Time,E003,AGL15,SOC1,-1,HIGH,False,1,10.1104/pp.114.242990
Flowering Time,E004,AGL18,FT,-1,HIGH,False,1,10.1104/pp.114.242990
Flowering Time,E005,AGL18,SOC1,-1,HIGH,False,1,10.1104/pp.114.242990
Flowering Time,E006,AGL24,Flowering_Time,1,HIGH,False,1,10.1073/pnas.212624599
Flowering Time,E007,AGL24,LFY,1,HIGH,False,1,10.1073/pnas.212624599
Flowering Time,E008,AGL24,SEP3,-1,MEDIUM,False,1,10.1104/pp.114.242990
Flowering Time,E009,AGL24,SOC1,1,HIGH,False,1,10.1104/pp.112.202614
Flowering Time,E010,AHL15,SPL15,-1,HIGH,False,1,10.1111/nph.18292
Flowering Time,E011,AHL15,SPL9,-1,HIGH,False,1,10.1111/nph.18292
Flowering Time,E012,AP1,Flowering_Time,1,HIGH,False,2,10.1105/tpc.11.6.1007; 10.1371/journal.pgen.1006263
Flowering Time,E013,AP1,LFY,1,HIGH,False,1,10.1105/tpc.11.6.1007
Flowering Time,E014,AP1,SEP3,1,MEDIUM,False,1,10.3390/ijms22115716
Flowering Time,E015,AP1,TFL1,-1,HIGH,False,1,10.1105/tpc.11.6.1007
Flowering Time,E016,AP2,AGL15,1,HIGH,False,1,10.1105/tpc.110.075606
Flowering Time,E017,AP2,AP1,-1,MEDIUM,False,1,10.1105/tpc.110.075606
Flowering Time,E018,AP2,Flowering_Time,-1,HIGH,False,2,10.1105/tpc.110.075606; 10.1371/journal.pbio.3001044
Flowering Time,E019,AP2,SOC1,-1,HIGH,False,1,10.1105/tpc.110.075606
Flowering Time,E020,AP2,miR172,-1,HIGH,False,1,10.1105/tpc.110.075606
Flowering Time,E021,APRF1,FLC,-1,MEDIUM,False,1,10.1093/nar/gkac551
Flowering Time,E022,ARP6,H2A_Z,1,HIGH,False,1,10.3390/ijms19103196
Flowering Time,E023,AS1,FT,1,MEDIUM,False,1,10.1016/j.xplc.2023.100552
Flowering Time,E024,ATX1,FLC,1,HIGH,False,1,10.1080/15592294.2023.2211362
Flowering Time,E025,Ambient_Temperature,PIF4,1,HIGH,False,1,10.1104/pp.19.00652
Flowering Time,E026,AtNDX,COOLAIR,-1,HIGH,False,1,10.1126/science.1234848
Flowering Time,E027,BBX19,CO,-1,HIGH,False,1,10.1104/pp.16.01327
Flowering Time,E028,BBX32,FT,-1,MEDIUM,False,1,10.1016/j.xplc.2023.100552
Flowering Time,E029,BRM,SOC1,-1,HIGH,False,1,10.1093/plcell/koad166
Flowering Time,E030,Blue_Light,FKF1,1,HIGH,False,1,10.1126/science.1146994
Flowering Time,E031,Blue_Light,ZTL,1,HIGH,False,1,10.1126/science.1146757
Flowering Time,E032,CBF1,COOLAIR,1,HIGH,False,1,10.7554/eLife.84594
Flowering Time,E033,CBF1,FLC,1,HIGH,False,1,10.1105/tpc.108.063883
Flowering Time,E034,CBF2,COOLAIR,1,HIGH,False,1,10.7554/eLife.84594
Flowering Time,E035,CBF3,COOLAIR,1,HIGH,False,1,10.7554/eLife.84594
Flowering Time,E036,CBP20,FLC,1,HIGH,False,1,10.1104/pp.109.137448
Flowering Time,E037,CBP80,FLC,1,HIGH,False,1,10.1104/pp.109.137448
Flowering Time,E038,CCA1,ELF3,-1,HIGH,False,1,10.1104/pp.111.189670
Flowering Time,E039,CCA1,ELF4,-1,HIGH,False,1,10.1093/pcp/pcr118
Flowering Time,E040,CCA1,GI,-1,HIGH,False,1,10.1104/pp.111.189670
Flowering Time,E041,CCA1,LUX,-1,HIGH,False,1,10.1093/pcp/pcr118
Flowering Time,E042,CCA1,PRR7,1,HIGH,False,1,10.1093/pcp/pcr118
Flowering Time,E043,CCA1,PRR9,1,HIGH,False,1,10.1093/pcp/pcr118
Flowering Time,E044,CCA1,SOC1,-1,HIGH,False,1,10.1104/pp.111.189670
Flowering Time,E045,CCA1,SVP,-1,HIGH,False,1,10.1105/tpc.108.061531
Flowering Time,E046,CCA1,TOC1,-1,HIGH,False,1,10.1093/pcp/pcr118
Flowering Time,E047,CDF1,CO,-1,HIGH,False,2,10.1016/j.xplc.2023.100552; 10.1199/tab.0178
Flowering Time,E048,CDF1,FT,-1,HIGH,False,1,10.1199/tab.0178
Flowering Time,E049,CDF2,CO,-1,HIGH,False,1,10.1016/j.xplc.2023.100552
Flowering Time,E050,CDF3,CO,-1,HIGH,False,1,10.1016/j.xplc.2023.100552
Flowering Time,E051,CDF5,CO,-1,HIGH,False,1,10.1016/j.xplc.2023.100552
Flowering Time,E052,CHE,CCA1,-1,MEDIUM,False,1,10.1093/pcp/pcr118
Flowering Time,E053,CIB1,FT,1,HIGH,False,1,10.1199/tab.0178
Flowering Time,E054,CLF,FLC,-1,HIGH,False,2,10.1073/pnas.0606385103; 10.1104/pp.19.01009
Flowering Time,E055,CO,FLP1,1,HIGH,False,1,10.1101/2024.04.26.591289
Flowering Time,E056,CO,FT,1,HIGH,False,3,10.1104/pp.16.01327; 10.1199/tab.0178; 10.3390/ijms22115716
Flowering Time,E057,COLDAIR,FLC,-1,HIGH,False,1,10.1371/journal.pgen.1006939
Flowering Time,E058,COOLAIR,FLC,-1,HIGH,False,1,10.1016/j.molcel.2014.03.026
Flowering Time,E059,COP1,CO,-1,HIGH,False,2,10.1199/tab.0178; 10.12688/f1000research.7346.1
Flowering Time,E060,CRY1,CO,1,HIGH,False,1,10.1104/pp.16.01327
Flowering Time,E061,CRY2,CO,1,HIGH,False,1,10.1105/tpc.106.048157
Flowering Time,E062,CRY2,FT,1,HIGH,False,1,10.1104/pp.15.00942
Flowering Time,E063,Cold,CBF1,1,HIGH,False,1,10.7554/eLife.84594
Flowering Time,E064,Cold,CBF2,1,HIGH,False,1,10.7554/eLife.84594
Flowering Time,E065,Cold,CBF3,1,HIGH,False,1,10.7554/eLife.84594
Flowering Time,E066,Cold,HOS1,1,HIGH,False,1,10.1074/jbc.M112.394338
Flowering Time,E067,Cold,VIN3,1,HIGH,False,1,10.4161/psb.5.11.13465
Flowering Time,E068,Cold,VRN2,1,HIGH,False,1,10.1073/pnas.0606385103
