network,method,path_length,n_correct,n_total,accuracy_pct
Flowering Time,Algebraic,1,17,19,89.47
Flowering Time,Algebraic,2,43,45,95.56
Flowering Time,Algebraic,3,22,22,100.0
Flowering Time,Algebraic,4,2,2,100.0
Flowering Time,Algebraic,5,4,5,80.0
Flowering Time,ODE,1,17,19,89.47
Flowering Time,ODE,2,43,45,95.56
Flowering Time,ODE,3,22,22,100.0
Flowering Time,ODE,4,2,2,100.0
Flowering Time,ODE,5,3,5,60.0
Flowering Time,RWR,1,17,19,89.47
Flowering Time,RWR,2,42,44,95.45
Flowering Time,RWR,3,22,22,100.0
Flowering Time,RWR,4,2,2,100.0
Flowering Time,RWR,5,4,5,80.0
