node,node_type,activators,inhibitors,formula
Long_Day,,,,Long_Day = gene_modifier + exogenous_supply
Blue_Light,,,,Blue_Light = gene_modifier + exogenous_supply
Cold,,,,Cold = gene_modifier + exogenous_supply
Vernalization,,,,Vernalization = gene_modifier + exogenous_supply
Warm_Temperature,,,,Warm_Temperature = gene_modifier + exogenous_supply
FRI,,,,FRI = gene_modifier + exogenous_supply
PRC2,,,,PRC2 = gene_modifier + exogenous_supply
SLY1,,,,SLY1 = gene_modifier + exogenous_supply
GA20OX,,,,GA20OX = gene_modifier + exogenous_supply
GA2OX,,,,GA2OX = gene_modifier + exogenous_supply
FCA,,,,FCA = gene_modifier + exogenous_supply
FPA,,,,FPA = gene_modifier + exogenous_supply
FLD,,,,FLD = gene_modifier + exogenous_supply
FVE,,,,FVE = gene_modifier + exogenous_supply
LD,,,,LD = gene_modifier + exogenous_supply
GI,,,,GI = gene_modifier + exogenous_supply
Sucrose,,,,Sucrose = gene_modifier + exogenous_supply
TPS1,,,,TPS1 = gene_modifier + exogenous_supply
miR156,,,Sucrose,"miR156 = 1.0 * min(1/max(Sucrose, 0.1), 10.0) * gene_modifier + exogenous_supply"
T6P,,"Sucrose,TPS1",,"T6P = (max(Sucrose, 0.01) * max(TPS1, 0.01))^(1/2) * gene_modifier + exogenous_supply"
FKF1,,"Blue_Light,GI",,"FKF1 = (max(Blue_Light, 0.01) * max(GI, 0.01))^(1/2) * gene_modifier + exogenous_supply"
CDF1,,,"FKF1,GI","CDF1 = 1.0 * min(1/max(FKF1 * GI, 0.1), 10.0) * gene_modifier + exogenous_supply"
CO,,"Long_Day,GI,FKF1","CDF1,DELLA","CO = (max(Long_Day, 0.01) * max(GI, 0.01) * max(FKF1, 0.01))^(1/3) * min(1/max(CDF1 * DELLA, 0.1), 10.0) * gene_modifier + exogenous_supply"
VIN3,,"Cold,Vernalization",,"VIN3 = (max(Cold, 0.01) * max(Vernalization, 0.01))^(1/2) * gene_modifier + exogenous_supply"
