node,node_type,activators,inhibitors,formula
Long_Day,,,,Long_Day = 1.0 * 1.0 * gene_modifier + exogenous
Blue_Light,,,,Blue_Light = 1.0 * 1.0 * gene_modifier + exogenous
Cold,,,,Cold = 1.0 * 1.0 * gene_modifier + exogenous
Vernalization,,,,Vernalization = 1.0 * 1.0 * gene_modifier + exogenous
Warm_Temperature,,,,Warm_Temperature = 1.0 * 1.0 * gene_modifier + exogenous
FRI,,,,FRI = 1.0 * 1.0 * gene_modifier + exogenous
PRC2,,,,PRC2 = 1.0 * 1.0 * gene_modifier + exogenous
SLY1,,,,SLY1 = 1.0 * 1.0 * gene_modifier + exogenous
GA20OX,,,,GA20OX = 1.0 * 1.0 * gene_modifier + exogenous
GA2OX,,,,GA2OX = 1.0 * 1.0 * gene_modifier + exogenous
FCA,,,,FCA = 1.0 * 1.0 * gene_modifier + exogenous
FPA,,,,FPA = 1.0 * 1.0 * gene_modifier + exogenous
FLD,,,,FLD = 1.0 * 1.0 * gene_modifier + exogenous
FVE,,,,FVE = 1.0 * 1.0 * gene_modifier + exogenous
LD,,,,LD = 1.0 * 1.0 * gene_modifier + exogenous
GI,,,,GI = 1.0 * 1.0 * gene_modifier + exogenous
Sucrose,,,,Sucrose = 1.0 * 1.0 * gene_modifier + exogenous
TPS1,,,,TPS1 = 1.0 * 1.0 * gene_modifier + exogenous
miR156,,,Sucrose,miR156 = 1.0 * prod(g(Sucrose)) * gene_modifier + exogenous
T6P,,"Sucrose,TPS1",,"T6P = prod(f(Sucrose, TPS1)) * 1.0 * gene_modifier + exogenous"
FKF1,,"Blue_Light,GI",,"FKF1 = prod(f(Blue_Light, GI)) * 1.0 * gene_modifier + exogenous"
CDF1,,,"FKF1,GI","CDF1 = 1.0 * prod(g(FKF1, GI)) * gene_modifier + exogenous"
CO,,"Long_Day,GI,FKF1","CDF1,DELLA","CO = prod(f(Long_Day, GI, FKF1)) * prod(g(CDF1, DELLA)) * gene_modifier + exogenous"
VIN3,,"Cold,Vernalization",,"VIN3 = prod(f(Cold, Vernalization)) * 1.0 * gene_modifier + exogenous"
FLC,,"FRI,SVP","VIN3,PRC2,FCA,FPA,FLD,FVE,LD","FLC = prod(f(FRI, SVP)) * prod(g(VIN3, PRC2, FCA, FPA, FLD, FVE, LD)) * gene_modifier + exogenous"
SVP,,,"Warm_Temperature,FCA,FVE,SOC1","SVP = 1.0 * prod(g(Warm_Temperature, FCA, FVE, SOC1)) * gene_modifier + exogenous"
PIF4,,Warm_Temperature,"DELLA,GI","PIF4 = prod(f(Warm_Temperature)) * prod(g(DELLA, GI)) * gene_modifier + exogenous"
Gibberellin,,GA20OX,GA2OX,Gibberellin = prod(f(GA20OX)) * prod(g(GA2OX)) * gene_modifier + exogenous
GID1,,Gibberellin,,GID1 = prod(f(Gibberellin)) * 1.0 * gene_modifier + exogenous
DELLA,,,"GID1,SLY1","DELLA = 1.0 * prod(g(GID1, SLY1)) * gene_modifier + exogenous"
SPL9,,,"DELLA,miR156","SPL9 = 1.0 * prod(g(DELLA, miR156)) * gene_modifier + exogenous"
miR172,,SPL9,AP2,miR172 = prod(f(SPL9)) * prod(g(AP2)) * gene_modifier + exogenous
AP2,,,"miR172,SOC1","AP2 = 1.0 * prod(g(miR172, SOC1)) * gene_modifier + exogenous"
FT,,"CO,PIF4,FKF1,GI,Warm_Temperature,T6P,TPS1","FLC,SVP,CDF1","FT = prod(f(CO, PIF4, FKF1, GI, Warm_Temperature, T6P, TPS1)) * prod(g(FLC, SVP, CDF1)) * gene_modifier + exogenous"
FUL,,"FT,SPL9,SOC1",TFL1,"FUL = prod(f(FT, SPL9, SOC1)) * prod(g(TFL1)) * gene_modifier + exogenous"
FD,,"FT,TFL1",,"FD = prod(f(FT, TFL1)) * 1.0 * gene_modifier + exogenous"
SOC1,,"FT,FD,SPL9","FLC,SVP,DELLA,AP2,TFL1","SOC1 = prod(f(FT, FD, SPL9)) * prod(g(FLC, SVP, DELLA, AP2, TFL1)) * gene_modifier + exogenous"
AGL24,,"SOC1,Vernalization",,"AGL24 = prod(f(SOC1, Vernalization)) * 1.0 * gene_modifier + exogenous"
AP1,,"FT,FD,SOC1,LFY,SPL9,FUL","AP2,TFL1","AP1 = prod(f(FT, FD, SOC1, LFY, SPL9, FUL)) * prod(g(AP2, TFL1)) * gene_modifier + exogenous"
LFY,,"FT,SOC1,AGL24,SPL9","DELLA,TFL1","LFY = prod(f(FT, SOC1, AGL24, SPL9)) * prod(g(DELLA, TFL1)) * gene_modifier + exogenous"
TFL1,,,AP1,TFL1 = 1.0 * prod(g(AP1)) * gene_modifier + exogenous
Flowering_Time,,"AP1,LFY,SOC1,FT",TFL1,"Flowering_Time = prod(f(AP1, LFY, SOC1, FT)) * prod(g(TFL1)) * gene_modifier + exogenous"
