network,edge_id,source,source_type,target,target_type,sign,effect,mechanism,n_evidence,doi_list
Hypocotyl Length,N001,Light,ENVIRONMENT,PHYB,GENE,1,activation,Red-light absorption converts inactive Pr phyB to active Pfr phyB form in the nucleus.,1,10.1105/tpc.17.00913
Hypocotyl Length,N002,Light,ENVIRONMENT,PHYA,GENE,1,activation,Far-red absorption activates phyA; photolabile Pfr translocates to the nucleus.,1,10.1105/tpc.17.00913
Hypocotyl Length,N003,Light,ENVIRONMENT,CRY1,GENE,1,activation,Blue light activates cryptochrome 1 via FAD photochemistry.,1,10.1016/B978-0-12-801922-1.00007-5
Hypocotyl Length,N004,Light,ENVIRONMENT,CRY2,GENE,1,activation,Blue light activates cryptochrome 2.,1,10.1016/B978-0-12-801922-1.00007-5
Hypocotyl Length,N005,Light,ENVIRONMENT,UVR8,GENE,1,activation,UV-B irradiation monomerizes UVR8 dimer into active form that binds COP1.,1,10.1038/emboj.2009.4
Hypocotyl Length,N006,Temperature,ENVIRONMENT,ELF3_EC,PROTEIN_COMPLEX,-1,inhibition,Warm temperature disrupts Evening Complex (ELF3/ELF4/LUX) assembly via ELF3 prion-like domain phase transition.,1,10.1126/sciadv.abf4427
Hypocotyl Length,N007,Temperature,ENVIRONMENT,HY5,GENE,-1,inhibition,Warm temperature destabilizes HY5 protein.,1,10.1016/j.xplc.2024.100833
Hypocotyl Length,N008,Temperature,ENVIRONMENT,HSFA1D,GENE,1,activation,"Warm temperature activates HSFA1d heat-shock factor, which stabilizes PIF4 (thermomorphogenesis intermediate — JUDGE S003 iter 2).",1,10.1126/sciadv.adh1738
Hypocotyl Length,N009,PHYB,GENE,COP1,GENE,-1,inhibition,"Active phyB physically binds COP1 and promotes its nuclear exclusion, reducing COP1 E3 activity.",1,10.1038/emboj.2009.4
Hypocotyl Length,N010,PHYA,GENE,COP1,GENE,-1,inhibition,Active phyA binds and inactivates COP1 in the nucleus.,1,10.1038/emboj.2009.4
Hypocotyl Length,N011,CRY1,GENE,COP1,GENE,-1,inhibition,Photoactivated CRY1 binds COP1/SPA1 and disrupts the complex.,1,10.1016/B978-0-12-801922-1.00007-5
Hypocotyl Length,N012,CRY2,GENE,COP1,GENE,-1,inhibition,Photoactivated CRY2 binds COP1 to release HY5 from degradation.,1,10.1016/B978-0-12-801922-1.00007-5
Hypocotyl Length,N013,UVR8,GENE,COP1,GENE,-1,inhibition,Monomeric UVR8 binds COP1 and prevents COP1-mediated HY5 ubiquitination.,1,10.1038/emboj.2009.4
Hypocotyl Length,N014,SPA1,GENE,COP1,GENE,1,activation,SPA1 is an obligate co-factor for COP1 E3 ligase activity in the dark; supports COP1 function via direct interaction.,1,10.1111/nph.17332
Hypocotyl Length,N015,COP1,GENE,HY5,GENE,-1,inhibition,COP1-SPA1 ubiquitinates HY5 for proteasomal degradation in the dark.,1,10.1038/emboj.2009.4
Hypocotyl Length,N016,COP1,GENE,HFR1,GENE,-1,inhibition,COP1 targets HFR1 for degradation in the dark.,1,10.1038/emboj.2009.4
Hypocotyl Length,N017,COP1,GENE,BBX21,GENE,-1,inhibition,COP1 ubiquitinates BBX21 for degradation.,1,10.1073/pnas.1607687113
Hypocotyl Length,N018,COP1,GENE,BIN2,GENE,-1,inhibition,COP1 promotes BIN2 degradation in response to light (double-lock on BR signaling output).,1,10.1073/pnas.1700850114
Hypocotyl Length,N019,BBX21,GENE,HY5,GENE,1,activation,BBX21 physically partners with HY5 to stabilize HY5 binding at photomorphogenic promoters.,1,10.1073/pnas.1607687113
Hypocotyl Length,N020,UVR8,GENE,HY5,GENE,1,activation,UVR8 positively regulates HY5 expression through COP1 sequestration and direct HY5 gene activation.,1,10.1038/emboj.2009.4
Hypocotyl Length,N021,UVR8,GENE,PIF5,GENE,-1,inhibition,UV-B destabilizes PIF5.,1,10.1111/tpj.14556
Hypocotyl Length,N022,PHYB,GENE,PIF3,GENE,-1,inhibition,"Active phyB Pfr phosphorylates PIF3 on multiple residues, targeting it for ubiquitin-mediated degradation.",1,10.1111/j.1365-313X.2012.05114.x
Hypocotyl Length,N023,PHYB,GENE,PIF4,GENE,-1,inhibition,Active phyB Pfr phosphorylates PIF4 and promotes its degradation.,1,10.1105/tpc.107.052142
Hypocotyl Length,N024,PHYB,GENE,PIF5,GENE,-1,inhibition,Active phyB Pfr phosphorylates PIF5 and promotes its degradation.,1,10.1111/tpj.14556
Hypocotyl Length,N025,PHYB,GENE,PIF7,GENE,-1,inhibition,Active phyB Pfr promotes PIF7 phosphorylation; shade (Pr) releases PIF7 dephosphorylation/nuclear accumulation.,1,10.1105/tpc.107.052142
Hypocotyl Length,N026,CRY1,GENE,PIF4,GENE,-1,inhibition,Blue-light-activated CRY1 interacts with PIF4 and reduces its activity.,1,10.14348/molcells.2016.0126
Hypocotyl Length,N027,CRY1,GENE,PIF7,GENE,-1,inhibition,CRY1 interacts with PIF7 and limits its nuclear function.,1,10.1038/s41467-022-32585-6
Hypocotyl Length,N028,DET1,GENE,PIF3,GENE,1,activation,DET1 stabilizes PIF3 protein in darkness via CUL4-DDB1-DET1 complex action.,1,10.1105/tpc.114.130666
Hypocotyl Length,N029,DET1,GENE,PIF4,GENE,1,activation,DET1 stabilizes PIF4 protein in darkness.,1,10.1105/tpc.114.130666
Hypocotyl Length,N030,DET1,GENE,PIF5,GENE,1,activation,DET1 stabilizes PIF5 protein in darkness.,1,10.1105/tpc.114.130666
Hypocotyl Length,N031,HFR1,GENE,PIF4,GENE,-1,inhibition,"HFR1 heterodimerizes with PIF4, blocking its DNA binding.",1,10.14348/molcells.2016.0126
Hypocotyl Length,N032,ELF3_EC,PROTEIN_COMPLEX,PIF4,GENE,-1,inhibition,Evening Complex directly represses PIF4 transcription by binding its promoter at dusk.,1,10.1038/nature10182
Hypocotyl Length,N033,ELF3_EC,PROTEIN_COMPLEX,PIF5,GENE,-1,inhibition,Evening Complex directly represses PIF5 transcription.,1,10.1038/nature10182
Hypocotyl Length,N034,PIF4,GENE,YUC8,GENE,1,activation,PIF4 binds the YUC8 promoter (G-box) and activates auxin biosynthesis.,1,10.1111/tpj.14556
Hypocotyl Length,N035,PIF4,GENE,TAA1,GENE,1,activation,PIF4 activates TAA1 expression to increase IAA biosynthesis.,1,10.14348/molcells.2016.0126
Hypocotyl Length,N036,PIF4,GENE,ARF6,GENE,1,activation,PIF4 co-regulates ARF6 target genes; directly induces ARF6 expression in some contexts.,1,10.1016/j.pbi.2014.07.012
Hypocotyl Length,N037,PIF4,GENE,PIF7,GENE,1,activation,PIF4 contributes to PIF7 accumulation under shade/warm conditions.,1,10.1038/s41467-022-32585-6
