network,edge_id,source,target,sign,confidence,in_model,n_papers,dois
Hypocotyl Length,E001,14-3-3,PIF7,-1,HIGH,False,1,10.7554/eLife.31636
Hypocotyl Length,E002,AFB1,Aux/IAA,-1,HIGH,False,1,10.7554/eLife.19048
Hypocotyl Length,E003,AFB2,Aux/IAA,-1,HIGH,False,1,10.7554/eLife.19048
Hypocotyl Length,E004,AFB5,Aux/IAA,-1,HIGH,False,1,10.7554/eLife.19048
Hypocotyl Length,E005,AHA1,Hypocotyl_Length,1,HIGH,False,1,10.7554/eLife.19048
Hypocotyl Length,E006,AHA2,Hypocotyl_Length,1,HIGH,False,1,10.7554/eLife.19048
Hypocotyl Length,E007,APD7,AHA1,-1,MEDIUM,False,1,10.1007/s42994-021-00063-0
Hypocotyl Length,E008,ARF6,BZR1,1,HIGH,False,1,10.7554/eLife.03031
Hypocotyl Length,E009,ARF6,Hypocotyl_Length,1,HIGH,False,2,10.1016/j.pbi.2014.07.012; 10.1104/pp.18.00718
Hypocotyl Length,E010,ARF6,IAA19,1,HIGH,False,1,10.1104/pp.18.00718
Hypocotyl Length,E011,ARF6,PIF4,1,HIGH,False,1,10.7554/eLife.03031
Hypocotyl Length,E012,ARF6,PRE1,1,HIGH,False,1,10.1016/j.pbi.2014.07.012
Hypocotyl Length,E013,ARF6,SAUR19,1,HIGH,False,1,10.1104/pp.18.00718
Hypocotyl Length,E014,ARF7,Hypocotyl_Length,1,HIGH,False,1,10.1104/pp.18.00718
Hypocotyl Length,E015,ARF8,Hypocotyl_Length,1,HIGH,False,1,10.1104/pp.18.00718
Hypocotyl Length,E016,Aux/IAA,ARF6,-1,HIGH,False,1,10.1104/pp.18.00718
Hypocotyl Length,E017,Aux/IAA,ARF7,-1,HIGH,False,1,10.1104/pp.18.00718
Hypocotyl Length,E018,Aux/IAA,ARF8,-1,HIGH,False,1,10.1104/pp.18.00718
Hypocotyl Length,E019,Auxin,BZR1,1,HIGH,False,1,10.1126/sciadv.ade2493
Hypocotyl Length,E020,Auxin,Hypocotyl_Length,1,HIGH,False,1,10.7554/eLife.19048
Hypocotyl Length,E021,Auxin,TIR1,1,HIGH,False,1,10.7554/eLife.19048
Hypocotyl Length,E022,BAS1,BR,-1,HIGH,False,2,10.1016/j.pbi.2014.07.012; 10.1534/g3.112.004580
Hypocotyl Length,E023,BBX18,XBAT31,1,HIGH,False,1,10.1126/sciadv.abf4427
Hypocotyl Length,E024,BBX21,HY5,1,HIGH,False,1,10.1073/pnas.1607687113
Hypocotyl Length,E025,BBX21,Hypocotyl_Length,-1,HIGH,False,1,10.1073/pnas.1607687113
Hypocotyl Length,E026,BBX22,Hypocotyl_Length,-1,HIGH,False,2,10.1073/pnas.1607687113; 10.1105/tpc.113.109751
Hypocotyl Length,E027,BBX24,Hypocotyl_Length,1,HIGH,False,1,10.1073/pnas.1607687113
Hypocotyl Length,E028,BEE2,Hypocotyl_Length,1,MEDIUM,False,1,10.7554/eLife.03031
