network,method,path_length,n_correct,n_total,accuracy_pct
Hypocotyl Length,Algebraic,1,30,30,100.0
Hypocotyl Length,Algebraic,2,45,47,95.74
Hypocotyl Length,Algebraic,3,14,14,100.0
Hypocotyl Length,Algebraic,4,12,13,92.31
Hypocotyl Length,Algebraic,5,8,9,88.89
Hypocotyl Length,Algebraic,6,2,3,66.67
Hypocotyl Length,ODE,1,30,30,100.0
Hypocotyl Length,ODE,2,45,47,95.74
Hypocotyl Length,ODE,3,13,14,92.86
Hypocotyl Length,ODE,4,10,13,76.92
Hypocotyl Length,ODE,5,8,9,88.89
Hypocotyl Length,ODE,6,2,3,66.67
Hypocotyl Length,RWR,1,28,30,93.33
Hypocotyl Length,RWR,2,43,47,91.49
Hypocotyl Length,RWR,3,13,14,92.86
Hypocotyl Length,RWR,4,12,13,92.31
Hypocotyl Length,RWR,5,8,9,88.89
Hypocotyl Length,RWR,6,3,3,100.0
