source,source_type,target,target_type,effect,edge_type,confidence,mechanism,doi,paper_title,authors,year,journal,evidence_sentence,verification,species_validated
14-3-3,GENE,PIF7,GENE,inhibition,post-translational,HIGH,14-3-3 proteins bind phosphorylated PIF7 (S139/S141) and retain it in cytoplasm,,,,,,14-3-3 proteins bind phosphorylated PIF7 at S139/S141 sites; blocking interaction accelerates nuclear localization,,
AFB1,GENE,Aux/IAA,GENE,inhibition,post-translational,HIGH,AFB1 (TIR1 family) recruits Aux/IAA for degradation,,,,,,TIR1/AFB receptors degrade Aux/IAA proteins,,
AFB2,GENE,Aux/IAA,GENE,inhibition,post-translational,HIGH,AFB2 receptor recruits Aux/IAAs,,,,,,TIR1/AFB receptors degrade Aux/IAA proteins,,
AFB5,GENE,Aux/IAA,GENE,inhibition,post-translational,HIGH,"AFB5 has distinct ligand specificity, prominent in hypocotyl",,,,,,afb5-5 leads to decreased sensitivity to picloram-induced hypocotyl elongation,,
AHA1,GENE,Hypocotyl_Length,PHENOTYPE,activation,biochemical,HIGH,Plasma membrane H+-ATPase AHA1 acidifies apoplast for cell wall loosening; constitutive activation drives elongation,,,,,,"auxin induces extrusion of protons into the apoplast, activating expansins",,
AHA2,GENE,Hypocotyl_Length,PHENOTYPE,activation,biochemical,HIGH,AHA2 plasma membrane proton pump promotes apoplastic acidification and elongation,,,,,,ost2-2D/aha2-5 line elongates in absence of auxin,,
APD7,GENE,AHA1,GENE,inhibition,post-translational,MEDIUM,APD7 PP2C-D phosphatase inactivates H+-ATPase to inhibit cell elongation,,,,,,induction of APD7 suppresses the H+-ATPases activities and inhibits cell elongation,,
ARF6,GENE,BZR1,GENE,activation,post-translational,HIGH,ARF6 directly interacts with BZR1 C-terminal domain enhancing cooperative DNA binding,,,,,,ARF6 directly interacted with BZR1 through the C-terminal domain of BZR1,,
ARF6,GENE,Hypocotyl_Length,PHENOTYPE,activation,transcriptional,HIGH,"ARF6 activates cell wall remodeling genes (XTHs, EXPs, PREs) cooperatively with PIF4 and BZR1 to promote elongation",,,,,,ARF6 target genes encode cell wall proteins involved in cell expansion,,
ARF6,GENE,IAA19,GENE,activation,transcriptional,HIGH,ARF6 activates IAA19 transcription creating negative feedback,,,,,,"ARF-deficient seedlings had decreased expression of auxin-induced genes IAA1, AXR2/IAA7, IAA19",,
ARF6,GENE,PIF4,GENE,activation,post-translational,HIGH,ARF6 binds PIF4 bHLH domain enhancing co-binding to shared promoters,,,,,,ARF6 directly interacted with PIF4 through the bHLH domain,,
ARF6,GENE,PRE1,GENE,activation,transcriptional,HIGH,ARF6 directly activates PRE family HLH growth factors,,,,,,"BZR1, ARF6, and PIF4 directly activate members of PRE family",,
ARF6,GENE,SAUR19,GENE,activation,transcriptional,HIGH,ARF6 directly activates SAUR19 and SAUR63 transcription,,,,,,SAUR19 and SAUR63 are downstream targets of ARFs,,
ARF7,GENE,Hypocotyl_Length,PHENOTYPE,activation,transcriptional,HIGH,ARF7 (NPH4) activates auxin-responsive elongation genes; nph4 has open hooks and short hypocotyls,,,,,,nph4-1 dark-grown seedlings had partially open apical hooks and shorter hypocotyls,,
ARF8,GENE,Hypocotyl_Length,PHENOTYPE,activation,transcriptional,HIGH,ARF8 redundantly activates elongation genes,,,,,,"ARF6, NPH4/ARF7, and ARF8 together account for hypocotyl elongation response to auxin",,
Aux/IAA,GENE,ARF6,GENE,inhibition,post-translational,HIGH,Aux/IAA proteins bind ARF6 forming repressive heterodimer,,,,,,Aux/IAA proteins interact with ARF proteins to repress auxin response,,
Aux/IAA,GENE,ARF7,GENE,inhibition,post-translational,HIGH,Aux/IAA binds ARF7 (NPH4) forming repressive complex,,,,,,Aux/IAA proteins interact with ARF proteins to repress auxin response,,
Aux/IAA,GENE,ARF8,GENE,inhibition,post-translational,HIGH,Aux/IAA binds ARF8 to repress activity,,,,,,Aux/IAA proteins interact with ARF proteins to repress auxin response,,
Auxin,HORMONE,BZR1,GENE,activation,post-translational,HIGH,"Auxin activates MKK5-MPK3/MPK6 cascade to phosphorylate GRF4, releasing BZR1 from cytoplasmic 14-3-3 sequestration",,,,,,PIC treatment promoted strong BZR1-YFP accumulation in nucleus similar to eBL,,
Auxin,HORMONE,Hypocotyl_Length,PHENOTYPE,activation,signaling,HIGH,Auxin triggers cell wall acidification and elongation via TIR1/AFB-IAA-ARF-SAUR-AHA cascade,,,,,,auxin-stimulated acidification and growth require TIR1/AFB-Aux/IAA,,
Auxin,HORMONE,TIR1,GENE,activation,ligand_binding,HIGH,IAA binds TIR1 F-box receptor and Aux/IAA forming co-receptor complex,,,,,,TIR1/AFB Aux/IAA nuclear auxin perception triggers local activation of H+-ATPases,,
BAS1,GENE,BR,HORMONE,inhibition,catabolic,HIGH,BAS1 (CYP734A1) inactivates active BRs by C-26 hydroxylation,,,,,,BAS1/CYP734A1 catalyzes C-26 hydroxylation of brassinolide and is induced by exogenous BRs,,
BBX18,GENE,XBAT31,GENE,activation,post-translational,HIGH,BBX18 acts as cofactor recruiting ELF3 to XBAT31 for ubiquitination,,,,,,"XBAT31 interacts with the B-box protein BBX18, and the XBAT31-mediated ELF3 degradation is dependent on BBX18",,
BBX21,GENE,HY5,GENE,activation,transcriptional,HIGH,BBX21 binds T/G-box in HY5 promoter to activate transcription,,,,,,BBX21 directly binds to the T/G-box in the HY5 promoter and directly activates HY5 expression,,
BBX21,GENE,Hypocotyl_Length,PHENOTYPE,inhibition,transcriptional,HIGH,BBX21 acts as positive regulator of photomorphogenesis; bbx21 mutants have longer hypocotyls in light,,,,,,transgenic BBX21-OX lines exhibited significantly shorter hypocotyls,,
BBX22,GENE,Hypocotyl_Length,PHENOTYPE,inhibition,transcriptional,HIGH,BBX22 promotes photomorphogenesis cooperatively with HY5,,,,,,BBX22 promotes photomorphogenesis; positive regulator like BBX21,,
BBX24,GENE,Hypocotyl_Length,PHENOTYPE,activation,transcriptional,HIGH,BBX24 negatively regulates HY5 and promotes shade-induced elongation,,,,,,BBX24 plays an opposite function by promoting hypocotyl length in shady conditions,,
BEE2,GENE,Hypocotyl_Length,PHENOTYPE,activation,transcriptional,MEDIUM,BEE2 promotes cell elongation as bHLH growth factor,,,,,,BEE2 contributes to BR-promoted growth,,
