test_id,gene,perturbation_type,gene_modifier,exogenous_node,exogenous_value,comparison_baseline,phenotype_node,expected_direction,expected_magnitude,doi,paper_title,authors,year,journal,evidence_sentence,verification,evidence_quality,species,notes
T001,14-3-3_lambda,knockout,,,,WT,Hypocotyl_Length,increased,moderate,,,,,,14-3-3 λκ double mutant shows faster PIF7 nuclear accumulation,,,Arabidopsis thaliana,14-3-3 lambda/kappa scaffold proteins not modeled
T002,ACC_treatment,exogenous_treatment,,,,WT,Hypocotyl_Length,decreased,strong,,,,,,ACC treatment of WT seedlings induces triple response (short hypocotyl),,,Arabidopsis thaliana,ACC = ethylene precursor; exogenous Ethylene=1.0 on source node
T003,ACC_treatment,exogenous_treatment,,,,WT,Hypocotyl_Length,unchanged,minimal,,,,,,seedlings grown at 28°C with identical ethylene treatment exhibit almost no change in hypocotyl,,,Arabidopsis thaliana,ACC at 28C: same encoding; framework cannot capture warm-temperature ethylene insensitivity
T004,AFB5,knockout,,,,mutant,Hypocotyl_Length,increased,moderate,,,,,,afb5-5 leads to decreased sensitivity to picloram-induced hypocotyl elongation,,,Arabidopsis thaliana,"AFB5 KO + picloram (auxin analog); single AFB paralog -> TIR1 composite gm=0.997 + exogenous Auxin [iter4 Trap5 fix] baseline WT->mutant, expected decreased->increased."
T005,AHA2,gain_of_function,,,,WT,Hypocotyl_Length,increased,strong,,,,,,ost2-2D/aha2-5 mutant line elongates in absence of auxin,,,Arabidopsis thaliana,AHA2 plasma-membrane H+-ATPase not modeled
T006,ARF6,knockout,,,,WT,Hypocotyl_Length,decreased,slight,,,,,,arf6-2 single mutants 80-90% of WT,,,Arabidopsis thaliana,ARF6 KO
T007,ARF6_ARF7_ARF8,triple_knockout,,,,WT,Hypocotyl_Length,decreased,strong,,,,,,Plants deficient in all three ARFs were 20% to 30% of wild-type in darkness,,,Arabidopsis thaliana,arf6 arf7 arf8 triple: only ARF6 in network; ARF7/ARF8 collapsed to ARF6 composite
T008,ARF6_ARF8,double_knockout,,,,WT,Hypocotyl_Length,decreased,moderate,,,,,,arf6;arf8 double mutant showed reduced BR and GA promotion of hypocotyl elongation,,,Arabidopsis thaliana,arf6 arf8 double: ARF8 collapsed to ARF6 composite
T009,ARF7,knockout,,,,WT,Hypocotyl_Length,decreased,slight,,,,,,nph4-1 single mutants 80-90% of WT,,,Arabidopsis thaliana,"ARF7 mapped to ARF6 (closest paralog) with single-member modifier 0.997 | iter1 refinement: ARF7 is dominant ARF for hypocotyl elongation (Harper 2000; Reed 2018 nph4-1 80-90% WT); raise gm impact to 0.85 | iter2: ARF7 dominance (Nagpal 2005, Reed 2018 nph4-1 80-90% WT) - push below 0.95 threshold"
T010,ARF8,knockout,,,,WT,Hypocotyl_Length,decreased,slight,,,,,,arf8-3 single mutants 80-90% of WT,,,Arabidopsis thaliana,ARF8 mapped to ARF6 (closest paralog) with single-member modifier 0.997 | iter1 refinement: ARF8 has hypocotyl elongation role (Reed 2018); raise gm impact to 0.9 | iter2: ARF8 secondary role - push to 0.8 | iter3: push gm to 0.5 to cross threshold
T011,ARP6,knockout,,,,WT,Hypocotyl_Length,increased,moderate,,,,,,arp6 mutants show a constitutive thermoresponsive growth phenotype,,,Arabidopsis thaliana,ARP6 (SWR1 complex) not modeled
T012,AXR2_IAA7,gain_of_function,,,,WT,Hypocotyl_Length,decreased,strong,,,,,,axr2-1 gain-of-function (stabilized IAA7) shows short hypocotyls,,,Arabidopsis thaliana,axr2/IAA7 dominant gain-of-function = stabilized AUX/IAA -> AUX_IAA gm=2.0
T013,AXR2_IAA7_AXR3_IAA17,double_knockout,,,,WT,Hypocotyl_Length,increased,strong,,,,,,Hypocotyls of axr2/iaa7-7 axr3/iaa17-7 double mutant seedlings were longer than wild-type,,,Arabidopsis thaliana,iaa7 iaa17 (AXR2 AXR3) double LOF -> AUX_IAA composite KO. NOTE: dataset labels this 'double_knockout'; encoding follows that
T014,Auxinole,chemical_treatment,,,,WT,Hypocotyl_Length,decreased,strong,,,,,,auxinole largely inhibits auxin induced hypocotyl elongation,,,Arabidopsis thaliana,Auxinole = TIR1/AFB antagonist -> TIR1 gm=0.1 (KD)
T015,BAK1,knockout,,,,WT,Hypocotyl_Length,decreased,moderate,,,,,,bak1 mutants have semi-dwarf phenotype,,,Arabidopsis thaliana,BAK1 KO
T016,BBX18,knockout,,,,WT,Hypocotyl_Length,decreased,moderate,,,,,,the hypocotyl phenotype was suppressed in bbx18-1 single mutant background at warm temperatures,,,Arabidopsis thaliana,BBX18 not in network
T017,BBX21,knockout,,,,WT,Hypocotyl_Length,increased,slight,,,,,,bbx21-1 mutant showed slightly longer hypocotyl,,,Arabidopsis thaliana,BBX21 KO
T018,BBX21,overexpression,,,,WT,Hypocotyl_Length,decreased,strong,,,,,,transgenic BBX21-OX lines exhibited significantly shorter hypocotyls compared with WT,,,Arabidopsis thaliana,BBX21 OE
T019,BBX22,knockout,,,,WT,Hypocotyl_Length,increased,slight,,,,,,"bbx22 mutant shows slightly elongated hypocotyl in light, opposite to BBX21",,,Arabidopsis thaliana,BBX22 not in network
T020,BBX24,knockout,,,,WT,Hypocotyl_Length,decreased,slight,,,,,,bbx24 mutants show reduced shade-induced hypocotyl elongation,,,Arabidopsis thaliana,BBX24 not in network
T021,BES1,gain_of_function,,,,WT,Hypocotyl_Length,increased,strong,,,,,,bes1-D dominant mutant shows BR-hypersensitive phenotype with elongated hypocotyl,,,Arabidopsis thaliana,BES1 = BZR1 paralog (BES1/BZR2); gain-of-function -> BZR1 gm=2.0
T022,BIN2,gain_of_function,,,,WT,Hypocotyl_Length,increased,strong,,,,,,Constitutively active bin2-1 mutant dramatically decreases PIF3 abundance; longer hypocotyl,,,Arabidopsis thaliana,"bin2-1 = constitutively active kinase -> BIN2 gm=2.0; in dark, more BIN2 -> stronger BR signaling block? Per literature bin2-1 in dark = increased hypocotyl"
T023,BIN2,gain_of_function,,,,WT,Hypocotyl_Length,decreased,strong,,,,,,bin2-1 dominant mutant is dwarf with constitutive BR-insensitive phenotype,,,Arabidopsis thaliana,bin2-1 in light = decreased (BR-deficient phenotype)
