node,node_type,activators,inhibitors,formula
Light,,,,Light = gene_modifier + exogenous_supply
Temperature,,,,Temperature = gene_modifier + exogenous_supply
PHYB,,Light,,"PHYB = max(Light, 0.01) * 1.0 * gene_modifier + exogenous_supply"
PHYA,,Light,,"PHYA = max(Light, 0.01) * 1.0 * gene_modifier + exogenous_supply"
CRY1,,Light,,"CRY1 = max(Light, 0.01) * 1.0 * gene_modifier + exogenous_supply"
CRY2,,Light,,"CRY2 = max(Light, 0.01) * 1.0 * gene_modifier + exogenous_supply"
UVR8,,Light,,"UVR8 = max(Light, 0.01) * 1.0 * gene_modifier + exogenous_supply"
COP1,,SPA1,"PHYB,PHYA,CRY1,CRY2,UVR8","COP1 = max(SPA1, 0.01) * min(1/max(PHYB * PHYA * CRY1 * CRY2 * UVR8, 0.1), 10.0) * gene_modifier + exogenous_supply"
SPA1,,,,SPA1 = gene_modifier + exogenous_supply
DET1,,,,DET1 = gene_modifier + exogenous_supply
HY5,,"BBX21,UVR8,BBX11","Temperature,COP1,SPA1,BBX25","HY5 = (max(BBX21, 0.01) * max(UVR8, 0.01) * max(BBX11, 0.01))^(1/3) * min(1/max(Temperature * COP1 * SPA1 * BBX25, 0.1), 10.0) * gene_modifier + exogenous_supply"
HYH,,,COP1,"HYH = 1.0 * min(1/max(COP1, 0.1), 10.0) * gene_modifier + exogenous_supply"
HFR1,,"FHY1,PIF5",COP1,"HFR1 = (max(FHY1, 0.01) * max(PIF5, 0.01))^(1/2) * min(1/max(COP1, 0.1), 10.0) * gene_modifier + exogenous_supply"
BBX21,,,COP1,"BBX21 = 1.0 * min(1/max(COP1, 0.1), 10.0) * gene_modifier + exogenous_supply"
BBX11,,"PHYB,CRY1,BBX21",,"BBX11 = (max(PHYB, 0.01) * max(CRY1, 0.01) * max(BBX21, 0.01))^(1/3) * 1.0 * gene_modifier + exogenous_supply"
BBX25,,,COP1,"BBX25 = 1.0 * min(1/max(COP1, 0.1), 10.0) * gene_modifier + exogenous_supply"
FHY1,,PHYA,,"FHY1 = max(PHYA, 0.01) * 1.0 * gene_modifier + exogenous_supply"
PIF3,,"DET1,EIN3","PHYB,DELLA,BIN2","PIF3 = (max(DET1, 0.01) * max(EIN3, 0.01))^(1/2) * min(1/max(PHYB * DELLA * BIN2, 0.1), 10.0) * gene_modifier + exogenous_supply"
