node,node_type,activators,inhibitors,formula
Light,,,,Light = 1.0 * 1.0 * gene_modifier + exogenous
Temperature,,,,Temperature = 1.0 * 1.0 * gene_modifier + exogenous
PHYB,,Light,,PHYB = prod(f(Light)) * 1.0 * gene_modifier + exogenous
PHYA,,Light,,PHYA = prod(f(Light)) * 1.0 * gene_modifier + exogenous
CRY1,,Light,,CRY1 = prod(f(Light)) * 1.0 * gene_modifier + exogenous
CRY2,,Light,,CRY2 = prod(f(Light)) * 1.0 * gene_modifier + exogenous
UVR8,,Light,,UVR8 = prod(f(Light)) * 1.0 * gene_modifier + exogenous
COP1,,SPA1,"PHYB,PHYA,CRY1,CRY2,UVR8","COP1 = prod(f(SPA1)) * prod(g(PHYB, PHYA, CRY1, CRY2, UVR8)) * gene_modifier + exogenous"
SPA1,,,,SPA1 = 1.0 * 1.0 * gene_modifier + exogenous
DET1,,,,DET1 = 1.0 * 1.0 * gene_modifier + exogenous
HY5,,"BBX21,UVR8,BBX11","Temperature,COP1,SPA1,BBX25","HY5 = prod(f(BBX21, UVR8, BBX11)) * prod(g(Temperature, COP1, SPA1, BBX25)) * gene_modifier + exogenous"
HYH,,,COP1,HYH = 1.0 * prod(g(COP1)) * gene_modifier + exogenous
HFR1,,"FHY1,PIF5",COP1,"HFR1 = prod(f(FHY1, PIF5)) * prod(g(COP1)) * gene_modifier + exogenous"
BBX21,,,COP1,BBX21 = 1.0 * prod(g(COP1)) * gene_modifier + exogenous
BBX11,,"PHYB,CRY1,BBX21",,"BBX11 = prod(f(PHYB, CRY1, BBX21)) * 1.0 * gene_modifier + exogenous"
BBX25,,,COP1,BBX25 = 1.0 * prod(g(COP1)) * gene_modifier + exogenous
FHY1,,PHYA,,FHY1 = prod(f(PHYA)) * 1.0 * gene_modifier + exogenous
PIF3,,"DET1,EIN3","PHYB,DELLA,BIN2","PIF3 = prod(f(DET1, EIN3)) * prod(g(PHYB, DELLA, BIN2)) * gene_modifier + exogenous"
PIF4,,"DET1,BZR1,HSFA1D","PHYB,CRY1,HFR1,ELF3_EC,DELLA,TOC1,GI","PIF4 = prod(f(DET1, BZR1, HSFA1D)) * prod(g(PHYB, CRY1, HFR1, ELF3_EC, DELLA, TOC1, GI)) * gene_modifier + exogenous"
PIF5,,DET1,"UVR8,PHYB,ELF3_EC","PIF5 = prod(f(DET1)) * prod(g(UVR8, PHYB, ELF3_EC)) * gene_modifier + exogenous"
PIF7,,PIF4,"PHYB,CRY1","PIF7 = prod(f(PIF4)) * prod(g(PHYB, CRY1)) * gene_modifier + exogenous"
ELF3_EC,,,Temperature,ELF3_EC = 1.0 * prod(g(Temperature)) * gene_modifier + exogenous
TOC1,,,,TOC1 = 1.0 * 1.0 * gene_modifier + exogenous
GI,,PIF4,ELF3_EC,GI = prod(f(PIF4)) * prod(g(ELF3_EC)) * gene_modifier + exogenous
HSFA1D,,"Temperature,COP1",BIN2,"HSFA1D = prod(f(Temperature, COP1)) * prod(g(BIN2)) * gene_modifier + exogenous"
DET2,,,,DET2 = 1.0 * 1.0 * gene_modifier + exogenous
DWF4,,,BZR1,DWF4 = 1.0 * prod(g(BZR1)) * gene_modifier + exogenous
