test_id,gene,perturbation_type,gene_modifier,exogenous_node,exogenous_value,wt_value,perturbed_value,comparison_baseline,comparison_baseline_value,ratio,log2_fold_change,direction_threshold,predicted_direction,expected_direction,correct,phenotype_node,complexity_score,complexity_label,path_length,converged,iterations,evidence_doi
T002,ACC_treatment,exogenous_treatment,1.0,Ethylene,1.0,0.0,-0.00625,WT,0.0,0.99375,-0.009,1e-05,decreased,decreased,True,Hypocotyl_Length,1,easy,4,True,6,10.1007/s42994-021-00063-0
T003,ACC_treatment,exogenous_treatment,1.0,Ethylene,1.0,0.0,-0.00625,WT,0.0,0.99375,-0.009,1e-05,decreased,unchanged,False,Hypocotyl_Length,1,easy,4,True,6,10.1007/s42994-021-00063-0
T004,AFB5,knockout,0.997,Auxin,1.0,0.0,0.000863,mutant,-1e-05,1.000873,0.0013,1e-05,increased,increased,True,Hypocotyl_Length,2,medium,3,True,6,10.7554/eLife.19048
T006,ARF6,knockout,0.0,,,0.0,-0.027778,WT,0.0,0.972222,-0.0406,1e-05,decreased,decreased,True,Hypocotyl_Length,1,easy,1,True,3,10.1104/pp.18.00718
T007,ARF6_ARF7_ARF8,triple_knockout,0.0,,,0.0,-0.027778,WT,0.0,0.972222,-0.0406,1e-05,decreased,decreased,True,Hypocotyl_Length,1,easy,1,True,3,10.1104/pp.18.00718
T008,ARF6_ARF8,double_knockout,0.0,,,0.0,-0.027778,WT,0.0,0.972222,-0.0406,1e-05,decreased,decreased,True,Hypocotyl_Length,1,easy,1,True,3,10.7554/eLife.03031
T009,ARF7,knockout,0.5,,,0.0,-0.013889,WT,0.0,0.986111,-0.0202,1e-05,decreased,decreased,True,Hypocotyl_Length,1,easy,1,True,3,10.1104/pp.18.00718
T010,ARF8,knockout,0.5,,,0.0,-0.013889,WT,0.0,0.986111,-0.0202,1e-05,decreased,decreased,True,Hypocotyl_Length,1,easy,1,True,3,10.1104/pp.18.00718
T012,AXR2_IAA7,gain_of_function,2.0,,,0.0,-0.003472,WT,0.0,0.996528,-0.005,1e-05,decreased,decreased,True,Hypocotyl_Length,1,easy,2,True,4,10.1104/pp.18.00718
T013,AXR2_IAA7_AXR3_IAA17,double_knockout,0.0,,,0.0,0.003472,WT,0.0,1.003472,0.005,1e-05,increased,increased,True,Hypocotyl_Length,1,easy,2,True,4,10.1104/pp.18.00718
T014,Auxinole,chemical_treatment,0.1,,,0.0,-0.001563,WT,0.0,0.998437,-0.0023,1e-05,decreased,decreased,True,Hypocotyl_Length,1,easy,3,True,5,10.7554/eLife.19048
T015,BAK1,knockout,0.0,,,0.0,-0.002125,WT,0.0,0.997875,-0.0031,1e-05,decreased,decreased,True,Hypocotyl_Length,1,easy,3,True,7,10.1016/j.pbi.2014.07.012
T017,BBX21,knockout,0.0,,,0.0,0.002315,WT,0.0,1.002315,0.0033,1e-05,increased,increased,True,Hypocotyl_Length,1,easy,2,True,5,10.1073/pnas.1607687113
T018,BBX21,overexpression,2.0,,,0.0,-0.002315,WT,0.0,0.997685,-0.0033,1e-05,decreased,decreased,True,Hypocotyl_Length,1,easy,2,True,5,10.1073/pnas.1607687113
T021,BES1,gain_of_function,2.0,,,0.0,0.032775,WT,0.0,1.032775,0.0465,1e-05,increased,increased,True,Hypocotyl_Length,1,easy,1,True,8,10.1016/j.pbi.2014.07.012
T022,BIN2,gain_of_function,2.0,,,0.0,-0.008501,WT,0.0,0.991499,-0.0123,1e-05,decreased,increased,False,Hypocotyl_Length,1,easy,2,True,8,10.1073/pnas.1700850114
T023,BIN2,gain_of_function,2.0,,,0.0,-0.008501,WT,0.0,0.991499,-0.0123,1e-05,decreased,decreased,True,Hypocotyl_Length,1,easy,2,True,8,10.1016/j.pbi.2014.07.012
T024,BL_treatment,exogenous_treatment,1.0,BR,1.0,0.0,0.000531,WT,0.0,1.000531,0.0008,1e-05,increased,increased,True,Hypocotyl_Length,1,easy,4,True,8,10.1016/j.pbi.2014.07.012
T025,BRI1,knockout,0.0,,,0.0,-0.001062,WT,0.0,0.998938,-0.0015,1e-05,decreased,decreased,True,Hypocotyl_Length,1,easy,3,True,7,10.1016/j.pbi.2014.07.012
T026,BR_treatment,exogenous_treatment,1.0,BR,1.0,0.0,0.000531,WT,0.0,1.000531,0.0008,1e-05,increased,increased,True,Hypocotyl_Length,1,easy,4,True,8,10.1016/j.pbi.2014.07.012
T027,BZR1,gain_of_function,2.0,,,0.0,0.032775,WT,0.0,1.032775,0.0465,1e-05,increased,increased,True,Hypocotyl_Length,1,easy,1,True,8,10.1016/j.pbi.2014.07.012
T028,Brassinazole_Brz,chemical_treatment,0.1,,,0.0,-9.5e-05,WT,0.0,0.999905,-0.0001,1e-05,decreased,decreased,True,Hypocotyl_Length,1,easy,5,True,6,10.1016/j.pbi.2014.07.012
T031,COP1,knockout,0.0,,,0.0,-0.01762,WT,0.0,0.98238,-0.0256,1e-05,decreased,decreased,True,Hypocotyl_Length,1,easy,2,True,8,10.1073/pnas.1700850114
T032,COP1,knockout,0.0,,,0.0,-0.01762,WT,0.0,0.98238,-0.0256,1e-05,decreased,decreased,True,Hypocotyl_Length,1,easy,2,True,8,10.1038/emboj.2009.4
T033,CRY1,knockout,0.0,,,0.0,0.00336,WT,0.0,1.00336,0.0048,1e-05,increased,increased,True,Hypocotyl_Length,1,easy,2,True,8,10.1016/B978-0-12-801922-1.00007-5
T034,CRY1,overexpression,2.0,,,0.0,-0.00336,WT,0.0,0.99664,-0.0049,1e-05,decreased,decreased,True,Hypocotyl_Length,1,easy,2,True,8,10.1016/B978-0-12-801922-1.00007-5
T035,CRY1_CRY2,double_knockout,0.0,,,0.0,0.004828,WT,0.0,1.004828,0.0069,1e-05,increased,increased,True,Hypocotyl_Length,2,medium,2,True,8,10.1016/B978-0-12-801922-1.00007-5
T036,CRY2,knockout,0.0,,,0.0,0.001468,WT,0.0,1.001468,0.0021,1e-05,increased,increased,True,Hypocotyl_Length,1,easy,3,True,7,10.1016/B978-0-12-801922-1.00007-5
T037,CRY2,overexpression,2.0,,,0.0,-0.001468,WT,0.0,0.998532,-0.0021,1e-05,decreased,decreased,True,Hypocotyl_Length,1,easy,3,True,7,10.1016/B978-0-12-801922-1.00007-5
T038,CTR1,knockout,0.0,,,0.0,-0.00625,WT,0.0,0.99375,-0.009,1e-05,decreased,decreased,True,Hypocotyl_Length,1,easy,3,True,6,10.1007/s42994-021-00063-0
T039,DELLA,quintuple_knockout,0.0,,,0.0,0.041043,WT,0.0,1.041043,0.058,1e-05,increased,increased,True,Hypocotyl_Length,1,easy,1,True,8,10.1199/tab.0103
T040,DELLA_pentuple,quintuple_knockout,0.0,,,0.0,0.041043,WT,0.0,1.041043,0.058,1e-05,increased,increased,True,Hypocotyl_Length,1,easy,1,True,8,10.7554/eLife.03031
T041,DET1,knockout,0.0,,,0.0,-0.015538,WT,0.0,0.984462,-0.0226,1e-05,decreased,decreased,True,Hypocotyl_Length,1,easy,2,True,7,10.1105/tpc.114.130666
T042,DET2,knockout,0.0,,,0.0,-0.000106,WT,0.0,0.999894,-0.0002,1e-05,decreased,decreased,True,Hypocotyl_Length,1,easy,5,True,6,10.1016/j.pbi.2014.07.012
T043,DWF4,knockout,0.0,,,0.0,-5.4e-05,WT,0.0,0.999946,-0.0001,1e-05,decreased,decreased,True,Hypocotyl_Length,1,easy,5,True,7,10.1016/j.pbi.2014.07.012
