network,edge_id,source,target,sign,confidence,in_model,n_papers,dois
Lateral Root Density,E001,Auxin,TIR1,1,HIGH,True,1,10.7554/eLife.54740
Lateral Root Density,E002,TIR1,IAA14,-1,HIGH,True,1,10.1101/cshperspect.a039933
Lateral Root Density,E003,TIR1,IAA3,-1,HIGH,True,1,10.1101/cshperspect.a039933
Lateral Root Density,E004,TIR1,IAA28,-1,HIGH,True,1,10.1101/cshperspect.a039933
Lateral Root Density,E005,TIR1,Lateral_Root_Density,1,HIGH,True,1,10.7554/eLife.54740
Lateral Root Density,E006,AFB2,Lateral_Root_Density,1,HIGH,True,1,10.7554/eLife.54740
Lateral Root Density,E007,AFB3,NAC4,1,HIGH,True,1,10.3390/genes11060633
Lateral Root Density,E008,AFB3,OBP4,1,MEDIUM,False,1,10.3390/genes11060633
Lateral Root Density,E009,miR393,AFB3,-1,HIGH,True,1,10.3390/genes11060633
Lateral Root Density,E010,Nitrate,AFB3,1,HIGH,True,1,10.3390/genes11060633
Lateral Root Density,E011,IAA14,ARF7,-1,HIGH,True,1,10.1101/cshperspect.a039941
Lateral Root Density,E012,IAA14,ARF19,-1,HIGH,True,1,10.3390/ijms20030486
Lateral Root Density,E013,IAA28,ARF7,-1,HIGH,True,1,10.1101/cshperspect.a039933
Lateral Root Density,E014,IAA28,ARF19,-1,HIGH,False,1,10.1101/cshperspect.a039933
Lateral Root Density,E015,IAA3,ARF7,-1,HIGH,True,1,10.1101/cshperspect.a039941
Lateral Root Density,E016,IAA12,ARF5,-1,HIGH,True,1,10.1101/cshperspect.a039933
Lateral Root Density,E017,IAA8,ARF7,-1,MEDIUM,False,1,10.3390/ijms20030486
Lateral Root Density,E018,ARF7,LBD16,1,HIGH,True,1,10.1105/tpc.106.047761
Lateral Root Density,E019,ARF7,LBD29,1,HIGH,True,1,10.1105/tpc.106.047761
Lateral Root Density,E020,ARF7,LBD18,1,HIGH,True,1,10.1105/tpc.106.047761
Lateral Root Density,E021,ARF19,LBD16,1,HIGH,True,1,10.1105/tpc.106.047761
Lateral Root Density,E022,ARF19,LBD29,1,HIGH,True,1,10.1105/tpc.106.047761
Lateral Root Density,E023,ARF19,LBD18,1,HIGH,True,1,10.1105/tpc.109.066480
Lateral Root Density,E024,ARF5,LBD16,1,MEDIUM,True,1,10.1101/cshperspect.a039933
Lateral Root Density,E025,ARF5,ARR15,-1,HIGH,False,1,10.3390/ijms20030486
Lateral Root Density,E026,LBD16,PUCHI,1,HIGH,True,1,10.1101/cshperspect.a039933
Lateral Root Density,E027,LBD29,LAX3,1,HIGH,True,1,10.1101/cshperspect.a039933
Lateral Root Density,E028,LBD18,EXP14,1,HIGH,False,1,10.1101/cshperspect.a039933
Lateral Root Density,E029,LBD16,Lateral_Root_Density,1,HIGH,True,1,10.1105/tpc.106.047761
Lateral Root Density,E030,LBD18,Lateral_Root_Density,1,HIGH,True,1,10.1105/tpc.109.066480
