network,method,path_length,n_correct,n_total,accuracy_pct
Lateral Root Density,Algebraic,1,42,45,93.33
Lateral Root Density,Algebraic,2,22,26,84.62
Lateral Root Density,Algebraic,3,25,30,83.33
Lateral Root Density,Algebraic,4,14,18,77.78
Lateral Root Density,ODE,1,41,45,91.11
Lateral Root Density,ODE,2,23,26,88.46
Lateral Root Density,ODE,3,25,30,83.33
Lateral Root Density,ODE,4,14,18,77.78
Lateral Root Density,RWR,1,40,45,88.89
Lateral Root Density,RWR,2,24,26,92.31
Lateral Root Density,RWR,3,25,30,83.33
Lateral Root Density,RWR,4,14,18,77.78
