source,source_type,target,target_type,effect,edge_type,confidence,mechanism,doi,paper_title,authors,year,journal,evidence_sentence,verification,species_validated
Auxin,HORMONE,TIR1,GENE,activation,post-translational,HIGH,Auxin binds TIR1/AFB F-box co-receptor to form SCF complex with Aux/IAA substrate,,,,,,auxins are perceived by co-receptor complex consisting of TIR1/AFB... Formation leads to degradation of Aux/IAA protein,,
TIR1,GENE,IAA14,GENE,inhibition,post-translational,HIGH,SCF-TIR1 ubiquitinates IAA14 for 26S proteasomal degradation in presence of auxin,,,,,,The auxin signal captured by TIR1/AFBs accelerates the degradation of Aux/IAA proteins such as IAA14/SLR,,
TIR1,GENE,IAA3,GENE,inhibition,post-translational,HIGH,Auxin-dependent SCF-TIR1 degradation of IAA3/SHY2,,,,,,"TIR1/AFBs accelerates the degradation of Aux/IAA proteins such as IAA14/SLR, IAA3/SHY2, IAA19/MSG2, and IAA28",,
TIR1,GENE,IAA28,GENE,inhibition,post-translational,HIGH,SCF-TIR1 degradation of IAA28,,,,,,"TIR1/AFBs accelerates the degradation of Aux/IAA proteins such as IAA14/SLR, IAA3/SHY2, IAA19/MSG2, and IAA28",,
TIR1,GENE,Lateral_Root_Density,PHENOTYPE,activation,signaling,HIGH,Auxin receptor TIR1 required for LR initiation via Aux/IAA-ARF derepression,,,,,,the tir1 allele had the largest effect on induction of lateral root primordia,,
AFB2,GENE,Lateral_Root_Density,PHENOTYPE,activation,signaling,HIGH,AFB2 auxin co-receptor redundant with TIR1 for LR formation,,,,,,afb2 mutations having smaller median effects on lateral roots,,
AFB3,GENE,NAC4,GENE,activation,transcriptional,HIGH,AFB3 upregulates NAC4 TF under nitrate signalling,,,,,,AFB3 coregulates NAC4 and OBP4,,
AFB3,GENE,OBP4,GENE,activation,transcriptional,MEDIUM,AFB3 upregulates OBP4 under nitrate signalling,,,,,,AFB3 coregulates NAC4 and OBP4,,
miR393,REGULATORY_RNA,AFB3,GENE,repression,post-transcriptional,HIGH,miR393 directs cleavage of AFB3 transcript,,,,,,AFB3 is repressed by miR393,,
Nitrate,METABOLITE,AFB3,GENE,activation,transcriptional,HIGH,Nitrate induces AFB3 expression in root tissue,,,,,,AFB3 is induced by NO3-,,
IAA14,GENE,ARF7,GENE,repression,protein-protein,HIGH,IAA14 physically binds ARF7 via PB1 domain to repress its transcriptional activity,,,,,,auxin-regulated signaling modules...IAA14-ARF7-LBD16,,
IAA14,GENE,ARF19,GENE,repression,protein-protein,HIGH,IAA14 physically binds ARF19 to repress its activity,,,,,,SLR/IAA14-ARF7 and ARF19 in cortex and epidermis regulate pathways enabling separation,,
IAA28,GENE,ARF7,GENE,repression,protein-protein,HIGH,IAA28 represses ARF6/7/8/19 in basal meristem for founder cell specification,,,,,,GATA23 activated at specific pre-branch sites through IAA28-ARF 6/7/8/19-dependent pathway,,
IAA28,GENE,ARF19,GENE,repression,protein-protein,HIGH,IAA28 represses ARF19 activity in basal meristem,,,,,,IAA28-ARF 6/7/8/19-dependent pathway,,
IAA3,GENE,ARF7,GENE,repression,protein-protein,HIGH,SHY2/IAA3 binds ARF7 in endodermis to control cell remodeling,,,,,,SHY2/IAA3-ARF7 in the endodermis regulates pathways enabling separation of cells,,
IAA12,GENE,ARF5,GENE,repression,protein-protein,HIGH,BDL/IAA12 binds ARF5/MP to repress first cell division,,,,,,regulated by BDL-ARF5- and SLR14-ARF7-dependent LBD16 expression,,
IAA8,GENE,ARF7,GENE,repression,protein-protein,MEDIUM,IAA8 interacts with TIR1 and ARFs to modulate LR formation,,,,,,IAA8 interacts with TIR1 Auxin Receptor and ARF Transcription Factors in LR Formation,,
ARF7,GENE,LBD16,GENE,activation,transcriptional,HIGH,ARF7 directly binds LBD16 promoter to activate transcription as primary auxin response,,,,,,"recombinant GST-ARF7 protein, but not GST alone, bound to the single LBD16 promoter",,
