node,node_type,activators,inhibitors,formula
Lateral_Root_Density,,"LBD,PLT,LAX3,PIN,ANR1,GATA23,BZR","ARR_B,CLV1,EIN2,ABI4_5,DELLA,D14,MAX2","Lateral_Root_Density = (max(LBD, 0.01) * max(PLT, 0.01) * max(LAX3, 0.01) * max(PIN, 0.01) * max(ANR1, 0.01) * max(GATA23, 0.01) * max(BZR, 0.01))^(1/7) * min(1/max(ARR_B * CLV1 * EIN2 * ABI4_5 * DELLA * D14 * MAX2, 0.1), 10.0) * gene_modifier + exogenous_supply"
Auxin,,"TAA1,TAR2,YUC4,AUX1","GH3,DAO1","Auxin = (max(TAA1, 0.01) * max(TAR2, 0.01) * max(YUC4, 0.01) * max(AUX1, 0.01))^(1/4) * min(1/max(GH3 * DAO1, 0.1), 10.0) * gene_modifier + exogenous_supply"
Cytokinin,,IPT5,CKX2,"Cytokinin = max(IPT5, 0.01)^(1/1) * min(1/max(CKX2, 0.1), 10.0) * gene_modifier + exogenous_supply"
Ethylene,,"ACS,ACO",,"Ethylene = (max(ACS, 0.01) * max(ACO, 0.01))^(1/2) * 1.0 * gene_modifier + exogenous_supply"
ABA,,,,ABA = gene_modifier + exogenous_supply
GA,,,,GA = gene_modifier + exogenous_supply
Strigolactone,,"MAX1,MAX3,MAX4",,"Strigolactone = (max(MAX1, 0.01) * max(MAX3, 0.01) * max(MAX4, 0.01))^(1/3) * 1.0 * gene_modifier + exogenous_supply"
Brassinosteroid,,,,Brassinosteroid = gene_modifier + exogenous_supply
Low_Nitrate,,,,Low_Nitrate = gene_modifier + exogenous_supply
Low_Phosphate,,,,Low_Phosphate = gene_modifier + exogenous_supply
TIR1,,"Auxin,Low_Phosphate",,"TIR1 = (max(Auxin, 0.01) * max(Low_Phosphate, 0.01))^(1/2) * 1.0 * gene_modifier + exogenous_supply"
IAA14,,,TIR1,"IAA14 = 1.0 * min(1/max(TIR1, 0.1), 10.0) * gene_modifier + exogenous_supply"
IAA28,,,TIR1,"IAA28 = 1.0 * min(1/max(TIR1, 0.1), 10.0) * gene_modifier + exogenous_supply"
ARF7,,,"IAA14,IAA28","ARF7 = 1.0 * min(1/max(IAA14 * IAA28, 0.1), 10.0) * gene_modifier + exogenous_supply"
ARF19,,,"IAA14,IAA28,HY5","ARF19 = 1.0 * min(1/max(IAA14 * IAA28 * HY5, 0.1), 10.0) * gene_modifier + exogenous_supply"
LBD,,"ARF7,ARF19,WOX11",,"LBD = (max(ARF7, 0.01) * max(ARF19, 0.01) * max(WOX11, 0.01))^(1/3) * 1.0 * gene_modifier + exogenous_supply"
PLT,,"ARF7,ARF19",,"PLT = (max(ARF7, 0.01) * max(ARF19, 0.01))^(1/2) * 1.0 * gene_modifier + exogenous_supply"
GATA23,,ARF7,IAA28,"GATA23 = max(ARF7, 0.01)^(1/1) * min(1/max(IAA28, 0.1), 10.0) * gene_modifier + exogenous_supply"
WOX11,,Auxin,,"WOX11 = max(Auxin, 0.01)^(1/1) * 1.0 * gene_modifier + exogenous_supply"
PIN,,PLT,,"PIN = max(PLT, 0.01)^(1/1) * 1.0 * gene_modifier + exogenous_supply"
AUX1,,,,AUX1 = gene_modifier + exogenous_supply
LAX3,,LBD,,"LAX3 = max(LBD, 0.01)^(1/1) * 1.0 * gene_modifier + exogenous_supply"
TAA1,,,,TAA1 = gene_modifier + exogenous_supply
TAR2,,Low_Nitrate,CHL1,"TAR2 = max(Low_Nitrate, 0.01)^(1/1) * min(1/max(CHL1, 0.1), 10.0) * gene_modifier + exogenous_supply"
YUC4,,,,YUC4 = gene_modifier + exogenous_supply
GH3,,,,GH3 = gene_modifier + exogenous_supply
DAO1,,,,DAO1 = gene_modifier + exogenous_supply
AHK,,Cytokinin,,"AHK = max(Cytokinin, 0.01)^(1/1) * 1.0 * gene_modifier + exogenous_supply"
ARR_B,,AHK,,"ARR_B = max(AHK, 0.01)^(1/1) * 1.0 * gene_modifier + exogenous_supply"
IPT5,,,,IPT5 = gene_modifier + exogenous_supply
CKX2,,,,CKX2 = gene_modifier + exogenous_supply
CHL1,,,,CHL1 = gene_modifier + exogenous_supply
NLP7,,CHL1,,"NLP7 = max(CHL1, 0.01)^(1/1) * 1.0 * gene_modifier + exogenous_supply"
ANR1,,"NLP7,CHL1",,"ANR1 = (max(NLP7, 0.01) * max(CHL1, 0.01))^(1/2) * 1.0 * gene_modifier + exogenous_supply"
CLE,,Low_Nitrate,,"CLE = max(Low_Nitrate, 0.01)^(1/1) * 1.0 * gene_modifier + exogenous_supply"
CLV1,,CLE,,"CLV1 = max(CLE, 0.01)^(1/1) * 1.0 * gene_modifier + exogenous_supply"
EIN2,,Ethylene,CTR1,"EIN2 = max(Ethylene, 0.01)^(1/1) * min(1/max(CTR1, 0.1), 10.0) * gene_modifier + exogenous_supply"
CTR1,,,,CTR1 = gene_modifier + exogenous_supply
ACS,,,,ACS = gene_modifier + exogenous_supply
ACO,,,,ACO = gene_modifier + exogenous_supply
PYL8,,ABA,,"PYL8 = max(ABA, 0.01)^(1/1) * 1.0 * gene_modifier + exogenous_supply"
ABI1,,,PYL8,"ABI1 = 1.0 * min(1/max(PYL8, 0.1), 10.0) * gene_modifier + exogenous_supply"
SNRK2,,,ABI1,"SNRK2 = 1.0 * min(1/max(ABI1, 0.1), 10.0) * gene_modifier + exogenous_supply"
ABI4_5,,"SNRK2,ABA",,"ABI4_5 = (max(SNRK2, 0.01) * max(ABA, 0.01))^(1/2) * 1.0 * gene_modifier + exogenous_supply"
DELLA,,,GA,"DELLA = 1.0 * min(1/max(GA, 0.1), 10.0) * gene_modifier + exogenous_supply"
D14,,Strigolactone,,"D14 = max(Strigolactone, 0.01)^(1/1) * 1.0 * gene_modifier + exogenous_supply"
MAX2,,,,MAX2 = gene_modifier + exogenous_supply
MAX1,,,,MAX1 = gene_modifier + exogenous_supply
MAX3,,,,MAX3 = gene_modifier + exogenous_supply
MAX4,,,,MAX4 = gene_modifier + exogenous_supply
BRI1,,Brassinosteroid,,"BRI1 = max(Brassinosteroid, 0.01)^(1/1) * 1.0 * gene_modifier + exogenous_supply"
BIN2,,,BRI1,"BIN2 = 1.0 * min(1/max(BRI1, 0.1), 10.0) * gene_modifier + exogenous_supply"
BZR,,,BIN2,"BZR = 1.0 * min(1/max(BIN2, 0.1), 10.0) * gene_modifier + exogenous_supply"
HY5,,PHYB,,"HY5 = max(PHYB, 0.01)^(1/1) * 1.0 * gene_modifier + exogenous_supply"
PHYB,,,,PHYB = gene_modifier + exogenous_supply
