node,node_type,activators,inhibitors,formula
Lateral_Root_Density,,"LBD,PLT,LAX3,PIN,ANR1,GATA23,BZR","ARR_B,CLV1,EIN2,ABI4_5,DELLA,D14,MAX2","Lateral_Root_Density = prod(f(LBD, PLT, LAX3, PIN, ANR1, GATA23, BZR)) * prod(g(ARR_B, CLV1, EIN2, ABI4_5, DELLA, D14, MAX2)) * gene_modifier + exogenous"
Auxin,,"TAA1,TAR2,YUC4,AUX1","GH3,DAO1","Auxin = prod(f(TAA1, TAR2, YUC4, AUX1)) * prod(g(GH3, DAO1)) * gene_modifier + exogenous"
Cytokinin,,IPT5,CKX2,Cytokinin = prod(f(IPT5)) * prod(g(CKX2)) * gene_modifier + exogenous
Ethylene,,"ACS,ACO",,"Ethylene = prod(f(ACS, ACO)) * 1.0 * gene_modifier + exogenous"
ABA,,,,ABA = 1.0 * 1.0 * gene_modifier + exogenous
GA,,,,GA = 1.0 * 1.0 * gene_modifier + exogenous
Strigolactone,,"MAX1,MAX3,MAX4",,"Strigolactone = prod(f(MAX1, MAX3, MAX4)) * 1.0 * gene_modifier + exogenous"
Brassinosteroid,,,,Brassinosteroid = 1.0 * 1.0 * gene_modifier + exogenous
Low_Nitrate,,,,Low_Nitrate = 1.0 * 1.0 * gene_modifier + exogenous
Low_Phosphate,,,,Low_Phosphate = 1.0 * 1.0 * gene_modifier + exogenous
TIR1,,"Auxin,Low_Phosphate",,"TIR1 = prod(f(Auxin, Low_Phosphate)) * 1.0 * gene_modifier + exogenous"
IAA14,,,TIR1,IAA14 = 1.0 * prod(g(TIR1)) * gene_modifier + exogenous
IAA28,,,TIR1,IAA28 = 1.0 * prod(g(TIR1)) * gene_modifier + exogenous
ARF7,,,"IAA14,IAA28","ARF7 = 1.0 * prod(g(IAA14, IAA28)) * gene_modifier + exogenous"
ARF19,,,"IAA14,IAA28,HY5","ARF19 = 1.0 * prod(g(IAA14, IAA28, HY5)) * gene_modifier + exogenous"
LBD,,"ARF7,ARF19,WOX11",,"LBD = prod(f(ARF7, ARF19, WOX11)) * 1.0 * gene_modifier + exogenous"
PLT,,"ARF7,ARF19",,"PLT = prod(f(ARF7, ARF19)) * 1.0 * gene_modifier + exogenous"
GATA23,,ARF7,IAA28,GATA23 = prod(f(ARF7)) * prod(g(IAA28)) * gene_modifier + exogenous
WOX11,,Auxin,,WOX11 = prod(f(Auxin)) * 1.0 * gene_modifier + exogenous
PIN,,PLT,,PIN = prod(f(PLT)) * 1.0 * gene_modifier + exogenous
AUX1,,,,AUX1 = 1.0 * 1.0 * gene_modifier + exogenous
LAX3,,LBD,,LAX3 = prod(f(LBD)) * 1.0 * gene_modifier + exogenous
TAA1,,,,TAA1 = 1.0 * 1.0 * gene_modifier + exogenous
TAR2,,Low_Nitrate,CHL1,TAR2 = prod(f(Low_Nitrate)) * prod(g(CHL1)) * gene_modifier + exogenous
YUC4,,,,YUC4 = 1.0 * 1.0 * gene_modifier + exogenous
GH3,,,,GH3 = 1.0 * 1.0 * gene_modifier + exogenous
DAO1,,,,DAO1 = 1.0 * 1.0 * gene_modifier + exogenous
AHK,,Cytokinin,,AHK = prod(f(Cytokinin)) * 1.0 * gene_modifier + exogenous
ARR_B,,AHK,,ARR_B = prod(f(AHK)) * 1.0 * gene_modifier + exogenous
IPT5,,,,IPT5 = 1.0 * 1.0 * gene_modifier + exogenous
CKX2,,,,CKX2 = 1.0 * 1.0 * gene_modifier + exogenous
CHL1,,,,CHL1 = 1.0 * 1.0 * gene_modifier + exogenous
NLP7,,CHL1,,NLP7 = prod(f(CHL1)) * 1.0 * gene_modifier + exogenous
ANR1,,"NLP7,CHL1",,"ANR1 = prod(f(NLP7, CHL1)) * 1.0 * gene_modifier + exogenous"
CLE,,Low_Nitrate,,CLE = prod(f(Low_Nitrate)) * 1.0 * gene_modifier + exogenous
CLV1,,CLE,,CLV1 = prod(f(CLE)) * 1.0 * gene_modifier + exogenous
EIN2,,Ethylene,CTR1,EIN2 = prod(f(Ethylene)) * prod(g(CTR1)) * gene_modifier + exogenous
CTR1,,,,CTR1 = 1.0 * 1.0 * gene_modifier + exogenous
ACS,,,,ACS = 1.0 * 1.0 * gene_modifier + exogenous
ACO,,,,ACO = 1.0 * 1.0 * gene_modifier + exogenous
PYL8,,ABA,,PYL8 = prod(f(ABA)) * 1.0 * gene_modifier + exogenous
ABI1,,,PYL8,ABI1 = 1.0 * prod(g(PYL8)) * gene_modifier + exogenous
SNRK2,,,ABI1,SNRK2 = 1.0 * prod(g(ABI1)) * gene_modifier + exogenous
ABI4_5,,"SNRK2,ABA",,"ABI4_5 = prod(f(SNRK2, ABA)) * 1.0 * gene_modifier + exogenous"
DELLA,,,GA,DELLA = 1.0 * prod(g(GA)) * gene_modifier + exogenous
D14,,Strigolactone,,D14 = prod(f(Strigolactone)) * 1.0 * gene_modifier + exogenous
MAX2,,,,MAX2 = 1.0 * 1.0 * gene_modifier + exogenous
MAX1,,,,MAX1 = 1.0 * 1.0 * gene_modifier + exogenous
MAX3,,,,MAX3 = 1.0 * 1.0 * gene_modifier + exogenous
MAX4,,,,MAX4 = 1.0 * 1.0 * gene_modifier + exogenous
BRI1,,Brassinosteroid,,BRI1 = prod(f(Brassinosteroid)) * 1.0 * gene_modifier + exogenous
BIN2,,,BRI1,BIN2 = 1.0 * prod(g(BRI1)) * gene_modifier + exogenous
BZR,,,BIN2,BZR = 1.0 * prod(g(BIN2)) * gene_modifier + exogenous
