test_id,gene,perturbation_type,gene_modifier,exogenous_node,exogenous_value,wt_value,perturbed_value,comparison_baseline,comparison_baseline_value,ratio,log2_fold_change,direction_threshold,predicted_direction,expected_direction,correct,phenotype_node,complexity_score,complexity_label,path_length,converged,iterations,evidence_doi
T001,TIR1,knockout,0.0,,,1.0,0.000285,WT,1.0,0.000285,-11.7774,0.05,decreased,decreased,True,Lateral_Root_Density,1,easy,3,True,93,10.7554/eLife.54740
T002,AFB1,knockout,0.997,,,1.0,0.945305,WT,1.0,0.945305,-0.0811,0.05,decreased,increased,False,Lateral_Root_Density,1,easy,3,True,106,10.7554/eLife.54740
T003,AFB2,knockout,0.85,,,1.0,0.004227,WT,1.0,0.004227,-7.8862,0.05,decreased,decreased,True,Lateral_Root_Density,1,easy,3,True,133,10.7554/eLife.54740
T004,TIR1 AFB2,double_knockout,0.5,,,1.0,9e-05,WT,1.0,9e-05,-13.447,0.05,decreased,decreased,True,Lateral_Root_Density,1,easy,3,True,108,10.7554/eLife.54740
T005,TIR1 AFB2 AFB3,triple_knockout,0.0,,,1.0,0.000285,WT,1.0,0.000285,-11.7774,0.05,decreased,decreased,True,Lateral_Root_Density,1,easy,3,True,93,10.7554/eLife.54740
T006,AFB4 AFB5,double_knockout,0.8,,,1.0,0.000172,WT,1.0,0.000172,-12.5056,0.05,decreased,decreased,True,Lateral_Root_Density,1,easy,3,True,132,10.7554/eLife.54740
T007,IAA14,gain_of_function,2.0,,,1.0,0.000104,WT,1.0,0.000104,-13.2312,0.05,decreased,decreased,True,Lateral_Root_Density,1,easy,3,True,102,10.1105/tpc.008110
T008,IAA28,gain_of_function,2.0,,,1.0,8.4e-05,WT,1.0,8.4e-05,-13.5473,0.05,decreased,decreased,True,Lateral_Root_Density,1,easy,2,True,102,10.1101/cshperspect.a039933
T010,IAA3,gain_of_function,2.0,,,1.0,0.000104,WT,1.0,0.000104,-13.2312,0.05,decreased,decreased,True,Lateral_Root_Density,1,easy,3,True,102,10.3390/ijms20030486
T011,ARF7,knockout,0.0,,,1.0,0.000352,WT,1.0,0.000352,-11.4727,0.05,decreased,decreased,True,Lateral_Root_Density,1,easy,2,True,84,10.1105/tpc.106.047761
