network,edge_id,source,source_type,target,target_type,sign,effect,mechanism,n_evidence,doi_list
Plant Height,N001,Sucrose,METABOLITE,miR156,REGULATORY_RNA,-1,inhibition,"Sucrose (and its hydrolytic hexose products glucose/fructose) represses MIR156A and MIR156C gene transcription, reducing mature miR156 levels to promote juvenile-to-adult transition",2,10.7554/eLife.00260; 10.7554/eLife.00269
Plant Height,N002,miR156,REGULATORY_RNA,SPL9,GENE,-1,inhibition,miR156 targets SPL9 mRNA for cleavage and translational repression; high miR156 in juvenile phase keeps SPL9 levels low,2,10.1016/j.cell.2009.06.031; 10.7554/eLife.00260
Plant Height,N003,SPL9,GENE,Plant_Height,PHENOTYPE,-1,inhibition,SPL9 promotes floral transition and shoot maturation; higher SPL9 activity leads to earlier flowering and shorter inflorescence stems. spl9 spl15 double mutant showed significantly reduced inflorescence height (6.9 cm vs 12.1 cm in wild-type) demonstrating SPL9 shortens plant height via earlier reproductive transition,1,10.1007/s11103-008-9310-z
Plant Height,N004,Cold_Vernalization,ENVIRONMENT,VIN3,GENE,1,activation,Extended cold exposure progressively induces VIN3 transcription via unknown cold sensors,1,10.1073/pnas.0606385103
Plant Height,N005,VIN3,GENE,FLC,GENE,-1,inhibition,VIN3 PHD protein joins PRC2-like complex to deposit H3K27me3 at FLC and silence it,1,10.1073/pnas.0606385103
Plant Height,N006,FRI,GENE,FLC,GENE,1,activation,FRI (FRIGIDA) is a coiled-coil protein that recruits chromatin modifiers to activate FLC expression to high levels,1,10.1105/tpc.12.6.885
Plant Height,N007,FLC,GENE,FT,GENE,-1,inhibition,"FLC (MADS-box transcription factor) directly represses FT expression by binding to its promoter/regulatory regions, delaying flowering",1,10.1007/s12298-017-0458-3
Plant Height,N008,Light,ENVIRONMENT,PHYB,GENE,1,activation,Red light converts phyB to active Pfr form; far-red converts back to inactive Pr,1,10.3389/fpls.2019.00914
Plant Height,N009,Light,ENVIRONMENT,HFR1,GENE,1,activation,Low R:FR (shade) transcriptionally induces HFR1 via phytochromes as a negative-feedback brake,1,10.1038/emboj.2009.306
Plant Height,N010,PHYB,GENE,PIF4_5_7,PROTEIN_COMPLEX,-1,inhibition,Light-activated phyB binds PIF4 to promote its phosphorylation-dependent degradation,1,10.1038/s41467-020-14905-w
Plant Height,N011,HFR1,GENE,PIF4_5_7,PROTEIN_COMPLEX,-1,inhibition,"HFR1 forms non-DNA-binding heterodimers with PIF4, blocking PIF4 DNA binding without degradation",1,10.1038/emboj.2009.306
Plant Height,N012,PAR1,GENE,PIF4_5_7,PROTEIN_COMPLEX,-1,inhibition,PAR1 small HLH prevents PIF4 from binding DNA,1,10.1038/emboj.2009.306
Plant Height,N013,Temperature,ENVIRONMENT,PIF4_5_7,PROTEIN_COMPLEX,1,activation,"High ambient temperature increases PIF4 protein abundance and activity, independent of light",1,10.1016/j.cub.2009.06.046
