network,edge_id,source,target,sign,confidence,in_model,n_papers,dois
Plant Height,E001,miR156,SPL2,-1,HIGH,False,1,10.1016/j.cell.2009.06.031
Plant Height,E002,miR156,SPL3,-1,HIGH,False,2,10.1016/j.devcel.2009.06.007; 10.1242/dev.02521
Plant Height,E003,miR156,SPL9,-1,HIGH,False,2,10.1016/j.cell.2009.06.031; 10.7554/eLife.00260
Plant Height,E004,miR156,SPL10,-1,HIGH,False,1,10.1016/j.cell.2009.06.031
Plant Height,E005,miR156,SPL13,-1,HIGH,False,1,10.1371/journal.pgen.1006263
Plant Height,E006,miR156,SPL15,-1,HIGH,False,1,10.1007/s11103-008-9310-z
Plant Height,E007,SPL9,MIR156,-1,MEDIUM,False,1,10.3390/ijms20246166
Plant Height,E008,SPL9,MIR172B,1,HIGH,False,2,10.1016/j.cell.2009.06.031; 10.1371/journal.pgen.1006263
Plant Height,E009,SPL10,MIR172B,1,HIGH,False,1,10.1016/j.cell.2009.06.031
Plant Height,E010,SPL15,MIR172B,1,HIGH,False,1,10.1371/journal.pbio.3001043
Plant Height,E011,miR172,AP2,-1,HIGH,False,1,10.1105/tpc.016238
Plant Height,E012,miR172,TOE1,-1,HIGH,False,1,10.1105/tpc.016238
Plant Height,E013,miR172,TOE2,-1,HIGH,False,1,10.1371/journal.pbio.3001043
Plant Height,E014,miR172,TOE3,-1,HIGH,False,1,10.1105/tpc.016238
Plant Height,E015,miR172,SMZ,-1,HIGH,False,1,10.1371/journal.pbio.1000148
Plant Height,E016,miR172,SNZ,-1,HIGH,False,1,10.1371/journal.pbio.3001043
Plant Height,E017,AP2,FT,-1,HIGH,False,1,10.1371/journal.pbio.3001043
Plant Height,E018,TOE1,FT,-1,HIGH,False,1,10.1101/gad.251520.114
Plant Height,E019,TOE2,FT,-1,HIGH,False,1,10.1101/gad.251520.114
Plant Height,E020,SMZ,FT,-1,HIGH,False,1,10.1371/journal.pbio.1000148
Plant Height,E021,SPL3,LFY,1,HIGH,False,1,10.1016/j.devcel.2009.06.007
Plant Height,E022,SPL3,FUL,1,HIGH,False,1,10.1016/j.devcel.2009.06.007
Plant Height,E023,SPL3,AP1,1,HIGH,False,1,10.1016/j.devcel.2009.06.007
Plant Height,E024,SPL9,SOC1,1,HIGH,False,1,10.1371/journal.pgen.1006263
Plant Height,E025,SPL9,FUL,1,HIGH,False,1,10.1371/journal.pgen.1006263
Plant Height,E026,SPL9,AP1,1,HIGH,False,1,10.1371/journal.pgen.1006263
Plant Height,E027,SPL15,FUL,1,HIGH,False,1,10.1371/journal.pbio.3001043
Plant Height,E028,FUL,AP2,-1,HIGH,False,1,10.1371/journal.pbio.3001043
Plant Height,E029,Sucrose,miR156,-1,HIGH,False,2,10.7554/eLife.00260; 10.7554/eLife.00269
Plant Height,E030,FCA,FLC,-1,HIGH,False,2,10.1093/emboj/cdg305; 10.1104/pp.19.01009
Plant Height,E031,FPA,FLC,-1,HIGH,False,2,10.1104/pp.19.01009; 10.1105/tpc.13.6.1427
Plant Height,E032,FCA,FLD,1,HIGH,False,1,10.1104/pp.19.01009
Plant Height,E033,FLD,FLC,-1,HIGH,False,2,10.1007/s12298-017-0458-3; 10.1105/tpc.107.052373
Plant Height,E034,FVE,FLC,-1,HIGH,False,2,10.1007/s10059-011-1022-6; 10.1007/s12298-017-0458-3
Plant Height,E035,LD,FLC,-1,HIGH,False,1,10.1007/s12298-017-0458-3
Plant Height,E036,FY,FLC,-1,HIGH,False,1,10.1104/pp.110.167817
Plant Height,E037,FCA,miR172,1,HIGH,False,1,10.1074/jbc.M111.337485
Plant Height,E038,FLC,FT,-1,HIGH,False,1,10.1007/s12298-017-0458-3
Plant Height,E039,FLC,SOC1,-1,HIGH,False,1,10.1007/s12298-017-0458-3
Plant Height,E040,FLC,SPL3,-1,MEDIUM,False,1,10.1007/s12298-017-0458-3
Plant Height,E041,FLC,SPL15,-1,MEDIUM,False,1,10.1007/s12298-017-0458-3
Plant Height,E042,DELLA,SPL9,-1,HIGH,False,1,10.1105/tpc.112.101014
Plant Height,E043,SPL9,Plant_Height,-1,HIGH,False,1,10.1007/s11103-008-9310-z
Plant Height,E044,miR156,Plant_Height,1,HIGH,False,2,10.1371/journal.pgen.1006263; 10.3390/plants13050723
Plant Height,E045,LDL1,FLC,-1,HIGH,False,1,10.1105/tpc.107.052373
Plant Height,E046,CPS,Gibberellin,1,HIGH,False,1,10.1199/tab.0103
Plant Height,E047,KS,Gibberellin,1,HIGH,False,1,10.1199/tab.0103
Plant Height,E048,KO,Gibberellin,1,HIGH,False,1,10.1199/tab.0103
Plant Height,E049,KAO,Gibberellin,1,HIGH,False,1,10.1199/tab.0103
Plant Height,E050,GA20ox1,Gibberellin,1,HIGH,False,2,10.1073/pnas.95.15.9019; 10.1199/tab.0103
Plant Height,E051,GA20ox2,Gibberellin,1,HIGH,False,1,10.1199/tab.0103
Plant Height,E052,GA20ox3,Gibberellin,1,MEDIUM,False,1,10.1199/tab.0103
Plant Height,E053,GA3ox1,Gibberellin,1,HIGH,False,1,10.1199/tab.0103
Plant Height,E054,GA3ox2,Gibberellin,1,HIGH,False,1,10.1199/tab.0103
Plant Height,E055,GA2ox1,Gibberellin,-1,HIGH,False,1,10.1199/tab.0103
Plant Height,E056,GA2ox2,Gibberellin,-1,HIGH,False,1,10.1199/tab.0103
Plant Height,E057,Gibberellin,GA20ox1,-1,HIGH,False,1,10.1199/tab.0103
Plant Height,E058,Gibberellin,GA3ox1,-1,HIGH,False,1,10.1199/tab.0103
Plant Height,E059,Gibberellin,GA2ox1,1,HIGH,False,1,10.1199/tab.0103
Plant Height,E060,Gibberellin,GID1A,1,HIGH,False,1,10.1199/tab.0103
Plant Height,E061,Gibberellin,GID1B,1,HIGH,False,1,10.1199/tab.0103
Plant Height,E062,Gibberellin,GID1C,1,HIGH,False,1,10.1199/tab.0103
Plant Height,E063,GID1A,RGA,-1,HIGH,False,1,10.1199/tab.0103
Plant Height,E064,GID1A,GAI,-1,HIGH,False,1,10.1199/tab.0103
Plant Height,E065,GID1B,RGA,-1,HIGH,False,1,10.1199/tab.0103
Plant Height,E066,GID1C,RGA,-1,HIGH,False,1,10.1199/tab.0103
Plant Height,E067,SLY1,RGA,-1,HIGH,False,1,10.1199/tab.0103
Plant Height,E068,SLY1,GAI,-1,HIGH,False,1,10.1126/science.1080585
Plant Height,E069,SPY,GAI,1,HIGH,False,1,10.1199/tab.0103
Plant Height,E070,RGA,Plant_Height,-1,HIGH,False,1,10.1199/tab.0103
Plant Height,E071,GAI,Plant_Height,-1,HIGH,False,1,10.1101/gad.11.23.3194
Plant Height,E072,RGL1,Plant_Height,-1,MEDIUM,False,1,10.1199/tab.0103
Plant Height,E073,RGL2,Plant_Height,-1,MEDIUM,False,1,10.1199/tab.0103
Plant Height,E074,RGA,PIF3,-1,HIGH,False,1,10.1038/nature06448
Plant Height,E075,RGA,PIF4,-1,HIGH,False,1,10.1038/nature03543
Plant Height,E076,GAI,PIF4,-1,HIGH,False,1,10.1199/tab.0103
Plant Height,E077,RGA,BZR1,-1,HIGH,False,1,10.1105/tpc.19.00335
Plant Height,E078,RGA,BES1,-1,HIGH,False,1,10.1105/tpc.19.00335
Plant Height,E079,RGA,ARF6,-1,HIGH,False,1,10.1105/tpc.19.00335
Plant Height,E080,PIF4,Plant_Height,1,HIGH,False,1,10.1016/j.cub.2009.06.046
