source,source_type,target,target_type,effect,edge_type,confidence,mechanism,doi,paper_title,authors,year,journal,evidence_sentence,verification,species_validated
miR156,REGULATORY_RNA,SPL2,GENE,repression,post_transcriptional,HIGH,miR156 targets SPL2 mRNA for cleavage and translational repression via complementary sequences in the 3' UTR / last exon,,,,,,"miR156 directly cleaves and represses SPL2, SPL3, SPL4, SPL5, SPL6, SPL9, SPL10, SPL11, SPL13, SPL15 via microRNA cleavage and translational repression",,
miR156,REGULATORY_RNA,SPL3,GENE,repression,post_transcriptional,HIGH,miR156 cleaves SPL3 mRNA at a site in the 3 prime UTR; translational repression also contributes,,,,,,mir156 directly cleaves SPL3 mRNA in the 3' UTR and these genes promote vegetative phase change and flowering,,
miR156,REGULATORY_RNA,SPL9,GENE,repression,post_transcriptional,HIGH,miR156 targets SPL9 mRNA for cleavage and translational repression; high miR156 in juvenile phase keeps SPL9 levels low,,,,,,"miR156 represses SPL2, SPL3, SPL4, SPL5, SPL6, SPL9, SPL10, SPL11, SPL13, SPL15 via microRNA cleavage/translational repression",,
miR156,REGULATORY_RNA,SPL10,GENE,repression,post_transcriptional,HIGH,miR156 targets SPL10 mRNA for cleavage and translational repression,,,,,,pSPL10::rSPL10 accelerated the expression of all adult-specific leaf traits; miR156 represses SPL10 via microRNA cleavage/translational repression,,
miR156,REGULATORY_RNA,SPL13,GENE,repression,post_transcriptional,HIGH,miR156 targets SPL13 mRNA for cleavage and translational repression,,,,,,"spl9/13/15 produced 16-24 more juvenile leaves and 6-17 more rosette leaves than Col; miR156 represses SPL2, SPL3, SPL4, SPL5, SPL6, SPL9, SPL10, SPL11, SPL13, SPL15",,
miR156,REGULATORY_RNA,SPL15,GENE,repression,post_transcriptional,HIGH,miR156 targets SPL15 mRNA for cleavage and translational repression,,,,,,SPL9 and SPL15 act redundantly in controlling the juvenile-to-adult phase transition; double mutant produced approximately six extra rosette leaves and inflorescence height was significantly reduced (6.9 cm vs 12.1 cm in wild-type),,
SPL9,GENE,MIR156,REGULATORY_RNA,repression,transcriptional,MEDIUM,"SPL9 (and related SPLs) can repress MIR156 transcription, forming a negative feedback loop that reinforces the juvenile-to-adult transition",,,,,,"SPL3, SPL4, SPL5, SPL9, SPL10 have positive feedback regulation on miR156a (SPL9 represses MIR156 as negative feedback: SPL9 represses its own miRNA)",,
SPL9,GENE,MIR172B,REGULATORY_RNA,activation,transcriptional,HIGH,SPL9 directly binds to the promoter of MIR172B approximately 1.2 kb upstream of the transcriptional start site and activates its transcription,,,,,,"One site (S1) located approximately 1.2 kb upstream of the transcriptional start site of miR172b was enriched approximately 5-fold in FLAG-SPL9 plants. miR172b primary transcript was elevated about 3-fold in samples treated with DEX and with DEX+CHX, strongly suggesting that miR172b is a direct transcriptional target of SPL9",,
SPL10,GENE,MIR172B,REGULATORY_RNA,activation,transcriptional,HIGH,"SPL10 activates MIR172B transcription directly, acting redundantly with SPL9",,,,,,"pSPL10::rSPL10 increased miR172 levels more than 4-fold, demonstrating SPL10 activates miR172b directly",,
SPL15,GENE,MIR172B,REGULATORY_RNA,activation,transcriptional,HIGH,"SPL15 directly binds to and activates MIR172A, MIR172B, MIR172C, and MIR172D promoters",,,,,,"SPL15 activates MIR172A, MIR172B, MIR172C, MIR172D by transcriptional direct binding",,
