test_id,gene,perturbation_type,gene_modifier,exogenous_node,exogenous_value,comparison_baseline,phenotype_node,expected_direction,expected_magnitude,doi,paper_title,authors,year,journal,evidence_sentence,verification,evidence_quality,species,notes
T001,miR156,overexpression,,,,,,increased,slight,,,,,,35S::MIR156A: LD flowering: 35.4 +/- 0.3 days vs Col 27.8 +/- 0.3 days (+7.6 days delay); juvenile leaves 26.4 +/- 0.5 vs Col 5.0 +/- 0.2 (+21.4 leaves),,,Arabidopsis thaliana,
T002,SPL9,double_knockout,,,,,,increased,moderate,,,,,,Inflorescence height was measured between the rosette and the first flower; double mutant showed significantly reduced height (6.9 cm vs 12.1 cm in wild-type); double mutant produced approximately six extra rosette leaves compared to wild-type (19.5 vs 13.1 leaves); bolted and flowered somewhat later than wild-type,,,Arabidopsis thaliana,
T003,SPL2,quintuple_knockout,,,,,,increased,strong,,,,,,"spl2/9/11/13/15 in LD: days to flower 33.0 +/- 0.3 vs Col 27.8 +/- 0.3 (+5.2 days); LFY, AP1, FUL, SOC1 transcripts all reduced approximately 50%",,,Arabidopsis thaliana,
T004,SPL9,overexpression,,,,,,decreased,slight,,,,,,"pSPL9::rSPL9 accelerated the expression of all adult-specific leaf traits, producing leaves with an elongated leaf blade, serrated leaf margin, and abaxial trichomes; increased miR172 levels >4-fold",,,Arabidopsis thaliana,
T005,TOE1,double_knockout,,,,,,decreased,moderate,,,,,,toe1-2 toe2-1 double mutant: 6.0 rosette leaves vs wild-type 11.4 (significantly earlier than single mutants); The early-flowering phenotype of toe1-2 toe2-1 is consistent with a model in which miR172 causes early flowering by downregulating several AP2-like floral repressors,,,Arabidopsis thaliana,
T006,miR172,overexpression,,,,,,decreased,slight,,,,,,35S-EAT (miR172 OE): 2.0 rosette leaves at flowering; EAT-D flowers extremely early with 3.1 rosette leaves vs wild-type 11.4; miR172 overexpression caused early flowering phenotype,,,Arabidopsis thaliana,
T007,FCA,knockout,,,,,,increased,slight,,,,,,late flowering fca-1 mutant plants show delayed floral transition compared to wild-type; FCA functions in parallel to the vernalization pathway to down-regulate RNA levels of the floral repressor FLC,,,Arabidopsis thaliana,
T008,FPA,knockout,,,,,,increased,slight,,,,,,fpa-2 mutant: 17.8 +/- 1.4 rosette leaves in long days vs wild-type 7.2 +/- 0.6; mutations in FPA result in extremely delayed flowering,,,Arabidopsis thaliana,
T009,FLD,knockout,,,,,,increased,slight,,,,,,FLD contains an amine oxidase domain and is a homolog of the human H3K4me demethylase LSD1; FLD demethylates H3K4me2 at the FLC gene body; most mutants for above genes are recessive and showed late-flowering phenotype under both long- and short-day conditions,,,Arabidopsis thaliana,
T010,FVE,knockout,,,,,,increased,slight,,,,,,"In the fve mutants, the FLC chromatin was enriched in acetylated histones H3 and H4, indicating FVE is required for histone deacetylation at FLC chromatin; late-flowering phenotype of acg1 was complemented by FVE overexpression",,,Arabidopsis thaliana,
T011,FY,knockdown,,,,,,increased,slight,,,,,,fy-5 caused a 90% increase in FLC transcript and delayed flowering,,,Arabidopsis thaliana,
T012,TOE1,overexpression,,,,,,increased,slight,,,,,,Transgenic 35S-TOE1 plants flowered much later than wild-type plants with average 28.6 rosette leaves; toe1-1D activation-tagged line showed late flowering with 22.5 rosette leaves vs 11.4 wild-type,,,Arabidopsis thaliana,
T013,SMZ,overexpression,,,,,,increased,slight,,,,,,smz-D (LD): 45.1 +/- 1.7 leaves vs WT 15.5 +/- 0.6; 35S::rSMZ plants remained vegetative throughout their life,,,Arabidopsis thaliana,
T014,TOE1,triple_knockout,,,,,,decreased,strong,,,,,,"toe1 toe2 smz snz quadruple mutant: 7.7 +/- 0.7 leaves, flowers significantly earlier (p<0.001), confirming redundant repression of flowering by AP2-like genes",,,Arabidopsis thaliana,
T015,,exogenous_treatment,,,,,,decreased,slight,,,,,,"Exogenous sucrose significantly accelerates abaxial trichome production in wild-type plants; sugar treatment reduced pri-MIR156A and pri-MIR156C abundance and mature miR156 levels, while SPL9 and SPL15 transcripts were markedly increased",,,Arabidopsis thaliana,
T016,LDL1,knockout,,,,,,increased,slight,,,,,,ldl1 mutants flowered later than wild-type Columbia (Col) in long days; FLC was upregulated in ldl1 and ldl1 ldl2 mutants,,,Arabidopsis thaliana,
T017,LDL1,double_knockout,,,,,,increased,moderate,,,,,,"ldl1-2 ldl2 double mutant flowered later than ldl1 single mutant; FLD, LDL1, and LDL2 act in partial redundancy to repress FLC expression",,,Arabidopsis thaliana,
T018,FCA,overexpression,,,,,,decreased,slight,,,,,,The presence of the FCA-gamma transgene overcomes FRI epistasis and plants flower earlier (21.8 +/- 0.3 leaves in FRI control vs 13.5 +/- 0.3 leaves with transgene),,,Arabidopsis thaliana,
T019,miR172,knockout,,,,,,increased,strong,,,,,,mir172abcde plants flowered much later than Col-0; mir172abd and mir172abcde plants initially flowering from axillary shoots when grown under short photoperiods (approximately 91% of 77 plants); FT mRNA levels were between 27% and 31% of Col-0 levels in mir172abcde quintuple mutants,,,Arabidopsis thaliana,
T020,SPL9,triple_knockout,,,,,,increased,strong,,,,,,spl9/13/15 in SD: 31.5 +/- 0.8 juvenile leaves vs Col 7.0 +/- 0.2; 59.8 +/- 1.1 rosette leaves vs Col 42.7 +/- 0.7; spl9/13/15 produced 16-24 more juvenile leaves and 6-17 more rosette leaves than Col,,,Arabidopsis thaliana,
T021,CPS,knockout,,,,,,decreased,strong,,,,,,"ga1, ga2 and ga3 single mutants (defective in CPS, KS and KO, respectively) are extreme dwarfs with much reduced hypocotyl and root lengths and small rosette leaves",,,Arabidopsis thaliana,
T022,KS,knockout,,,,,,decreased,strong,,,,,,"ga1, ga2 and ga3 single mutants ... are extreme dwarfs",,,Arabidopsis thaliana,
T023,KO,knockout,,,,,,decreased,strong,,,,,,ga3 single mutant ... is extreme dwarf,,,Arabidopsis thaliana,
T024,GA20ox1,knockout,,,,,,decreased,moderate,,,,,,GA20ox1 plays a more prominent role in elongation of internodes and stamen filaments,,,Arabidopsis thaliana,
T025,GA20ox1,overexpression,,,,,,increased,moderate,,,,,,35S::GA20ox1 transgenic Arabidopsis shows increased plant height and shoot fresh weight,,,Arabidopsis thaliana,
T026,GA3ox1,knockout,,,,,,decreased,moderate,,,,,,GA3ox1 is expressed throughout all stages of plant development,,,Arabidopsis thaliana,
