test_id,gene,perturbation_type,gene_modifier,exogenous_node,exogenous_value,comparison_baseline,phenotype_node,expected_direction,expected_magnitude,doi,paper_title,authors,year,journal,evidence_sentence,verification,evidence_quality,species,notes
T001,miR156,overexpression,,,,WT,Plant_Height,increased,slight,,,,,,35S::MIR156A: LD flowering: 35.4 +/- 0.3 days vs Col 27.8 +/- 0.3 days (+7.6 days delay); juvenile leaves 26.4 +/- 0.5 vs Col 5.0 +/- 0.2 (+21.4 leaves),,,Arabidopsis thaliana,
T002,SPL9,double_knockout,,,,WT,Plant_Height,increased,moderate,,,,,,Inflorescence height was measured between the rosette and the first flower; double mutant showed significantly reduced height (6.9 cm vs 12.1 cm in wild-type); double mutant produced approximately six extra rosette leaves compared to wild-type (19.5 vs 13.1 leaves); bolted and flowered somewhat later than wild-type,,,Arabidopsis thaliana,
T003,SPL2,quintuple_knockout,,,,WT,Plant_Height,increased,strong,,,,,,"spl2/9/11/13/15 in LD: days to flower 33.0 +/- 0.3 vs Col 27.8 +/- 0.3 (+5.2 days); LFY, AP1, FUL, SOC1 transcripts all reduced approximately 50%",,,Arabidopsis thaliana,SPL2 is a miR156 target; network SPL9 represents SPL family effects.
T004,SPL9,overexpression,,,,WT,Plant_Height,decreased,slight,,,,,,"pSPL9::rSPL9 accelerated the expression of all adult-specific leaf traits, producing leaves with an elongated leaf blade, serrated leaf margin, and abaxial trichomes; increased miR172 levels >4-fold",,,Arabidopsis thaliana,
T005,TOE1,double_knockout,,,,WT,Plant_Height,decreased,moderate,,,,,,toe1-2 toe2-1 double mutant: 6.0 rosette leaves vs wild-type 11.4 (significantly earlier than single mutants); The early-flowering phenotype of toe1-2 toe2-1 is consistent with a model in which miR172 causes early flowering by downregulating several AP2-like floral repressors,,,Arabidopsis thaliana,TOE1 is one of AP2/TOE1/TOE2/SMZ in composite AP2_TOE.
T006,miR172,overexpression,,,,WT,Plant_Height,decreased,slight,,,,,,35S-EAT (miR172 OE): 2.0 rosette leaves at flowering; EAT-D flowers extremely early with 3.1 rosette leaves vs wild-type 11.4; miR172 overexpression caused early flowering phenotype,,,Arabidopsis thaliana,
T007,FCA,knockout,,,,WT,Plant_Height,increased,slight,,,,,,late flowering fca-1 mutant plants show delayed floral transition compared to wild-type; FCA functions in parallel to the vernalization pathway to down-regulate RNA levels of the floral repressor FLC,,,Arabidopsis thaliana,FCA in AUT_SYN composite (FCA/FPA/FLD/FVE/LD/FY/LDL1 autonomous pathway).
T008,FPA,knockout,,,,WT,Plant_Height,increased,slight,,,,,,fpa-2 mutant: 17.8 +/- 1.4 rosette leaves in long days vs wild-type 7.2 +/- 0.6; mutations in FPA result in extremely delayed flowering,,,Arabidopsis thaliana,FPA in AUT_SYN composite.
T009,FLD,knockout,,,,WT,Plant_Height,increased,slight,,,,,,FLD contains an amine oxidase domain and is a homolog of the human H3K4me demethylase LSD1; FLD demethylates H3K4me2 at the FLC gene body; most mutants for above genes are recessive and showed late-flowering phenotype under both long- and short-day conditions,,,Arabidopsis thaliana,FLD in AUT_SYN composite.
T010,FVE,knockout,,,,WT,Plant_Height,increased,slight,,,,,,"In the fve mutants, the FLC chromatin was enriched in acetylated histones H3 and H4, indicating FVE is required for histone deacetylation at FLC chromatin; late-flowering phenotype of acg1 was complemented by FVE overexpression",,,Arabidopsis thaliana,FVE in AUT_SYN composite.
T011,FY,knockdown,,,,WT,Plant_Height,increased,slight,,,,,,fy-5 caused a 90% increase in FLC transcript and delayed flowering,,,Arabidopsis thaliana,FY in AUT_SYN composite.
T012,TOE1,overexpression,,,,WT,Plant_Height,increased,slight,,,,,,Transgenic 35S-TOE1 plants flowered much later than wild-type plants with average 28.6 rosette leaves; toe1-1D activation-tagged line showed late flowering with 22.5 rosette leaves vs 11.4 wild-type,,,Arabidopsis thaliana,TOE1 is one of AP2/TOE1/TOE2/SMZ in composite AP2_TOE.
T013,SMZ,overexpression,,,,WT,Plant_Height,increased,slight,,,,,,smz-D (LD): 45.1 +/- 1.7 leaves vs WT 15.5 +/- 0.6; 35S::rSMZ plants remained vegetative throughout their life,,,Arabidopsis thaliana,SMZ in AP2_TOE composite.
T014,TOE1,triple_knockout,,,,WT,Plant_Height,decreased,strong,,,,,,"toe1 toe2 smz snz quadruple mutant: 7.7 +/- 0.7 leaves, flowers significantly earlier (p<0.001), confirming redundant repression of flowering by AP2-like genes",,,Arabidopsis thaliana,TOE1 is one of AP2/TOE1/TOE2/SMZ in composite AP2_TOE.
