node,node_type,activators,inhibitors,formula
Light,,,,Light = gene_modifier + exogenous_supply
Temperature,,,,Temperature = gene_modifier + exogenous_supply
Cold_Vernalization,,,,Cold_Vernalization = gene_modifier + exogenous_supply
Sucrose,,,,Sucrose = gene_modifier + exogenous_supply
FRI,,,,FRI = gene_modifier + exogenous_supply
BAK1,,,,BAK1 = gene_modifier + exogenous_supply
SLY1,,,,SLY1 = gene_modifier + exogenous_supply
PAR1,,,,PAR1 = gene_modifier + exogenous_supply
NCED3,,,,NCED3 = gene_modifier + exogenous_supply
ACS_ACO,,,,ACS_ACO = gene_modifier + exogenous_supply
miR156,,,"Sucrose,T6P","miR156 = min(1/max(Sucrose * T6P, 0.1), 10.0) * gene_modifier + exogenous_supply"
Gibberellin,,"GA20OX,GA3OX",GA2OX,"Gibberellin = (max(GA20OX, 0.01) * max(GA3OX, 0.01))^(1/2) * min(1/max(GA2OX, 0.1), 10.0) * gene_modifier + exogenous_supply"
Brassinosteroid,,BR_SYN,,"Brassinosteroid = max(BR_SYN, 0.01)^(1/1) * gene_modifier + exogenous_supply"
Auxin,,YUC_TAA,,"Auxin = max(YUC_TAA, 0.01)^(1/1) * gene_modifier + exogenous_supply"
Cytokinin,,IPT,CKX3,"Cytokinin = max(IPT, 0.01)^(1/1) * min(1/max(CKX3, 0.1), 10.0) * gene_modifier + exogenous_supply"
Ethylene,,ACS_ACO,,"Ethylene = max(ACS_ACO, 0.01)^(1/1) * gene_modifier + exogenous_supply"
ABA,,NCED3,,"ABA = max(NCED3, 0.01)^(1/1) * gene_modifier + exogenous_supply"
GA20OX,,PIF4_5_7,"Gibberellin,ABA","GA20OX = max(PIF4_5_7, 0.01)^(1/1) * min(1/max(Gibberellin * ABA, 0.1), 10.0) * gene_modifier + exogenous_supply"
GA3OX,,,Gibberellin,"GA3OX = min(1/max(Gibberellin, 0.1), 10.0) * gene_modifier + exogenous_supply"
GA2OX,,Gibberellin,,"GA2OX = max(Gibberellin, 0.01)^(1/1) * gene_modifier + exogenous_supply"
BR_SYN,,,BZR_BES,"BR_SYN = min(1/max(BZR_BES, 0.1), 10.0) * gene_modifier + exogenous_supply"
YUC_TAA,,PIF4_5_7,,"YUC_TAA = max(PIF4_5_7, 0.01)^(1/1) * gene_modifier + exogenous_supply"
IPT,,,Auxin,"IPT = min(1/max(Auxin, 0.1), 10.0) * gene_modifier + exogenous_supply"
