node,node_type,activators,inhibitors,formula
Light,,,,Light = 1.0 * 1.0 * gene_modifier + exogenous
Temperature,,,,Temperature = 1.0 * 1.0 * gene_modifier + exogenous
Cold_Vernalization,,,,Cold_Vernalization = 1.0 * 1.0 * gene_modifier + exogenous
Sucrose,,,,Sucrose = 1.0 * 1.0 * gene_modifier + exogenous
FRI,,,,FRI = 1.0 * 1.0 * gene_modifier + exogenous
BAK1,,,,BAK1 = 1.0 * 1.0 * gene_modifier + exogenous
SLY1,,,,SLY1 = 1.0 * 1.0 * gene_modifier + exogenous
PAR1,,,,PAR1 = 1.0 * 1.0 * gene_modifier + exogenous
NCED3,,,,NCED3 = 1.0 * 1.0 * gene_modifier + exogenous
ACS_ACO,,,,ACS_ACO = 1.0 * 1.0 * gene_modifier + exogenous
miR156,,,"Sucrose,T6P","miR156 = 1.0 * prod(g(Sucrose, T6P)) * gene_modifier + exogenous"
Gibberellin,,"GA20OX,GA3OX",GA2OX,"Gibberellin = prod(f(GA20OX, GA3OX)) * prod(g(GA2OX)) * gene_modifier + exogenous"
Brassinosteroid,,BR_SYN,,Brassinosteroid = prod(f(BR_SYN)) * 1.0 * gene_modifier + exogenous
Auxin,,YUC_TAA,,Auxin = prod(f(YUC_TAA)) * 1.0 * gene_modifier + exogenous
Cytokinin,,IPT,CKX3,Cytokinin = prod(f(IPT)) * prod(g(CKX3)) * gene_modifier + exogenous
Ethylene,,ACS_ACO,,Ethylene = prod(f(ACS_ACO)) * 1.0 * gene_modifier + exogenous
ABA,,NCED3,,ABA = prod(f(NCED3)) * 1.0 * gene_modifier + exogenous
GA20OX,,PIF4_5_7,"Gibberellin,ABA","GA20OX = prod(f(PIF4_5_7)) * prod(g(Gibberellin, ABA)) * gene_modifier + exogenous"
GA3OX,,,Gibberellin,GA3OX = 1.0 * prod(g(Gibberellin)) * gene_modifier + exogenous
GA2OX,,Gibberellin,,GA2OX = prod(f(Gibberellin)) * 1.0 * gene_modifier + exogenous
BR_SYN,,,BZR_BES,BR_SYN = 1.0 * prod(g(BZR_BES)) * gene_modifier + exogenous
YUC_TAA,,PIF4_5_7,,YUC_TAA = prod(f(PIF4_5_7)) * 1.0 * gene_modifier + exogenous
IPT,,,Auxin,IPT = 1.0 * prod(g(Auxin)) * gene_modifier + exogenous
CKX3,,Cytokinin,,CKX3 = prod(f(Cytokinin)) * 1.0 * gene_modifier + exogenous
GID1,,Gibberellin,,GID1 = prod(f(Gibberellin)) * 1.0 * gene_modifier + exogenous
DELLA,,SPY,"GID1,SLY1","DELLA = prod(f(SPY)) * prod(g(GID1, SLY1)) * gene_modifier + exogenous"
BRI1,,Brassinosteroid,,BRI1 = prod(f(Brassinosteroid)) * 1.0 * gene_modifier + exogenous
BIN2,,,BSU1,BIN2 = 1.0 * prod(g(BSU1)) * gene_modifier + exogenous
BSU1,,"BRI1,BAK1",,"BSU1 = prod(f(BRI1, BAK1)) * 1.0 * gene_modifier + exogenous"
BZR_BES,,PP2A,"DELLA,BIN2,MAX2","BZR_BES = prod(f(PP2A)) * prod(g(DELLA, BIN2, MAX2)) * gene_modifier + exogenous"
TIR1,,Auxin,,TIR1 = prod(f(Auxin)) * 1.0 * gene_modifier + exogenous
