test_id,gene,perturbation_type,gene_modifier,exogenous_node,exogenous_value,wt_value,perturbed_value,comparison_baseline,comparison_baseline_value,ratio,log2_fold_change,direction_threshold,predicted_direction,expected_direction,correct,phenotype_node,complexity_score,complexity_label,path_length,converged,iterations,evidence_doi
T001,miR156,overexpression,2.0,,,1.0,3.999672,WT,1.0,3.999672,1.9999,0.05,increased,increased,True,Plant_Height,1,easy,2,True,62,10.1371/journal.pgen.1006263
T002,SPL9,double_knockout,0.0,,,1.0,9.999973,WT,1.0,9.999973,3.3219,0.05,increased,increased,True,Plant_Height,1,easy,1,True,41,10.1007/s11103-008-9310-z
T003,SPL2,quintuple_knockout,0.0,,,1.0,9.999973,WT,1.0,9.999973,3.3219,0.05,increased,increased,True,Plant_Height,1,easy,1,True,41,10.1371/journal.pgen.1006263
T004,SPL9,overexpression,2.0,,,1.0,0.250129,WT,1.0,0.250129,-1.9993,0.05,decreased,decreased,True,Plant_Height,1,easy,1,True,49,10.1016/j.cell.2009.06.031
T005,TOE1,double_knockout,0.0,,,1.0,0.100022,WT,1.0,0.100022,-3.3216,0.05,decreased,decreased,True,Plant_Height,1,easy,3,True,43,10.1105/tpc.016238
T006,miR172,overexpression,2.0,,,1.0,0.500268,WT,1.0,0.500268,-0.9992,0.05,decreased,decreased,True,Plant_Height,1,easy,4,True,44,10.1105/tpc.016238
T007,FCA,knockout,0.99,,,1.0,1.009764,WT,1.0,1.009764,0.014,0.05,unchanged,increased,False,Plant_Height,1,easy,4,True,25,10.1093/emboj/cdg305
T008,FPA,knockout,0.99,,,1.0,1.009764,WT,1.0,1.009764,0.014,0.05,unchanged,increased,False,Plant_Height,1,easy,4,True,25,10.1105/tpc.13.6.1427
T009,FLD,knockout,0.99,,,1.0,1.009764,WT,1.0,1.009764,0.014,0.05,unchanged,increased,False,Plant_Height,1,easy,4,True,25,10.1007/s12298-017-0458-3
T010,FVE,knockout,0.99,,,1.0,1.009764,WT,1.0,1.009764,0.014,0.05,unchanged,increased,False,Plant_Height,1,easy,4,True,25,10.1007/s10059-011-1022-6
T011,FY,knockdown,0.5,,,1.0,1.999762,WT,1.0,1.999762,0.9998,0.05,increased,increased,True,Plant_Height,1,easy,4,True,44,10.1104/pp.110.167817
