network,edge_id,source,source_type,target,target_type,sign,effect,mechanism,n_evidence,doi_list
Seed Size,N001,Integument_Growth,PROCESS,Seed_Size,PHENOTYPE,1,activation,integument cell number + elongation sets final seed coat volume,1,10.1105/tpc.113.115063
Seed Size,N002,Endosperm_Proliferation,PROCESS,Seed_Size,PHENOTYPE,1,activation,endosperm cavity volume determines final seed size,1,10.3390/ijms241310666
Seed Size,N003,Ovule_size,PROCESS,Seed_Size,PHENOTYPE,1,activation,larger ovules Ã¢â€ â€™ larger fertilized seeds,1,10.1242/dev.201853
Seed Size,N005,ABA,HORMONE,Seed_Size,PHENOTYPE,-1,inhibition,maternal ABA restricts endosperm proliferation,1,10.1105/tpc.113.121566
Seed Size,N006,UBP15,GENE,Integument_Growth,PROCESS,1,activation,UBP15 deubiquitinates growth-promoting substrates; promotes cell proliferation,1,10.1105/tpc.114.122663
Seed Size,N007,KLUH,GENE,Integument_Growth,PROCESS,1,activation,CYP78A5 generates mobile growth signal from inner integument that stimulates cell proliferation,1,10.1073/pnas.0907024106
Seed Size,N008,TTG2,GENE,Integument_Growth,PROCESS,1,activation,WRKY TF promotes integument cell elongation and tannin synthesis,1,10.1073/pnas.0907024106
Seed Size,N009,GIF1,GENE,Integument_Growth,PROCESS,1,activation,GIF1 acts as transcriptional co-activator with GRFs,1,10.1038/s41467-020-15603-3
Seed Size,N010,Auxin,HORMONE,Integument_Growth,PROCESS,1,activation,auxin drives seed coat cell elongation and differentiation,1,10.7554/eLife.20542
Seed Size,N012,Cell_Proliferation_Duration,PROCESS,Integument_Growth,PROCESS,1,activation,longer proliferation period Ã¢â€ â€™ more integument cells,1,10.4161/psb.21620
Seed Size,N013,DA1,GENE,Integument_Growth,PROCESS,-1,inhibition,DA1 restricts cell proliferation in maternal integuments,1,10.1105/tpc.114.122663
Seed Size,N014,DA2,GENE,Integument_Growth,PROCESS,-1,inhibition,DA2 RING E3 ligase restricts integument cell proliferation,1,10.1105/tpc.113.115063
Seed Size,N015,EOD1,GENE,Integument_Growth,PROCESS,-1,inhibition,EOD1/BB RING E3 ligase restricts cell proliferation,1,10.1105/tpc.114.122663
Seed Size,N016,SOD7,GENE,Integument_Growth,PROCESS,-1,repression,NGATHA-like TF represses integument proliferation,1,10.3390/ijms241310666
Seed Size,N017,DPA4,GENE,Integument_Growth,PROCESS,-1,repression,NGATHA-like TF redundantly represses with SOD7,1,10.1038/s41438-019-0187-6
Seed Size,N018,AP2,GENE,Integument_Growth,PROCESS,-1,repression,AP2 restricts seed coat epidermal cell elongation,1,10.1007/s00497-009-0116-1
Seed Size,N019,ARF2,GENE,Integument_Growth,PROCESS,-1,repression,ARF2 restricts integument cell proliferation (maternal),1,10.1242/dev.02331
Seed Size,N020,SHB1,GENE,Endosperm_Proliferation,PROCESS,1,activation,via IKU pathway activation and independent embryo cell proliferation,1,10.1105/tpc.108.064972
Seed Size,N021,MINI3,GENE,Endosperm_Proliferation,PROCESS,1,activation,WRKY10 TF activates endosperm growth genes,1,10.1073/pnas.0508418102
Seed Size,N022,IKU2,GENE,Endosperm_Proliferation,PROCESS,1,activation,LRR receptor kinase drives nuclear proliferation and blocks premature cellularization,1,10.1105/tpc.108.064972
Seed Size,N023,Auxin,HORMONE,Endosperm_Proliferation,PROCESS,1,activation,post-fertilization auxin triggers central cell division,1,10.1007/s00497-024-00516-8
Seed Size,N024,AP2,GENE,Endosperm_Proliferation,PROCESS,-1,repression,"AP2 promotes early endosperm cellularization, limiting nuclear proliferation",1,10.1007/s00497-009-0116-1
Seed Size,N025,Cytokinin,HORMONE,Endosperm_Proliferation,PROCESS,-1,inhibition,high CK in endosperm limits growth; CKX-mediated CK degradation is required for expansion,1,10.1073/pnas.1305175110
Seed Size,N026,PRC2,PROTEIN_COMPLEX,Endosperm_Proliferation,PROCESS,-1,repression,FIS-PRC2 represses autonomous endosperm development pre-fertilization,1,10.1105/tpc.106.047266
Seed Size,N027,RBR1,GENE,Endosperm_Proliferation,PROCESS,-1,inhibition,retinoblastoma-related blocks G1/S transition in central cell,1,10.1105/tpc.106.047266
Seed Size,N028,ANT,GENE,Ovule_size,PROCESS,1,activation,promotes ovule primordium cell proliferation,1,10.1105/tpc.161088
Seed Size,N029,Cytokinin,HORMONE,Ovule_size,PROCESS,1,activation,CK extends cell proliferation in gynoecium placenta,1,10.1105/tpc.110.079079
Seed Size,N030,Cell_Proliferation,PROCESS,Ovule_size,PROCESS,1,activation,cell proliferation increases ovule cell number,1,10.1105/tpc.110.079079
Seed Size,N031,SEUSS,GENE,Ovule_size,PROCESS,1,activation,SEUSS required for ovule initiation in synergy with ANT,1,10.1104/pp.107.114751
Seed Size,N034,GRF,GENE,Cell_Proliferation,PROCESS,1,activation,GROWTH-REGULATING FACTOR drives proliferation,1,10.5483/BMBRep.2019.52.4.051
Seed Size,N035,E2FA,GENE,Cell_Proliferation,PROCESS,1,activation,E2F TF activates S-phase cell cycle genes,1,10.1104/pp.20.01267
Seed Size,N036,TCP14,GENE,Cell_Proliferation,PROCESS,1,activation,TCP14 positively affects cell proliferation,1,10.1105/tpc.15.00587
Seed Size,N037,AGG3,GENE,Cell_Proliferation_Duration,PROCESS,1,activation,G-protein ÃŽÂ³ subunit extends proliferative growth,1,10.4161/psb.21620
Seed Size,N039,GPA1,GENE,AGG3,GENE,1,activation,GPA1 GÃŽÂ± required for AGG3 heterotrimer function,1,10.4161/psb.21620
Seed Size,N040,NCED3,GENE,ABA,HORMONE,1,activation,9-cis-epoxycarotenoid dioxygenase rate-limiting step,1,10.1111/tpj.70096
Seed Size,N041,ABA2,GENE,ABA,HORMONE,1,activation,short-chain dehydrogenase in ABA biosynthesis,1,10.1111/tpj.70096
Seed Size,N042,CYP707A,GENE,ABA,HORMONE,-1,inhibition,8'-hydroxylase inactivates ABA,1,10.1111/tpj.70096
Seed Size,N043,ABA,HORMONE,ABI5,GENE,1,activation,ABA activates ABI5 bZIP transcription factor,1,10.1105/tpc.113.121566
Seed Size,N044,ABI4,GENE,ABI5,GENE,1,activation,ABI4 induces ABI5 transcription in ABA response,1,10.1104/pp.124.4.1752
Seed Size,N045,RAV1,GENE,ABI5,GENE,-1,repression,RAV1 binds and represses ABI5 promoter,1,10.14348/molcells.2018.0259
Seed Size,N046,ABI5,GENE,SHB1,GENE,-1,repression,ABI5 binds SHB1 promoter,1,10.1105/tpc.113.121566
Seed Size,N047,IPT,GENE,Cytokinin,HORMONE,1,activation,adenylate isopentenyltransferase in CK biosynthesis,1,10.1007/s00497-024-00516-8
Seed Size,N048,CKX2,GENE,Cytokinin,HORMONE,-1,inhibition,cytokinin oxidase/dehydrogenase degrades CK in endosperm,1,10.1073/pnas.1305175110
Seed Size,N049,CKX3,GENE,Cytokinin,HORMONE,-1,inhibition,cytokinin oxidase/dehydrogenase in reproductive meristems,1,10.1105/tpc.110.079079
Seed Size,N050,CKX5,GENE,Cytokinin,HORMONE,-1,inhibition,cytokinin oxidase in placentas,1,10.1105/tpc.110.079079
Seed Size,N051,AHP6,GENE,Cytokinin,HORMONE,-1,inhibition,pseudo-phosphotransfer protein blocks CK signaling,1,10.1105/tpc.110.079079
