network,method,path_length,n_correct,n_total,accuracy_pct
Seed Size,Algebraic,1,4,4,100.0
Seed Size,Algebraic,2,36,57,63.16
Seed Size,Algebraic,3,23,31,74.19
Seed Size,Algebraic,4,4,6,66.67
Seed Size,Algebraic,5,1,2,50.0
Seed Size,Algebraic,6,0,2,0.0
Seed Size,ODE,1,4,4,100.0
Seed Size,ODE,2,48,57,84.21
Seed Size,ODE,3,28,31,90.32
Seed Size,ODE,4,5,6,83.33
Seed Size,ODE,5,2,2,100.0
Seed Size,ODE,6,2,2,100.0
Seed Size,RWR,1,4,4,100.0
Seed Size,RWR,2,49,57,85.96
Seed Size,RWR,3,31,31,100.0
Seed Size,RWR,4,5,6,83.33
Seed Size,RWR,5,2,2,100.0
Seed Size,RWR,6,2,2,100.0
