test_id,gene,perturbation_type,gene_modifier,exogenous_node,exogenous_value,comparison_baseline,phenotype_node,expected_direction,expected_magnitude,doi,paper_title,authors,year,journal,evidence_sentence,verification,evidence_quality,species,notes
T001,DA1,knockout,,,,,,increased,strong,,,,,,da1-1 mutant forms large seeds,,,Arabidopsis thaliana,
T002,DA2,knockout,,,,,,increased,strong,,,,,,Seeds produced by da2-1 were larger and heavier than wild-type seeds,,,Arabidopsis thaliana,
T003,DA2,overexpression,,,,,,decreased,strong,,,,,,overexpression of DA2 causes decreases in seed size and seed yield,,,Arabidopsis thaliana,
T004,DA1 DA2,double_knockout,,,,,,increased,strong,,,,,,da2-1 mutation synergistically enhanced seed size and weight phenotypes of da1-1,,,Arabidopsis thaliana,
T005,EOD1,knockout,,,,,,increased,moderate,,,,,,eod1 mutations synergistically enhanced seed size phenotype of da1-1,,,Arabidopsis thaliana,
T006,DA1 EOD1,double_knockout,,,,,,increased,strong,,,,,,synergistic enhancement of seed size phenotype with da1-1 background,,,Arabidopsis thaliana,
T007,UBP15,knockout,,,,,,decreased,moderate,,,,,,Seeds from ubp15-1 plants were significantly smaller and lighter than wild-type,,,Arabidopsis thaliana,
T008,UBP15,overexpression,,,,,,increased,moderate,,,,,,gUBP15 transgenic plants formed larger and heavier seeds,,,Arabidopsis thaliana,
T009,UBP15 DA1,double_knockout,,,,,,decreased,moderate,,,,,,ubp15-1 is epistatic to da1-1 with respect to seed size,,,Arabidopsis thaliana,
T010,KLUH,knockout,,,,,,decreased,moderate,,,,,,Seeds from klu-2 mutants 13% lighter and 16% smaller than WT,,,Arabidopsis thaliana,
T011,KLUH,overexpression,,,,,,increased,strong,,,,,,pINO::KLU caused strong increase in seed size and weight (30% and 44%),,,Arabidopsis thaliana,
T012,CYP78A9,knockout,,,,,,decreased,slight,,,,,,Loss of CYP78A9 function reduces seed size,,,Arabidopsis thaliana,
T013,KLUH CYP78A9,double_knockout,,,,,,decreased,strong,,,,,,double mutant seeds showed a purely additive phenotype,,,Arabidopsis thaliana,
T014,CYP78A6,knockout,,,,,,decreased,slight,,,,,,CYP78A6 (EOD3) and CYP78A9 redundantly regulate seed size,,,Arabidopsis thaliana,
T015,CYP78A6 CYP78A9,double_knockout,,,,,,decreased,strong,,,,,,synergistic enhancement of cyp78a6 seed size phenotype in cyp78a9 background,,,Arabidopsis thaliana,
T016,KLUH TTG2,double_knockout,,,,,,decreased,strong,,,,,,klu-2 ttg2-1 double mutants significantly smaller than either single mutant,,,Arabidopsis thaliana,
T017,AP2,knockout,,,,,,increased,strong,,,,,,ap2 mutants produce larger seeds than wild type,,,Arabidopsis thaliana,
T018,ARF2,knockout,,,,,,increased,strong,,,,,,arf2 mutants produced 31-44% bigger seeds than wild-type,,,Arabidopsis thaliana,
T019,TTG2,knockout,,,,,,decreased,moderate,,,,,,ttg2 acts maternally to promote cell expansion in integuments; mutant restricts integument elongation,,,Arabidopsis thaliana,
T020,ANT,knockout,,,,,,decreased,moderate,,,,,,"ant mutants reduction in floral organ size, abnormal integument development",,,Arabidopsis thaliana,
T021,ANT,overexpression,,,,,,increased,moderate,,,,,,Plants with higher expression of ANT produced larger seeds,,,Arabidopsis thaliana,
T022,GAI,gain_of_function,,,,,,increased,strong,,,,,,"gai-1 ~25% larger seeds, ~42% increased weight",,,Arabidopsis thaliana,
T023,RGA,gain_of_function,,,,,,increased,moderate,,,,,,rga-delta17 larger seeds,,,Arabidopsis thaliana,
T024,RGL1,gain_of_function,,,,,,increased,slight,,,,,,rgl1-delta17 slightly larger seeds,,,Arabidopsis thaliana,
T025,RGL2,gain_of_function,,,,,,increased,moderate,,,,,,rgl2-delta17 larger seeds,,,Arabidopsis thaliana,
T026,GAI,knockout,,,,,,decreased,moderate,,,,,,gaiT6 significantly smaller seeds,,,Arabidopsis thaliana,
T027,RGL1,knockout,,,,,,decreased,slight,,,,,,rgl1-1 smaller seeds,,,Arabidopsis thaliana,
T028,RGL2,knockout,,,,,,decreased,moderate,,,,,,rgl2-1 smaller seeds,,,Arabidopsis thaliana,
T029,GID1A,knockout,,,,,,increased,moderate,,,,,,gid1a seeds larger than wild-type,,,Arabidopsis thaliana,
T030,GID1B,knockout,,,,,,increased,moderate,,,,,,gid1b seeds larger than wild-type,,,Arabidopsis thaliana,
T031,Paclobutrazol,chemical_treatment,,,,,,increased,strong,,,,,,Seeds of plants treated with PBZ were larger than any gain-of-function mutants,,,Arabidopsis thaliana,
T032,SOD7,knockout,,,,,,increased,moderate,,,,,,sod7 mutants produce larger seeds than wild-type,,,Arabidopsis thaliana,
T033,DPA4,knockout,,,,,,increased,slight,,,,,,dpa4 loss-of-function increases seed size redundantly with sod7,,,Arabidopsis thaliana,
T034,SOD7 DPA4,double_knockout,,,,,,increased,strong,,,,,,sod7 dpa4 double mutants show strongly increased seed size,,,Arabidopsis thaliana,
T035,SHB1,knockout,,,,,,decreased,moderate,,,,,,shb1 loss-of-function reduces seed size by ~15%,,,Arabidopsis thaliana,
T036,SHB1,gain_of_function,,,,,,increased,strong,,,,,,shb1-D enhanced MINI3 and IKU2 expression 10-fold; seed size 1.5-1.7 fold,,,Arabidopsis thaliana,
T037,MINI3,knockout,,,,,,decreased,strong,,,,,,mini3-1 seed weight 11.8 mg/1000 vs WT 20.25 mg/1000,,,Arabidopsis thaliana,
