test_id,gene,perturbation_type,gene_modifier,exogenous_node,exogenous_value,comparison_baseline,phenotype_node,expected_direction,expected_magnitude,doi,paper_title,authors,year,journal,evidence_sentence,verification,evidence_quality,species,notes
T001,DA1,knockout,,,,WT,Seed_Size,increased,strong,,,,,,da1-1 mutant forms large seeds,,,Arabidopsis thaliana,da1-1 dominant-negative encoded as KO (gm=0.0); behaves as loss-of-DA1-function
T002,DA2,knockout,,,,WT,Seed_Size,increased,strong,,,,,,Seeds produced by da2-1 were larger and heavier than wild-type seeds,,,Arabidopsis thaliana,da2-1 homozygous KO
T003,DA2,overexpression,,,,WT,Seed_Size,decreased,strong,,,,,,overexpression of DA2 causes decreases in seed size and seed yield,,,Arabidopsis thaliana,35S:DA2 overexpression
T004,DA1 DA2,double_knockout,,,,WT,Seed_Size,increased,strong,,,,,,da2-1 mutation synergistically enhanced seed size and weight phenotypes of da1-1,,,Arabidopsis thaliana,da1-1 da2-1 double mutant; classic Xia 2013 synergy
T005,EOD1,knockout,,,,WT,Seed_Size,increased,moderate,,,,,,eod1 mutations synergistically enhanced seed size phenotype of da1-1,,,Arabidopsis thaliana,eod1-2 (Big Brother) single KO
T006,DA1 EOD1,double_knockout,,,,WT,Seed_Size,increased,strong,,,,,,synergistic enhancement of seed size phenotype with da1-1 background,,,Arabidopsis thaliana,da1-1 eod1-2 double; much larger seeds than singles
T007,UBP15,knockout,,,,WT,Seed_Size,decreased,moderate,,,,,,Seeds from ubp15-1 plants were significantly smaller and lighter than wild-type,,,Arabidopsis thaliana,ubp15-1 / sod2-1 KO (UBP15 antagonises DA1)
T008,UBP15,overexpression,,,,WT,Seed_Size,increased,moderate,,,,,,gUBP15 transgenic plants formed larger and heavier seeds,,,Arabidopsis thaliana,35S:UBP15 / gUBP15 overexpression
T009,UBP15 DA1,double_knockout,,,,WT,Seed_Size,decreased,moderate,,,,,,ubp15-1 is epistatic to da1-1 with respect to seed size,,,Arabidopsis thaliana,ubp15-1 da1-1 double; UBP15 epistatic to DA1 (KO of UBP15 in da1 background suppresses enlargement)
T010,KLUH,knockout,,,,WT,Seed_Size,decreased,moderate,,,,,,Seeds from klu-2 mutants 13% lighter and 16% smaller than WT,,,Arabidopsis thaliana,klu-2 KO (CYP78A5)
T011,KLUH,overexpression,,,,WT,Seed_Size,increased,strong,,,,,,pINO::KLU caused strong increase in seed size and weight (30% and 44%),,,Arabidopsis thaliana,pINO::KLU outer-integument-driven overexpression
