node,node_type,activators,inhibitors,formula
ABA,,"NCED3,ABA2",CYP707A,"ABA = (max(NCED3, 0.01) * max(ABA2, 0.01))^(1/2) * min(1/max(CYP707A, 0.1), 10.0) * gene_modifier + exogenous_supply"
ABA2,,,,ABA2 = gene_modifier + exogenous_supply
ABI3,,"LEC1,LEC2,FUS3,ABI4","VAL1,VAL2","ABI3 = (max(LEC1, 0.01) * max(LEC2, 0.01) * max(FUS3, 0.01) * max(ABI4, 0.01))^(1/4) * min(1/max(VAL1 * VAL2, 0.1), 10.0) * gene_modifier + exogenous_supply"
ABI4,,ABI3,,"ABI4 = max(ABI3, 0.01)^(1/1) * 1.0 * gene_modifier + exogenous_supply"
ABI5,,"ABA,ABI4",RAV1,"ABI5 = (max(ABA, 0.01) * max(ABI4, 0.01))^(1/2) * min(1/max(RAV1, 0.1), 10.0) * gene_modifier + exogenous_supply"
AGB1,,,,AGB1 = gene_modifier + exogenous_supply
AGG3,,"GPA1,AGB1",,"AGG3 = (max(GPA1, 0.01) * max(AGB1, 0.01))^(1/2) * 1.0 * gene_modifier + exogenous_supply"
AHP6,,,,AHP6 = gene_modifier + exogenous_supply
AIF2,,,,AIF2 = gene_modifier + exogenous_supply
ANT,,DELLA,,"ANT = max(DELLA, 0.01)^(1/1) * 1.0 * gene_modifier + exogenous_supply"
AP2,,,"BZR1,miR172","AP2 = 1.0 * min(1/max(BZR1 * miR172, 0.1), 10.0) * gene_modifier + exogenous_supply"
ARF2,,TIR1,BZR1,"ARF2 = max(TIR1, 0.01)^(1/1) * min(1/max(BZR1, 0.1), 10.0) * gene_modifier + exogenous_supply"
Auxin,,"YUC10,YUC11,TAR1,PGP10",,"Auxin = (max(YUC10, 0.01) * max(YUC11, 0.01) * max(TAR1, 0.01) * max(PGP10, 0.01))^(1/4) * 1.0 * gene_modifier + exogenous_supply"
BAS1,,,,BAS1 = gene_modifier + exogenous_supply
BIN2,,,BRI1,"BIN2 = 1.0 * min(1/max(BRI1, 0.1), 10.0) * gene_modifier + exogenous_supply"
BPC1,,,,BPC1 = gene_modifier + exogenous_supply
BRI1,,Brassinosteroid,,"BRI1 = max(Brassinosteroid, 0.01)^(1/1) * 1.0 * gene_modifier + exogenous_supply"
BZR1,,,BIN2,"BZR1 = 1.0 * min(1/max(BIN2, 0.1), 10.0) * gene_modifier + exogenous_supply"
Brassinosteroid,,"DET2,DWF4",BAS1,"Brassinosteroid = (max(DET2, 0.01) * max(DWF4, 0.01))^(1/2) * min(1/max(BAS1, 0.1), 10.0) * gene_modifier + exogenous_supply"
CKX2,,MINI3,PRC2,"CKX2 = max(MINI3, 0.01)^(1/1) * min(1/max(PRC2, 0.1), 10.0) * gene_modifier + exogenous_supply"
CKX3,,,,CKX3 = gene_modifier + exogenous_supply
CKX5,,,,CKX5 = gene_modifier + exogenous_supply
CYP707A,,,,CYP707A = gene_modifier + exogenous_supply
Cell_Proliferation,,"GRF,E2FA,TCP14",,"Cell_Proliferation = (max(GRF, 0.01) * max(E2FA, 0.01) * max(TCP14, 0.01))^(1/3) * 1.0 * gene_modifier + exogenous_supply"
Cell_Proliferation_Duration,,AGG3,,"Cell_Proliferation_Duration = max(AGG3, 0.01)^(1/1) * 1.0 * gene_modifier + exogenous_supply"
Cytokinin,,IPT,"CKX2,CKX3,CKX5,AHP6","Cytokinin = max(IPT, 0.01)^(1/1) * min(1/max(CKX2 * CKX3 * CKX5 * AHP6, 0.1), 10.0) * gene_modifier + exogenous_supply"
DA1,,"DA2,EOD1",Cytokinin,"DA1 = (max(DA2, 0.01) * max(EOD1, 0.01))^(1/2) * min(1/max(Cytokinin, 0.1), 10.0) * gene_modifier + exogenous_supply"
DA2,,,DA1,"DA2 = 1.0 * min(1/max(DA1, 0.1), 10.0) * gene_modifier + exogenous_supply"
