node,node_type,activators,inhibitors,formula
ABA,,"NCED3,ABA2",CYP707A,"ABA = prod(f(NCED3, ABA2)) * prod(g(CYP707A)) * gene_modifier + exogenous"
ABA2,,,,ABA2 = 1.0 * 1.0 * gene_modifier + exogenous
ABI3,,"LEC1,LEC2,FUS3,ABI4","VAL1,VAL2","ABI3 = prod(f(LEC1, LEC2, FUS3, ABI4)) * prod(g(VAL1, VAL2)) * gene_modifier + exogenous"
ABI4,,ABI3,,ABI4 = prod(f(ABI3)) * 1.0 * gene_modifier + exogenous
ABI5,,"ABA,ABI4",RAV1,"ABI5 = prod(f(ABA, ABI4)) * prod(g(RAV1)) * gene_modifier + exogenous"
AGB1,,,,AGB1 = 1.0 * 1.0 * gene_modifier + exogenous
AGG3,,"GPA1,AGB1",,"AGG3 = prod(f(GPA1, AGB1)) * 1.0 * gene_modifier + exogenous"
AHP6,,,,AHP6 = 1.0 * 1.0 * gene_modifier + exogenous
AIF2,,,,AIF2 = 1.0 * 1.0 * gene_modifier + exogenous
ANT,,DELLA,,ANT = prod(f(DELLA)) * 1.0 * gene_modifier + exogenous
AP2,,,"BZR1,miR172","AP2 = 1.0 * prod(g(BZR1, miR172)) * gene_modifier + exogenous"
ARF2,,TIR1,BZR1,ARF2 = prod(f(TIR1)) * prod(g(BZR1)) * gene_modifier + exogenous
Auxin,,"YUC10,YUC11,TAR1,PGP10",,"Auxin = prod(f(YUC10, YUC11, TAR1, PGP10)) * 1.0 * gene_modifier + exogenous"
BAS1,,,,BAS1 = 1.0 * 1.0 * gene_modifier + exogenous
BIN2,,,BRI1,BIN2 = 1.0 * prod(g(BRI1)) * gene_modifier + exogenous
BPC1,,,,BPC1 = 1.0 * 1.0 * gene_modifier + exogenous
BRI1,,Brassinosteroid,,BRI1 = prod(f(Brassinosteroid)) * 1.0 * gene_modifier + exogenous
BZR1,,,BIN2,BZR1 = 1.0 * prod(g(BIN2)) * gene_modifier + exogenous
Brassinosteroid,,"DET2,DWF4",BAS1,"Brassinosteroid = prod(f(DET2, DWF4)) * prod(g(BAS1)) * gene_modifier + exogenous"
CKX2,,MINI3,PRC2,CKX2 = prod(f(MINI3)) * prod(g(PRC2)) * gene_modifier + exogenous
CKX3,,,,CKX3 = 1.0 * 1.0 * gene_modifier + exogenous
CKX5,,,,CKX5 = 1.0 * 1.0 * gene_modifier + exogenous
CYP707A,,,,CYP707A = 1.0 * 1.0 * gene_modifier + exogenous
Cell_Proliferation,,"GRF,E2FA,TCP14",,"Cell_Proliferation = prod(f(GRF, E2FA, TCP14)) * 1.0 * gene_modifier + exogenous"
Cell_Proliferation_Duration,,AGG3,,Cell_Proliferation_Duration = prod(f(AGG3)) * 1.0 * gene_modifier + exogenous
Cytokinin,,IPT,"CKX2,CKX3,CKX5,AHP6","Cytokinin = prod(f(IPT)) * prod(g(CKX2, CKX3, CKX5, AHP6)) * gene_modifier + exogenous"
DA1,,"DA2,EOD1",Cytokinin,"DA1 = prod(f(DA2, EOD1)) * prod(g(Cytokinin)) * gene_modifier + exogenous"
DA2,,,DA1,DA2 = 1.0 * prod(g(DA1)) * gene_modifier + exogenous
DELLA,,,Gibberellin,DELLA = 1.0 * prod(g(Gibberellin)) * gene_modifier + exogenous
DET2,,,,DET2 = 1.0 * 1.0 * gene_modifier + exogenous
DPA4,,,,DPA4 = 1.0 * 1.0 * gene_modifier + exogenous
DWF4,,,,DWF4 = 1.0 * 1.0 * gene_modifier + exogenous
E2FA,,SEEDSTICK,,E2FA = prod(f(SEEDSTICK)) * 1.0 * gene_modifier + exogenous
EOD1,,,DA1,EOD1 = 1.0 * prod(g(DA1)) * gene_modifier + exogenous
