network,edge_id,source,target,sign,confidence,in_model,n_papers,dois
Shoot Branching,E001,ABA,Auxin,-1,HIGH,False,7,authors; claim; doi; evidence_sentence; journal; title; year
Shoot Branching,E002,ABA,HB21,1,HIGH,False,1,10.1073/pnas.1613199114
Shoot Branching,E003,ABA,HB40,1,HIGH,False,1,10.1073/pnas.1613199114
Shoot Branching,E004,ABA,HB53,1,HIGH,False,1,10.1073/pnas.1613199114
Shoot Branching,E005,ABA,Shoot_Branching,-1,HIGH,False,9,10.1093/aob/mcl173; 10.1104/pp.15.00065; authors; claim; doi; evidence_sentence; journal; title; year
Shoot Branching,E006,ABA2,ABA,1,HIGH,False,1,10.1104/pp.113.221895
Shoot Branching,E007,ABCB19,Polar_Auxin_Transport,1,HIGH,False,1,10.1371/journal.pbio.1002446
Shoot Branching,E008,ABCB19,Shoot_Branching,1,HIGH,False,1,10.1371/journal.pgen.1008023
Shoot Branching,E009,AFB4,Auxin,0,HIGH,False,1,10.1371/journal.pgen.1007089
Shoot Branching,E010,AFB4,Shoot_Branching,-1,HIGH,False,1,10.1371/journal.pgen.1007089
Shoot Branching,E011,AFB5,Shoot_Branching,-1,MEDIUM,False,1,10.7554/eLife.54740
Shoot Branching,E012,AHK,Shoot_Branching,1,HIGH,False,7,authors; claim; doi; evidence_sentence; journal; title; year
Shoot Branching,E013,ARR1,LAS,1,HIGH,False,7,authors; claim; doi; evidence_sentence; journal; title; year
Shoot Branching,E014,ARR1,Shoot_Branching,-1,MEDIUM,False,1,10.1104/pp.17.01691
Shoot Branching,E015,ARR1,TIE1,1,HIGH,False,1,10.1126/sciadv.abn5057
Shoot Branching,E016,ARR2,TIE1,1,MEDIUM,False,1,10.1126/sciadv.abn5057
Shoot Branching,E017,AXR1,Shoot_Branching,1,HIGH,False,7,authors; claim; doi; evidence_sentence; journal; title; year
Shoot Branching,E018,Auxin,ABA,1,MEDIUM,False,1,10.1093/aob/mcl173
Shoot Branching,E019,Auxin,BRC1,1,HIGH,False,2,10.1105/tpc.106.048934; 10.4161/psb.2.6.4811
Shoot Branching,E020,Auxin,CAMEL,1,HIGH,False,1,10.1126/science.aba3178
Shoot Branching,E021,Auxin,CCD7,1,HIGH,False,10,10.1104/pp.108.134783; 10.1104/pp.109.137646; 10.1371/journal.pgen.1007089; authors; claim; doi; evidence_sentence; journal; title; year
Shoot Branching,E022,Auxin,CCD8,1,HIGH,False,10,10.1104/pp.108.134783; 10.1104/pp.109.137646; 10.1371/journal.pgen.1007089; authors; claim; doi; evidence_sentence; journal; title; year
Shoot Branching,E023,Auxin,Cytokinin,-1,HIGH,False,11,10.1093/aob/mcr069; 10.1104/pp.15.00014; 10.1371/journal.pbio.1002446; 10.3389/fpls.2022.889045; authors; claim; doi; evidence_sentence; journal; title; year
Shoot Branching,E024,Auxin,D27,1,MEDIUM,False,1,10.3389/fpls.2022.889045
Shoot Branching,E025,Auxin,DRM1,1,HIGH,False,1,10.1104/pp.104.057984
Shoot Branching,E026,Auxin,GA,1,HIGH,False,7,authors; claim; doi; evidence_sentence; journal; title; year
Shoot Branching,E027,Auxin,IPT,-1,HIGH,False,8,10.1093/aob/mcr069; authors; claim; doi; evidence_sentence; journal; title; year
Shoot Branching,E028,Auxin,PIN1,1,HIGH,False,10,10.1038/s41467-020-17252-y; 10.1104/pp.114.242388; 10.1371/journal.pbio.1002446; authors; claim; doi; evidence_sentence; journal; title; year
Shoot Branching,E029,Auxin,Shoot_Branching,-1,HIGH,False,10,10.1093/aob/mcr069; 10.1104/pp.104.058743; 10.3389/fpls.2022.889045; authors; claim; doi; evidence_sentence; journal; title; year
Shoot Branching,E030,Auxin,Strigolactone,1,HIGH,False,10,10.1104/pp.108.134783; 10.1104/pp.109.137646; 10.1371/journal.pbio.1002446; authors; claim; doi; evidence_sentence; journal; title; year
Shoot Branching,E031,Auxin_canalization,Bud_PIN_polarization,1,HIGH,False,1,10.1038/srep35955
Shoot Branching,E032,Auxin_canalization,Shoot_Branching,1,HIGH,False,1,10.1016/j.cub.2006.01.058
Shoot Branching,E033,BES1,BRC1,-1,HIGH,False,2,10.1016/j.xplc.2019.100014; 10.1093/jxb/eraf027
Shoot Branching,E034,BES1,MAX2,-1,HIGH,False,7,authors; claim; doi; evidence_sentence; journal; title; year
Shoot Branching,E035,BES1,Shoot_Branching,1,HIGH,False,1,10.1016/j.xplc.2019.100014
Shoot Branching,E036,BRC1,ABA,1,HIGH,False,10,10.1073/pnas.1613199114; 10.1093/jxb/erw479; 10.3389/fpls.2022.889045; authors; claim; doi; evidence_sentence; journal; title; year
Shoot Branching,E037,BRC1,ABF3,1,HIGH,False,1,10.4161/psb.27994
Shoot Branching,E038,BRC1,ABI1,1,MEDIUM,False,1,10.4161/psb.27994
Shoot Branching,E039,BRC1,ABI5,1,HIGH,False,1,10.4161/psb.27994
Shoot Branching,E040,BRC1,AFP1,1,MEDIUM,False,1,10.4161/psb.27994
Shoot Branching,E041,BRC1,AFP3,1,MEDIUM,False,1,10.4161/psb.27994
Shoot Branching,E042,BRC1,Auxin_efflux,-1,HIGH,False,1,10.1371/journal.pbio.3003395
Shoot Branching,E043,BRC1,BRC2,-1,MEDIUM,False,1,10.4161/psb.2.6.4811
Shoot Branching,E044,BRC1,BRM,1,MEDIUM,False,1,10.1111/tpj.16873
Shoot Branching,E045,BRC1,DRM1,1,HIGH,False,3,10.1104/pp.104.057984; 10.1104/pp.109.148833; 10.4161/psb.27994
Shoot Branching,E046,BRC1,FT,-1,MEDIUM,False,1,10.1105/tpc.112.109090
Shoot Branching,E047,BRC1,GBF3,1,MEDIUM,False,1,10.1111/nph.19420
Shoot Branching,E048,BRC1,GH3.5,1,MEDIUM,False,1,10.1371/journal.pbio.3003395
Shoot Branching,E049,BRC1,HB21,1,HIGH,False,8,10.1073/pnas.1613199114; authors; claim; doi; evidence_sentence; journal; title; year
Shoot Branching,E050,BRC1,HB40,1,HIGH,False,1,10.1073/pnas.1613199114
Shoot Branching,E051,BRC1,HB53,1,HIGH,False,1,10.1073/pnas.1613199114
Shoot Branching,E052,BRC1,MAX1,1,MEDIUM,False,1,10.1371/journal.pbio.3003395
Shoot Branching,E053,BRC1,NAC019,1,MEDIUM,False,1,10.4161/psb.27994
Shoot Branching,E054,BRC1,NAC092,1,MEDIUM,False,1,10.4161/psb.27994
Shoot Branching,E055,BRC1,NAP,1,MEDIUM,False,1,10.4161/psb.27994
Shoot Branching,E056,BRC1,NCED3,1,HIGH,False,2,10.1073/pnas.1613199114; 10.3389/fpls.2022.889045
Shoot Branching,E057,BRC1,PIN3,-1,HIGH,False,2,10.1073/pnas.1907968116; 10.1093/plphys/kiab071
Shoot Branching,E058,BRC1,Shoot_Branching,-1,HIGH,False,10,10.1093/jxb/eraf027; 10.1104/pp.111.182725; 10.1105/tpc.106.048934; authors; claim; doi; evidence_sentence; journal; title; year
Shoot Branching,E059,BRC2,Shoot_Branching,-1,HIGH,False,1,10.1105/tpc.106.048934
Shoot Branching,E060,BRM,BRC1,0,LOW,False,1,10.4161/psb.27994
Shoot Branching,E061,CAMEL,PIN1,1,HIGH,False,1,10.1126/science.aba3178
Shoot Branching,E062,CANAR,PIN1,1,HIGH,False,1,10.1126/science.aba3178
Shoot Branching,E063,CANAR,Vasculature_Regeneration,1,HIGH,False,1,10.1126/science.aba3178
Shoot Branching,E064,CCD7,Carlactone,1,HIGH,False,1,10.1073/pnas.1601729113
Shoot Branching,E065,CCD7,Shoot_Branching,-1,HIGH,False,7,authors; claim; doi; evidence_sentence; journal; title; year
Shoot Branching,E066,CCD7,Strigolactone,1,HIGH,False,9,10.1093/pcp/pcad088; 10.1104/pp.109.137646; authors; claim; doi; evidence_sentence; journal; title; year
Shoot Branching,E067,CCD8,Carlactone,1,HIGH,False,1,10.1073/pnas.1601729113
Shoot Branching,E068,CCD8,Strigolactone,1,HIGH,False,9,10.1093/pcp/pcad088; 10.1104/pp.109.137646; authors; claim; doi; evidence_sentence; journal; title; year
Shoot Branching,E069,CKX,Cytokinin,-1,HIGH,False,7,authors; claim; doi; evidence_sentence; journal; title; year
Shoot Branching,E070,CKX9,Cytokinin,-1,HIGH,False,1,10.3389/fpls.2022.821563
Shoot Branching,E071,CUC2,LAS,1,HIGH,False,8,10.1093/plphys/kiab071; authors; claim; doi; evidence_sentence; journal; title; year
Shoot Branching,E072,CUC2,miR164,1,HIGH,False,7,authors; claim; doi; evidence_sentence; journal; title; year
Shoot Branching,E073,Cytokinin,AHK,1,HIGH,False,7,authors; claim; doi; evidence_sentence; journal; title; year
Shoot Branching,E074,Cytokinin,ARR1,1,HIGH,False,7,authors; claim; doi; evidence_sentence; journal; title; year
Shoot Branching,E075,Cytokinin,Auxin,1,HIGH,False,7,authors; claim; doi; evidence_sentence; journal; title; year
Shoot Branching,E076,Cytokinin,Axillary_meristem_initiation,1,HIGH,False,1,10.1016/j.pbi.2017.09.001
Shoot Branching,E077,Cytokinin,BRC1,-1,HIGH,False,9,10.1104/pp.111.182725; 10.1242/dev.145649; authors; claim; doi; evidence_sentence; journal; title; year
Shoot Branching,E078,Cytokinin,PIN1,1,HIGH,False,8,10.1093/aob/mcr069; authors; claim; doi; evidence_sentence; journal; title; year
Shoot Branching,E079,Cytokinin,PIN3,1,HIGH,False,1,10.1104/pp.17.01691
Shoot Branching,E080,Cytokinin,PIN7,1,HIGH,False,1,10.1104/pp.17.01691
Shoot Branching,E081,Cytokinin,STM,1,HIGH,False,7,authors; claim; doi; evidence_sentence; journal; title; year
Shoot Branching,E082,Cytokinin,Shoot_Branching,1,HIGH,False,8,10.1104/pp.109.135475; authors; claim; doi; evidence_sentence; journal; title; year
Shoot Branching,E083,Cytokinin,TIE1,1,HIGH,False,1,10.1126/sciadv.abn5057
Shoot Branching,E084,Cytokinin,WUS,1,HIGH,False,1,10.1093/plphys/kiab071
Shoot Branching,E085,D14,BES1,-1,HIGH,False,1,10.1016/j.devcel.2013.11.010
Shoot Branching,E086,D14,D14,-1,HIGH,False,1,10.1038/s41467-018-08124-7
Shoot Branching,E087,D14,MAX2,1,HIGH,False,2,10.1038/nature19073; 10.1105/tpc.15.00605
Shoot Branching,E088,D14,SMAX1,-1,MEDIUM,False,1,10.1016/j.xplc.2022.100303
Shoot Branching,E089,D14,SMXL6,-1,HIGH,False,1,10.1105/tpc.15.00605
Shoot Branching,E090,D14,SMXL678,-1,HIGH,False,9,10.1093/jxb/erae365; 10.3389/fpls.2022.887232; authors; claim; doi; evidence_sentence; journal; title; year
Shoot Branching,E091,D14,SMXL7,-1,HIGH,False,1,10.1105/tpc.15.00562
Shoot Branching,E092,D14,SMXL8,-1,HIGH,False,1,10.1105/tpc.15.00605
Shoot Branching,E093,D14,Shoot_Branching,-1,HIGH,False,3,10.1093/jxb/erx434; 10.1105/tpc.114.122903; 10.1242/dev.074567
Shoot Branching,E094,D27,Carlactone,1,HIGH,False,1,10.1073/pnas.1601729113
Shoot Branching,E095,D27,Strigolactone,1,HIGH,False,2,10.1093/pcp/pcad088; 10.1093/plphys/kiab071
Shoot Branching,E096,DELLA,BRC1,1,HIGH,False,7,authors; claim; doi; evidence_sentence; journal; title; year
Shoot Branching,E097,DELLA,SPL9,-1,MEDIUM,False,1,10.1111/jipb.12818
Shoot Branching,E098,DRM1,Shoot_Branching,-1,MEDIUM,False,1,10.1104/pp.104.057984
Shoot Branching,E099,Decapitation,Auxin,-1,HIGH,False,2,10.1104/pp.104.058743; 10.1104/pp.109.135475
Shoot Branching,E100,Decapitation,BRC1,-1,HIGH,False,2,10.1105/tpc.106.048934; 10.4161/psb.2.6.4811
Shoot Branching,E101,Decapitation,Cytokinin,1,HIGH,False,3,10.1093/plphys/kiad034; 10.1104/pp.109.135475; 10.3389/fpls.2022.889045
Shoot Branching,E102,Decapitation,DRM1,-1,HIGH,False,1,10.1104/pp.104.057984
Shoot Branching,E103,Decapitation,GA1,1,MEDIUM,False,1,10.1093/plphys/kiad034
Shoot Branching,E104,Decapitation,GA2ox,-1,HIGH,False,7,authors; claim; doi; evidence_sentence; journal; title; year
Shoot Branching,E105,Decapitation,GA3ox,1,HIGH,False,7,authors; claim; doi; evidence_sentence; journal; title; year
Shoot Branching,E106,Decapitation,IPT,1,HIGH,False,8,10.1093/aob/mcr069; authors; claim; doi; evidence_sentence; journal; title; year
Shoot Branching,E107,Decapitation,Shoot_Branching,1,HIGH,False,2,10.1104/pp.104.058743; 10.1104/pp.109.135475
Shoot Branching,E108,Decapitation,Strigolactone,-1,HIGH,False,1,10.1104/pp.109.135475
Shoot Branching,E109,Decapitation,Sucrose,1,HIGH,False,9,10.1104/pp.18.00519; 10.3389/fpls.2022.889045; authors; claim; doi; evidence_sentence; journal; title; year
Shoot Branching,E110,Decapitation,T6P,1,HIGH,False,1,10.1111/tpj.13705
Shoot Branching,E111,FAR1,Shoot_Branching,1,HIGH,False,1,10.1038/s41467-020-15893-7
Shoot Branching,E112,FHY3,SMXL6,1,HIGH,False,1,10.1038/s41467-020-15893-7
Shoot Branching,E113,FHY3,SMXL7,1,HIGH,False,1,10.1038/s41467-020-15893-7
Shoot Branching,E114,FHY3,SPL15,-1,HIGH,False,1,10.1038/s41467-020-15893-7
Shoot Branching,E115,FHY3,SPL9,-1,HIGH,False,1,10.1038/s41467-020-15893-7
Shoot Branching,E116,FHY3,Shoot_Branching,1,HIGH,False,8,10.1038/s41467-020-15893-7; authors; claim; doi; evidence_sentence; journal; title; year
Shoot Branching,E117,FT,BRC1,-1,HIGH,False,8,10.1093/plphys/kiab586; authors; claim; doi; evidence_sentence; journal; title; year
Shoot Branching,E118,FT,Shoot_Branching,1,HIGH,False,1,10.1093/plphys/kiab586
Shoot Branching,E119,GA,BRC1,-1,MEDIUM,False,1,10.3389/fpls.2019.00076
Shoot Branching,E120,GA,DELLA,-1,HIGH,False,8,10.1111/jipb.12818; authors; claim; doi; evidence_sentence; journal; title; year
Shoot Branching,E121,GA,GA2ox,1,HIGH,False,7,authors; claim; doi; evidence_sentence; journal; title; year
Shoot Branching,E122,GA,GID1,-1,HIGH,False,7,authors; claim; doi; evidence_sentence; journal; title; year
Shoot Branching,E123,GA,MAX1,-1,HIGH,False,7,authors; claim; doi; evidence_sentence; journal; title; year
Shoot Branching,E124,GA,PIN1,1,HIGH,False,7,authors; claim; doi; evidence_sentence; journal; title; year
Shoot Branching,E125,GA,Shoot_Branching,1,HIGH,False,7,authors; claim; doi; evidence_sentence; journal; title; year
Shoot Branching,E126,GA2ox,GA,-1,HIGH,False,7,authors; claim; doi; evidence_sentence; journal; title; year
Shoot Branching,E127,GA3ox,GA,1,HIGH,False,7,authors; claim; doi; evidence_sentence; journal; title; year
Shoot Branching,E128,HB21,NCED3,1,HIGH,False,1,10.1073/pnas.1613199114
Shoot Branching,E129,HB21,NCED5,1,HIGH,False,1,10.1093/plphys/kiae207
Shoot Branching,E130,HB40,NCED3,1,HIGH,False,1,10.1073/pnas.1613199114
Shoot Branching,E131,HB40,NCED5,1,MEDIUM,False,1,10.1093/plphys/kiae207
Shoot Branching,E132,HB53,NCED3,1,HIGH,False,1,10.1073/pnas.1613199114
Shoot Branching,E133,HB53,NCED5,1,MEDIUM,False,1,10.1093/plphys/kiae207
Shoot Branching,E134,HXK1,Cytokinin,1,MEDIUM,False,1,10.1111/nph.17427
Shoot Branching,E135,HXK1,Shoot_Branching,1,MEDIUM,False,1,10.1111/nph.17427
Shoot Branching,E136,IPT,Cytokinin,1,HIGH,False,8,10.1093/aob/mcr069; authors; claim; doi; evidence_sentence; journal; title; year
Shoot Branching,E137,KAI2,MAX2,1,HIGH,False,1,10.1242/dev.074567
Shoot Branching,E138,KAI2,SMAX1,-1,HIGH,False,2,10.1073/pnas.2412793122; 10.3389/fpls.2022.887232
Shoot Branching,E139,LAS,REV,1,HIGH,False,1,10.1101/gad.260703
Shoot Branching,E140,LAS,ROX,1,HIGH,False,1,10.1111/j.1365-313X.2012.04970.x
Shoot Branching,E141,LAS,STM,1,HIGH,False,1,10.1101/gad.260703
Shoot Branching,E142,LAS,Shoot_Branching,1,HIGH,False,8,10.1101/gad.260703; authors; claim; doi; evidence_sentence; journal; title; year
Shoot Branching,E143,LBO,Strigolactone,1,HIGH,False,2,10.1073/pnas.1601729113; 10.1093/pcp/pcad088
Shoot Branching,E144,Low_R_FR,ABA,-1,HIGH,False,7,authors; claim; doi; evidence_sentence; journal; title; year
Shoot Branching,E145,Low_R_FR,BRC1,1,HIGH,False,8,10.1105/tpc.112.108480; authors; claim; doi; evidence_sentence; journal; title; year
Shoot Branching,E146,Low_R_FR,FHY3,-1,HIGH,False,1,10.1038/s41467-020-15893-7
Shoot Branching,E147,Low_R_FR,HB21,1,HIGH,False,1,10.1073/pnas.1613199114
Shoot Branching,E148,Low_R_FR,NCED3,1,HIGH,False,1,10.1073/pnas.1613199114
Shoot Branching,E149,Low_R_FR,PIF4,1,HIGH,False,1,10.1093/jxb/erw479
Shoot Branching,E150,Low_R_FR,Shoot_Branching,-1,HIGH,False,1,10.1105/tpc.112.108480
Shoot Branching,E151,MAX1,Strigolactone,1,HIGH,False,4,10.1073/pnas.1601729113; 10.1093/jxb/erad412; 10.1093/jxb/erx434; 10.1093/pcp/pcad088
Shoot Branching,E152,MAX2,BES1,-1,HIGH,False,2,10.1016/j.devcel.2013.11.010; 10.1016/j.xplc.2019.100014
Shoot Branching,E153,MAX2,BRC1,1,HIGH,False,1,10.4161/psb.2.6.4811
Shoot Branching,E154,MAX2,D14,0,HIGH,False,1,10.1038/cr.2015.122
Shoot Branching,E155,MAX2,D14,-1,HIGH,False,1,10.1093/jxb/erae365
Shoot Branching,E156,MAX2,PIN1,-1,HIGH,False,1,10.1016/j.cub.2006.01.058
Shoot Branching,E157,MAX2,SMXL2,1,MEDIUM,False,1,10.3390/plants8090352
Shoot Branching,E158,MAX2,SMXL5,0,HIGH,False,1,10.1016/j.molp.2024.03.006
Shoot Branching,E159,MAX2,SMXL6,-1,HIGH,False,1,10.1105/tpc.15.00605
Shoot Branching,E160,MAX2,SMXL678,-1,HIGH,False,9,10.3389/fpls.2022.887232; 10.3389/fpls.2022.889045; authors; claim; doi; evidence_sentence; journal; title; year
Shoot Branching,E161,MAX2,SMXL7,-1,HIGH,False,1,10.1105/tpc.15.00562
Shoot Branching,E162,MAX2,SMXL8,-1,HIGH,False,1,10.1105/tpc.15.00605
Shoot Branching,E163,MAX2,Shoot_Branching,-1,HIGH,False,2,10.1093/jxb/erx434; 10.1104/pp.109.137646
Shoot Branching,E164,MAX2,Strigolactone,1,HIGH,False,1,10.1104/pp.108.134783
Shoot Branching,E165,NCED3,ABA,1,HIGH,False,1,10.1073/pnas.1613199114
Shoot Branching,E166,NCED5,ABA,1,HIGH,False,1,10.1111/j.1365-313X.2011.04887.x
Shoot Branching,E167,Nitrogen,CCD7,-1,HIGH,False,1,10.1080/15592324.2015.1126031
Shoot Branching,E168,Nitrogen,CCD8,-1,HIGH,False,1,10.1080/15592324.2015.1126031
Shoot Branching,E169,Nitrogen,Cytokinin,1,HIGH,False,8,10.1104/pp.109.135475; authors; claim; doi; evidence_sentence; journal; title; year
Shoot Branching,E170,Nitrogen,IPT,1,HIGH,False,1,10.1104/pp.109.135475
Shoot Branching,E171,Nitrogen,PIN3,1,HIGH,False,1,10.1104/pp.17.01691
Shoot Branching,E172,Nitrogen,Shoot_Branching,1,HIGH,False,9,10.1080/15592324.2015.1126031; 10.1104/pp.114.242388; authors; claim; doi; evidence_sentence; journal; title; year
Shoot Branching,E173,Nitrogen,Strigolactone,-1,HIGH,False,8,10.1104/pp.114.242388; authors; claim; doi; evidence_sentence; journal; title; year
Shoot Branching,E174,Osmotic_Stress,Strigolactone,1,HIGH,False,1,10.1016/j.xplc.2022.100303
Shoot Branching,E175,PDR1,Strigolactone,1,HIGH,False,1,10.1093/jxb/erx434
Shoot Branching,E176,PHYB,ABA,-1,HIGH,False,7,authors; claim; doi; evidence_sentence; journal; title; year
Shoot Branching,E177,PHYB,BRC1,-1,HIGH,False,8,10.1105/tpc.112.108480; authors; claim; doi; evidence_sentence; journal; title; year
Shoot Branching,E178,PHYB,BRC2,-1,HIGH,False,1,10.1104/pp.109.148833
Shoot Branching,E179,PHYB,GH3.5,-1,MEDIUM,False,1,10.1104/pp.113.234021
Shoot Branching,E180,PHYB,IAA3,-1,HIGH,False,1,10.1104/pp.113.234021
Shoot Branching,E181,PHYB,NCED3,-1,HIGH,False,1,10.1104/pp.113.221895
Shoot Branching,E182,PHYB,SAUR9,-1,MEDIUM,False,1,10.1104/pp.113.234021
Shoot Branching,E183,PHYB,Shoot_Branching,1,HIGH,False,2,10.1104/pp.109.148833; 10.1104/pp.113.234021
Shoot Branching,E184,PIF5,ABI5,1,MEDIUM,False,1,10.1093/jxb/erw479
Shoot Branching,E185,PIF5,AREB3,1,MEDIUM,False,1,10.1093/jxb/erw479
Shoot Branching,E186,PIF5,CYP707A3,-1,MEDIUM,False,1,10.1093/jxb/erw479
Shoot Branching,E187,PIF5,NCED3,1,HIGH,False,1,10.1093/jxb/erw479
Shoot Branching,E188,PIF5,NCED4,1,HIGH,False,1,10.1093/jxb/erw479
Shoot Branching,E189,PIN1,Auxin,1,HIGH,False,1,10.1105/tpc.16.00286
Shoot Branching,E190,PIN1,Shoot_Branching,1,HIGH,False,9,10.1093/jxb/erx434; 10.1242/bio.021402; authors; claim; doi; evidence_sentence; journal; title; year
Shoot Branching,E191,PIN3,Connective_Auxin_Transport,1,HIGH,False,1,10.1371/journal.pbio.1002446
Shoot Branching,E192,PIN3,Shoot_Branching,1,HIGH,False,1,10.1371/journal.pgen.1008023
Shoot Branching,E193,PIN4,Shoot_Branching,1,HIGH,False,1,10.1371/journal.pbio.1002446
Shoot Branching,E194,PIN7,Shoot_Branching,1,HIGH,False,1,10.1371/journal.pbio.1002446
Shoot Branching,E195,Phosphorus,CCD7,-1,HIGH,False,1,10.3389/fpls.2022.889045
Shoot Branching,E196,Phosphorus,CCD8,-1,HIGH,False,1,10.3389/fpls.2022.889045
Shoot Branching,E197,Phosphorus,Shoot_Branching,1,HIGH,False,1,10.1093/plphys/kiab071
Shoot Branching,E198,Phosphorus,Strigolactone,1,HIGH,False,1,10.1093/plphys/kiab071
Shoot Branching,E199,Phosphorus,Strigolactone,-1,HIGH,False,7,authors; claim; doi; evidence_sentence; journal; title; year
Shoot Branching,E200,Photoperiod,FT,1,HIGH,False,1,10.1093/plphys/kiab586
Shoot Branching,E201,Photoperiod,SPL15,1,MEDIUM,False,1,10.1371/journal.pgen.1006263
Shoot Branching,E202,Photoperiod,Shoot_Branching,1,MEDIUM,False,1,10.1093/plphys/kiab586
Shoot Branching,E203,RAX1,Axillary_meristem_initiation,1,HIGH,False,1,10.1016/j.pbi.2017.09.001
Shoot Branching,E204,RAX1,CUC2,1,HIGH,False,8,10.1105/tpc.105.038588; authors; claim; doi; evidence_sentence; journal; title; year
Shoot Branching,E205,RAX1,ROX,1,HIGH,False,1,10.1111/j.1365-313X.2012.04970.x
Shoot Branching,E206,RAX1,Shoot_Branching,1,HIGH,False,1,10.1105/tpc.105.038588
Shoot Branching,E207,REV,STM,1,HIGH,False,1,10.1101/gad.260703
Shoot Branching,E208,ROX,Axillary_meristem_initiation,1,HIGH,False,1,10.1111/j.1365-313X.2012.04970.x
Shoot Branching,E209,ROX,Shoot_Branching,1,HIGH,False,1,10.1111/j.1365-313X.2012.04970.x
Shoot Branching,E210,SMAX1,PIF4,0,MEDIUM,False,1,10.1073/pnas.2412793122
Shoot Branching,E211,SMXL5,D14,0,HIGH,False,1,10.1016/j.molp.2024.03.006
Shoot Branching,E212,SMXL5,SMXL678,1,HIGH,False,1,10.1016/j.molp.2024.03.006
Shoot Branching,E213,SMXL6,BRC1,-1,HIGH,False,2,10.1038/s41467-020-15893-7; 10.1105/tpc.15.00605
Shoot Branching,E214,SMXL6,PIN1,1,HIGH,False,1,10.1242/bio.021402
Shoot Branching,E215,SMXL6,SPL15,-1,HIGH,False,1,10.1038/s41467-020-15893-7
Shoot Branching,E216,SMXL6,SPL9,-1,HIGH,False,1,10.1038/s41467-020-15893-7
Shoot Branching,E217,SMXL6,Shoot_Branching,1,HIGH,False,1,10.1105/tpc.15.00605
Shoot Branching,E218,SMXL678,ABI5,-1,HIGH,False,1,10.1093/pcp/pcaa066
Shoot Branching,E219,SMXL678,BRC1,0,HIGH,False,1,10.1073/pnas.2412793122
Shoot Branching,E220,SMXL678,BRC1,-1,HIGH,False,10,10.1073/pnas.2412793122; 10.1371/journal.pbio.3003395; 10.3389/fpls.2022.887232; authors; claim; doi; evidence_sentence; journal; title; year
Shoot Branching,E221,SMXL678,D14,1,MEDIUM,False,1,10.1093/jxb/erae365
Shoot Branching,E222,SMXL678,DELLA,0,HIGH,False,1,10.1093/jxb/eraf027
Shoot Branching,E223,SMXL678,MAX1,-1,MEDIUM,False,1,10.1093/pcp/pcaa066
Shoot Branching,E224,SMXL678,PAP1,-1,HIGH,False,2,10.1073/pnas.2412793122; 10.1093/pcp/pcaa066
Shoot Branching,E225,SMXL678,PIN1,1,MEDIUM,False,1,10.1093/jxb/eraf027
Shoot Branching,E226,SMXL678,PIN1,-1,HIGH,False,1,10.1093/jxb/erx434
Shoot Branching,E227,SMXL678,SMXL678,-1,HIGH,False,1,10.1038/s41586-020-2382-x
Shoot Branching,E228,SMXL678,SMXL7,1,HIGH,False,1,10.1093/jxb/eraf027
Shoot Branching,E229,SMXL678,Shoot_Branching,1,HIGH,False,1,10.1105/tpc.16.00286
Shoot Branching,E230,SMXL678,SnRK2.3,-1,MEDIUM,False,1,10.1093/jxb/eraf027
Shoot Branching,E231,SMXL678,TPL,1,HIGH,False,1,10.3389/fpls.2022.887232
Shoot Branching,E232,SMXL678,TPL,0,HIGH,False,1,10.1093/jxb/eraf027
Shoot Branching,E233,SMXL7,BRC1,-1,HIGH,False,1,10.1016/j.xplc.2019.100014
Shoot Branching,E234,SMXL7,PIN1,1,HIGH,False,1,10.1242/bio.021402
Shoot Branching,E235,SMXL7,SPL15,-1,HIGH,False,1,10.1038/s41467-020-15893-7
Shoot Branching,E236,SMXL7,SPL9,-1,HIGH,False,1,10.1038/s41467-020-15893-7
Shoot Branching,E237,SMXL7,Shoot_Branching,1,HIGH,False,1,10.1105/tpc.15.00605
Shoot Branching,E238,SMXL8,BRC1,-1,HIGH,False,1,10.1105/tpc.15.00605
Shoot Branching,E239,SMXL8,PIN1,1,HIGH,False,1,10.1105/tpc.15.00562
Shoot Branching,E240,SMXL8,SPL15,-1,HIGH,False,1,10.1038/s41467-020-15893-7
