source,source_type,target,target_type,effect,edge_type,confidence,mechanism,doi,paper_title,authors,year,journal,evidence_sentence,verification,species_validated
ABA,HORMONE,Auxin,HORMONE,inhibition,signaling,HIGH,ABA reduces IAA accumulation in the bud during dormancy.,,,,,,,,
ABA,HORMONE,HB21,GENE,activation,signaling,HIGH,ABA feeds back to amplify HB21 expression creating positive feedback loop,,,,,,HB21 is responsive to ABA application in buds,,
ABA,HORMONE,HB40,GENE,activation,signaling,HIGH,ABA feeds back to amplify HB40 expression,,,,,,HB40 is responsive to ABA application in buds,,
ABA,HORMONE,HB53,GENE,activation,signaling,HIGH,ABA feeds back to amplify HB53 expression,,,,,,HB53 is responsive to ABA application in buds,,
ABA,HORMONE,Shoot_Branching,PHENOTYPE,inhibition,signaling,HIGH,ABA promotes bud dormancy downstream of BRC1,,,,,,ABA restricts bud outgrowth from lower buds in the rosette,,
ABA2,GENE,ABA,HORMONE,activation,metabolic,HIGH,ABA2 catalyzes ABA biosynthetic step,,,,,,Bud n and bud n-2 of aba2-1 had less than 25% of the ABA as the wild type,,
ABCB19,GENE,Polar_Auxin_Transport,PROCESS,activation,signaling,HIGH,ABCB19 has the broadest expression pattern and is apolar in most stem cells; provides bulk auxin efflux capacity.,,,,,,"ABCB19 has the broadest expression pattern of the proteins genes we examined, and can be observed with an apolar localization in the majority of cells in the stem.",,
ABCB19,GENE,Shoot_Branching,PHENOTYPE,activation,signaling,HIGH,ABCB19 loads auxin from bud into stem PATS enabling bud activation,,,,,,ABCB19 is important for loading auxin into the bud PATS,,
AFB4,GENE,Auxin,HORMONE,inhibition,signaling,HIGH,"RMS2/AFB4/AFB5 is an auxin co-receptor; binds Aux/IAA proteins (e.g., IAA7) in IAA-dependent manner with ASK1 to form SCF complex; mediates auxin-induced upregulation of SL biosynthesis (RMS1/RMS5)",,,,,,"RMS2 interacted with IAA7, even when IAA was not present. The addition of IAA appeared to increase the binding",,
AFB4,GENE,Shoot_Branching,PHENOTYPE,inhibition,signaling,HIGH,"Loss-of-function rms2/AFB4-5 mutants have increased shoot branching at basal nodes, low SL biosynthesis gene transcripts and elevated cytokinin export - parallels max mutants",,,,,,"The pea rms2 mutants display increased shoot branching, particularly at basal nodes",,
AFB5,GENE,Shoot_Branching,PHENOTYPE,inhibition,signaling,MEDIUM,"AFB5 contributes specifically to inflorescence height and shoot architecture, including branching control via auxin perception in stem.",,,,,,AFB5 particularly important for branching,,
AHK,GENE,Shoot_Branching,PHENOTYPE,activation,signaling,HIGH,Cytokinin receptor (AHK) signalling is required for AM initiation; receptor mutants compromise AM.,,,,,,,,
ARR1,GENE,LAS,GENE,activation,signaling,HIGH,B-type ARR1 transcription factor downstream of cytokinin signalling binds and activates LAS promoter.,,,,,,,,
ARR1,GENE,Shoot_Branching,PHENOTYPE,inhibition,signaling,MEDIUM,Type-B ARR1 is a negative regulator of branching; arr1 mutant has increased branching,,,,,,arr1 single mutant has increased branching forming mean 6.8 rosette branches compared with 5.5,,
ARR1,GENE,TIE1,GENE,activation,transcriptional,HIGH,Type-B response regulator ARR1 directly binds the TIE1 promoter and activates its transcription as part of the primary cytokinin response (ChIP-seq + transient LUC reporter validation),,,,,,"obvious binding signals in the promoter regions of TIE1, TIE2, and ARR15 that increased in binding intensity following cytokinin treatment; the LUC reporter was significantly activated by ARR1",,
ARR2,GENE,TIE1,GENE,activation,transcriptional,MEDIUM,Type-B response regulator ARR2 interacts with TIE1/TIE2 promoters analogous to ARR1; member of the same B-ARR family validated by ChIP-seq and protein interaction,,,,,,"The N terminus of TIE2 interacts with several type B ARR transcription factors, including ARR1 and ARR2",,
AXR1,GENE,Shoot_Branching,PHENOTYPE,activation,signaling,HIGH,AXR1 (auxin signalling component) is required for FHY3-dependent branching and stress tolerance.,,,,,,,,
Auxin,HORMONE,ABA,HORMONE,activation,signaling,MEDIUM,"Apical auxin and basal ABA additively repress bud outgrowth, suggesting parallel pathways converging on bud activation.",,,,,,there was also some additive repression when apical auxin and basal ABA treatments were combined in Ipomoea.,,
Auxin,HORMONE,BRC1,GENE,activation,signaling,HIGH,Auxin indirectly maintains BRC1 expression via SL promotion and CK suppression,,,,,,BRC1 activity is necessary for the auxin-induced control of apical dominance,,
Auxin,HORMONE,CAMEL,GENE,activation,transcriptional,HIGH,"CAMEL is auxin-regulated (auxin induces CAMEL expression), forming a feedback loop where auxin promotes its own canalization machinery.",,,,,,The auxin-regulated receptor CAMEL... The CAMEL-CANAR receptor complex is part of the auxin feedback that coordinates polarization of individual cells during auxin canalization.,,
Auxin,HORMONE,CCD7,GENE,activation,transcriptional,HIGH,Auxin upregulates MAX3/CCD7 expression in AXR1-dependent manner,,,,,,Auxin up-regulation of MAX3 and MAX4 transcripts in an AXR1-dependent manner,,
Auxin,HORMONE,CCD8,GENE,activation,transcriptional,HIGH,Auxin upregulates MAX4/CCD8 expression in AXR1-dependent manner,,,,,,MAX3 and MAX4 transcripts are induced by auxin in an AXR1-dependent manner,,
Auxin,HORMONE,Cytokinin,HORMONE,inhibition,signaling,HIGH,Auxin represses CK biosynthesis via IPT suppression,,,,,,Auxin can negatively regulate the synthesis of CK dependent on AXR1-mediated signaling,,
