test_id,gene,perturbation_type,gene_modifier,exogenous_node,exogenous_value,comparison_baseline,phenotype_node,expected_direction,expected_magnitude,doi,paper_title,authors,year,journal,evidence_sentence,verification,evidence_quality,species,notes
T001,BRC1,knockout,,,,,,increased,strong,,,,,,brc1 mutants had a significantly higher number of rosette branches than wild-type plants,,,Arabidopsis thaliana,
T002,BRC2,knockout,,,,,,increased,moderate,,,,,,The phenotype of brc2 mutants was weaker but consistently affected RI and RII,,,Arabidopsis thaliana,
T003,BRC1 BRC2,double_knockout,,,,,,increased,strong,,,,,,Double mutants brc1-2 brc2-1 had a phenotype similar to that of strong brc1 mutants,,,Arabidopsis thaliana,
T004,MAX1,knockout,,,,,,increased,strong,,,,,,The four max mutants have an excess of branch outgrowth,,,Arabidopsis thaliana,
T005,MAX2,knockout,,,,,,increased,strong,,,,,,The four max mutants have an excess of branch outgrowth,,,Arabidopsis thaliana,
T006,MAX3 (CCD7),knockout,,,,,,increased,strong,,,,,,max3 and max4 shoots increased axillary branching,,,Arabidopsis thaliana,
T007,MAX4 (CCD8),knockout,,,,,,increased,strong,,,,,,max4 mutants more rosette branches than wild-type,,,Arabidopsis thaliana,
T008,D14,knockout,,,,,,increased,strong,,,,,,Significantly larger number of primary rosette branches than the wild type,,,Arabidopsis thaliana,
T009,D27,knockout,,,,,,increased,strong,,,,,,d27-1 similar effects in stem as other SL biosynthesis mutants,,,Arabidopsis thaliana,
T010,LBO,knockout,,,,,,increased,strong,,,,,,Homozygous mutant plants exhibited increased rosette branches compared with their respective WTs,,,Arabidopsis thaliana,
T011,SMXL6,knockout,,,,,,unchanged,,,,,,,smxl single mutants displayed similar phenotypes to wild type,,,Arabidopsis thaliana,
T012,SMXL7,knockout,,,,,,unchanged,,,,,,,smxl single mutants displayed similar phenotypes to wild type,,,Arabidopsis thaliana,
T013,SMXL8,knockout,,,,,,unchanged,,,,,,,smxl single mutants displayed similar phenotypes to wild type,,,Arabidopsis thaliana,
T014,SMXL6 SMXL7 SMXL8,triple_knockout,,,,,,decreased,strong,,,,,,Triple mutant smxl6/7/8 displayed a significant decrease in secondary cauline branch number,,,Arabidopsis thaliana,
T015,PHYB,knockout,,,,,,decreased,moderate,,,,,,Loss of phyB function resulted in a reduction in branches,,,Arabidopsis thaliana,
T016,AXR1,knockout,,,,,,increased,moderate,,,,,,Phenotypes conferred by axr1 include increased branching,,,Arabidopsis thaliana,
T017,NCED3,knockout,,,,,,increased,moderate,,,,,,The frequency of bud n-2 outgrowth was elevated in nced3-2 compared with the wild type,,,Arabidopsis thaliana,
T018,ABA2,knockout,,,,,,increased,moderate,,,,,,The frequency of bud n-2 outgrowth was elevated in aba2-1 compared with the wild type,,,Arabidopsis thaliana,
T019,LAS,knockout,,,,,,decreased,strong,,,,,,las mutants showed almost complete suppression of secondary bolt formation from rosette leaf axils,,,Arabidopsis thaliana,
T020,RAX1,knockout,,,,,,decreased,moderate,,,,,,Homozygous rax1-2 plants produced fewer paraclades from rosette and cauline leaf axils,,,Arabidopsis thaliana,
T021,TIE1,overexpression,,,,,,increased,strong,,,,,,All three TIE1 overexpression lines produced more branches than wild-type controls,,,Arabidopsis thaliana,
T022,FHY3,knockout,,,,,,decreased,strong,,,,,,fhy3-11 had less branches compared with WT (only 16.4% of WT),,,Arabidopsis thaliana,
T023,FHY3,overexpression,,,,,,increased,moderate,,,,,,FHY3-OE plants had 27.3% more rosette branches than WT,,,Arabidopsis thaliana,
T024,FAR1,knockout,,,,,,decreased,strong,,,,,,far1-4 had less branches compared with WT (13.4% of WT),,,Arabidopsis thaliana,
T025,SPL9 SPL15,double_knockout,,,,,,increased,moderate,,,,,,spl9 spl15 double mutant had more rosette branches than WT (~39% more),,,Arabidopsis thaliana,
T026,SPL9 (rSPL9 miR156-resistant),overexpression,,,,,,decreased,moderate,,,,,,rSPL9-OE had less rosette branches than WT (~72.4% of WT),,,Arabidopsis thaliana,
T027,BRC1,overexpression,,,,,,decreased,strong,,,,,,Plants expressing GFP:BRC1 showed pleiotropic developmental defects and retarded growth,,,Arabidopsis thaliana,
T028,AMP1,knockout,,,,,,increased,moderate,,,,,,amp1 mutants form extra buds (elevated CK levels),,,Arabidopsis thaliana,
T029,YUCCA1,overexpression,,,,,,decreased,strong,,,,,,ycc1 mutants had most rosette leaf buds arrested,,,Arabidopsis thaliana,
T030,HB21 HB40 HB53,triple_knockout,,,,,,increased,moderate,,,,,,hb21 hb40 hb53 triple mutants had 79% and 90% reduced response to W+FR,,,Arabidopsis thaliana,
T031,ARR1,knockout,,,,,,increased,slight,,,,,,arr1 single mutant has increased branching forming mean 6.8 rosette branches compared with 5.5,,,Arabidopsis thaliana,
T032,PIN3 PIN4 PIN7,triple_knockout,,,,,,decreased,moderate,,,,,,"pin3,4,7 triple mutant forms fewer branches",,,Arabidopsis thaliana,
T033,IPT3 IPT5 IPT7,triple_knockout,,,,,,decreased,moderate,,,,,,"ipt3,5,7 mutants have reduced CK levels and form fewer branches",,,Arabidopsis thaliana,
T034,BES1,knockdown,,,,,,decreased,moderate,,,,,,BES1-RNAi line showed decreased branch number compared with wild type,,,Arabidopsis thaliana,
T035,BES1,gain_of_function,,,,,,increased,moderate,,,,,,bes1-D mutant exhibiting more branching number,,,Arabidopsis thaliana,
T036,FT,knockout,,,,,,decreased,strong,,,,,,ft mutant has almost no rosette branches,,,Arabidopsis thaliana,
T037,FT,overexpression,,,,,,increased,moderate,,,,,,35S:FT plants show increase in R1 rosette branches,,,Arabidopsis thaliana,
T038,KAI2,knockout,,,,,,unchanged,,,,,,,No clear phenotypic similarities between max4-5 and kai2-2 for branching,,,Arabidopsis thaliana,
T039,SMAX1,knockout,,,,,,unchanged,,,,,,,Not significantly different from wild type for branching,,,Arabidopsis thaliana,
T040,SPS (SUPERSHOOT),knockout,,,,,,increased,strong,,,,,,sps mutant has massive shoot overproliferation,,,Arabidopsis thaliana,
T041,D14 BRC1,double_knockout,,,,,,increased,strong,,,,,,"d14 brc1 double mutants had significantly more branches than the single mutants, indicating additivity",,,Arabidopsis thaliana,
T042,BRC1 MAX4,double_knockout,,,,,,increased,strong,,,,,,The phenotype of max brc1 double mutants is similar to those of the single max and brc1 mutant parents,,,Arabidopsis thaliana,
T043,AXR1 MAX2,double_knockout,,,,,,increased,strong,,,,,,Additive bud auxin-insensitivity and branching phenotype relative to single mutants,,,Arabidopsis thaliana,
T044,AXR1 MAX1,double_knockout,,,,,,increased,strong,,,,,,Double mutant exceeded that from both single mutants,,,Arabidopsis thaliana,
T045,PHYB BRC1,double_knockout,,,,,,increased,strong,,,,,,brc1-2 completely suppressed phyB phenotype of reduced branching,,,Arabidopsis thaliana,
T046,PIN1 D14,double_knockout,,,,,,decreased,strong,,,,,,pin1-613 d14-1 dramatically reduced shoot branching,,,Arabidopsis thaliana,
T047,MAX2 PIN3 PIN4 PIN7,quadruple_knockout,,,,,,increased,moderate,,,,,,Loss of PIN347 in max2 mutants significantly reduced shoot branching vs max2 alone,,,Arabidopsis thaliana,
T048,ABCB19,knockout,,,,,,decreased,slight,,,,,,Branching in abcb19 mutants was reduced compared to wild type in short days,,,Arabidopsis thaliana,
T049,SMXL6 (degradation-resistant),overexpression,,,,,,increased,strong,,,,,,35S:SMXL6D-GFP plants formed more primary rosette branches and secondary cauline branches,,,Arabidopsis thaliana,
T050,GR24 (SL analog),exogenous_SL,,,,,,decreased,moderate,,,,,,"GR24 can restore branching inhibition in max1, max3, and max4 mutants",,,Arabidopsis thaliana,
T051,Cytokinin (BA),treatment,,,,,,increased,moderate,,,,,,Basal BA could overcome inhibitory effect of apical NAA and activate buds,,,Arabidopsis thaliana,
T052,Decapitation,treatment,,,,,,increased,strong,,,,,,"Removal of the shoot apex alleviates inhibition, allowing outgrowth of lateral buds",,,Arabidopsis thaliana,
T053,Low R:FR (shade),environmental,,,,,,decreased,moderate,,,,,,W+FR treatment caused 3-fold fewer branches in WT,,,Arabidopsis thaliana,
T054,Low nitrogen (1.8 mM),environmental,,,,,,decreased,moderate,,,,,,Mean total number of secondary shoots dropped from 4.25 on 9 mM to 2.9 on 1.8 mM NO3-,,,Arabidopsis thaliana,
T055,High nitrogen (9 mM),environmental,,,,,,increased,moderate,,,,,,Mean total number of secondary shoots produced was 4.25 on 9 mM NO3-,,,Arabidopsis thaliana,
T056,ABA,treatment,,,,,,decreased,moderate,,,,,,ABA application led to further reduction in branch number in WT,,,Arabidopsis thaliana,
T057,GR24 on max2,knockout_plus_GR24,,,,,,increased,strong,,,,,,Branching was unchanged in max2-1 after GR24 application,,,Arabidopsis thaliana,
T058,GR24 on max4,knockout_plus_GR24,,,,,,decreased,moderate,,,,,,GR24 can restore branching inhibition in max4 mutants,,,Arabidopsis thaliana,
T059,GR24 on brc1 brc2,knockout_plus_GR24,,,,,,increased,moderate,,,,,,brc1brc2 plants produced fewer branches on GR24 but still more than WT,,,Arabidopsis thaliana,
T060,CKX,overexpression,,,,,,decreased,moderate,,,,,,Reduction of CK levels by overexpressing cytokinin oxidase results in reduced meristem size,,,Arabidopsis thaliana,
T061,REV/IFL1,knockout,,,,,,decreased,moderate,,,,,,"In the mutants ifl1, both affected in AM initiation, BRC1 and BRC2 levels were reduced",,,Arabidopsis thaliana,
T062,DELLA quintuple,quintuple_knockout,,,,,,unchanged,,,,,,,No statistically significant difference in total branches,,,Arabidopsis thaliana,
T063,SMXL6 SMXL7 SMXL8 MAX2,quadruple_knockout,,,,,,unchanged,,,,,,,Fully suppress max2 branching phenotype to wild type levels,,,Arabidopsis thaliana,
T064,SMXL6 SMXL7 SMXL8 MAX3,quadruple_knockout,,,,,,decreased,strong,,,,,,max3-9 smxl6/7/8 completely suppressed max3-9 branching,,,Arabidopsis thaliana,
T065,SMXL6 SMXL7 SMXL8 SPL9 SPL15,quintuple_knockout,,,,,,increased,moderate,,,,,,smxl6/7/8/spl9/15 quintuple mutant had similar number as spl9 spl15 double mutant,,,Arabidopsis thaliana,
T066,Auxin (NAA apical),treatment,,,,,,decreased,strong,,,,,,NAA prevented bud outgrowth compared with lanolin-only controls,,,Arabidopsis thaliana,
T067,Sucrose (exogenous),treatment,,,,,,increased,moderate,,,,,,Sucrose and hexoses induced branching and lateral bud elongation,,,Arabidopsis thaliana,
T068,EOD-FR on fhy3 far1,environmental,,,,,,decreased,moderate,,,,,,fhy3 far1 ~27% reduction vs 51% for WT (less sensitive to shade),,,Arabidopsis thaliana,
T069,D14 KAI2,double_knockout,,,,,,increased,strong,,,,,,d14-1 kai2-2 double mutant phenocopies max2-1,,,Arabidopsis thaliana,
T070,D14 MAX2,double_knockout,,,,,,increased,strong,,,,,,d14-seto max2-1 double mutants phenotype resembled that of max2-1 plants,,,Arabidopsis thaliana,
T071,BRC1 AMP1,double_knockout,,,,,,increased,strong,,,,,,amp1 brc1 double mutants had a higher number of RI branches than the parental lines,,,Arabidopsis thaliana,
T072,BRC1 YUCCA1,double_mutant,,,,,,increased,moderate,,,,,,brc1 mutations mostly suppressed the strong apical dominance phenotype of ycc1,,,Arabidopsis thaliana,
T073,GN (GNOM),knockout,,,,,,increased,moderate,,,,,,"For gn, reduced PM PIN1 was associated with reduced auxin transport and increased shoot branching",,,Arabidopsis thaliana,
T074,TIR3,knockout,,,,,,increased,moderate,,,,,,"For tir3, reduced PM PIN1 was associated with increased shoot branching",,,Arabidopsis thaliana,
T075,SMXL7 (degradation-resistant SMXL7-D),gain_of_function,,,,,,increased,strong,,,,,,SMXL7-D exhibit increased branching number compared with wild-type,,,Arabidopsis thaliana,
T076,SMXL6 SMXL7 SMXL8 BRC1,quadruple_knockout,,,,,,increased,strong,,,,,,brc1 was able to rescue branching phenotypes of smxl6/7/8,,,Arabidopsis thaliana,
T077,ERA1,knockout,,,,,,decreased,moderate,,,,,,Arabidopsis era1 (ENHANCED RESPONSE TO ABA 1) mutant has reduced branching,,,Arabidopsis thaliana,
T078,TIE1,loss_of_function,,,,,,decreased,moderate,,,,,,TIE1mEAR-VP16 dominant-negative plants produced fewer branches than controls,,,Arabidopsis thaliana,
T079,TIE1,gain_of_function,,,,,,increased,strong,,,,,,tie1-D activation-tagging mutant produced an excessive number of branches,,,Arabidopsis thaliana,
T080,MAX4 BRC1 BRC2,triple_knockout,,,,,,increased,strong,,,,,,Triple mutants had considerably more branches than either parent,,,Arabidopsis thaliana,
T081,D14 BRC1 BRC2,triple_knockout,,,,,,increased,strong,,,,,,Triple mutants had considerably more branches than either parent,,,Arabidopsis thaliana,
T082,MAX2 ABCB19,double_knockout,,,,,,increased,moderate,,,,,,Loss of ABCB19 reduced branching levels in max2 mutants,,,Arabidopsis thaliana,
T083,BRC1 BRC2 ABCB19,triple_knockout,,,,,,increased,moderate,,,,,,Loss of ABCB19 significantly reduced branching in brc1brc2,,,Arabidopsis thaliana,
T084,HB21,knockout,,,,,,unchanged,,,,,,,Single hb21 mutants similar to wild-type plants in W light,,,Arabidopsis thaliana,
T085,HB21 HB40,double_knockout,,,,,,increased,moderate,,,,,,hb21 hb40 double mutants had 62% reduced response to W+FR light,,,Arabidopsis thaliana,
T086,PHYB PHYD,double_knockout,,,,,,decreased,moderate,,,,,,phyB phyD had enhanced branch suppression vs phyB single mutants,,,Arabidopsis thaliana,
T087,BDL/IAA12,gain_of_function,,,,,,increased,moderate,,,,,,"Moderately shorter stature and increased branching, resembled max mutants",,,Arabidopsis thaliana,
T088,NPA (auxin transport inhibitor),chemical_treatment,,,,,,decreased,slight,,,,,,Significant reductions in branching observed in plants treated with NPA,,,Arabidopsis thaliana,
T089,"otsA (TPS overexpression, high T6P)",overexpression,,,,,,increased,strong,,,,,,35S:otsA plants had highly branched inflorescences,,,Arabidopsis thaliana,
T090,"otsB (TPP overexpression, low T6P)",overexpression,,,,,,decreased,moderate,,,,,,35S:otsB plants had few branches,,,Arabidopsis thaliana,
T091,SMXL6 SMXL7,double_knockout,,,,,,unchanged,,,,,,,Double mutants smxl6/7 partially repressed the highly branched phenotype of max3-9,,,Arabidopsis thaliana,
T092,SOC1,knockout,,,,,,decreased,moderate,,,,,,soc1 mutants show decrease in R1,,,Arabidopsis thaliana,
T093,"ARR type-A hextuple (arr3,4,5,6,7,15)",knockout,,,,,,decreased,moderate,,,,,,"Hextuple type-A arr3,4,5,6,7,15 mutant exhibits reduced bud activation",,,Arabidopsis thaliana,
T094,Phosphate deficiency,environmental,,,,,,decreased,moderate,,,,,,Limited availability of P promotes SL production and inhibits branching,,,Arabidopsis thaliana,
T095,RAX1 RAX2 RAX3,triple_knockout,,,,,,decreased,strong,,,,,,"In the Arabidopsis rax1 rax2 rax3 triple mutant, almost no axillary meristems were able to initiate",,,Arabidopsis thaliana,
T096,GR24 on d14,knockout_plus_GR24,,,,,,increased,strong,,,,,,GR24 had no effect on d14-1,,,Arabidopsis thaliana,
T097,SMXL6 SMXL7 SMXL8 (in max2 background),quadruple_knockout,,,,,,unchanged,,,,,,,Restores max2 branching to wild type,,,Arabidopsis thaliana,
T098,SMXL6 SMXL7 SMXL8 MAX2 BRC1,quintuple_knockout,,,,,,increased,strong,,,,,,Branching level of smxl678 max2-1 brc1 up to that of brc1,,,Arabidopsis thaliana,
T099,SMXL7 MAX2,double_knockout,,,,,,increased,moderate,,,,,,Reduced branch numbers compared to max2 alone,,,Arabidopsis thaliana,
T100,FHY3 FAR1,double_knockout,,,,,,decreased,strong,,,,,,fhy3 far1 plants had only 13.4% of WT branches,,,Arabidopsis thaliana,
T101,CUC2,overexpression,,,,,,increased,moderate,,,,,,Overexpression of these genes led to ectopic axillary meristem formation,,,Arabidopsis thaliana,
T102,YUC1D MAX3,double_mutant,,,,,,increased,strong,,,,,,Double mutant combination appeared identical to max3 single mutants,,,Arabidopsis thaliana,
T103,Brassinolide,treatment,,,,,,unchanged,,,,,,,BR treatments had no effects on BRC1 expression,,,Arabidopsis thaliana,
T104,BRI1 (bri1-301),loss_of_function,,,,,,unchanged,,,,,,,Mutants of BR signaling components did not alter branch number,,,Arabidopsis thaliana,
T105,GAI (gai-1 dominant negative),gain_of_function,,,,,,unchanged,,,,,,,No significant difference in total branches for gai-1,,,Arabidopsis thaliana,
T106,DLK2,knockout,,,,,,unchanged,,,,,,,dlk2-3 mutant largely indistinguishable from wild type,,,Arabidopsis thaliana,
T107,PIN1 MAX2,double_knockout,,,,,,decreased,strong,,,,,,Reduced branching in pin1 max2 double mutant,,,Arabidopsis thaliana,
T108,SMXL7 SMXL8 MAX2,triple_knockout,,,,,,unchanged,,,,,,,Rosette branching restored to wild type levels in smxl7 smxl8 max2,,,Arabidopsis thaliana,
T109,PHYA,knockout,,,,,,unchanged,,,,,,,phyA results similar to wild type,,,Arabidopsis thaliana,
T110,MAX4 TIR3,double_knockout,,,,,,increased,strong,,,,,,"In max4 tir3, branching was high",,,Arabidopsis thaliana,
T111,MAX2 TIR3,double_knockout,,,,,,increased,strong,,,,,,Double mutants between these two classes had at least partially additive phenotypes,,,Arabidopsis thaliana,
T112,PHYB MAX4,double_knockout,,,,,,increased,moderate,,,,,,Branch lengths increased by phyB deficiency in max4,,,Arabidopsis thaliana,
T113,PHYB AXR1,double_knockout,,,,,,increased,moderate,,,,,,Branch lengths increased by phyB deficiency in axr1-12,,,Arabidopsis thaliana,
T114,BRC2,overexpression,,,,,,unchanged,,,,,,,Plants expressing GFP:BRC2 did not show any obvious phenotypic effect,,,Arabidopsis thaliana,
T115,FHY3 FAR1 SPL9 SPL15,quadruple_knockout,,,,,,increased,moderate,,,,,,fhy3 far1/spl9 spl15 had similar number as spl9 spl15 double mutant (SPL epistatic),,,Arabidopsis thaliana,
T116,GR24,knockout,,,,,,decreased,,,,,,,repeated application of GR24...completely inhibited bud outgrowth.,,,,
T117,ccd8,knockout,,,,,,decreased,,,,,,,ccd8 mutant + GR24 inhibited bud growth from outset.,,,,
T118,GR24,knockout,,,,,,decreased,,,,,,,axr1 mutant + GR24 47% reduction in branch number.,,,,
T119,GR24,knockout,,,,,,decreased,,,,,,,tir1 afb1 afb2 afb3 quadruple + GR24 inhibited shoot bud outgrowth.,,,,
T120,brc1,knockout,,,,,,unchanged,,,,,,,brc1 mutant...was not reduced by GR24.,,,,
T121,auxin,overexpression,,,,,,decreased,,,,,,,Branching was significantly suppressed in yuc1D compared with wild type.,,,,
T122,max3,knockout,,,,,,increased,,,,,,,yuc1D x max3 highly branched phenotype (max3-like).,,,,
T123,unknown,knockout,,,,,,increased,,,,,,,Wild-type + NPA increased branching below treatment site.,,,,
T124,GR24,knockout,,,,,,decreased,,,,,,,GR24 + NPA caused ~50% inhibition of bud outgrowth despite NPA blocking transport.,,,,
T125,max1,knockout,,,,,,increased,,,,,,,"max1-1/max4-1 vascular regeneration faster than WT, more abundant vasculature.",,,,
T126,max2,knockout,,,,,,increased,,,,,,,regeneration occurred faster...and the regenerated strands were more abundant in max2-3.,,,,
T127,d14,knockout,,,,,,unchanged,,,,,,,d14-1 htl-3 less sensitivity to GR24 antagonism of NAA effect.,,,,
T128,smxl678,knockout,,,,,,increased,,,,,,,smxl678 max2 mutant...has a sprawling growth habit with increased branching.,,,,
T129,smxl7,knockout,,,,,,decreased,,,,,,,loss of SMXL7 function...is sufficient to suppress completely the SL-related shoot branching.,,,,
T130,Psbrc1,knockout,,,,,,increased,,,,,,,The pea Psbrc1 mutant displays an increased shoot-branching phenotype.,,,,
T131,Psbrc1,knockout,,,,,,unchanged,,,,,,,Psbrc1 mutant does not respond to strigolactone application.,,,,
T132,GR24,knockout,,,,,,increased,,,,,,,transcriptionally up-regulated by direct application of the synthetic SL GR24.,,,,
T133,cytokinin,knockout,,,,,,decreased,,,,,,,down-regulated by the cytokinin (CK) 6-benzylaminopurine.,,,,
T134,d53,overexpression,,,,,,increased,,,,,,,"dominant form of D53 is resistant to SL-mediated degradation, causing high-tillering phenotype.",,,,
T135,d14,knockout,,,,,,increased,,,,,,,"D53 not degraded in d14 mutant, blocks SL signaling.",,,,
T136,unknown,knockout,,,,,,increased,,,,,,,D53 not degraded in d3 mutant; blocks SL signaling.,,,,
T137,Atd14,knockout,,,,,,increased,,,,,,,Atd14-1 has an increased branching phenotype similar to max2.,,,,
T138,unknown,knockout,,,,,,unchanged,,,,,,,kai2 has a branching pattern that is indistinguishable from wild type.,,,,
T139,Atd14,knockout,,,,,,unchanged,,,,,,,Atd14-1 strigolactone-insensitive.,,,,
T140,unknown,knockout,,,,,,increased,,,,,,,"smax1 smxl2 seedlings were resistant to mannitol, showing only 10% reduction.",,,,
T141,d14,knockout,,,,,,decreased,,,,,,,Growth inhibition by mannitol was enhanced in d14 seedlings.,,,,
T142,max3,knockout,,,,,,unchanged,,,,,,,degradation...not in...SL-deficient max3 seedlings.,,,,
T143,max1,knockout,,,,,,increased,,,,,,,"max1-1: 12,012 genes (6,462 up, 5,550 down).",,,,
T144,max2,knockout,,,,,,increased,,,,,,,"High branched phenotype of the max mutant can be rescued by application of GR24, except for the max2 phenotype.",,,,
T145,max3,knockout,,,,,,decreased,,,,,,,"max mutant rescued by GR24, except for max2.",,,,
T146,max4,knockout,,,,,,decreased,,,,,,,"max mutant rescued by GR24, except for max2.",,,,
T147,unknown,knockout,,,,,,increased,,,,,,,The smxl4 smxl5 mutant has enhanced responses to strigolactone,,,,
T148,unknown,knockout,,,,,,decreased,,,,,,,The smxl4 smxl5 mutant has enhanced responses to strigolactone,,,,
T149,unknown,knockout,,,,,,decreased,,,,,,,induction requires the SWI/SNF ATPase SPLAYED (SYD),,,,
T150,unknown,knockout,,,,,,increased,,,,,,,sucrose antagonizes the suppressive action of SL on tillering,,,,
