test_id,gene,perturbation_type,gene_modifier,exogenous_node,exogenous_value,comparison_baseline,phenotype_node,expected_direction,expected_magnitude,doi,paper_title,authors,year,journal,evidence_sentence,verification,evidence_quality,species,notes
T001,BRC1,knockout,,,,WT,Shoot_Branching,increased,strong,,,,,,brc1 mutants had a significantly higher number of rosette branches than wild-type plants,,,,
T002,BRC2,knockout,,,,WT,Shoot_Branching,increased,moderate,,,,,,The phenotype of brc2 mutants was weaker but consistently affected RI and RII,,,,
T003,BRC1 BRC2,double_knockout,,,,WT,Shoot_Branching,increased,strong,,,,,,Double mutants brc1-2 brc2-1 had a phenotype similar to that of strong brc1 mutants,,,,
T004,MAX1,knockout,,,,WT,Shoot_Branching,increased,strong,,,,,,The four max mutants have an excess of branch outgrowth,,,,
T005,MAX2,knockout,,,,WT,Shoot_Branching,increased,strong,,,,,,The four max mutants have an excess of branch outgrowth,,,,
T006,MAX3 (CCD7),knockout,,,,WT,Shoot_Branching,increased,strong,,,,,,max3 and max4 shoots increased axillary branching,,,,
T007,MAX4 (CCD8),knockout,,,,WT,Shoot_Branching,increased,strong,,,,,,max4 mutants more rosette branches than wild-type,,,,
T008,D14,knockout,,,,WT,Shoot_Branching,increased,strong,,,,,,Significantly larger number of primary rosette branches than the wild type,,,,
T009,D27,knockout,,,,WT,Shoot_Branching,increased,strong,,,,,,d27-1 similar effects in stem as other SL biosynthesis mutants,,,,
T010,LBO,knockout,,,,WT,Shoot_Branching,increased,strong,,,,,,Homozygous mutant plants exhibited increased rosette branches compared with their respective WTs,,,,
T011,SMXL6,knockout,,,,WT,Shoot_Branching,unchanged,moderate,,,,,,smxl single mutants displayed similar phenotypes to wild type,,,,
T012,SMXL7,knockout,,,,WT,Shoot_Branching,unchanged,moderate,,,,,,smxl single mutants displayed similar phenotypes to wild type,,,,
T013,SMXL8,knockout,,,,WT,Shoot_Branching,unchanged,moderate,,,,,,smxl single mutants displayed similar phenotypes to wild type,,,,
T014,SMXL6 SMXL7 SMXL8,triple_knockout,,,,WT,Shoot_Branching,decreased,strong,,,,,,Triple mutant smxl6/7/8 displayed a significant decrease in secondary cauline branch number,,,,
T015,PHYB,knockout,,,,WT,Shoot_Branching,decreased,moderate,,,,,,Loss of phyB function resulted in a reduction in branches,,,,
T016,AXR1,knockout,,,,WT,Shoot_Branching,increased,moderate,,,,,,Phenotypes conferred by axr1 include increased branching,,,,
T017,NCED3,knockout,,,,WT,Shoot_Branching,increased,moderate,,,,,,The frequency of bud n-2 outgrowth was elevated in nced3-2 compared with the wild type,,,,
T018,ABA2,knockout,,,,WT,Shoot_Branching,increased,moderate,,,,,,The frequency of bud n-2 outgrowth was elevated in aba2-1 compared with the wild type,,,,
T019,LAS,knockout,,,,WT,Shoot_Branching,decreased,strong,,,,,,las mutants showed almost complete suppression of secondary bolt formation from rosette leaf axils,,,,
T020,RAX1,knockout,,,,WT,Shoot_Branching,decreased,moderate,,,,,,Homozygous rax1-2 plants produced fewer paraclades from rosette and cauline leaf axils,,,,
T021,TIE1,overexpression,,,,WT,Shoot_Branching,increased,strong,,,,,,All three TIE1 overexpression lines produced more branches than wild-type controls,,,,
T022,FHY3,knockout,,,,WT,Shoot_Branching,decreased,strong,,,,,,fhy3-11 had less branches compared with WT (only 16.4% of WT),,,,
T023,FHY3,overexpression,,,,WT,Shoot_Branching,increased,moderate,,,,,,FHY3-OE plants had 27.3% more rosette branches than WT,,,,
T024,FAR1,knockout,,,,WT,Shoot_Branching,decreased,strong,,,,,,far1-4 had less branches compared with WT (13.4% of WT),,,,
T025,SPL9 SPL15,double_knockout,,,,WT,Shoot_Branching,increased,moderate,,,,,,spl9 spl15 double mutant had more rosette branches than WT (~39% more),,,,
T026,SPL9 (rSPL9 miR156-resistant),overexpression,,,,WT,Shoot_Branching,decreased,moderate,,,,,,rSPL9-OE had less rosette branches than WT (~72.4% of WT),,,,
T027,BRC1,overexpression,,,,WT,Shoot_Branching,decreased,strong,,,,,,Plants expressing GFP:BRC1 showed pleiotropic developmental defects and retarded growth,,,,
T028,AMP1,knockout,,,,WT,Shoot_Branching,increased,moderate,,,,,,amp1 mutants form extra buds (elevated CK levels),,,,
T029,YUCCA1,overexpression,,,,WT,Shoot_Branching,decreased,strong,,,,,,ycc1 mutants had most rosette leaf buds arrested,,,,
T030,HB21 HB40 HB53,triple_knockout,,,,WT,Shoot_Branching,increased,moderate,,,,,,hb21 hb40 hb53 triple mutants had 79% and 90% reduced response to W+FR,,,,
T031,ARR1,knockout,,,,WT,Shoot_Branching,increased,slight,,,,,,arr1 single mutant has increased branching forming mean 6.8 rosette branches compared with 5.5,,,,
T032,PIN3 PIN4 PIN7,triple_knockout,,,,WT,Shoot_Branching,decreased,moderate,,,,,,"pin3,4,7 triple mutant forms fewer branches",,,,
T033,IPT3 IPT5 IPT7,triple_knockout,,,,WT,Shoot_Branching,decreased,moderate,,,,,,"ipt3,5,7 mutants have reduced CK levels and form fewer branches",,,,
T034,BES1,knockdown,,,,WT,Shoot_Branching,decreased,moderate,,,,,,BES1-RNAi line showed decreased branch number compared with wild type,,,,
T035,BES1,gain_of_function,,,,WT,Shoot_Branching,increased,moderate,,,,,,bes1-D mutant exhibiting more branching number,,,,
T036,FT,knockout,,,,WT,Shoot_Branching,decreased,strong,,,,,,ft mutant has almost no rosette branches,,,,
T037,FT,overexpression,,,,WT,Shoot_Branching,increased,moderate,,,,,,35S:FT plants show increase in R1 rosette branches,,,,
T038,KAI2,knockout,,,,WT,Shoot_Branching,unchanged,moderate,,,,,,No clear phenotypic similarities between max4-5 and kai2-2 for branching,,,,
T039,SMAX1,knockout,,,,WT,Shoot_Branching,unchanged,moderate,,,,,,Not significantly different from wild type for branching,,,,
T040,SPS (SUPERSHOOT),knockout,,,,WT,Shoot_Branching,increased,strong,,,,,,sps mutant has massive shoot overproliferation,,,,
T041,D14 BRC1,double_knockout,,,,WT,Shoot_Branching,increased,strong,,,,,,"d14 brc1 double mutants had significantly more branches than the single mutants, indicating additivity",,,,
T042,BRC1 MAX4,double_knockout,,,,WT,Shoot_Branching,increased,strong,,,,,,The phenotype of max brc1 double mutants is similar to those of the single max and brc1 mutant parents,,,,
T043,AXR1 MAX2,double_knockout,,,,WT,Shoot_Branching,increased,strong,,,,,,Additive bud auxin-insensitivity and branching phenotype relative to single mutants,,,,
T044,AXR1 MAX1,double_knockout,,,,WT,Shoot_Branching,increased,strong,,,,,,Double mutant exceeded that from both single mutants,,,,
T045,PHYB BRC1,double_knockout,,,,WT,Shoot_Branching,increased,strong,,,,,,brc1-2 completely suppressed phyB phenotype of reduced branching,,,,
T046,PIN1 D14,double_knockout,,,,WT,Shoot_Branching,decreased,strong,,,,,,pin1-613 d14-1 dramatically reduced shoot branching,,,,
T047,MAX2 PIN3 PIN4 PIN7,quadruple_knockout,,,,WT,Shoot_Branching,increased,moderate,,,,,,Loss of PIN347 in max2 mutants significantly reduced shoot branching vs max2 alone,,,,
T048,ABCB19,knockout,,,,WT,Shoot_Branching,decreased,slight,,,,,,Branching in abcb19 mutants was reduced compared to wild type in short days,,,,
T049,SMXL6 (degradation-resistant),overexpression,,,,WT,Shoot_Branching,increased,strong,,,,,,35S:SMXL6D-GFP plants formed more primary rosette branches and secondary cauline branches,,,,
T050,GR24 (SL analog),exogenous_SL,,,,WT,Shoot_Branching,decreased,moderate,,,,,,"GR24 can restore branching inhibition in max1, max3, and max4 mutants",,,,
T051,Cytokinin (BA),treatment,,,,WT,Shoot_Branching,increased,moderate,,,,,,Basal BA could overcome inhibitory effect of apical NAA and activate buds,,,,
T052,Decapitation,treatment,,,,WT,Shoot_Branching,increased,strong,,,,,,"Removal of the shoot apex alleviates inhibition, allowing outgrowth of lateral buds",,,,
T053,Low R:FR (shade),environmental,,,,WT,Shoot_Branching,decreased,moderate,,,,,,W+FR treatment caused 3-fold fewer branches in WT,,,,
T054,Low nitrogen (1.8 mM),environmental,,,,WT,Shoot_Branching,decreased,moderate,,,,,,Mean total number of secondary shoots dropped from 4.25 on 9 mM to 2.9 on 1.8 mM NO3-,,,,
T055,High nitrogen (9 mM),environmental,,,,WT,Shoot_Branching,increased,moderate,,,,,,Mean total number of secondary shoots produced was 4.25 on 9 mM NO3-,,,,
T056,ABA,treatment,,,,mutant,Shoot_Branching,decreased,moderate,,,,,,ABA application led to further reduction in branch number in WT,,,,
T057,GR24 on max2,knockout_plus_GR24,,,,mutant,Shoot_Branching,unchanged,strong,,,,,,Branching was unchanged in max2-1 after GR24 application,,,,
T058,GR24 on max4,knockout_plus_GR24,,,,WT,Shoot_Branching,decreased,moderate,,,,,,GR24 can restore branching inhibition in max4 mutants,,,,
T059,GR24 on brc1 brc2,knockout_plus_GR24,,,,mutant,Shoot_Branching,unchanged,moderate,,,,,,brc1brc2 plants produced fewer branches on GR24 but still more than WT,,,,
T060,CKX,overexpression,,,,WT,Shoot_Branching,decreased,moderate,,,,,,Reduction of CK levels by overexpressing cytokinin oxidase results in reduced meristem size,,,,
T061,REV/IFL1,knockout,,,,WT,Shoot_Branching,decreased,moderate,,,,,,"In the mutants ifl1, both affected in AM initiation, BRC1 and BRC2 levels were reduced",,,,
T062,DELLA quintuple,quintuple_knockout,,,,WT,Shoot_Branching,unchanged,moderate,,,,,,No statistically significant difference in total branches,,,,
T063,SMXL6 SMXL7 SMXL8 MAX2,quadruple_knockout,,,,WT,Shoot_Branching,unchanged,moderate,,,,,,Fully suppress max2 branching phenotype to wild type levels,,,,
T064,SMXL6 SMXL7 SMXL8 MAX3,quadruple_knockout,,,,WT,Shoot_Branching,decreased,strong,,,,,,max3-9 smxl6/7/8 completely suppressed max3-9 branching,,,,
T065,SMXL6 SMXL7 SMXL8 SPL9 SPL15,quintuple_knockout,,,,WT,Shoot_Branching,increased,moderate,,,,,,smxl6/7/8/spl9/15 quintuple mutant had similar number as spl9 spl15 double mutant,,,,
T066,Auxin (NAA apical),treatment,,,,WT,Shoot_Branching,decreased,strong,,,,,,NAA prevented bud outgrowth compared with lanolin-only controls,,,,
T067,Sucrose (exogenous),treatment,,,,WT,Shoot_Branching,increased,moderate,,,,,,Sucrose and hexoses induced branching and lateral bud elongation,,,, | Cross-species: Sucrose (exogenous)/
T068,EOD-FR on fhy3 far1,environmental,,,,WT,Shoot_Branching,decreased,moderate,,,,,,fhy3 far1 ~27% reduction vs 51% for WT (less sensitive to shade),,,,
T069,D14 KAI2,double_knockout,,,,WT,Shoot_Branching,increased,strong,,,,,,d14-1 kai2-2 double mutant phenocopies max2-1,,,,
T070,D14 MAX2,double_knockout,,,,WT,Shoot_Branching,increased,strong,,,,,,d14-seto max2-1 double mutants phenotype resembled that of max2-1 plants,,,,
T071,BRC1 AMP1,double_knockout,,,,WT,Shoot_Branching,increased,strong,,,,,,amp1 brc1 double mutants had a higher number of RI branches than the parental lines,,,,
T072,BRC1 YUCCA1,double_mutant,,,,WT,Shoot_Branching,increased,moderate,,,,,,brc1 mutations mostly suppressed the strong apical dominance phenotype of ycc1,,,,
T073,GN (GNOM),knockout,,,,WT,Shoot_Branching,increased,moderate,,,,,,"For gn, reduced PM PIN1 was associated with reduced auxin transport and increased shoot branching",,,,
T074,TIR3,knockout,,,,WT,Shoot_Branching,increased,moderate,,,,,,"For tir3, reduced PM PIN1 was associated with increased shoot branching",,,,
T075,SMXL7 (degradation-resistant SMXL7-D),gain_of_function,,,,WT,Shoot_Branching,increased,strong,,,,,,SMXL7-D exhibit increased branching number compared with wild-type,,,,
T076,SMXL6 SMXL7 SMXL8 BRC1,quadruple_knockout,,,,WT,Shoot_Branching,increased,strong,,,,,,brc1 was able to rescue branching phenotypes of smxl6/7/8,,,,
T077,ERA1,knockout,,,,WT,Shoot_Branching,decreased,moderate,,,,,,Arabidopsis era1 (ENHANCED RESPONSE TO ABA 1) mutant has reduced branching,,,,
T078,TIE1,loss_of_function,,,,WT,Shoot_Branching,decreased,moderate,,,,,,TIE1mEAR-VP16 dominant-negative plants produced fewer branches than controls,,,,
T079,TIE1,gain_of_function,,,,WT,Shoot_Branching,increased,strong,,,,,,tie1-D activation-tagging mutant produced an excessive number of branches,,,,
