node,node_type,activators,inhibitors,formula
Decapitation,,,,Decapitation = 1.0 * 1.0 * gene_modifier + exogenous
Low_R_FR,,,,Low_R_FR = 1.0 * 1.0 * gene_modifier + exogenous
Nitrogen,,,,Nitrogen = 1.0 * 1.0 * gene_modifier + exogenous
Photoperiod,,,,Photoperiod = 1.0 * 1.0 * gene_modifier + exogenous
Sucrose,,Decapitation,,Sucrose = prod(f(Decapitation)) * 1.0 * gene_modifier + exogenous
miR156,,,,miR156 = 1.0 * 1.0 * gene_modifier + exogenous
MAX2,,,Sucrose,MAX2 = 1.0 * prod(g(Sucrose)) * gene_modifier + exogenous
ABA2,,,,ABA2 = 1.0 * 1.0 * gene_modifier + exogenous
D27,,,,D27 = 1.0 * 1.0 * gene_modifier + exogenous
MAX1,,,GA,MAX1 = 1.0 * prod(g(GA)) * gene_modifier + exogenous
LBO,,,,LBO = 1.0 * 1.0 * gene_modifier + exogenous
Auxin,,,Decapitation,Auxin = 1.0 * prod(g(Decapitation)) * gene_modifier + exogenous
CCD7,,Auxin,,CCD7 = prod(f(Auxin)) * 1.0 * gene_modifier + exogenous
CCD8,,Auxin,,CCD8 = prod(f(Auxin)) * 1.0 * gene_modifier + exogenous
Strigolactone,,"CCD7,CCD8,D27,MAX1,LBO","Decapitation,Sucrose,Nitrogen","Strigolactone = prod(f(CCD7, CCD8, D27, MAX1, LBO)) * prod(g(Decapitation, Sucrose, Nitrogen)) * gene_modifier + exogenous"
D14,,Strigolactone,D14,D14 = prod(f(Strigolactone)) * prod(g(D14)) * gene_modifier + exogenous
SMXL678,,FHY3,"D14,MAX2","SMXL678 = prod(f(FHY3)) * prod(g(D14, MAX2)) * gene_modifier + exogenous"
BES1,,,MAX2,BES1 = 1.0 * prod(g(MAX2)) * gene_modifier + exogenous
GA,,Auxin,GA2OX,GA = prod(f(Auxin)) * prod(g(GA2OX)) * gene_modifier + exogenous
GA2OX,,GA,,GA2OX = prod(f(GA)) * 1.0 * gene_modifier + exogenous
DELLA,,,GA,DELLA = 1.0 * prod(g(GA)) * gene_modifier + exogenous
SPL9,,,"SMXL678,DELLA,miR156,FHY3","SPL9 = 1.0 * prod(g(SMXL678, DELLA, miR156, FHY3)) * gene_modifier + exogenous"
BRC1,,"Low_R_FR,SPL9,Auxin","SMXL678,Cytokinin,BES1,FT,Sucrose,TIE1,Decapitation","BRC1 = prod(f(Low_R_FR, SPL9, Auxin)) * prod(g(SMXL678, Cytokinin, BES1, FT, Sucrose, TIE1, Decapitation)) * gene_modifier + exogenous"
IPT,,"Nitrogen,Decapitation",Auxin,"IPT = prod(f(Nitrogen, Decapitation)) * prod(g(Auxin)) * gene_modifier + exogenous"
CKX9,,Strigolactone,,CKX9 = prod(f(Strigolactone)) * 1.0 * gene_modifier + exogenous
Cytokinin,,"IPT,Sucrose",CKX9,"Cytokinin = prod(f(IPT, Sucrose)) * prod(g(CKX9)) * gene_modifier + exogenous"
PIN1,,"SMXL678,Auxin,Cytokinin,CAMEL,Sucrose",,"PIN1 = prod(f(SMXL678, Auxin, Cytokinin, CAMEL, Sucrose)) * 1.0 * gene_modifier + exogenous"
PIN3,,"Cytokinin,Nitrogen",BRC1,"PIN3 = prod(f(Cytokinin, Nitrogen)) * prod(g(BRC1)) * gene_modifier + exogenous"
FHY3,,,Low_R_FR,FHY3 = 1.0 * prod(g(Low_R_FR)) * gene_modifier + exogenous
T6P,,Sucrose,,T6P = prod(f(Sucrose)) * 1.0 * gene_modifier + exogenous
FT,,"T6P,Photoperiod",,"FT = prod(f(T6P, Photoperiod)) * 1.0 * gene_modifier + exogenous"
HB21,,"BRC1,Low_R_FR",Sucrose,"HB21 = prod(f(BRC1, Low_R_FR)) * prod(g(Sucrose)) * gene_modifier + exogenous"
NCED3,,"HB21,Low_R_FR",,"NCED3 = prod(f(HB21, Low_R_FR)) * 1.0 * gene_modifier + exogenous"
ABA,,"NCED3,ABA2",,"ABA = prod(f(NCED3, ABA2)) * 1.0 * gene_modifier + exogenous"
TIE1,,ARR1,,TIE1 = prod(f(ARR1)) * 1.0 * gene_modifier + exogenous
ARR1,,Cytokinin,,ARR1 = prod(f(Cytokinin)) * 1.0 * gene_modifier + exogenous
CAMEL,,Auxin,,CAMEL = prod(f(Auxin)) * 1.0 * gene_modifier + exogenous
Shoot_Branching,,"Cytokinin,PIN1,PIN3,T6P,Sucrose","BRC1,ABA,ARR1","Shoot_Branching = prod(f(Cytokinin, PIN1, PIN3, T6P, Sucrose)) * prod(g(BRC1, ABA, ARR1)) * gene_modifier + exogenous"
