test_id,gene,perturbation_type,gene_modifier,exogenous_node,exogenous_value,wt_value,perturbed_value,comparison_baseline,comparison_baseline_value,ratio,log2_fold_change,direction_threshold,predicted_direction,expected_direction,correct,phenotype_node,complexity_score,complexity_label,path_length,converged,iterations,evidence_doi
T001,BRC1,knockout,0.0,,,0.0,0.036784,WT,0.0,1.036784,0.0521,1e-05,increased,increased,True,Shoot_Branching,1,easy,1,True,6,10.1105/tpc.106.048934
T002,BRC2,knockout,0.0,,,0.0,0.036784,WT,0.0,1.036784,0.0521,1e-05,increased,increased,True,Shoot_Branching,1,easy,1,True,6,10.1105/tpc.106.048934
T004,MAX1,knockout,0.0,,,0.0,0.00015,WT,0.0,1.00015,0.0002,1e-05,increased,increased,True,Shoot_Branching,1,easy,4,True,7,10.1105/tpc.106.048934
T005,MAX2,knockout,0.0,,,0.0,0.001786,WT,0.0,1.001786,0.0026,1e-05,increased,increased,True,Shoot_Branching,1,easy,3,True,7,10.1105/tpc.106.048934
T008,D14,knockout,0.0,,,0.0,0.000692,WT,0.0,1.000692,0.001,1e-05,increased,increased,True,Shoot_Branching,1,easy,3,True,8,10.1105/tpc.114.122903
T009,D27,knockout,0.0,,,0.0,0.000289,WT,0.0,1.000289,0.0004,1e-05,increased,increased,True,Shoot_Branching,1,easy,4,True,6,10.1242/bio.021402
T010,LBO,knockout,0.0,,,0.0,0.000289,WT,0.0,1.000289,0.0004,1e-05,increased,increased,True,Shoot_Branching,1,easy,4,True,6,10.1073/pnas.1601729113
T011,SMXL6,knockout,0.997,,,0.0,-1.7e-05,WT,0.0,0.999983,-0.0,1e-05,decreased,unchanged,False,Shoot_Branching,1,easy,2,True,3,10.1105/tpc.15.00605
T012,SMXL7,knockout,0.997,,,0.0,-1.7e-05,WT,0.0,0.999983,-0.0,1e-05,decreased,unchanged,False,Shoot_Branching,1,easy,2,True,3,10.1105/tpc.15.00605
T013,SMXL8,knockout,0.997,,,0.0,-1.7e-05,WT,0.0,0.999983,-0.0,1e-05,decreased,unchanged,False,Shoot_Branching,1,easy,2,True,3,10.1105/tpc.15.00605
T017,NCED3,knockout,0.0,,,0.0,0.007812,WT,0.0,1.007812,0.0112,1e-05,increased,increased,True,Shoot_Branching,1,easy,2,True,4,10.1104/pp.113.221895
T018,ABA2,knockout,0.0,,,0.0,0.015625,WT,0.0,1.015625,0.0224,1e-05,increased,increased,True,Shoot_Branching,1,easy,2,True,3,10.1104/pp.113.221895
T021,TIE1,overexpression,2.0,,,0.0,0.001839,WT,0.0,1.001839,0.0027,1e-05,increased,increased,True,Shoot_Branching,1,easy,2,True,6,10.1371/journal.pgen.1007296
T022,FHY3,knockout,0.0,,,0.0,-0.0011,WT,0.0,0.9989,-0.0016,1e-05,decreased,decreased,True,Shoot_Branching,1,easy,3,True,6,10.1038/s41467-020-15893-7
T023,FHY3,overexpression,2.0,,,0.0,0.0011,WT,0.0,1.0011,0.0016,1e-05,increased,increased,True,Shoot_Branching,1,easy,3,True,6,10.1038/s41467-020-15893-7
T027,BRC1,overexpression,2.0,,,0.0,-0.036784,WT,0.0,0.963216,-0.0541,1e-05,decreased,decreased,True,Shoot_Branching,1,easy,1,True,6,10.1105/tpc.106.048934
T031,ARR1,knockout,0.0,,,0.0,0.03033,WT,0.0,1.03033,0.0431,1e-05,increased,increased,True,Shoot_Branching,1,easy,1,True,7,10.1104/pp.17.01691
T034,BES1,knockdown,0.5,,,0.0,-0.00092,WT,0.0,0.99908,-0.0013,1e-05,decreased,decreased,True,Shoot_Branching,1,easy,2,True,6,10.1016/j.xplc.2019.100014
T035,BES1,gain_of_function,2.0,,,0.0,0.001839,WT,0.0,1.001839,0.0027,1e-05,increased,increased,True,Shoot_Branching,1,easy,2,True,6,10.1016/j.xplc.2019.100014
T036,FT,knockout,0.0,,,0.0,-0.001839,WT,0.0,0.998161,-0.0027,1e-05,decreased,decreased,True,Shoot_Branching,1,easy,2,True,6,10.1093/plphys/kiab586
T037,FT,overexpression,2.0,,,0.0,0.001839,WT,0.0,1.001839,0.0027,1e-05,increased,increased,True,Shoot_Branching,1,easy,2,True,6,10.1093/plphys/kiab586
T050,GR24 (SL analog),exogenous_SL,1.0,Strigolactone,1.0,0.0,-0.002361,WT,0.0,0.997639,-0.0034,1e-05,decreased,decreased,True,Shoot_Branching,1,easy,3,True,8,10.1104/pp.109.137646
T051,Cytokinin (BA),treatment,1.0,Cytokinin,1.0,0.0,0.026261,WT,0.0,1.026261,0.0374,1e-05,increased,increased,True,Shoot_Branching,1,easy,1,True,7,10.1104/pp.17.01691
T052,Decapitation,treatment,2.0,,,0.0,0.061281,WT,0.0,1.061281,0.0858,1e-05,increased,increased,True,Shoot_Branching,1,easy,2,True,10,10.1104/pp.109.135475
T056,ABA,treatment,1.0,ABA,1.0,0.0,-0.03125,mutant,0.0,0.96875,-0.0458,1e-05,decreased,decreased,True,Shoot_Branching,1,easy,1,True,3,10.1073/pnas.1613199114
T057,GR24 on max2,knockout_plus_GR24,0.0,Strigolactone,1.0,0.0,-0.000576,mutant,0.001786,0.997638,-0.0034,1e-05,decreased,unchanged,False,Shoot_Branching,2,medium,3,True,8,10.1104/pp.109.137646
T058,GR24 on max4,knockout_plus_GR24,1.0,Strigolactone,1.0,0.0,-0.002361,WT,0.0,0.997639,-0.0034,1e-05,decreased,decreased,True,Shoot_Branching,1,easy,3,True,8,10.1104/pp.109.137646
T059,GR24 on brc1 brc2,knockout_plus_GR24,0.0,Strigolactone,1.0,0.0,0.034422,mutant,0.036784,0.997639,-0.0034,1e-05,decreased,unchanged,False,Shoot_Branching,2,medium,1,True,8,10.1371/journal.pgen.1008023
T066,Auxin (NAA apical),treatment,1.0,Auxin,1.0,0.0,0.001963,WT,0.0,1.001963,0.0028,1e-05,increased,decreased,False,Shoot_Branching,1,easy,2,True,10,10.1242/dev.145649
T067,Sucrose (exogenous),treatment,1.0,Sucrose,1.0,0.0,0.05782,WT,0.0,1.05782,0.0811,1e-05,increased,increased,True,Shoot_Branching,1,easy,1,True,7,10.1093/plphys/kiab003
T078,TIE1,loss_of_function,0.0,,,0.0,-0.001839,WT,0.0,0.998161,-0.0027,1e-05,decreased,decreased,True,Shoot_Branching,1,easy,2,True,6,10.1371/journal.pgen.1007296
T079,TIE1,gain_of_function,2.0,,,0.0,0.001839,WT,0.0,1.001839,0.0027,1e-05,increased,increased,True,Shoot_Branching,1,easy,2,True,6,10.1371/journal.pgen.1007296
T084,HB21,knockout,0.0,,,0.0,0.001953,WT,0.0,1.001953,0.0028,1e-05,increased,increased,True,Shoot_Branching,1,easy,3,True,5,10.1073/pnas.1613199114
T096,GR24 on d14,knockout_plus_GR24,0.0,Strigolactone,1.0,0.0,-0.001669,mutant,0.000692,0.997639,-0.0034,1e-05,decreased,unchanged,False,Shoot_Branching,2,medium,3,True,8,10.1242/dev.145649
T114,BRC2,overexpression,1.05,,,0.0,-0.001839,WT,0.0,0.998161,-0.0027,1e-05,decreased,unchanged,False,Shoot_Branching,1,easy,1,True,5,10.1105/tpc.106.048934
T116,GR24,knockout,0.0,Strigolactone,1.0,0.0,0.0,mutant,0.002361,0.997639,-0.0034,1e-05,decreased,decreased,True,Shoot_Branching,2,medium,3,True,1,10.1104/pp.108.134783
T117,ccd8,knockout,0.0,Strigolactone,1.0,0.0,-0.002214,mutant,0.00015,0.997637,-0.0034,1e-05,decreased,decreased,True,Shoot_Branching,2,medium,4,True,8,10.1104/pp.108.134783
T118,GR24,knockout,0.0,Strigolactone,1.0,0.0,0.0,mutant,0.002361,0.997639,-0.0034,1e-05,decreased,decreased,True,Shoot_Branching,2,medium,3,True,1,10.1104/pp.108.134783
T119,GR24,knockout,0.0,Strigolactone,1.0,0.0,0.0,mutant,0.002361,0.997639,-0.0034,1e-05,decreased,decreased,True,Shoot_Branching,2,medium,3,True,1,10.1104/pp.108.134783
T120,brc1,knockout,0.0,Strigolactone,1.0,0.0,0.034422,mutant,0.036784,0.997639,-0.0034,1e-05,decreased,unchanged,False,Shoot_Branching,2,medium,1,True,8,10.1104/pp.108.134783
T121,auxin,overexpression,2.0,,,0.0,0.001963,WT,0.0,1.001963,0.0028,1e-05,increased,decreased,False,Shoot_Branching,1,easy,2,True,10,10.1104/pp.15.00014
T122,max3,knockout,0.0,,,0.0,0.00015,WT,0.0,1.00015,0.0002,1e-05,increased,increased,True,Shoot_Branching,1,easy,4,True,7,10.1104/pp.15.00014
T124,GR24,knockout,0.0,Strigolactone,1.0,0.0,0.0,mutant,0.002361,0.997639,-0.0034,1e-05,decreased,decreased,True,Shoot_Branching,2,medium,3,True,1,10.1104/pp.15.00014
T125,max1,knockout,0.0,,,0.0,0.00015,WT,0.0,1.00015,0.0002,1e-05,increased,increased,True,Shoot_Branching,1,easy,4,True,7,10.1038/s41467-020-17252-y
T126,max2,knockout,0.0,,,0.0,0.001786,WT,0.0,1.001786,0.0026,1e-05,increased,increased,True,Shoot_Branching,1,easy,3,True,7,10.1038/s41467-020-17252-y
T127,d14,knockout,0.0,Strigolactone,1.0,0.0,-0.001669,mutant,0.000692,0.997639,-0.0034,1e-05,decreased,unchanged,False,Shoot_Branching,2,medium,3,True,8,10.1038/s41467-020-17252-y
T128,smxl678,knockout,0.0,,,0.0,-0.005196,WT,0.0,0.994804,-0.0075,1e-05,decreased,increased,False,Shoot_Branching,1,easy,2,True,6,10.1105/tpc.16.00286
T129,smxl7,knockout,0.997,,,0.0,-1.7e-05,WT,0.0,0.999983,-0.0,1e-05,decreased,unchanged,False,Shoot_Branching,1,easy,2,True,3,10.1105/tpc.16.00286
T130,Psbrc1,knockout,0.0,,,0.0,0.036784,WT,0.0,1.036784,0.0521,1e-05,increased,increased,True,Shoot_Branching,1,easy,1,True,6,10.1104/pp.111.182725
T131,Psbrc1,knockout,0.0,Strigolactone,1.0,0.0,0.034422,mutant,0.036784,0.997639,-0.0034,1e-05,decreased,unchanged,False,Shoot_Branching,2,medium,1,True,8,10.1104/pp.111.182725
T132,GR24,knockout,0.0,Strigolactone,1.0,0.0,0.0,mutant,0.002361,0.997639,-0.0034,1e-05,decreased,decreased,True,Shoot_Branching,2,medium,3,True,1,10.1104/pp.111.182725
T133,cytokinin,knockout,0.0,Cytokinin,1.0,0.0,0.0,mutant,-0.026261,1.026261,0.0374,1e-05,increased,decreased,False,Shoot_Branching,2,medium,1,True,1,10.1104/pp.111.182725
T134,d53,overexpression,2.0,,,0.0,0.005196,WT,0.0,1.005196,0.0075,1e-05,increased,increased,True,Shoot_Branching,1,easy,2,True,6,10.1038/nature12870
T135,d14,knockout,0.0,,,0.0,0.000692,WT,0.0,1.000692,0.001,1e-05,increased,increased,True,Shoot_Branching,1,easy,3,True,8,10.1038/nature12870
T137,Atd14,knockout,0.0,,,0.0,0.000692,WT,0.0,1.000692,0.001,1e-05,increased,increased,True,Shoot_Branching,1,easy,3,True,8,10.1242/dev.074567
T139,Atd14,knockout,0.0,Strigolactone,1.0,0.0,-0.001669,mutant,0.000692,0.997639,-0.0034,1e-05,decreased,unchanged,False,Shoot_Branching,2,medium,3,True,8,10.1242/dev.074567
T141,d14,knockout,0.0,,,0.0,0.000692,WT,0.0,1.000692,0.001,1e-05,increased,increased,True,Shoot_Branching,1,easy,3,True,8,10.1016/j.xplc.2022.100303
