network,phenotype,method,accuracy,correct,total,kappa,nodes,edges,direct_to_pheno_pct
FLASH-P,Flowering_Time,algebraic,89.2,83,93,0.783,42,87,5.7
FLASH-P,Flowering_Time,ode,90.3,84,93,0.8,42,87,5.7
FLASH-P,Flowering_Time,rwr,90.3,84,93,0.8015,42,87,5.7
FLASH-P,Hypocotyl_Length,algebraic,95.7,111,116,0.9205,54,103,8.7
FLASH-P,Hypocotyl_Length,ode,93.1,108,116,0.8751,54,103,8.7
FLASH-P,Hypocotyl_Length,rwr,92.2,107,116,0.8508,54,103,8.7
FLASH-P,Lateral_Root_Density,algebraic,86.6,103,119,0.7575,55,68,20.6
FLASH-P,Lateral_Root_Density,ode,86.6,103,119,0.7471,55,68,20.6
FLASH-P,Lateral_Root_Density,rwr,86.6,103,119,0.7457,55,68,20.6
FLASH-P,Plant_Height,algebraic,73,84,115,0.558,78,98,11.2
FLASH-P,Plant_Height,ode,73.9,85,115,0.578,78,98,11.2
FLASH-P,Plant_Height,rwr,86.1,99,115,0.74,78,98,11.2
FLASH-P,Seed_Size,algebraic,66.3,69,104,0.4166,80,134,5.2
FLASH-P,Seed_Size,ode,79.8,83,104,0.6365,80,134,5.2
FLASH-P,Seed_Size,rwr,83.7,87,104,0.6943,80,134,5.2
FLASH-P,Shoot_Branching,algebraic,69.8,44,63,0.5043,38,75,10.7
FLASH-P,Shoot_Branching,ode,76.2,48,63,0.6151,38,75,10.7
FLASH-P,Shoot_Branching,rwr,69.8,44,63,0.5043,38,75,10.7
KG-Cleaned,Flowering_Time,algebraic,13.9,16,115,0.0422,750,749,100
KG-Cleaned,Flowering_Time,ode,59.1,68,115,0.2549,750,749,100
KG-Cleaned,Flowering_Time,rwr,61.7,71,115,0.2887,750,749,100
KG-Cleaned,Hypocotyl_Length,algebraic,37.1,43,116,0.1847,917,1025,73.2
KG-Cleaned,Hypocotyl_Length,ode,60.3,70,116,0.3513,917,1025,73.2
KG-Cleaned,Hypocotyl_Length,rwr,67.2,78,116,0.4043,917,1025,73.2
KG-Cleaned,Lateral_Root_Density,algebraic,19.7,23,117,0.0286,1170,1170,99.7
KG-Cleaned,Lateral_Root_Density,ode,69.2,81,117,0.4352,1170,1170,99.7
KG-Cleaned,Lateral_Root_Density,rwr,67.5,79,117,0.3851,1170,1170,99.7
KG-Cleaned,Plant_Height,algebraic,10.1,11,109,-0.0045,206,205,100
KG-Cleaned,Plant_Height,ode,40.4,44,109,0.0337,206,205,100
KG-Cleaned,Plant_Height,rwr,43.1,47,109,-0.0754,206,205,100
KG-Cleaned,Seed_Size,algebraic,8.5,8,94,-0.0303,443,442,100
KG-Cleaned,Seed_Size,ode,52.1,49,94,0.1612,443,442,100
KG-Cleaned,Seed_Size,rwr,50,47,94,0.1361,443,442,100
KG-Cleaned,Shoot_Branching,algebraic,70.5,43,61,0.558,108,107,100
KG-Cleaned,Shoot_Branching,ode,73.8,45,61,0.5818,108,107,100
KG-Cleaned,Shoot_Branching,rwr,63.9,39,61,0.416,108,107,100
FLASH-P,merged_single_trait,algebraic,69.6,423,608,0.4432,237,497,10.9
FLASH-P,merged_single_trait,ode,81.4,495,608,0.6713,237,497,10.9
FLASH-P,merged_single_trait,rwr,88.5,538,608,0.7882,237,497,10.9
FLASH-P,merged_pleiotropic,algebraic,57.1,20,35,0.2164,237,497,10.9
FLASH-P,merged_pleiotropic,ode,74.3,26,35,0.5154,237,497,10.9
FLASH-P,merged_pleiotropic,rwr,77.1,27,35,0.5659,237,497,10.9
KG-Cleaned,merged_single_trait,algebraic,20.1,125,622,0.0588,3193,3698,92.5
KG-Cleaned,merged_single_trait,ode,42.9,267,622,0.1079,3193,3698,92.5
KG-Cleaned,merged_single_trait,rwr,42.8,266,622,0.1286,3193,3698,92.5
KG-Cleaned,merged_pleiotropic,algebraic,20,7,35,0.0531,3193,3698,92.5
KG-Cleaned,merged_pleiotropic,ode,37.1,13,35,-0.0476,3193,3698,92.5
KG-Cleaned,merged_pleiotropic,rwr,48.6,17,35,0.125,3193,3698,92.5
