source,target,sign,sign_int,edge_id
Strigolactone,D14,positive,1,N013
D14,D14,negative,-1,N014
D14,SMXL678,negative,-1,N015
MAX2,SMXL678,negative,-1,N016
MAX2,BES1,negative,-1,N017
SMXL678,BRC1,negative,-1,N018
SMXL678,SPL9,negative,-1,N019
SMXL678,PIN1,positive,1,N020
SPL9,BRC1,positive,1,N033
BES1,BRC1,negative,-1,N036
BRC1,PIN3,negative,-1,N051
BRC1,HB21,positive,1,N057
HB21,NCED3,positive,1,N060
NCED3,ABA,positive,1,N062
PIN1,Shoot_Branching,positive,1,N065
PIN3,Shoot_Branching,positive,1,N066
BRC1,Shoot_Branching,negative,-1,N068
ABA,Shoot_Branching,negative,-1,N069
