network,edge_id,source,source_type,target,target_type,sign,effect,mechanism,n_evidence,doi_list
Flowering Time,E0001,FRI_COMPLEX,GENE,Flowering_Time,PHENOTYPE,1,activation,,0,
Flowering Time,E0002,H3K36ME3,GENE,Flowering_Time,PHENOTYPE,1,activation,,0,
Flowering Time,E0003,small changes in amb,GENE,Flowering_Time,PHENOTYPE,1,activation,,0,
Flowering Time,E0004,Top SNPs,GENE,Flowering_Time,PHENOTYPE,-1,repression,,0,
Flowering Time,E0005,miR172,REGULATORY_RNA,Flowering_Time,PHENOTYPE,1,activation,,0,
Flowering Time,E0006,GMIDD,GENE,Flowering_Time,PHENOTYPE,1,activation,,0,
Flowering Time,E0007,ZmSnRK2.10,GENE,Flowering_Time,PHENOTYPE,-1,repression,,0,
Flowering Time,E0008,genetic variation,GENE,Flowering_Time,PHENOTYPE,1,activation,,0,
Flowering Time,E0009,SA,HORMONE,Flowering_Time,PHENOTYPE,1,activation,,0,
Flowering Time,E0010,TCMP,GENE,Flowering_Time,PHENOTYPE,1,activation,,0,
Flowering Time,E0011,ART1,GENE,Flowering_Time,PHENOTYPE,1,activation,,0,
Flowering Time,E0012,diurnal light intens,GENE,Flowering_Time,PHENOTYPE,1,activation,,0,
Flowering Time,E0013,FT,GENE,Flowering_Time,PHENOTYPE,1,activation,,0,
Flowering Time,E0014,atipk2β,GENE,Flowering_Time,PHENOTYPE,-1,repression,,0,
Flowering Time,E0015,non-functional gene(,GENE,Flowering_Time,PHENOTYPE,-1,repression,,0,
Flowering Time,E0016,Mild increase in tem,GENE,Flowering_Time,PHENOTYPE,1,activation,,0,
Flowering Time,E0017,genetic background v,GENE,Flowering_Time,PHENOTYPE,1,activation,,0,
Flowering Time,E0018,SPL,GENE,Flowering_Time,PHENOTYPE,1,activation,,0,
Flowering Time,E0019,BAS1,GENE,Flowering_Time,PHENOTYPE,1,activation,,0,
Flowering Time,E0020,MED5AB,GENE,Flowering_Time,PHENOTYPE,1,activation,,0,
Flowering Time,E0021,ATHDA6,GENE,Flowering_Time,PHENOTYPE,1,activation,,0,
Flowering Time,E0022,SVP,GENE,Flowering_Time,PHENOTYPE,1,activation,,0,
Flowering Time,E0023,genome size,GENE,Flowering_Time,PHENOTYPE,1,activation,,0,
Flowering Time,E0024,NRPC7,GENE,Flowering_Time,PHENOTYPE,-1,repression,,0,
Flowering Time,E0025,ATTCP8,GENE,Flowering_Time,PHENOTYPE,1,activation,,0,
Flowering Time,E0026,overexpression of Mt,GENE,Flowering_Time,PHENOTYPE,1,activation,,0,
Flowering Time,E0027,deletion of gene(s) ,GENE,Flowering_Time,PHENOTYPE,1,activation,,0,
Flowering Time,E0028,AT-SC35,GENE,Flowering_Time,PHENOTYPE,1,activation,,0,
Flowering Time,E0029,EMF1,GENE,Flowering_Time,PHENOTYPE,1,activation,,0,
Flowering Time,E0030,FLM,GENE,Flowering_Time,PHENOTYPE,-1,repression,,0,
Flowering Time,E0031,Ambient temperature,GENE,Flowering_Time,PHENOTYPE,1,activation,,0,
Flowering Time,E0032,CSCOL8,GENE,Flowering_Time,PHENOTYPE,1,activation,,0,
Flowering Time,E0033,UV,GENE,Flowering_Time,PHENOTYPE,1,activation,,0,
Flowering Time,E0034,quality of light,GENE,Flowering_Time,PHENOTYPE,1,activation,,0,
Flowering Time,E0035,high plant(s) densit,GENE,Flowering_Time,PHENOTYPE,1,activation,,0,
Flowering Time,E0036,AASOC1B,GENE,Flowering_Time,PHENOTYPE,1,activation,,0,
Flowering Time,E0037,ATCOL2,GENE,Flowering_Time,PHENOTYPE,1,activation,,0,
Flowering Time,E0038,GFP,GENE,Flowering_Time,PHENOTYPE,-1,repression,,0,
Flowering Time,E0039,COLDAIR,GENE,Flowering_Time,PHENOTYPE,1,activation,,0,
Flowering Time,E0040,ATCOL5,GENE,Flowering_Time,PHENOTYPE,1,activation,,0,
Flowering Time,E0041,ATUVR8,GENE,Flowering_Time,PHENOTYPE,-1,repression,,0,
Flowering Time,E0042,Overexpression of Mt,GENE,Flowering_Time,PHENOTYPE,1,activation,,0,
Flowering Time,E0043,DNA,GENE,Flowering_Time,PHENOTYPE,1,activation,,0,
Flowering Time,E0044,PVCO1,GENE,Flowering_Time,PHENOTYPE,-1,repression,,0,
Flowering Time,E0045,Increase in ambient ,GENE,Flowering_Time,PHENOTYPE,1,activation,,0,
Flowering Time,E0046,FPA,GENE,Flowering_Time,PHENOTYPE,1,activation,,0,
Flowering Time,E0047,ATNUP160,GENE,Flowering_Time,PHENOTYPE,1,activation,,0,
Flowering Time,E0048,globally present all,GENE,Flowering_Time,PHENOTYPE,1,activation,,0,
Flowering Time,E0049,ASI3,GENE,Flowering_Time,PHENOTYPE,1,activation,,0,
Flowering Time,E0050,AS1,GENE,Flowering_Time,PHENOTYPE,1,activation,,0,
Flowering Time,E0051,FLC,GENE,Flowering_Time,PHENOTYPE,1,activation,,0,
Flowering Time,E0052,GSWRKY20,GENE,Flowering_Time,PHENOTYPE,1,activation,,0,
Flowering Time,E0053,CSCOL6,GENE,Flowering_Time,PHENOTYPE,1,activation,,0,
Flowering Time,E0054,MED8,GENE,Flowering_Time,PHENOTYPE,1,activation,,0,
Flowering Time,E0055,TSF,GENE,Flowering_Time,PHENOTYPE,1,activation,,0,
Flowering Time,E0056,ADO1,GENE,Flowering_Time,PHENOTYPE,-1,repression,,0,
Flowering Time,E0057,miR156,REGULATORY_RNA,Flowering_Time,PHENOTYPE,-1,repression,,0,
