edge_id,source,target,sign,effect,pmid,inferred
E0001,FRI_COMPLEX,Flowering_Time,1,activation,21406681,False
E0002,H3K36ME3,Flowering_Time,1,activation,28566089,False
E0003,small changes in amb,Flowering_Time,1,activation,33335535,False
E0004,Top SNPs,Flowering_Time,-1,repression,24470785,False
E0005,miR172,Flowering_Time,1,activation,33529193,False
E0006,GMIDD,Flowering_Time,1,activation,33841461,False
E0007,ZmSnRK2.10,Flowering_Time,-1,repression,34210268,False
E0008,genetic variation,Flowering_Time,1,activation,28439467,False
E0009,SA,Flowering_Time,1,activation,20110261,False
E0010,TCMP,Flowering_Time,1,activation,33204936,False
E0011,ART1,Flowering_Time,1,activation,25070081,False
E0012,diurnal light intens,Flowering_Time,1,activation,24281156,False
E0013,FT,Flowering_Time,1,activation,29309650,False
E0014,atipk2β,Flowering_Time,-1,repression,29161428,False
E0015,non-functional gene(,Flowering_Time,-1,repression,34893811,False
E0016,Mild increase in tem,Flowering_Time,1,activation,35854681,False
E0017,genetic background v,Flowering_Time,1,activation,28439467,False
E0018,SPL,Flowering_Time,1,activation,31905863,False
E0019,BAS1,Flowering_Time,1,activation,23275881,False
E0020,MED5AB,Flowering_Time,1,activation,30049745,False
E0021,ATHDA6,Flowering_Time,1,activation,30124938,False
E0022,SVP,Flowering_Time,1,activation,36609767,False
E0023,genome size,Flowering_Time,1,activation,33580702,False
E0024,NRPC7,Flowering_Time,-1,repression,26865731,False
E0025,ATTCP8,Flowering_Time,1,activation,36535527,False
E0026,overexpression of Mt,Flowering_Time,1,activation,31608091,False
E0027,deletion of gene(s) ,Flowering_Time,1,activation,34643730,False
E0028,AT-SC35,Flowering_Time,1,activation,37836248,False
E0029,EMF1,Flowering_Time,1,activation,11487698,False
E0030,FLM,Flowering_Time,-1,repression,17205109,False
E0031,Ambient temperature,Flowering_Time,1,activation,28294941,False
E0032,CSCOL8,Flowering_Time,1,activation,38110864,False
E0033,UV,Flowering_Time,1,activation,22647943,False
E0034,quality of light,Flowering_Time,1,activation,24281156,False
E0035,high plant(s) densit,Flowering_Time,1,activation,31274995,False
E0036,AASOC1B,Flowering_Time,1,activation,34502271,False
E0037,ATCOL2,Flowering_Time,1,activation,18495636,False
E0038,GFP,Flowering_Time,-1,repression,28631168,False
E0039,COLDAIR,Flowering_Time,1,activation,29467783,False
E0040,ATCOL5,Flowering_Time,1,activation,30248137,False
E0041,ATUVR8,Flowering_Time,-1,repression,30254107,False
E0042,Overexpression of Mt,Flowering_Time,1,activation,30295903,False
E0043,DNA,Flowering_Time,1,activation,34954804,False
E0044,PVCO1,Flowering_Time,-1,repression,30314465,False
E0045,Increase in ambient ,Flowering_Time,1,activation,32053223,False
E0046,FPA,Flowering_Time,1,activation,18628965,False
E0047,ATNUP160,Flowering_Time,1,activation,33367234,False
E0048,globally present all,Flowering_Time,1,activation,30388255,False
E0049,ASI3,Flowering_Time,1,activation,26053632,False
E0050,AS1,Flowering_Time,1,activation,21950734,False
E0051,FLC,Flowering_Time,1,activation,37603463,False
E0052,GSWRKY20,Flowering_Time,1,activation,23991184,False
E0053,CSCOL6,Flowering_Time,1,activation,38110864,False
E0054,MED8,Flowering_Time,1,activation,33325122,False
E0055,TSF,Flowering_Time,1,activation,24698997,False
E0056,ADO1,Flowering_Time,-1,repression,24004949,False
E0057,miR156,Flowering_Time,-1,repression,27541584,False
E0058,CO,Flowering_Time,1,activation,33204936,False
E0059,CDF2,Flowering_Time,1,activation,30971226,False
E0060,atocd mutants,Flowering_Time,-1,repression,24237637,False
E0061,CG,Flowering_Time,-1,repression,32144266,False
E0062,LIGHT,Flowering_Time,1,activation,25132385,False
E0063,functional ScFT5 gen,Flowering_Time,-1,repression,34893811,False
E0064,BnABI3 overexpressio,Flowering_Time,-1,repression,30804960,False
E0065,Elevated temperature,Flowering_Time,1,activation,24130095,False
E0066,Seasonal changes,Flowering_Time,1,activation,17205109,False
E0067,ATMBD8,Flowering_Time,1,activation,37514268,False
E0068,FER,Flowering_Time,1,activation,34335672,False
E0069,SDG40,Flowering_Time,1,activation,34270724,False
E0070,Telomere length,Flowering_Time,1,activation,34826163,False
E0071,PHYC,Flowering_Time,1,activation,16732287,False
E0072,ATMYB56,Flowering_Time,-1,repression,34489986,False
E0073,FUS3,Flowering_Time,1,activation,28922765,False
E0074,HOS1,Flowering_Time,1,activation,33060661,False
E0075,PHOTOPERIOD,Flowering_Time,1,activation,24281156,False
E0076,loss of function,Flowering_Time,1,activation,28483056,False
E0077,PHYB,Flowering_Time,1,activation,27820825,False
E0078,BoFRIa alleles,Flowering_Time,1,activation,22333192,False
E0079,PHEMADS15,Flowering_Time,1,activation,28515730,False
E0080,plant(s) size,Flowering_Time,1,activation,24130095,False
E0081,ZMPHYC1,Flowering_Time,1,activation,32531863,False
E0082,IBVPE1,Flowering_Time,1,activation,31060496,False
E0083,Overexpression of Ac,Flowering_Time,1,activation,38157835,False
E0084,SNPFLC,Flowering_Time,1,activation,30068524,False
E0085,AOP2,Flowering_Time,1,activation,26442014,False
E0086,ABA,Flowering_Time,1,activation,26507894,False
E0087,Overexpression of Mi,Flowering_Time,1,activation,35065373,False
E0088,high planting densit,Flowering_Time,1,activation,22384368,False
E0089,ARF1-BP,Flowering_Time,1,activation,29619039,False
E0090,BIC1,Flowering_Time,-1,repression,35008710,False
E0091,PROSCOOP10,Flowering_Time,1,activation,36559666,False
E0092,FRK3,Flowering_Time,1,activation,29093731,False
E0093,MBD9,Flowering_Time,1,activation,37514268,False
E0094,MPWU,Flowering_Time,1,activation,30707443,False
E0095,JMJ30,Flowering_Time,-1,repression,35161303,False
E0096,heterologous express,Flowering_Time,1,activation,28395169,False
E0097,ATCOL1,Flowering_Time,1,activation,18495636,False
E0098,JUMONJI,Flowering_Time,1,activation,25578968,False
E0099,heterologous overexp,Flowering_Time,-1,repression,28631168,False
E0100,large effect alleles,Flowering_Time,-1,repression,37603463,False
E0101,QTL,Flowering_Time,1,activation,25512847,False
E0102,CAA33,Flowering_Time,-1,repression,38279311,False
E0103,Ectopic expression o,Flowering_Time,1,activation,35052409,False
E0104,AGF2,Flowering_Time,1,activation,35642455,False
E0105,FUL,Flowering_Time,1,activation,36340397,False
E0106,transgenic expressio,Flowering_Time,1,activation,31060496,False
E0107,epigenetic marks,Flowering_Time,1,activation,29563187,False
E0108,CRY2,Flowering_Time,1,activation,15248119,False
E0109,Water deficit stress,Flowering_Time,1,activation,32995104,False
E0110,CO2,Flowering_Time,1,activation,24855683,False
E0111,HD2D,Flowering_Time,1,activation,27066015,False
E0112,PLDALPHA3,Flowering_Time,1,activation,19704505,False
E0113,AP1,Flowering_Time,1,activation,23954797,False
E0114,SSF,Flowering_Time,1,activation,37220754,False
E0115,GASA6,Flowering_Time,1,activation,36800929,False
E0116,HMGA,Flowering_Time,1,activation,32143577,False
E0117,AtSCL protein(s),Flowering_Time,1,activation,37836248,False
E0118,ZMPHYC2,Flowering_Time,1,activation,32531863,False
E0119,gene(s) mutation,Flowering_Time,1,activation,34826163,False
E0120,overexpressed BrBFT,Flowering_Time,-1,repression,36714709,False
E0121,ATHST,Flowering_Time,1,activation,24743244,False
E0122,selection of circadi,Flowering_Time,1,activation,35218268,False
E0123,SPACEFLIGHT,Flowering_Time,1,activation,34215844,False
E0124,Over-expression of C,Flowering_Time,1,activation,26825444,False
E0125,SOC1,Flowering_Time,1,activation,29309650,False
E0126,MAF2,Flowering_Time,1,activation,28294941,False
E0127,TFL1,Flowering_Time,-1,repression,35870881,False
E0128,BFT,Flowering_Time,1,activation,37514306,False
E0129,vernalized plant(s),Flowering_Time,-1,repression,11337081,False
E0130,warm temperatures,Flowering_Time,1,activation,28294941,False
E0131,AEL1,Flowering_Time,1,activation,32214028,False
E0132,TOE2,Flowering_Time,-1,repression,28649719,False
E0133,TOE1,Flowering_Time,-1,repression,31245664,False
E0134,CPD45,Flowering_Time,-1,repression,29930561,False
E0135,SMZ,Flowering_Time,-1,repression,29309650,False
E0136,SEP,Flowering_Time,-1,repression,36531379,False
E0137,ATLEC1,Flowering_Time,-1,repression,34172749,False
E0138,high temperature,Flowering_Time,-1,repression,35854681,False
E0139,PRP39,Flowering_Time,1,activation,17380304,False
E0140,FRS12,Flowering_Time,1,activation,29534529,False
E0141,Burkholderia phytofi,Flowering_Time,1,activation,26858740,False
E0142,~150 gene(s),Flowering_Time,1,activation,25719734,False
E0143,MS2,Flowering_Time,1,activation,31557222,False
E0144,CK2,Flowering_Time,1,activation,22353866,False
E0145,ATMSI1,Flowering_Time,1,activation,24639681,False
E0146,ATDDM1,Flowering_Time,1,activation,19557164,False
E0147,FLAG,Flowering_Time,1,activation,32582842,False
E0148,ATU2AF65,Flowering_Time,1,activation,37836248,False
E0149,DNSIZ1,Flowering_Time,-1,repression,26376625,False
E0150,CPL3,Flowering_Time,1,activation,26706076,False
E0151,Illumination of root,Flowering_Time,1,activation,28467358,False
E0152,DDB1A,Flowering_Time,1,activation,19921247,False
E0153,absence of m1G and m,Flowering_Time,1,activation,30508117,False
E0154,Long days,Flowering_Time,1,activation,31158286,False
E0155,Spaceflight factors,Flowering_Time,1,activation,35008489,False
