test_id,gene,perturbation_type,gene_modifier,exogenous_node,exogenous_value,comparison_baseline,phenotype_node,expected_direction,expected_magnitude,doi,paper_title,authors,year,journal,evidence_sentence,verification,evidence_quality,species,notes
T001,AGL15,knockout,,,,,,increased,moderate,,,,,,agl15 agl18 (double): Early flowering under short-day conditions; elevated FT,,,Arabidopsis thaliana,
T002,AGL18,knockout,,,,,,increased,moderate,,,,,,agl15 agl18 (double): Early flowering under short-day conditions,,,Arabidopsis thaliana,
T003,AGL24,knockout,,,,,,decreased,moderate,,,,,,agl24 loss-of-function: Late flowering under both long-day (LD) and short-day (SD) conditions,,,Arabidopsis thaliana,
T004,AGL24,overexpression,,,,,,increased,strong,,,,,,35S:AGL24 strong lines: ~4-6 fewer rosette leaves at flowering (LD); ~20 fewer leaves (SD),,,Arabidopsis thaliana,
T005,AGL28,overexpression,,,,,,increased,moderate,,,,,,overexpression of Arabidopsis AGL28 causes early flowering through increasing FCA and LD expression.,,,Arabidopsis thaliana,
T006,AHL15,knockout,,,,,,increased,moderate,,,,,,"ahl15 showed accelerated vegetative-to-adult transition, reduced number of leaves without abaxial trichomes.",,,Arabidopsis thaliana,
T007,AHL15,overexpression,,,,,,decreased,strong,,,,,,p35S:AHL15 showed significant delay of flowering under both SD and LD conditions.,,,Arabidopsis thaliana,
T008,AP1,knockout,,,,,,decreased,moderate,,,,,,AP1 loss-of-function: Chimeric inflorescence-floral meristems with secondary flowers (delayed floral commitment),,,Arabidopsis thaliana,
T009,AP1,overexpression,,,,,,increased,strong,,,,,,LFY is expressed prematurely in the converted floral meristems of plants constitutively expressing AP1,,,Arabidopsis thaliana,
T010,AP2,knockout,,,,,,increased,strong,,,,,,ap2 Accelerated flowering: 25.3 +/- 1.4 leaves (SD) vs. 47.8 +/- 2.1 in wild-type,,,Arabidopsis thaliana,
T011,APRF1,knockout,,,,,,decreased,weak,,,,,,aprf1 T-DNA insertion weakly delayed flowering; synergizes with sdg26.,,,Arabidopsis thaliana,
T012,ARP6,knockout,,,,,,increased,strong,,,,,,"SWR1 complex mutants (pie1, arp6, swc6): Early flowering, temperature-insensitive",,,Arabidopsis thaliana,
T013,AtNDX,knockout,,,,,,decreased,moderate,,,,,,eoc1 (AtNDX-deficient): COOLAIR elevated; FLC upregulated; Late flowering,,,Arabidopsis thaliana,
T014,BBX19,overexpression,,,,,,decreased,moderate,,,,,,BBX30 and BBX31... their overexpression causes late-flowering phenotypes by repressing FT expression,,,Arabidopsis thaliana,
T015,BRM,knockout,,,,,,increased,strong,,,,,,brm-3 mutant: Early flowering (loss of negative regulation),,,Arabidopsis thaliana,
T016,BRM_GA1,double_knockout,,,,,,increased,moderate,,,,,,brm-3 ga1 shows rescue toward earlier flowering (brm suppresses ga1 late flowering),,,Arabidopsis thaliana,
T017,CBF,knockout,,,,,,unchanged,weak,,,,,,cbfs exhibits a normal vernalization response,,,Arabidopsis thaliana,
T018,CBF1,overexpression,,,,,,decreased,moderate,,,,,,Late flowering phenotype of CBF overexpression line is caused by increase of FLC expression,,,Arabidopsis thaliana,
T019,CBF2,overexpression,,,,,,decreased,moderate,,,,,,"FLC expression was increased more than twofold in 35S-CBF1, 35S-CBF2, and 35S-CBF3",,,Arabidopsis thaliana,
T020,CBF3,overexpression,,,,,,decreased,moderate,,,,,,"FLC expression was increased more than twofold in 35S-CBF1, 35S-CBF2, and 35S-CBF3",,,Arabidopsis thaliana,
T021,CBP20,knockout,,,,,,increased,moderate,,,,,,fri cbp20: Early flowering; FLC reduced,,,Arabidopsis thaliana,
T022,CCA1,overexpression,,,,,,decreased,strong,,,,,,"CCA1-OX: elongated hypocotyls, late flowering, arrhythmicity",,,Arabidopsis thaliana,
T023,CDF1,knockout,,,,,,increased,moderate,,,,,,"The gi cdf1235 quintuple mutant suppresses late flowering of gi mutants, restoring photoperiod-dependent flowering",,,Arabidopsis thaliana,
T024,CLF,knockout,,,,,,decreased,moderate,,,,,,swn7clf28 showed similar fold-repression as Col_FRI during 4 weeks of cold but this repression is not maintained after plants are returned to warm conditions,,,Arabidopsis thaliana,
