test_id,gene,perturbation_type,gene_modifier,exogenous_node,exogenous_value,wt_value,perturbed_value,comparison_baseline,comparison_baseline_value,ratio,log2_fold_change,direction_threshold,predicted_direction,expected_direction,correct,phenotype_node,complexity_score,complexity_label,path_length,converged,iterations,evidence_doi
T001,14-3-3,knockout,0.5,,,1.0,1.999808,WT,1.0,1.999808,0.9999,0.05,increased,increased,True,Flowering_Time,1,easy,1,True,24,"{'doi': '10.4161/psb.3.8.5717', 'title': '14-3-3 proteins, red light and photoperiodic flowering: A point of connection?', 'authors': 'Anna-Lisa Paul, Kevin M Folta, Robert J Ferl', 'year': 2008, 'journal': 'Plant Signaling and Behavior', 'evidence_sentence': '14-3-3 mutant lines flowered later than wild-type by a number of days; delayed flowering was not observed under SD'}"
T002,ABA,exogenous_treatment,1.0,ABI5,1.0,1.0,0.500195,WT,1.0,0.500195,-0.9994,0.05,decreased,increased,False,Flowering_Time,1,easy,1,True,22,"{'doi': '10.1093/jxb/ert133', 'title': 'The inhibitory effect of ABA on floral transition is mediated by ABI5', 'authors': 'Wang et al.', 'year': 2013, 'journal': '', 'evidence_sentence': 'Exogenous ABA treatment delays flowering.'}"
T003,ABF3,knockout,0.5,,,1.0,0.998989,WT,1.0,0.998989,-0.0015,0.05,unchanged,increased,False,Flowering_Time,1,easy,1,True,5,"{'doi': '10.1016/j.molp.2019.01.003', 'title': 'ABF3 and ABF4 act with NF-YC to regulate SOC1 and mediate drought-accelerated flowering', 'authors': 'Hwang et al.', 'year': 2019, 'journal': '', 'evidence_sentence': 'abf3 abf4 double mutant shows reduced drought-escape response and ABA-insensitive late flowering.'}"
T004,ABI2,knockout,2.0,,,1.0,0.500195,WT,1.0,0.500195,-0.9994,0.05,decreased,increased,False,Flowering_Time,1,easy,1,True,22,"{'doi': '10.1093/jxb/erae023', 'title': 'ABI2 promotes flowering by inhibiting OST1/ABI5-dependent FLC transcription', 'authors': 'Shu et al.', 'year': 2024, 'journal': '', 'evidence_sentence': 'abi2 mutants show late flowering due to hyperactivation of OST1/ABI5-dependent FLC transcription.'}"
T005,ABI4,overexpression,2.0,FLC,1.0,1.0,1.001702,mutant,1.001012,1.000689,0.001,0.05,unchanged,increased,False,Flowering_Time,2,medium,1,True,6,"{'doi': '10.1093/jxb/erv391', 'title': 'ABI4 negatively regulates flowering through directly promoting FLC transcription', 'authors': 'Shu et al.', 'year': 2016, 'journal': '', 'evidence_sentence': 'ABI4 overexpression delays flowering by promoting FLC transcription.'}"
T006,ABI5,overexpression,2.0,,,1.0,0.500195,WT,1.0,0.500195,-0.9994,0.05,decreased,increased,False,Flowering_Time,1,easy,1,True,22,"{'doi': '10.1093/jxb/ert133', 'title': 'The inhibitory effect of ABA on floral transition is mediated by ABI5', 'authors': 'Wang et al.', 'year': 2013, 'journal': '', 'evidence_sentence': 'ABI5 overexpression delays floral transition through upregulating FLC expression under long-day conditions.'}"
T007,AFP2,knockout,0.0,CO,0.5,1.0,0.998989,mutant,0.992181,1.006862,0.0099,0.05,unchanged,decreased,False,Flowering_Time,2,medium,1,True,5,"{'doi': '10.1016/j.xplc.2023.100552', 'title': 'Photoperiodic flowering in Arabidopsis: Multilayered regulatory mechanisms of CONSTANS and the florigen FLOWERING LOCUS T', 'authors': 'Hiroshi Takagi, Andrew K Hempton, Takato Imaizumi', 'year': 2023, 'journal': 'Plant Communications', 'evidence_sentence': 'AFP2 negatively affects CO transcriptional activity; AFP2 knockout causes early flowering'}"
T008,AGL24,knockout,0.0,,,1.0,0.992181,WT,1.0,0.992181,-0.0113,0.05,unchanged,increased,False,Flowering_Time,1,easy,1,True,10,"{'doi': '10.1242/dev.020255', 'title': 'Direct interaction of AGL24 and SOC1 integrates flowering signals in Arabidopsis', 'authors': 'Liu et al. 2008', 'year': None, 'journal': '', 'evidence_sentence': 'Late flowering; SOC1 expression delayed at shoot apex during floral transition; smaller effect than soc1 (~25% reduction in LFY vs ~65% for soc1)'}"
T009,AGL24,overexpression,2.0,,,1.0,1.001012,WT,1.0,1.001012,0.0015,0.05,unchanged,decreased,False,Flowering_Time,1,easy,1,True,5,"{'doi': '10.1242/dev.020255', 'title': 'Direct interaction of AGL24 and SOC1 integrates flowering signals in Arabidopsis', 'authors': 'Liu et al. 2008', 'year': None, 'journal': '', 'evidence_sentence': 'Early flowering with ~8.5 +/- 0.6 rosette leaves vs ~10.3 +/- 0.5 for wild-type'}"
T011,AP1,knockout,0.0,,,1.0,0.992181,WT,1.0,0.992181,-0.0113,0.05,unchanged,unchanged,True,Flowering_Time,1,easy,1,True,10,"{'doi': '10.1242/dev.003103', 'title': 'Specification of Arabidopsis floral meristem identity by repression of flowering time genes', 'authors': 'Liu et al. 2007', 'year': None, 'journal': '', 'evidence_sentence': 'ap1-1 floral meristems converted to shoot-like structures with secondary flowers; SVP, SOC1, AGL24 ectopically expressed in meristems. Flowering time not dramatically altered but meristem identity disturbed'}"
