network,edge_id,source,source_type,target,target_type,sign,effect,mechanism,n_evidence,doi_list
Hypocotyl Length,E0001,ASU1,GENE,Hypocotyl_Length,PHENOTYPE,1,activation,,0,
Hypocotyl Length,E0002,Multi-walled CNTs,GENE,Hypocotyl_Length,PHENOTYPE,1,activation,,0,
Hypocotyl Length,E0003,Brassinosteroid,HORMONE,Hypocotyl_Length,PHENOTYPE,1,activation,,0,
Hypocotyl Length,E0004,RAM,GENE,Hypocotyl_Length,PHENOTYPE,-1,repression,,0,
Hypocotyl Length,E0005,PIF,GENE,Hypocotyl_Length,PHENOTYPE,1,activation,,0,
Hypocotyl Length,E0006,no light offset,GENE,Hypocotyl_Length,PHENOTYPE,1,activation,,0,
Hypocotyl Length,E0007,LOVASTATIN,GENE,Hypocotyl_Length,PHENOTYPE,-1,repression,,0,
Hypocotyl Length,E0008,GR24,GENE,Hypocotyl_Length,PHENOTYPE,1,activation,,0,
Hypocotyl Length,E0009,GATA,GENE,Hypocotyl_Length,PHENOTYPE,-1,repression,,0,
Hypocotyl Length,E0010,AFB2,GENE,Hypocotyl_Length,PHENOTYPE,1,activation,,0,
Hypocotyl Length,E0011,THE1,GENE,Hypocotyl_Length,PHENOTYPE,1,activation,,0,
Hypocotyl Length,E0012,CSU4,GENE,Hypocotyl_Length,PHENOTYPE,1,activation,,0,
Hypocotyl Length,E0013,dihydrokaempferol,GENE,Hypocotyl_Length,PHENOTYPE,1,activation,,0,
Hypocotyl Length,E0014,AAT,GENE,Hypocotyl_Length,PHENOTYPE,1,activation,,0,
Hypocotyl Length,E0015,SAUR19,GENE,Hypocotyl_Length,PHENOTYPE,1,activation,,0,
Hypocotyl Length,E0016,GhMADS14 transgenic ,GENE,Hypocotyl_Length,PHENOTYPE,-1,repression,,0,
Hypocotyl Length,E0017,FR,GENE,Hypocotyl_Length,PHENOTYPE,1,activation,,0,
Hypocotyl Length,E0018,SHV3,GENE,Hypocotyl_Length,PHENOTYPE,1,activation,,0,
Hypocotyl Length,E0019,Exogenous Kin,GENE,Hypocotyl_Length,PHENOTYPE,1,activation,,0,
Hypocotyl Length,E0020,FLA16,GENE,Hypocotyl_Length,PHENOTYPE,-1,repression,,0,
Hypocotyl Length,E0021,BL,GENE,Hypocotyl_Length,PHENOTYPE,1,activation,,0,
Hypocotyl Length,E0022,cell number,GENE,Hypocotyl_Length,PHENOTYPE,1,activation,,0,
Hypocotyl Length,E0023,Sucrose supplementat,GENE,Hypocotyl_Length,PHENOTYPE,1,activation,,0,
Hypocotyl Length,E0024,sucrose metabolites,GENE,Hypocotyl_Length,PHENOTYPE,1,activation,,0,
Hypocotyl Length,E0025,BHLH161,GENE,Hypocotyl_Length,PHENOTYPE,1,activation,,0,
Hypocotyl Length,E0026,MEL,GENE,Hypocotyl_Length,PHENOTYPE,-1,repression,,0,
Hypocotyl Length,E0027,compounds 1b and 2c,GENE,Hypocotyl_Length,PHENOTYPE,1,activation,,0,
Hypocotyl Length,E0028,photoperiod of 18 ho,GENE,Hypocotyl_Length,PHENOTYPE,1,activation,,0,
Hypocotyl Length,E0029,irAtRALF1 plant(s),GENE,Hypocotyl_Length,PHENOTYPE,1,activation,,0,
Hypocotyl Length,E0030,Higher temperature,GENE,Hypocotyl_Length,PHENOTYPE,1,activation,,0,
Hypocotyl Length,E0031,PIF4,GENE,Hypocotyl_Length,PHENOTYPE,1,activation,,0,
Hypocotyl Length,E0032,LLF,GENE,Hypocotyl_Length,PHENOTYPE,1,activation,,0,
Hypocotyl Length,E0033,KAR2,GENE,Hypocotyl_Length,PHENOTYPE,-1,repression,,0,
Hypocotyl Length,E0034,ABS3,GENE,Hypocotyl_Length,PHENOTYPE,1,activation,,0,
Hypocotyl Length,E0035,Overexpressing GmDET,GENE,Hypocotyl_Length,PHENOTYPE,1,activation,,0,
Hypocotyl Length,E0036,AtBS14b homologous g,GENE,Hypocotyl_Length,PHENOTYPE,-1,repression,,0,
Hypocotyl Length,E0037,DHECD,GENE,Hypocotyl_Length,PHENOTYPE,1,activation,,0,
Hypocotyl Length,E0038,duration of twilight,GENE,Hypocotyl_Length,PHENOTYPE,1,activation,,0,
Hypocotyl Length,E0039,one day/night cycle,GENE,Hypocotyl_Length,PHENOTYPE,1,activation,,0,
Hypocotyl Length,E0040,NPA,GENE,Hypocotyl_Length,PHENOTYPE,-1,repression,,0,
Hypocotyl Length,E0041,ATDRB1,GENE,Hypocotyl_Length,PHENOTYPE,1,activation,,0,
Hypocotyl Length,E0042,ATEXLA2,GENE,Hypocotyl_Length,PHENOTYPE,1,activation,,0,
Hypocotyl Length,E0043,ABS3L1,GENE,Hypocotyl_Length,PHENOTYPE,1,activation,,0,
Hypocotyl Length,E0044,vhp2;2-2,GENE,Hypocotyl_Length,PHENOTYPE,-1,repression,,0,
Hypocotyl Length,E0045,NAA,GENE,Hypocotyl_Length,PHENOTYPE,1,activation,,0,
Hypocotyl Length,E0046,adding 1% sucrose,GENE,Hypocotyl_Length,PHENOTYPE,1,activation,,0,
