edge_id,source,target,sign,effect,pmid,inferred
E0001,ASU1,Hypocotyl_Length,1,activation,29522510,False
E0002,Multi-walled CNTs,Hypocotyl_Length,1,activation,36791126,False
E0003,Brassinosteroid,Hypocotyl_Length,1,activation,29357355,False
E0004,RAM,Hypocotyl_Length,-1,repression,35883439,False
E0005,PIF,Hypocotyl_Length,1,activation,26839287,False
E0006,no light offset,Hypocotyl_Length,1,activation,34898651,False
E0007,LOVASTATIN,Hypocotyl_Length,-1,repression,31245724,False
E0008,GR24,Hypocotyl_Length,1,activation,34305975,False
E0009,GATA,Hypocotyl_Length,-1,repression,21145502,False
E0010,AFB2,Hypocotyl_Length,1,activation,24194857,False
E0011,THE1,Hypocotyl_Length,1,activation,31961852,False
E0012,CSU4,Hypocotyl_Length,1,activation,30352855,False
E0013,dihydrokaempferol,Hypocotyl_Length,1,activation,19129166,False
E0014,AAT,Hypocotyl_Length,1,activation,34367202,False
E0015,SAUR19,Hypocotyl_Length,1,activation,26207341,False
E0016,GhMADS14 transgenic ,Hypocotyl_Length,-1,repression,24374505,False
E0017,FR,Hypocotyl_Length,1,activation,25333270,False
E0018,SHV3,Hypocotyl_Length,1,activation,30505313,False
E0019,Exogenous Kin,Hypocotyl_Length,1,activation,24061489,False
E0020,FLA16,Hypocotyl_Length,-1,repression,33362841,False
E0021,BL,Hypocotyl_Length,1,activation,36151786,False
E0022,cell number,Hypocotyl_Length,1,activation,24086632,False
E0023,Sucrose supplementat,Hypocotyl_Length,1,activation,34429034,False
E0024,sucrose metabolites,Hypocotyl_Length,1,activation,29584583,False
E0025,BHLH161,Hypocotyl_Length,1,activation,29114256,False
E0026,MEL,Hypocotyl_Length,-1,repression,35883439,False
E0027,compounds 1b and 2c,Hypocotyl_Length,1,activation,36142359,False
E0028,photoperiod of 18 ho,Hypocotyl_Length,1,activation,34898651,False
E0029,irAtRALF1 plant(s),Hypocotyl_Length,1,activation,24620000,False
E0030,Higher temperature,Hypocotyl_Length,1,activation,26728313,False
E0031,PIF4,Hypocotyl_Length,1,activation,33600444,False
E0032,LLF,Hypocotyl_Length,1,activation,32647192,False
E0033,KAR2,Hypocotyl_Length,-1,repression,33372050,False
E0034,ABS3,Hypocotyl_Length,1,activation,26160579,False
E0035,Overexpressing GmDET,Hypocotyl_Length,1,activation,29510512,False
E0036,AtBS14b homologous g,Hypocotyl_Length,-1,repression,28510978,False
E0037,DHECD,Hypocotyl_Length,1,activation,28479230,False
E0038,duration of twilight,Hypocotyl_Length,1,activation,34898651,False
E0039,one day/night cycle,Hypocotyl_Length,1,activation,34898651,False
E0040,NPA,Hypocotyl_Length,-1,repression,34189424,False
E0041,ATDRB1,Hypocotyl_Length,1,activation,29522510,False
E0042,ATEXLA2,Hypocotyl_Length,1,activation,25492062,False
E0043,ABS3L1,Hypocotyl_Length,1,activation,26160579,False
E0044,vhp2;2-2,Hypocotyl_Length,-1,repression,36778688,False
E0045,NAA,Hypocotyl_Length,1,activation,24061489,False
E0046,adding 1% sucrose,Hypocotyl_Length,1,activation,30275313,False
E0047,WL,Hypocotyl_Length,1,activation,33868355,False
E0048,Ph = 21 h,Hypocotyl_Length,1,activation,34898651,False
E0049,ATSERK4,Hypocotyl_Length,1,activation,26528315,False
E0050,Expansin overexpress,Hypocotyl_Length,1,activation,30341720,False
E0051,PME,Hypocotyl_Length,-1,repression,17572910,False
E0052,Ph/Pr ratio,Hypocotyl_Length,1,activation,34898651,False
E0053,PAC,Hypocotyl_Length,-1,repression,11852796,False
E0054,ZMPHYC1,Hypocotyl_Length,-1,repression,32531863,False
E0055,FENOXYCARB,Hypocotyl_Length,-1,repression,37745175,False
E0056,BBX24,Hypocotyl_Length,1,activation,24498334,False
E0057,blue light,Hypocotyl_Length,1,activation,36508461,False
E0058,ASP,Hypocotyl_Length,1,activation,33176686,False
E0059,BRI1,Hypocotyl_Length,-1,repression,22820377,False
E0060,NO,Hypocotyl_Length,1,activation,21562334,False
E0061,CN,Hypocotyl_Length,1,activation,30197652,False
E0062,ZnO nanoparticles,Hypocotyl_Length,-1,repression,36791126,False
E0063,ATRALF1,Hypocotyl_Length,-1,repression,24620000,False
E0064,ATVHP2;1,Hypocotyl_Length,-1,repression,36778688,False
E0065,BA,Hypocotyl_Length,-1,repression,30272197,False
E0066,ELF3,Hypocotyl_Length,-1,repression,24867215,False
E0067,Shahdara allele,Hypocotyl_Length,1,activation,20111677,False
E0068,Gibberellin,Hypocotyl_Length,1,activation,11852796,False
E0069,AFB3,Hypocotyl_Length,1,activation,24194857,False
E0070,MIRNA848,Hypocotyl_Length,1,activation,29522510,False
E0071,ATLTPI-5,Hypocotyl_Length,1,activation,37214854,False
E0072,reduced light intens,Hypocotyl_Length,1,activation,34898651,False
E0073,ATKO1,Hypocotyl_Length,1,activation,21496250,False
E0074,16% under microgravi,Hypocotyl_Length,1,activation,35161447,False
E0075,DDB1B,Hypocotyl_Length,-1,repression,23450167,False
E0076,TIS108,Hypocotyl_Length,1,activation,34305975,False
E0077,compound 3,Hypocotyl_Length,-1,repression,29257123,False
E0078,TOR,Hypocotyl_Length,1,activation,32290539,False
E0079,EBL,Hypocotyl_Length,1,activation,35055009,False
E0080,BBX11,Hypocotyl_Length,1,activation,33367254,False
E0081,PHYB,Hypocotyl_Length,-1,repression,31233537,False
E0082,ATGRP23,Hypocotyl_Length,1,activation,24086632,False
E0083,Ethylene,Hypocotyl_Length,1,activation,27831474,False
E0084,NAE,Hypocotyl_Length,1,activation,30740576,False
E0085,EH,Hypocotyl_Length,-1,repression,36514690,False
E0086,PIF3,Hypocotyl_Length,1,activation,22409654,False
E0087,longer light periods,Hypocotyl_Length,-1,repression,34898651,False
E0088,ATGA20OX4,Hypocotyl_Length,1,activation,36661501,False
E0089,ATPCAP1,Hypocotyl_Length,1,activation,22209764,False
E0090,Name B mutation,Hypocotyl_Length,1,activation,26442043,False
E0091,compound 2b,Hypocotyl_Length,1,activation,36142359,False
E0092,PR,Hypocotyl_Length,1,activation,34898651,False
E0093,LS,Hypocotyl_Length,1,activation,37111951,False
E0094,Phenylacetic Acid,Hypocotyl_Length,1,activation,30197652,False
E0095,SHADE,Hypocotyl_Length,1,activation,35095972,False
E0096,Auxin,Hypocotyl_Length,1,activation,24972826,False
E0097,DDB1A,Hypocotyl_Length,1,activation,19921247,False
E0098,LUXR146A,Hypocotyl_Length,1,activation,32165537,False
E0099,High N,Hypocotyl_Length,1,activation,35095972,False
E0100,LSH1,Hypocotyl_Length,-1,repression,34638657,False
E0101,interference with At,Hypocotyl_Length,1,activation,18694437,False
E0102,CFK2,Hypocotyl_Length,1,activation,33216996,False
E0103,DELTAL,Hypocotyl_Length,1,activation,34898651,False
E0104,PPPRR2,Hypocotyl_Length,1,activation,23555899,False
E0105,GMDET2B,Hypocotyl_Length,1,activation,29510512,False
E0106,PRE2,Hypocotyl_Length,1,activation,29114256,False
E0107,GMPHYB1,Hypocotyl_Length,1,activation,22110748,False
E0108,FIO1,Hypocotyl_Length,1,activation,35101091,False
E0109,expressing photorece,Hypocotyl_Length,1,activation,32995748,False
E0110,GLV,Hypocotyl_Length,1,activation,27315833,False
E0111,Compound 8,Hypocotyl_Length,-1,repression,29257123,False
E0112,overexpression of Fa,Hypocotyl_Length,1,activation,37360713,False
E0113,lasalocid sodium,Hypocotyl_Length,1,activation,27694977,False
E0114,Water Stress,Hypocotyl_Length,-1,repression,36508461,False
E0115,GMDET2A,Hypocotyl_Length,1,activation,29510512,False
E0116,SpCdc25 phosphatase,Hypocotyl_Length,-1,repression,22452972,False
E0117,UBP22,Hypocotyl_Length,1,activation,30192741,False
E0118,synthetic auxinic co,Hypocotyl_Length,1,activation,25904921,False
E0119,Light Intensity,Hypocotyl_Length,1,activation,34898651,False
E0120,PH,Hypocotyl_Length,1,activation,34898651,False
E0121,CESA6,Hypocotyl_Length,-1,repression,31961852,False
E0122,MeJA application,Hypocotyl_Length,-1,repression,30189848,False
E0123,SUCROSE,Hypocotyl_Length,1,activation,30505313,False
E0124,BRMYC2OE,Hypocotyl_Length,-1,repression,34539701,False
E0125,BZR1,Hypocotyl_Length,1,activation,34922335,False
E0126,BRASSINAZOLE,Hypocotyl_Length,-1,repression,33060662,False
E0127,GHMADS14,Hypocotyl_Length,-1,repression,31111642,False
E0128,PERIOD,Hypocotyl_Length,1,activation,34898651,False
E0129,ATGPX5,Hypocotyl_Length,-1,repression,35628560,False
E0130,ATSERK5,Hypocotyl_Length,1,activation,26528315,False
E0131,MIRNA160B,Hypocotyl_Length,1,activation,29522510,False
E0132,GA1,Hypocotyl_Length,1,activation,36661501,False
E0133,1-butanol,Hypocotyl_Length,1,activation,30740576,False
E0134,Compound 2,Hypocotyl_Length,-1,repression,29257123,False
E0135,BRS,Hypocotyl_Length,1,activation,33989283,False
E0136,Temperature variatio,Hypocotyl_Length,1,activation,36304200,False
E0137,ABS4,Hypocotyl_Length,1,activation,26160579,False
E0138,NUP58,Hypocotyl_Length,1,activation,23840761,False
E0139,BGT,Hypocotyl_Length,1,activation,33922251,False
E0140,Loss of 14-3-3 λ,Hypocotyl_Length,1,activation,26345162,False
E0141,PHYA,Hypocotyl_Length,1,activation,25333270,False
E0142,BHLH136,Hypocotyl_Length,1,activation,16527868,False
E0143,ABS3L2,Hypocotyl_Length,1,activation,26160579,False
E0144,benzyl cyanide,Hypocotyl_Length,1,activation,30197652,False
E0145,ATR4,Hypocotyl_Length,1,activation,28377589,False
E0146,ectopic expression o,Hypocotyl_Length,1,activation,26439540,False
E0147,Paclobutrazol,Hypocotyl_Length,-1,repression,23888064,False
E0148,MIRNA167B,Hypocotyl_Length,1,activation,29522510,False
E0149,RF,Hypocotyl_Length,1,activation,32647192,False
E0150,ZMCCA1A-OX,Hypocotyl_Length,-1,repression,32153606,False
E0151,"compounds 1b, 2b, an",Hypocotyl_Length,1,activation,36142359,False
E0152,PFT1,Hypocotyl_Length,1,activation,36537119,False
E0153,NALHY,Hypocotyl_Length,1,activation,23006446,False
E0154,Treated seeds,Hypocotyl_Length,1,activation,32507494,False
E0155,ATGUS2,Hypocotyl_Length,1,activation,33679857,False
E0156,ZMPHYC2,Hypocotyl_Length,-1,repression,32531863,False
E0157,Gamma Rays,Hypocotyl_Length,1,activation,35054839,False
E0158,GMMYB133,Hypocotyl_Length,-1,repression,35003158,False
E0159,500 muT magnetic fie,Hypocotyl_Length,1,activation,19324677,False
E0160,enhanced transcripti,Hypocotyl_Length,1,activation,37511897,False
E0161,GMBZL3P219L,Hypocotyl_Length,1,activation,30795735,False
E0162,vhp2;1 vhp2;2-2,Hypocotyl_Length,-1,repression,36778688,False
E0163,beginning of the day,Hypocotyl_Length,1,activation,34898651,False
E0164,TIR1,Hypocotyl_Length,-1,repression,24194857,False
E0165,ATS4,Hypocotyl_Length,1,activation,28377589,False
E0166,ARP6,Hypocotyl_Length,1,activation,16495307,False
E0167,Sucrose addition,Hypocotyl_Length,1,activation,30505313,False
E0168,Cellulose synthesis ,Hypocotyl_Length,-1,repression,33878345,False
E0169,Silver ions,Hypocotyl_Length,1,activation,32823972,False
E0170,exogenous applicatio,Hypocotyl_Length,1,activation,21496250,False
E0171,treatment with 1b,Hypocotyl_Length,1,activation,36142359,False
E0172,High PPi levels,Hypocotyl_Length,-1,repression,26925070,False
E0173,EEP1,Hypocotyl_Length,-1,repression,36657663,False
E0174,LATB,Hypocotyl_Length,1,activation,36095209,False
E0175,TREATMENTS,Hypocotyl_Length,1,activation,34305975,False
E0176,AtEXP4pro:CBM2a,Hypocotyl_Length,1,activation,28349287,False
E0177,treatment with 240 m,Hypocotyl_Length,1,activation,36142359,False
E0178,OSPIL1,Hypocotyl_Length,1,activation,27683092,False
E0179,BIKININ,Hypocotyl_Length,1,activation,26458871,False
E0180,GH3,Hypocotyl_Length,1,activation,35161435,False
E0181,BBX19,Hypocotyl_Length,-1,repression,25841036,False
E0182,Ectopic expression o,Hypocotyl_Length,1,activation,26439540,False
E0183,DAF1,Hypocotyl_Length,1,activation,16412086,False
E0184,MIRNA319B,Hypocotyl_Length,1,activation,29522510,False
E0185,CES,Hypocotyl_Length,1,activation,21336258,False
E0186,Cu(2+),Hypocotyl_Length,1,activation,21856638,False
E0187,HY5,Hypocotyl_Length,-1,repression,33686674,False
E0188,A. thaliana Seedling,Hypocotyl_Length,1,activation,24654932,False
E0189,Compound 1,Hypocotyl_Length,-1,repression,29257123,False
E0190,treatment with 1a 12,Hypocotyl_Length,1,activation,36142359,False
E0191,ATCKS,Hypocotyl_Length,-1,repression,25803274,False
E0192,COMPOUND,Hypocotyl_Length,-1,repression,19825546,False
E0193,ATGA20OX5,Hypocotyl_Length,1,activation,36661501,False
E0194,PSK,Hypocotyl_Length,1,activation,21698171,False
E0195,stress treatment,Hypocotyl_Length,1,activation,37676384,False
E0196,NAZTL,Hypocotyl_Length,1,activation,23006446,False
E0197,PIF5,Hypocotyl_Length,1,activation,22409654,False
E0198,MI,Hypocotyl_Length,1,activation,33060662,False
E0199,Overexpression of Jr,Hypocotyl_Length,1,activation,37108407,False
E0200,GMBEH3L1,Hypocotyl_Length,-1,repression,36235431,False
E0201,BRS1,Hypocotyl_Length,1,activation,28718794,False
E0202,Continuous red light,Hypocotyl_Length,-1,repression,36161012,False
E0203,SAUR30,Hypocotyl_Length,1,activation,36705265,False
E0204,"2,4-D",Hypocotyl_Length,1,activation,34618142,False
E0205,Expansin gene(s) sup,Hypocotyl_Length,1,activation,30341720,False
E0206,DET2,Hypocotyl_Length,-1,repression,22820377,False
E0207,ATBS1,Hypocotyl_Length,1,activation,29114256,False
E0208,Red Light,Hypocotyl_Length,1,activation,36508461,False
E0209,LOW R:FR,Hypocotyl_Length,1,activation,25333270,False
E0210,myo-Inositol,Hypocotyl_Length,-1,repression,33060662,False
E0211,ABA,Hypocotyl_Length,-1,repression,28046013,False
E0212,TE1,Hypocotyl_Length,-1,repression,24654932,False
E0213,SUPA,Hypocotyl_Length,1,activation,33281837,False
E0214,TAS,Hypocotyl_Length,-1,repression,35883439,False
E0215,pecp2-1,Hypocotyl_Length,-1,repression,36778688,False
E0216,increased ambient te,Hypocotyl_Length,1,activation,25600997,False
E0217,AHL29,Hypocotyl_Length,-1,repression,27984677,False
E0218,SL,Hypocotyl_Length,1,activation,26754282,False
E0219,ATMKK9,Hypocotyl_Length,-1,repression,18693252,False
E0220,ADF1,Hypocotyl_Length,1,activation,26345162,False
E0221,cdfq mutant,Hypocotyl_Length,-1,repression,35970973,False
E0222,HBI1,Hypocotyl_Length,1,activation,29860272,False
E0223,Guard Cells,Hypocotyl_Length,1,activation,34155329,False
E0224,YUC3,Hypocotyl_Length,1,activation,36617439,False
E0225,APRR9,Hypocotyl_Length,-1,repression,37676516,False
E0226,HEATING,Hypocotyl_Length,1,activation,33768644,False
E0227,ATHKL1,Hypocotyl_Length,1,activation,19706780,False
E0228,CK,Hypocotyl_Length,1,activation,30272197,False
E0229,BOP1,Hypocotyl_Length,-1,repression,28826468,False
E0230,high temperature,Hypocotyl_Length,1,activation,33768644,False
E0231,HYPERGRAVITY,Hypocotyl_Length,-1,repression,36295039,False
E0232,AT-PHH1,Hypocotyl_Length,-1,repression,36304753,False
E0233,MdPIF1-overexpressio,Hypocotyl_Length,1,activation,28881277,False
E0234,SUGARS,Hypocotyl_Length,1,activation,33989283,False
E0235,GAS,Hypocotyl_Length,1,activation,30386544,False
E0236,533,Hypocotyl_Length,1,activation,34618142,False
E0237,MAC3A,Hypocotyl_Length,1,activation,37556549,False
E0238,TPL,Hypocotyl_Length,-1,repression,36973259,False
E0239,SOB3,Hypocotyl_Length,-1,repression,35590269,False
E0240,OBP3,Hypocotyl_Length,1,activation,15659636,False
E0241,DRY2,Hypocotyl_Length,-1,repression,32902115,False
E0242,DAG1,Hypocotyl_Length,1,activation,30367178,False
E0243,CDF,Hypocotyl_Length,1,activation,25600594,False
E0244,BEE1,Hypocotyl_Length,1,activation,29860272,False
E0245,GLC,Hypocotyl_Length,1,activation,29170398,False
E0246,PICLORAM,Hypocotyl_Length,1,activation,33768644,False
E0247,LIGHT,Hypocotyl_Length,1,activation,21145502,False
E0248,FIONA1,Hypocotyl_Length,1,activation,35101091,False
E0249,NF-YC5,Hypocotyl_Length,-1,repression,37569819,False
E0250,Increase in ambient ,Hypocotyl_Length,1,activation,33962946,False
E0251,MELATONIN,Hypocotyl_Length,1,activation,31461482,False
E0252,XCT,Hypocotyl_Length,1,activation,29250093,False
E0253,CDF5,Hypocotyl_Length,1,activation,35958204,False
E0254,KARRIKIN,Hypocotyl_Length,1,activation,29726620,False
E0255,PHYTOCHROMES,Hypocotyl_Length,-1,repression,30946988,False
E0256,ALX8,Hypocotyl_Length,1,activation,21304819,False
E0257,red light treatment,Hypocotyl_Length,1,activation,23456246,False
E0258,HFR1,Hypocotyl_Length,-1,repression,18974779,False
E0259,COR27,Hypocotyl_Length,1,activation,32769132,False
E0260,GA2OX,Hypocotyl_Length,-1,repression,31203874,False
E0261,ATATR,Hypocotyl_Length,-1,repression,28046013,False
E0262,GMCBL1,Hypocotyl_Length,1,activation,27891136,False
E0263,SPY,Hypocotyl_Length,1,activation,28244988,False
E0264,DHGA12,Hypocotyl_Length,1,activation,30992454,False
E0265,jasmonate treatment,Hypocotyl_Length,-1,repression,22825635,False
E0266,warmer conditions,Hypocotyl_Length,1,activation,32245953,False
E0267,reduced cell elongat,Hypocotyl_Length,1,activation,25516603,False
E0268,ATHDA9,Hypocotyl_Length,1,activation,35923878,False
E0269,KUA1,Hypocotyl_Length,1,activation,23888064,False
E0270,RN1,Hypocotyl_Length,1,activation,34618142,False
E0271,PIFS,Hypocotyl_Length,1,activation,36882415,False
E0272,Temperature elevatio,Hypocotyl_Length,1,activation,28827608,False
E0273,KARRIKINS,Hypocotyl_Length,1,activation,26754282,False
E0274,Juvenile hormone ago,Hypocotyl_Length,-1,repression,37745175,False
E0275,DTT,Hypocotyl_Length,-1,repression,19962212,False
E0276,RPOD1,Hypocotyl_Length,1,activation,35720591,False
E0277,DBB1A,Hypocotyl_Length,1,activation,20872270,False
E0278,CYTOKININS,Hypocotyl_Length,1,activation,15843964,False
E0279,CHD3,Hypocotyl_Length,1,activation,28771755,False
E0280,ATYUC4,Hypocotyl_Length,1,activation,32105289,False
E0281,red pulses,Hypocotyl_Length,1,activation,10333589,False
E0282,small mutations (<10,Hypocotyl_Length,1,activation,23268714,False
E0283,GR245DS,Hypocotyl_Length,1,activation,31465451,False
E0284,ZIM,Hypocotyl_Length,1,activation,36301462,False
E0285,35S-OsWRKY transgeni,Hypocotyl_Length,-1,repression,20826955,False
E0286,CRY1,Hypocotyl_Length,-1,repression,37569819,False
E0287,ADH2,Hypocotyl_Length,-1,repression,27989670,False
E0288,PIF3OX,Hypocotyl_Length,1,activation,22818915,False
E0289,HEATIN,Hypocotyl_Length,1,activation,33768644,False
E0290,CDF1,Hypocotyl_Length,-1,repression,35923878,False
E0291,ATUVR8,Hypocotyl_Length,-1,repression,37676614,False
E0292,1-aminocyclopropane-,Hypocotyl_Length,1,activation,22890836,False
E0293,ABCB,Hypocotyl_Length,-1,repression,22348445,False
E0294,GELDANAMYCIN,Hypocotyl_Length,1,activation,17653275,False
E0295,heat stress,Hypocotyl_Length,1,activation,29449855,False
E0296,APRR5,Hypocotyl_Length,-1,repression,37676516,False
E0297,SDHAF1,Hypocotyl_Length,1,activation,35080330,False
E0298,reduced light sensit,Hypocotyl_Length,1,activation,18182030,False
E0299,JAS,Hypocotyl_Length,-1,repression,37216398,False
E0300,SMP2,Hypocotyl_Length,1,activation,35222493,False
E0301,Ultraviolet-B radiat,Hypocotyl_Length,-1,repression,26662023,False
E0302,shade-avoidance beha,Hypocotyl_Length,1,activation,33613584,False
E0303,Exogenous threonine,Hypocotyl_Length,1,activation,37077988,False
E0304,EARLY,Hypocotyl_Length,-1,repression,31805433,False
E0305,DLK2,Hypocotyl_Length,1,activation,28970845,False
E0306,DELLA,Hypocotyl_Length,-1,repression,36092418,False
E0307,MAX2,Hypocotyl_Length,1,activation,30386362,False
E0308,GSH,Hypocotyl_Length,-1,repression,19962212,False
E0309,illumination of etio,Hypocotyl_Length,-1,repression,24078666,False
E0310,Shade perception,Hypocotyl_Length,1,activation,30453622,False
E0311,PIF7,Hypocotyl_Length,1,activation,33314270,False
E0312,CYCLING,Hypocotyl_Length,1,activation,35970973,False
E0313,Disruption of the ge,Hypocotyl_Length,1,activation,24995569,False
E0314,Sequestration of PIF,Hypocotyl_Length,1,activation,27282989,False
E0315,GLCN,Hypocotyl_Length,-1,repression,18541338,False
E0316,COP1,Hypocotyl_Length,1,activation,37511897,False
E0317,TCP17,Hypocotyl_Length,1,activation,33019650,False
E0318,A-PTF-1,Hypocotyl_Length,1,activation,33019650,False
E0319,Jasmonic Acid,Hypocotyl_Length,1,activation,35003197,False
E0320,TTFA,Hypocotyl_Length,1,activation,28293251,False
E0321,moderate increase in,Hypocotyl_Length,1,activation,26728313,False
E0322,ATWRKY36,Hypocotyl_Length,1,activation,29379156,False
E0323,JA,Hypocotyl_Length,-1,repression,31974860,False
E0324,infrequent irradiati,Hypocotyl_Length,1,activation,12244439,False
E0325,BMAA,Hypocotyl_Length,1,activation,19412571,False
E0326,BOP2,Hypocotyl_Length,-1,repression,28826468,False
E0327,PIF8,Hypocotyl_Length,-1,repression,31732705,False
E0328,CKRC2,Hypocotyl_Length,-1,repression,22479194,False
E0329,CHI2,Hypocotyl_Length,-1,repression,15773851,False
E0330,LUX,Hypocotyl_Length,-1,repression,33138078,False
E0331,HYH,Hypocotyl_Length,1,activation,32183354,False
E0332,PIF1,Hypocotyl_Length,1,activation,24420574,False
E0333,ATAIRP4,Hypocotyl_Length,-1,repression,36087409,False
E0334,BBX16,Hypocotyl_Length,1,activation,38110864,False
E0335,High intensity of li,Hypocotyl_Length,-1,repression,27432188,False
E0336,Low Red/Far-Red rati,Hypocotyl_Length,1,activation,36617439,False
E0337,PIC,Hypocotyl_Length,1,activation,36598987,False
E0338,ATRAN1,Hypocotyl_Length,1,activation,27258048,False
E0339,SAUR63,Hypocotyl_Length,1,activation,33777065,False
E0340,BIN2,Hypocotyl_Length,-1,repression,35909730,False
E0341,high temperatures,Hypocotyl_Length,1,activation,34155329,False
E0342,MDPIF1,Hypocotyl_Length,-1,repression,28881277,False
E0343,MEJA,Hypocotyl_Length,1,activation,22825635,False
E0344,shy2-2/iaa3 allele,Hypocotyl_Length,-1,repression,34618142,False
E0345,ANAC081,Hypocotyl_Length,1,activation,32892254,False
E0346,High-dose melatonin,Hypocotyl_Length,-1,repression,31616446,False
E0347,AT3G01472.1,Hypocotyl_Length,1,activation,32005165,False
E0348,BIC1,Hypocotyl_Length,1,activation,35008710,False
E0349,BBX21,Hypocotyl_Length,-1,repression,35555928,False
E0350,SLBIR3,Hypocotyl_Length,1,activation,28902164,False
E0351,Red light (R),Hypocotyl_Length,-1,repression,35357495,False
E0352,ERS,Hypocotyl_Length,1,activation,20374664,False
E0353,WILDTYPE,Hypocotyl_Length,-1,repression,24867218,False
E0354,low blue light,Hypocotyl_Length,1,activation,34155329,False
E0355,triggering heat stre,Hypocotyl_Length,1,activation,27561243,False
E0356,MAP65-2,Hypocotyl_Length,1,activation,34906086,False
E0357,SKU6,Hypocotyl_Length,1,activation,31850345,False
E0358,transcription co-fac,Hypocotyl_Length,-1,repression,23763263,False
E0359,TCP5,Hypocotyl_Length,1,activation,33019650,False
E0360,AGB1,Hypocotyl_Length,1,activation,29375601,False
E0361,SPA2,Hypocotyl_Length,1,activation,35662851,False
E0362,shade light,Hypocotyl_Length,1,activation,35095972,False
E0363,ATMAPR5,Hypocotyl_Length,-1,repression,28510978,False
E0364,UV,Hypocotyl_Length,-1,repression,24591052,False
E0365,ARF7,Hypocotyl_Length,1,activation,32046357,False
E0366,LACS4,Hypocotyl_Length,-1,repression,33631795,False
E0367,ADO1,Hypocotyl_Length,1,activation,26237185,False
E0368,NIT1,Hypocotyl_Length,1,activation,33768644,False
E0369,SIUVR8,Hypocotyl_Length,1,activation,33487351,False
E0370,Circadian clock,Hypocotyl_Length,1,activation,27564448,False
E0371,EIN3,Hypocotyl_Length,-1,repression,24529183,False
E0372,14-3-3 kappa,Hypocotyl_Length,-1,repression,29926790,False
E0373,SPX,Hypocotyl_Length,1,activation,35844781,False
E0374,sec-3,Hypocotyl_Length,-1,repression,26773002,False
E0375,SUGAR,Hypocotyl_Length,-1,repression,33989283,False
E0376,ATHMAC6,Hypocotyl_Length,-1,repression,26839287,False
E0377,P450SU1,Hypocotyl_Length,-1,repression,21496250,False
E0378,JK224,Hypocotyl_Length,1,activation,23162562,False
E0379,14-3-3 protein(s),Hypocotyl_Length,1,activation,29926790,False
E0380,SE,Hypocotyl_Length,1,activation,31922639,False
E0381,Over-expression of M,Hypocotyl_Length,1,activation,20182802,False
E0382,PHENANTHRENE,Hypocotyl_Length,-1,repression,20377843,False
E0383,ZKT2,Hypocotyl_Length,-1,repression,37569795,False
E0384,MA,Hypocotyl_Length,-1,repression,32052059,False
E0385,PVRXLR131,Hypocotyl_Length,-1,repression,30945786,False
E0386,ARAC1,Hypocotyl_Length,1,activation,25217509,False
E0387,1-aminomethyl-2-naph,Hypocotyl_Length,1,activation,33768644,False
E0388,ATCESA2,Hypocotyl_Length,1,activation,17085513,False
E0389,COG1,Hypocotyl_Length,1,activation,34884771,False
E0390,xpf-3,Hypocotyl_Length,1,activation,24591052,False
E0391,GR5,Hypocotyl_Length,-1,repression,37494415,False
E0392,R18,Hypocotyl_Length,1,activation,36598987,False
E0393,TAGK2WT,Hypocotyl_Length,1,activation,29042542,False
E0394,DNQX,Hypocotyl_Length,-1,repression,12969432,False
E0395,ARF8,Hypocotyl_Length,1,activation,34445724,False
E0396,MUTATIONS,Hypocotyl_Length,1,activation,8058035,False
E0397,ATSURF1B,Hypocotyl_Length,1,activation,32248588,False
E0398,reduction of fucose ,Hypocotyl_Length,1,activation,27448235,False
E0399,SEC5A,Hypocotyl_Length,1,activation,25551204,False
E0400,AHL,Hypocotyl_Length,1,activation,35965321,False
