test_id,gene,perturbation_type,gene_modifier,exogenous_node,exogenous_value,comparison_baseline,phenotype_node,expected_direction,expected_magnitude,doi,paper_title,authors,year,journal,evidence_sentence,verification,evidence_quality,species,notes
T001,14-3-3_lambda,knockout,,,,,,increased,moderate,,,,,,14-3-3 λκ double mutant shows faster PIF7 nuclear accumulation,,,Arabidopsis thaliana,
T002,ACC_treatment,exogenous_treatment,,,,,,decreased,strong,,,,,,ACC treatment of WT seedlings induces triple response (short hypocotyl),,,Arabidopsis thaliana,
T003,ACC_treatment,exogenous_treatment,,,,,,unchanged,minimal,,,,,,seedlings grown at 28°C with identical ethylene treatment exhibit almost no change in hypocotyl,,,Arabidopsis thaliana,
T004,AFB5,knockout,,,,,,decreased,moderate,,,,,,afb5-5 leads to decreased sensitivity to picloram-induced hypocotyl elongation,,,Arabidopsis thaliana,
T005,AHA2,gain_of_function,,,,,,increased,strong,,,,,,ost2-2D/aha2-5 mutant line elongates in absence of auxin,,,Arabidopsis thaliana,
T006,ARF6,knockout,,,,,,decreased,slight,,,,,,arf6-2 single mutants 80-90% of WT,,,Arabidopsis thaliana,
T007,ARF6_ARF7_ARF8,triple_knockout,,,,,,decreased,strong,,,,,,Plants deficient in all three ARFs were 20% to 30% of wild-type in darkness,,,Arabidopsis thaliana,
T008,ARF6_ARF8,double_knockout,,,,,,decreased,moderate,,,,,,arf6;arf8 double mutant showed reduced BR and GA promotion of hypocotyl elongation,,,Arabidopsis thaliana,
T009,ARF7,knockout,,,,,,decreased,slight,,,,,,nph4-1 single mutants 80-90% of WT,,,Arabidopsis thaliana,
T010,ARF8,knockout,,,,,,decreased,slight,,,,,,arf8-3 single mutants 80-90% of WT,,,Arabidopsis thaliana,
T011,ARP6,knockout,,,,,,increased,moderate,,,,,,arp6 mutants show a constitutive thermoresponsive growth phenotype,,,Arabidopsis thaliana,
T012,AXR2_IAA7,gain_of_function,,,,,,decreased,strong,,,,,,axr2-1 gain-of-function (stabilized IAA7) shows short hypocotyls,,,Arabidopsis thaliana,
T013,AXR2_IAA7_AXR3_IAA17,double_knockout,,,,,,increased,strong,,,,,,Hypocotyls of axr2/iaa7-7 axr3/iaa17-7 double mutant seedlings were longer than wild-type,,,Arabidopsis thaliana,
T014,Auxinole,chemical_treatment,,,,,,decreased,strong,,,,,,auxinole largely inhibits auxin induced hypocotyl elongation,,,Arabidopsis thaliana,
T015,BAK1,knockout,,,,,,decreased,moderate,,,,,,bak1 mutants have semi-dwarf phenotype,,,Arabidopsis thaliana,
T016,BBX18,knockout,,,,,,decreased,moderate,,,,,,the hypocotyl phenotype was suppressed in bbx18-1 single mutant background at warm temperatures,,,Arabidopsis thaliana,
T017,BBX21,knockout,,,,,,increased,slight,,,,,,bbx21-1 mutant showed slightly longer hypocotyl,,,Arabidopsis thaliana,
T018,BBX21,overexpression,,,,,,decreased,strong,,,,,,transgenic BBX21-OX lines exhibited significantly shorter hypocotyls compared with WT,,,Arabidopsis thaliana,
T019,BBX22,knockout,,,,,,increased,slight,,,,,,"bbx22 mutant shows slightly elongated hypocotyl in light, opposite to BBX21",,,Arabidopsis thaliana,
T020,BBX24,knockout,,,,,,decreased,slight,,,,,,bbx24 mutants show reduced shade-induced hypocotyl elongation,,,Arabidopsis thaliana,
T021,BES1,gain_of_function,,,,,,increased,strong,,,,,,bes1-D dominant mutant shows BR-hypersensitive phenotype with elongated hypocotyl,,,Arabidopsis thaliana,
T022,BIN2,gain_of_function,,,,,,increased,strong,,,,,,Constitutively active bin2-1 mutant dramatically decreases PIF3 abundance; longer hypocotyl,,,Arabidopsis thaliana,
T023,BIN2,gain_of_function,,,,,,decreased,strong,,,,,,bin2-1 dominant mutant is dwarf with constitutive BR-insensitive phenotype,,,Arabidopsis thaliana,
T024,BL_treatment,exogenous_treatment,,,,,,increased,strong,,,,,,Brassinolide treatment promotes hypocotyl elongation in WT seedlings via BRI1-BZR1,,,Arabidopsis thaliana,
T025,BRI1,knockout,,,,,,decreased,strong,,,,,,bri1 mutants are dwarfs with short hypocotyls,,,Arabidopsis thaliana,
T026,BR_treatment,exogenous_treatment,,,,,,increased,strong,,,,,,BL treatment promotes hypocotyl elongation in WT,,,Arabidopsis thaliana,
T027,BZR1,gain_of_function,,,,,,increased,strong,,,,,,bzr1-1D dominant gain-of-function constitutively activates BR responses including longer hypocotyl,,,Arabidopsis thaliana,
T028,Brassinazole_Brz,chemical_treatment,,,,,,decreased,strong,,,,,,Brz BR biosynthesis inhibitor produces dwarf phenotype,,,Arabidopsis thaliana,
T029,CCA1_LHY,double_knockout,,,,,,increased,moderate,,,,,,cca1 lhy double mutant has long hypocotyl,,,Arabidopsis thaliana,
T030,COG1,gain_of_function,,,,,,increased,moderate,,,,,,cog1-3D single mutants show an elongated hypocotyl phenotype under light conditions,,,Arabidopsis thaliana,
T031,COP1,knockout,,,,,,decreased,strong,,,,,,cop1-4 mutants show shorter hypocotyls and fully opened cotyledons in darkness,,,Arabidopsis thaliana,
T032,COP1,knockout,,,,,,decreased,strong,,,,,,cop1 mutants are deficient in UV-B photomorphogenic responses,,,Arabidopsis thaliana,
T033,CRY1,knockout,,,,,,increased,strong,,,,,,Arabidopsis cry1 (hy4) mutants exhibit elongated hypocotyl under blue light,,,Arabidopsis thaliana,
T034,CRY1,overexpression,,,,,,decreased,moderate,,,,,,overexpression of Arabidopsis CRY1 resulted in enhanced light responses,,,Arabidopsis thaliana,
T035,CRY1_CRY2,double_knockout,,,,,,increased,strong,,,,,,cry1cry2 double mutants have stronger long-hypocotyl phenotypes than either single mutant,,,Arabidopsis thaliana,
T036,CRY2,knockout,,,,,,increased,moderate,,,,,,cry2 mutation shows evident effects under medium-low fluence blue light,,,Arabidopsis thaliana,
