node,node_type,activators,inhibitors,formula
ASU1,,,,ASU1 = 1.0 * 1.0 * gene_modifier + exogenous
Hypocotyl_Length,,"ASU1,Multi-walled CNTs,Brassinosteroid,PIF,no light offset,GR24,AFB2,THE1,CSU4,dihydrokaempferol,AAT,SAUR19,FR,SHV3,Exogenous Kin,BL,cell number,Sucrose supplementat,sucrose metabolites,BHLH161,compounds 1b and 2c,photoperiod of 18 ho,irAtRALF1 plant(s),Higher temperature,PIF4,LLF,ABS3,Overexpressing GmDET,DHECD,duration of twilight,one day/night cycle,ATDRB1,ATEXLA2,ABS3L1,NAA,adding 1% sucrose,WL,Ph = 21 h,ATSERK4,Expansin overexpress,Ph/Pr ratio,BBX24,blue light,ASP,NO,CN,Shahdara allele,Gibberellin,AFB3,MIRNA848,ATLTPI-5,reduced light intens,ATKO1,16% under microgravi,TIS108,TOR,EBL,BBX11,ATGRP23,Ethylene,NAE,PIF3,ATGA20OX4,ATPCAP1,Name B mutation,compound 2b,PR,LS,Phenylacetic Acid,SHADE,Auxin,DDB1A,LUXR146A,High N,interference with At,CFK2,DELTAL,PPPRR2,GMDET2B,PRE2,GMPHYB1,FIO1,expressing photorece,GLV,overexpression of Fa,lasalocid sodium,GMDET2A,UBP22,synthetic auxinic co,Light Intensity,PH,SUCROSE,BZR1,PERIOD,ATSERK5,MIRNA160B,GA1,1-butanol,BRS,Temperature variatio,ABS4,NUP58,BGT,Loss of 14-3-3 λ,PHYA,BHLH136,ABS3L2,benzyl cyanide,ATR4,ectopic expression o,MIRNA167B,RF,compounds 1b, 2b, an,PFT1,NALHY,Treated seeds,ATGUS2,Gamma Rays,500 muT magnetic fie,enhanced transcripti,GMBZL3P219L,beginning of the day,ATS4,ARP6,Sucrose addition,Silver ions,exogenous applicatio,treatment with 1b,LATB,TREATMENTS,AtEXP4pro:CBM2a,treatment with 240 m,OSPIL1,BIKININ,GH3,Ectopic expression o,DAF1,MIRNA319B,CES,Cu(2+),A. thaliana Seedling,treatment with 1a 12,ATGA20OX5,PSK,stress treatment,NAZTL,PIF5,MI,Overexpression of Jr,BRS1,SAUR30,2,4-D,Expansin gene(s) sup,ATBS1,Red Light,LOW R:FR,SUPA,increased ambient te,SL,ADF1,HBI1,Guard Cells,YUC3,HEATING,ATHKL1,CK,high temperature,MdPIF1-overexpressio,SUGARS,GAS,533,MAC3A,OBP3,DAG1,CDF,BEE1,GLC,PICLORAM,LIGHT,FIONA1,Increase in ambient ,MELATONIN,XCT,CDF5,KARRIKIN,ALX8,red light treatment,COR27,GMCBL1,SPY,DHGA12,warmer conditions,reduced cell elongat,ATHDA9,KUA1,RN1,PIFS,Temperature elevatio,KARRIKINS,RPOD1,DBB1A,CYTOKININS,CHD3,ATYUC4,red pulses,small mutations (<10,GR245DS,ZIM,PIF3OX,HEATIN,1-aminocyclopropane-,GELDANAMYCIN,heat stress,SDHAF1,reduced light sensit,SMP2,shade-avoidance beha,Exogenous threonine,DLK2,MAX2,Shade perception,PIF7,CYCLING,Disruption of the ge,Sequestration of PIF,COP1,TCP17,A-PTF-1,Jasmonic Acid,TTFA,moderate increase in,ATWRKY36,infrequent irradiati,BMAA,HYH,PIF1,BBX16,Low Red/Far-Red rati,PIC,ATRAN1,SAUR63,high temperatures,MEJA,ANAC081,AT3G01472.1,BIC1,SLBIR3,ERS,low blue light,triggering heat stre,MAP65-2,SKU6,TCP5,AGB1,SPA2,shade light,ARF7,ADO1,NIT1,SIUVR8,Circadian clock,SPX,JK224,14-3-3 protein(s),SE,Over-expression of M,ARAC1,1-aminomethyl-2-naph,ATCESA2,COG1,xpf-3,R18,TAGK2WT,ARF8,MUTATIONS,ATSURF1B,reduction of fucose ,SEC5A,AHL,warm temperatures,HSFA1S,5-Methyltetrahydrofo,ATMAP65-1,GCHXK,green light,IAA14,ATIBH1,BAF60,SUBMERGENCE,CSN,HXK1,CIP7,Warm night temperatu,3-bromo-7-nitroindaz,BBX18,ABI8,thermomorphogenic gr,FBH1,LCL5,HPAT,SEC,24-epibrassinolide,excess sucrose,ATHSFA1D,IAA3,all of these hormone,Overexpression of Md,PIFQ,ADO3,KUF1,ATTCP15,Novel mutations,ATGH3.11,ZFHD10,JASMONATE,IAA6,ATTIFY1,PAR,epidermal growth fac,Heatin analogue,IF1,TZP,HEXOKINASE,GMPHYA1,GmPIP1-6,Exogenous BRs,exogenous sucrose,higher temperature c,Exogenous Suc,HXK,PAX1,H3,CIB4,EID1,ADO2,ATHB-2,OSU1,cytokinin applicatio,ATSIZ1,HNA,ATCTL1,GH3.17,SAUR,ATGA3OX1,Cell elongation,ATETR1,Transition from dark,HG,BrMYC3-2 expression,Loss of Desi3a,EOD,BrMYC4-1 expression,PAS2,BAF1,ARF6,ARR2,ELH,higher doses of blue,COR28,photomorphogenesis,DNA,ATCSLD3,plastid signals,Over-expression of A,LRB,Skotomorphogenesis,dramatic changes in ,BrMYC4-2 expression,ATFIP1[V],SAUR41,Overexpressed polyga,CKB4,PIP2,ATB BETA BETA,THREONINE,photochemical activi,PEPRE1,Guard cell-localized,AZOMITE,far-red illumination,exocyst subunit,LTP5,AOD13,PPPIF8,ATHSP90-7,THR,FRS7,ATSGT1B,IAM,Treatment of wild-ty,Submergence stress,2% sucrose,BBX23,24-epiBL,ATBBX32,depletion of blue li,SnRK1,ARR16,OsPIL1 overexpressio,upregulation of tran,ICK3,NALACIN,low red/far-red,RAP2,SWELLMAP,PHYC,WDL3,FER,light quantity,external sugars such,competitive binding,fiona1-2,SHB1,AHL23,Elevated temperature,XBAT31,PIN1,FUSICOCCIN,sucrose depletion,CFK1,Application of BRs,BAS1,SINAT2C63S,ATYUC6,E12A11,exogenously added cy,Natural allelic vari,A27E,LOV,Exogenous sugar,IBA,NERD1,PHOTOPERIOD,PZA,OX8,OPS,HYL 1,lack of H+-PPase,GNC,LHE,IAN,YUC,phytohormones,ATLEC1,BIK1,Cotyledon-synthesize,Reduced cotyledon il,ATLHP1,15EaPCB,ATPP7,MIR160,KAI2,AT2353,PHOTOTROPINS,frs7-1;frs12-1,ARQ1,CK1,AIRP5,protein(s) levels,GLUCOSE,CIL1,RVE1,A semidominant mutat,growth at high tempe,CLEL 6,FBH,YCZ,simulated shade,GI,Ph = 16 h,Over-expressed GmCBL,GLR,EPR1,RSLV,BrMYC3-1 expression,increase in temperat,compound 1a,MIR393,Hxk activity,impaired photomorpho","RAM,LOVASTATIN,GATA,GhMADS14 transgenic ,FLA16,MEL,KAR2,AtBS14b homologous g,NPA,vhp2;2-2,PME,PAC,ZMPHYC1,FENOXYCARB,BRI1,ZnO nanoparticles,ATRALF1,ATVHP2;1,BA,ELF3,DDB1B,compound 3,PHYB,EH,longer light periods,LSH1,Compound 8,Water Stress,SpCdc25 phosphatase,CESA6,MeJA application,BRMYC2OE,BRASSINAZOLE,GHMADS14,ATGPX5,Compound 2,Paclobutrazol,ZMCCA1A-OX,ZMPHYC2,GMMYB133,vhp2;1 vhp2;2-2,TIR1,Cellulose synthesis ,High PPi levels,EEP1,BBX19,HY5,Compound 1,ATCKS,COMPOUND,GMBEH3L1,Continuous red light,DET2,myo-Inositol,ABA,TE1,TAS,pecp2-1,AHL29,ATMKK9,cdfq mutant,APRR9,BOP1,HYPERGRAVITY,AT-PHH1,TPL,SOB3,DRY2,NF-YC5,PHYTOCHROMES,HFR1,GA2OX,ATATR,jasmonate treatment,Juvenile hormone ago,DTT,35S-OsWRKY transgeni,CRY1,ADH2,CDF1,ATUVR8,ABCB,APRR5,JAS,Ultraviolet-B radiat,EARLY,DELLA,GSH,illumination of etio,GLCN,JA,BOP2,PIF8,CKRC2,CHI2,LUX,ATAIRP4,High intensity of li,BIN2,MDPIF1,shy2-2/iaa3 allele,High-dose melatonin,BBX21,Red light (R),WILDTYPE,transcription co-fac,ATMAPR5,UV,LACS4,EIN3,14-3-3 kappa,sec-3,SUGAR,ATHMAC6,P450SU1,PHENANTHRENE,ZKT2,MA,PVRXLR131,GR5,DNQX,EBF1,tub4P287L mutation,lower ploidy levels,Strigolactones,CYTOKININ,PECRY1,ER,ZAXINONE,GNS,A. thaliana,increase of sucrose,FAA,BMA,HBL,ARF16,GDA,Cryptochrome blue li,arrhythmia in phloem,SIRTINOL,white light,SOB3/AHL29,PYRIPROXYFEN,axr2-1/iaa7 mutant,ECD,ATSPL9,AFB5,YUCASIN,LFCRY2,HLH1,CBL7,AXR2,Far red light,LAMBDA,PIF6,TAXOL,ZKT11,exogenous MeJA,APRR1,RALFS,HYDROXYUREA,KAR,SUB,BrMYC2 expression,HMR,mesophyll-specific p,KAR1,BEH3,TAA1,High nitrogen condit,MEIAA,ATBET12,ATDIL9-7,antiphase light-temp,karrikin signaling,TCP2,loss-of-function of ,Cryptochromes,JASMONATES,hat3 athb4 double lo,ZKT4,DET1,MIR163,tetrahydro-3-(1-naph,ZKT3,CSI1,degradation of PIFs,NJ15,mesophyll-localized ,ZKT18,IAA1,BBX20,NF-YC7,ultraviolet-B,AFB4,ATERF#092,Silver treatment,ARF10,ZKT7,UBP13DeltaMATHoe,SLR,CCS52A2,BZIPS,MAP4K4,ATFIP37,PROPYZAMIDE,vhp2;1-1,D14,CLE44,BOP,Low Fluence Ultravio,cry mutations,KYN,Cryptochrome isoform,SLS,FIN219,ATMYC2,ATGRF4,Strigolactone,abscisic acid,PeCRY1 overexpressio,low nitrate,BBX22,MKK10D,ATSIG6,H(+)-ATPase inhibito,ATMYB42,SPF1,PDLZ2,NF,phyAphyBhy4 mutant,PG,Propiconazole,PCH1OX3,FCA,PPBO,light signal,plate treatments,SUNFLECKS,deoxystrigolactones,PEUVR8,Evening_Complex,HID1,ARF17,BRUSHING,ESC/AHL27,ATRAV1,ELF4,AHA2,MUTANTS,overexpressing PIFs,ABI1,GLKS,C1,MED8,salt stress,RADICICOL,mdp60 mutants,AHL27,PPD,ZMPHYCS,RSPL9,PeUVR8 overexpressio,PBG,ATEBP,ATSERPIN1,Pcz treatment,NF-YC8,ANY1,ELF3SHA","Hypocotyl_Length = prod(f(ASU1, Multi-walled CNTs, Brassinosteroid, PIF, no light offset, GR24, AFB2, THE1, CSU4, dihydrokaempferol, AAT, SAUR19, FR, SHV3, Exogenous Kin, BL, cell number, Sucrose supplementat, sucrose metabolites, BHLH161, compounds 1b and 2c, photoperiod of 18 ho, irAtRALF1 plant(s), Higher temperature, PIF4, LLF, ABS3, Overexpressing GmDET, DHECD, duration of twilight, one day/night cycle, ATDRB1, ATEXLA2, ABS3L1, NAA, adding 1% sucrose, WL, Ph = 21 h, ATSERK4, Expansin overexpress, Ph/Pr ratio, BBX24, blue light, ASP, NO, CN, Shahdara allele, Gibberellin, AFB3, MIRNA848, ATLTPI-5, reduced light intens, ATKO1, 16% under microgravi, TIS108, TOR, EBL, BBX11, ATGRP23, Ethylene, NAE, PIF3, ATGA20OX4, ATPCAP1, Name B mutation, compound 2b, PR, LS, Phenylacetic Acid, SHADE, Auxin, DDB1A, LUXR146A, High N, interference with At, CFK2, DELTAL, PPPRR2, GMDET2B, PRE2, GMPHYB1, FIO1, expressing photorece, GLV, overexpression of Fa, lasalocid sodium, GMDET2A, UBP22, synthetic auxinic co, Light Intensity, PH, SUCROSE, BZR1, PERIOD, ATSERK5, MIRNA160B, GA1, 1-butanol, BRS, Temperature variatio, ABS4, NUP58, BGT, Loss of 14-3-3 λ, PHYA, BHLH136, ABS3L2, benzyl cyanide, ATR4, ectopic expression o, MIRNA167B, RF, compounds 1b, 2b, an, PFT1, NALHY, Treated seeds, ATGUS2, Gamma Rays, 500 muT magnetic fie, enhanced transcripti, GMBZL3P219L, beginning of the day, ATS4, ARP6, Sucrose addition, Silver ions, exogenous applicatio, treatment with 1b, LATB, TREATMENTS, AtEXP4pro:CBM2a, treatment with 240 m, OSPIL1, BIKININ, GH3, Ectopic expression o, DAF1, MIRNA319B, CES, Cu(2+), A. thaliana Seedling, treatment with 1a 12, ATGA20OX5, PSK, stress treatment, NAZTL, PIF5, MI, Overexpression of Jr, BRS1, SAUR30, 2,4-D, Expansin gene(s) sup, ATBS1, Red Light, LOW R:FR, SUPA, increased ambient te, SL, ADF1, HBI1, Guard Cells, YUC3, HEATING, ATHKL1, CK, high temperature, MdPIF1-overexpressio, SUGARS, GAS, 533, MAC3A, OBP3, DAG1, CDF, BEE1, GLC, PICLORAM, LIGHT, FIONA1, Increase in ambient , MELATONIN, XCT, CDF5, KARRIKIN, ALX8, red light treatment, COR27, GMCBL1, SPY, DHGA12, warmer conditions, reduced cell elongat, ATHDA9, KUA1, RN1, PIFS, Temperature elevatio, KARRIKINS, RPOD1, DBB1A, CYTOKININS, CHD3, ATYUC4, red pulses, small mutations (<10, GR245DS, ZIM, PIF3OX, HEATIN, 1-aminocyclopropane-, GELDANAMYCIN, heat stress, SDHAF1, reduced light sensit, SMP2, shade-avoidance beha, Exogenous threonine, DLK2, MAX2, Shade perception, PIF7, CYCLING, Disruption of the ge, Sequestration of PIF, COP1, TCP17, A-PTF-1, Jasmonic Acid, TTFA, moderate increase in, ATWRKY36, infrequent irradiati, BMAA, HYH, PIF1, BBX16, Low Red/Far-Red rati, PIC, ATRAN1, SAUR63, high temperatures, MEJA, ANAC081, AT3G01472.1, BIC1, SLBIR3, ERS, low blue light, triggering heat stre, MAP65-2, SKU6, TCP5, AGB1, SPA2, shade light, ARF7, ADO1, NIT1, SIUVR8, Circadian clock, SPX, JK224, 14-3-3 protein(s), SE, Over-expression of M, ARAC1, 1-aminomethyl-2-naph, ATCESA2, COG1, xpf-3, R18, TAGK2WT, ARF8, MUTATIONS, ATSURF1B, reduction of fucose , SEC5A, AHL, warm temperatures, HSFA1S, 5-Methyltetrahydrofo, ATMAP65-1, GCHXK, green light, IAA14, ATIBH1, BAF60, SUBMERGENCE, CSN, HXK1, CIP7, Warm night temperatu, 3-bromo-7-nitroindaz, BBX18, ABI8, thermomorphogenic gr, FBH1, LCL5, HPAT, SEC, 24-epibrassinolide, excess sucrose, ATHSFA1D, IAA3, all of these hormone, Overexpression of Md, PIFQ, ADO3, KUF1, ATTCP15, Novel mutations, ATGH3.11, ZFHD10, JASMONATE, IAA6, ATTIFY1, PAR, epidermal growth fac, Heatin analogue, IF1, TZP, HEXOKINASE, GMPHYA1, GmPIP1-6, Exogenous BRs, exogenous sucrose, higher temperature c, Exogenous Suc, HXK, PAX1, H3, CIB4, EID1, ADO2, ATHB-2, OSU1, cytokinin applicatio, ATSIZ1, HNA, ATCTL1, GH3.17, SAUR, ATGA3OX1, Cell elongation, ATETR1, Transition from dark, HG, BrMYC3-2 expression, Loss of Desi3a, EOD, BrMYC4-1 expression, PAS2, BAF1, ARF6, ARR2, ELH, higher doses of blue, COR28, photomorphogenesis, DNA, ATCSLD3, plastid signals, Over-expression of A, LRB, Skotomorphogenesis, dramatic changes in , BrMYC4-2 expression, ATFIP1[V], SAUR41, Overexpressed polyga, CKB4, PIP2, ATB BETA BETA, THREONINE, photochemical activi, PEPRE1, Guard cell-localized, AZOMITE, far-red illumination, exocyst subunit, LTP5, AOD13, PPPIF8, ATHSP90-7, THR, FRS7, ATSGT1B, IAM, Treatment of wild-ty, Submergence stress, 2% sucrose, BBX23, 24-epiBL, ATBBX32, depletion of blue li, SnRK1, ARR16, OsPIL1 overexpressio, upregulation of tran, ICK3, NALACIN, low red/far-red, RAP2, SWELLMAP, PHYC, WDL3, FER, light quantity, external sugars such, competitive binding, fiona1-2, SHB1, AHL23, Elevated temperature, XBAT31, PIN1, FUSICOCCIN, sucrose depletion, CFK1, Application of BRs, BAS1, SINAT2C63S, ATYUC6, E12A11, exogenously added cy, Natural allelic vari, A27E, LOV, Exogenous sugar, IBA, NERD1, PHOTOPERIOD, PZA, OX8, OPS, HYL 1, lack of H+-PPase, GNC, LHE, IAN, YUC, phytohormones, ATLEC1, BIK1, Cotyledon-synthesize, Reduced cotyledon il, ATLHP1, 15EaPCB, ATPP7, MIR160, KAI2, AT2353, PHOTOTROPINS, frs7-1;frs12-1, ARQ1, CK1, AIRP5, protein(s) levels, GLUCOSE, CIL1, RVE1, A semidominant mutat, growth at high tempe, CLEL 6, FBH, YCZ, simulated shade, GI, Ph = 16 h, Over-expressed GmCBL, GLR, EPR1, RSLV, BrMYC3-1 expression, increase in temperat, compound 1a, MIR393, Hxk activity, impaired photomorpho)) * prod(g(RAM, LOVASTATIN, GATA, GhMADS14 transgenic , FLA16, MEL, KAR2, AtBS14b homologous g, NPA, vhp2;2-2, PME, PAC, ZMPHYC1, FENOXYCARB, BRI1, ZnO nanoparticles, ATRALF1, ATVHP2;1, BA, ELF3, DDB1B, compound 3, PHYB, EH, longer light periods, LSH1, Compound 8, Water Stress, SpCdc25 phosphatase, CESA6, MeJA application, BRMYC2OE, BRASSINAZOLE, GHMADS14, ATGPX5, Compound 2, Paclobutrazol, ZMCCA1A-OX, ZMPHYC2, GMMYB133, vhp2;1 vhp2;2-2, TIR1, Cellulose synthesis , High PPi levels, EEP1, BBX19, HY5, Compound 1, ATCKS, COMPOUND, GMBEH3L1, Continuous red light, DET2, myo-Inositol, ABA, TE1, TAS, pecp2-1, AHL29, ATMKK9, cdfq mutant, APRR9, BOP1, HYPERGRAVITY, AT-PHH1, TPL, SOB3, DRY2, NF-YC5, PHYTOCHROMES, HFR1, GA2OX, ATATR, jasmonate treatment, Juvenile hormone ago, DTT, 35S-OsWRKY transgeni, CRY1, ADH2, CDF1, ATUVR8, ABCB, APRR5, JAS, Ultraviolet-B radiat, EARLY, DELLA, GSH, illumination of etio, GLCN, JA, BOP2, PIF8, CKRC2, CHI2, LUX, ATAIRP4, High intensity of li, BIN2, MDPIF1, shy2-2/iaa3 allele, High-dose melatonin, BBX21, Red light (R), WILDTYPE, transcription co-fac, ATMAPR5, UV, LACS4, EIN3, 14-3-3 kappa, sec-3, SUGAR, ATHMAC6, P450SU1, PHENANTHRENE, ZKT2, MA, PVRXLR131, GR5, DNQX, EBF1, tub4P287L mutation, lower ploidy levels, Strigolactones, CYTOKININ, PECRY1, ER, ZAXINONE, GNS, A. thaliana, increase of sucrose, FAA, BMA, HBL, ARF16, GDA, Cryptochrome blue li, arrhythmia in phloem, SIRTINOL, white light, SOB3/AHL29, PYRIPROXYFEN, axr2-1/iaa7 mutant, ECD, ATSPL9, AFB5, YUCASIN, LFCRY2, HLH1, CBL7, AXR2, Far red light, LAMBDA, PIF6, TAXOL, ZKT11, exogenous MeJA, APRR1, RALFS, HYDROXYUREA, KAR, SUB, BrMYC2 expression, HMR, mesophyll-specific p, KAR1, BEH3, TAA1, High nitrogen condit, MEIAA, ATBET12, ATDIL9-7, antiphase light-temp, karrikin signaling, TCP2, loss-of-function of , Cryptochromes, JASMONATES, hat3 athb4 double lo, ZKT4, DET1, MIR163, tetrahydro-3-(1-naph, ZKT3, CSI1, degradation of PIFs, NJ15, mesophyll-localized , ZKT18, IAA1, BBX20, NF-YC7, ultraviolet-B, AFB4, ATERF#092, Silver treatment, ARF10, ZKT7, UBP13DeltaMATHoe, SLR, CCS52A2, BZIPS, MAP4K4, ATFIP37, PROPYZAMIDE, vhp2;1-1, D14, CLE44, BOP, Low Fluence Ultravio, cry mutations, KYN, Cryptochrome isoform, SLS, FIN219, ATMYC2, ATGRF4, Strigolactone, abscisic acid, PeCRY1 overexpressio, low nitrate, BBX22, MKK10D, ATSIG6, H(+)-ATPase inhibito, ATMYB42, SPF1, PDLZ2, NF, phyAphyBhy4 mutant, PG, Propiconazole, PCH1OX3, FCA, PPBO, light signal, plate treatments, SUNFLECKS, deoxystrigolactones, PEUVR8, Evening_Complex, HID1, ARF17, BRUSHING, ESC/AHL27, ATRAV1, ELF4, AHA2, MUTANTS, overexpressing PIFs, ABI1, GLKS, C1, MED8, salt stress, RADICICOL, mdp60 mutants, AHL27, PPD, ZMPHYCS, RSPL9, PeUVR8 overexpressio, PBG, ATEBP, ATSERPIN1, Pcz treatment, NF-YC8, ANY1, ELF3SHA)) * gene_modifier + exogenous"
Multi-walled CNTs,,,,Multi-walled CNTs = 1.0 * 1.0 * gene_modifier + exogenous
Brassinosteroid,,CPD,"GATA2,BZR1","Brassinosteroid = prod(f(CPD)) * prod(g(GATA2, BZR1)) * gene_modifier + exogenous"
RAM,,,,RAM = 1.0 * 1.0 * gene_modifier + exogenous
PIF,,,,PIF = 1.0 * 1.0 * gene_modifier + exogenous
no light offset,,,,no light offset = 1.0 * 1.0 * gene_modifier + exogenous
LOVASTATIN,,,,LOVASTATIN = 1.0 * 1.0 * gene_modifier + exogenous
GR24,,,,GR24 = 1.0 * 1.0 * gene_modifier + exogenous
GATA,,,,GATA = 1.0 * 1.0 * gene_modifier + exogenous
