test_id,gene,perturbation_type,gene_modifier,exogenous_node,exogenous_value,wt_value,perturbed_value,comparison_baseline,comparison_baseline_value,ratio,log2_fold_change,direction_threshold,predicted_direction,expected_direction,correct,phenotype_node,complexity_score,complexity_label,path_length,converged,iterations,evidence_doi
T002,ACC_treatment,exogenous_treatment,1.0,Ethylene,1.0,1.0,0.997122,WT,1.0,0.997122,-0.0042,0.05,unchanged,decreased,False,Hypocotyl_Length,1,easy,1,True,40,10.1007/s42994-021-00063-0
T003,ACC_treatment,exogenous_treatment,1.0,Ethylene,1.0,1.0,0.997122,WT,1.0,0.997122,-0.0042,0.05,unchanged,unchanged,True,Hypocotyl_Length,1,easy,1,True,40,10.1007/s42994-021-00063-0
T004,AFB5,knockout,0.997,Auxin,1.0,1.0,1.005908,mutant,1.002836,1.003064,0.0044,0.05,unchanged,increased,False,Hypocotyl_Length,2,medium,1,True,37,10.7554/eLife.19048
T006,ARF6,knockout,0.0,,,1.0,0.990641,WT,1.0,0.990641,-0.0136,0.05,unchanged,decreased,False,Hypocotyl_Length,1,easy,1,True,11,10.1104/pp.18.00718
T007,ARF6_ARF7_ARF8,triple_knockout,0.0,,,1.0,0.990641,WT,1.0,0.990641,-0.0136,0.05,unchanged,decreased,False,Hypocotyl_Length,1,easy,1,True,11,10.1104/pp.18.00718
T008,ARF6_ARF8,double_knockout,0.0,,,1.0,0.990641,WT,1.0,0.990641,-0.0136,0.05,unchanged,decreased,False,Hypocotyl_Length,1,easy,1,True,11,10.7554/eLife.03031
T009,ARF7,knockout,0.5,,,1.0,0.998727,WT,1.0,0.998727,-0.0018,0.05,unchanged,decreased,False,Hypocotyl_Length,1,easy,1,True,6,10.1104/pp.18.00718
T010,ARF8,knockout,0.5,,,1.0,0.998727,WT,1.0,0.998727,-0.0018,0.05,unchanged,decreased,False,Hypocotyl_Length,1,easy,1,True,6,10.1104/pp.18.00718
T012,AXR2_IAA7,gain_of_function,2.0,,,1.0,1.001275,WT,1.0,1.001275,0.0018,0.05,unchanged,decreased,False,Hypocotyl_Length,1,easy,1,True,6,10.1104/pp.18.00718
T013,AXR2_IAA7_AXR3_IAA17,double_knockout,0.0,,,1.0,0.990641,WT,1.0,0.990641,-0.0136,0.05,unchanged,increased,False,Hypocotyl_Length,1,easy,1,True,11,10.1104/pp.18.00718
