test_id,gene,perturbation_type,gene_modifier,exogenous_node,exogenous_value,wt_value,perturbed_value,comparison_baseline,comparison_baseline_value,ratio,log2_fold_change,direction_threshold,predicted_direction,expected_direction,correct,phenotype_node,complexity_score,complexity_label,path_length,converged,iterations,evidence_doi
T002,ACC_treatment,exogenous_treatment,1.0,Ethylene,1.0,0.0,0.000663,WT,0.0,1.000663,0.001,1e-05,increased,decreased,False,Hypocotyl_Length,1,easy,1,True,5,10.1007/s42994-021-00063-0
T003,ACC_treatment,exogenous_treatment,1.0,Ethylene,1.0,0.0,0.000663,WT,0.0,1.000663,0.001,1e-05,increased,unchanged,False,Hypocotyl_Length,1,easy,1,True,5,10.1007/s42994-021-00063-0
T004,AFB5,knockout,0.997,Auxin,1.0,0.0,0.000363,mutant,2e-06,1.000361,0.0005,1e-05,increased,increased,True,Hypocotyl_Length,2,medium,1,True,4,10.7554/eLife.19048
T006,ARF6,knockout,0.0,,,0.0,-0.000667,WT,0.0,0.999333,-0.001,1e-05,decreased,decreased,True,Hypocotyl_Length,1,easy,1,True,2,10.1104/pp.18.00718
T007,ARF6_ARF7_ARF8,triple_knockout,0.0,,,0.0,-0.000667,WT,0.0,0.999333,-0.001,1e-05,decreased,decreased,True,Hypocotyl_Length,1,easy,1,True,2,10.1104/pp.18.00718
T008,ARF6_ARF8,double_knockout,0.0,,,0.0,-0.000667,WT,0.0,0.999333,-0.001,1e-05,decreased,decreased,True,Hypocotyl_Length,1,easy,1,True,2,10.7554/eLife.03031
T009,ARF7,knockout,0.5,,,0.0,-0.000333,WT,0.0,0.999667,-0.0005,1e-05,decreased,decreased,True,Hypocotyl_Length,1,easy,1,True,2,10.1104/pp.18.00718
T010,ARF8,knockout,0.5,,,0.0,-0.000333,WT,0.0,0.999667,-0.0005,1e-05,decreased,decreased,True,Hypocotyl_Length,1,easy,1,True,2,10.1104/pp.18.00718
T012,AXR2_IAA7,gain_of_function,2.0,,,0.0,0.000667,WT,0.0,1.000667,0.001,1e-05,increased,decreased,False,Hypocotyl_Length,1,easy,1,True,2,10.1104/pp.18.00718
T013,AXR2_IAA7_AXR3_IAA17,double_knockout,0.0,,,0.0,-0.000667,WT,0.0,0.999333,-0.001,1e-05,decreased,increased,False,Hypocotyl_Length,1,easy,1,True,2,10.1104/pp.18.00718
T014,Auxinole,chemical_treatment,0.1,,,0.0,0.0006,WT,0.0,1.0006,0.0009,1e-05,increased,decreased,False,Hypocotyl_Length,1,easy,1,True,2,10.7554/eLife.19048
T015,BAK1,knockout,0.0,,,0.0,-0.000667,WT,0.0,0.999333,-0.001,1e-05,decreased,decreased,True,Hypocotyl_Length,1,easy,1,True,2,10.1016/j.pbi.2014.07.012
T017,BBX21,knockout,0.0,,,0.0,0.000696,WT,0.0,1.000696,0.001,1e-05,increased,increased,True,Hypocotyl_Length,1,easy,1,True,5,10.1073/pnas.1607687113
T018,BBX21,overexpression,2.0,,,0.0,-0.000696,WT,0.0,0.999304,-0.001,1e-05,decreased,decreased,True,Hypocotyl_Length,1,easy,1,True,5,10.1073/pnas.1607687113
T021,BES1,gain_of_function,2.0,,,0.0,0.000278,WT,0.0,1.000278,0.0004,1e-05,increased,increased,True,Hypocotyl_Length,1,easy,1,True,3,10.1016/j.pbi.2014.07.012
T022,BIN2,gain_of_function,2.0,,,0.0,-0.000663,WT,0.0,0.999337,-0.001,1e-05,decreased,increased,False,Hypocotyl_Length,1,easy,1,True,5,10.1073/pnas.1700850114
T023,BIN2,gain_of_function,2.0,,,0.0,-0.000663,WT,0.0,0.999337,-0.001,1e-05,decreased,decreased,True,Hypocotyl_Length,1,easy,1,True,5,10.1016/j.pbi.2014.07.012
